"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"44","RI","Rhode Island","Rhode Island","state",NA,"January",2020,555877,533321,22556
"44","RI","Rhode Island","Rhode Island","state",NA,"February",2020,558430,536232,22198
"44","RI","Rhode Island","Rhode Island","state",NA,"March",2020,560847,532920,27927
"44","RI","Rhode Island","Rhode Island","state",NA,"April",2020,523359,429849,93510
"44","RI","Rhode Island","Rhode Island","state",NA,"May",2020,518867,435059,83808
"44","RI","Rhode Island","Rhode Island","state",NA,"June",2020,552974,485994,66980
"44","RI","Rhode Island","Barrington","city",NA,"January",2020,8346,8135,211
"44","RI","Rhode Island","Barrington","city",NA,"February",2020,8399,8182,217
"44","RI","Rhode Island","Barrington","city",NA,"March",2020,8383,8131,252
"44","RI","Rhode Island","Barrington","city",NA,"April",2020,7409,6576,833
"44","RI","Rhode Island","Barrington","city",NA,"May",2020,7354,6650,704
"44","RI","Rhode Island","Barrington","city",NA,"June",2020,8026,7411,615
"44","RI","Rhode Island","Bristol","city",NA,"January",2020,11981,11559,422
"44","RI","Rhode Island","Bristol","city",NA,"February",2020,12036,11626,410
"44","RI","Rhode Island","Bristol","city",NA,"March",2020,12071,11553,518
"44","RI","Rhode Island","Bristol","city",NA,"April",2020,10985,9343,1642
"44","RI","Rhode Island","Bristol","city",NA,"May",2020,10881,9449,1432
"44","RI","Rhode Island","Bristol","city",NA,"June",2020,11698,10530,1168
"44","RI","Rhode Island","Burrillville","city",NA,"January",2020,9241,8857,384
"44","RI","Rhode Island","Burrillville","city",NA,"February",2020,9285,8908,377
"44","RI","Rhode Island","Burrillville","city",NA,"March",2020,9305,8852,453
"44","RI","Rhode Island","Burrillville","city",NA,"April",2020,8550,7159,1391
"44","RI","Rhode Island","Burrillville","city",NA,"May",2020,8443,7240,1203
"44","RI","Rhode Island","Burrillville","city",NA,"June",2020,9047,8068,979
"44","RI","Rhode Island","Central Falls","city",NA,"January",2020,8557,8119,438
"44","RI","Rhode Island","Central Falls","city",NA,"February",2020,8564,8165,399
"44","RI","Rhode Island","Central Falls","city",NA,"March",2020,8625,8114,511
"44","RI","Rhode Island","Central Falls","city",NA,"April",2020,8279,6562,1717
"44","RI","Rhode Island","Central Falls","city",NA,"May",2020,8300,6637,1663
"44","RI","Rhode Island","Central Falls","city",NA,"June",2020,8806,7396,1410
"44","RI","Rhode Island","Charlestown","city",NA,"January",2020,4160,3940,220
"44","RI","Rhode Island","Charlestown","city",NA,"February",2020,4184,3963,221
"44","RI","Rhode Island","Charlestown","city",NA,"March",2020,4209,3938,271
"44","RI","Rhode Island","Charlestown","city",NA,"April",2020,3928,3185,743
"44","RI","Rhode Island","Charlestown","city",NA,"May",2020,3845,3221,624
"44","RI","Rhode Island","Charlestown","city",NA,"June",2020,4080,3589,491
"44","RI","Rhode Island","Coventry","city",NA,"January",2020,18738,17975,763
"44","RI","Rhode Island","Coventry","city",NA,"February",2020,18836,18079,757
"44","RI","Rhode Island","Coventry","city",NA,"March",2020,18875,17966,909
"44","RI","Rhode Island","Coventry","city",NA,"April",2020,17762,14529,3233
"44","RI","Rhode Island","Coventry","city",NA,"May",2020,17400,14694,2706
"44","RI","Rhode Island","Coventry","city",NA,"June",2020,18338,16375,1963
"44","RI","Rhode Island","Cranston","city",NA,"January",2020,41472,39924,1548
