"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"45","SC","South Carolina","Abbeville County","county",45001,"May",2020,10397,8937,1460
"45","SC","South Carolina","Aiken County","county",45003,"May",2020,76926,69214,7712
"45","SC","South Carolina","Allendale County","county",45005,"May",2020,2714,2361,353
"45","SC","South Carolina","Anderson County","county",45007,"May",2020,94317,82584,11733
"45","SC","South Carolina","Bamberg County","county",45009,"May",2020,5101,4430,671
"45","SC","South Carolina","Barnwell County","county",45011,"May",2020,8113,7224,889
"45","SC","South Carolina","Beaufort County","county",45013,"May",2020,79317,70359,8958
"45","SC","South Carolina","Berkeley County","county",45015,"May",2020,103065,91614,11451
"45","SC","South Carolina","Calhoun County","county",45017,"May",2020,6780,6083,697
"45","SC","South Carolina","Charleston County","county",45019,"May",2020,215113,186865,28248
"45","SC","South Carolina","Cherokee County","county",45021,"May",2020,26940,22820,4120
"45","SC","South Carolina","Chester County","county",45023,"May",2020,13981,11723,2258
"45","SC","South Carolina","Chesterfield County","county",45025,"May",2020,22308,20001,2307
"45","SC","South Carolina","Clarendon County","county",45027,"May",2020,13127,11640,1487
"45","SC","South Carolina","Colleton County","county",45029,"May",2020,16802,15176,1626
"45","SC","South Carolina","Darlington County","county",45031,"May",2020,31333,27916,3417
"45","SC","South Carolina","Dillon County","county",45033,"May",2020,13348,12092,1256
"45","SC","South Carolina","Dorchester County","county",45035,"May",2020,77984,68888,9096
"45","SC","South Carolina","Edgefield County","county",45037,"May",2020,11121,9990,1131
"45","SC","South Carolina","Fairfield County","county",45039,"May",2020,10107,8762,1345
"45","SC","South Carolina","Florence County","county",45041,"May",2020,67633,61326,6307
"45","SC","South Carolina","Georgetown County","county",45043,"May",2020,26879,23213,3666
"45","SC","South Carolina","Greenville County","county",45045,"May",2020,263692,231234,32458
"45","SC","South Carolina","Greenwood County","county",45047,"May",2020,31685,28072,3613
"45","SC","South Carolina","Hampton County","county",45049,"May",2020,8386,7756,630
"45","SC","South Carolina","Horry County","county",45051,"May",2020,151121,122977,28144
"45","SC","South Carolina","Jasper County","county",45053,"May",2020,12713,11485,1228
"45","SC","South Carolina","Kershaw County","county",45055,"May",2020,30011,27079,2932
"45","SC","South Carolina","Lancaster County","county",45057,"May",2020,41881,36282,5599
"45","SC","South Carolina","Laurens County","county",45059,"May",2020,31916,27313,4603
"45","SC","South Carolina","Lee County","county",45061,"May",2020,6910,6040,870
"45","SC","South Carolina","Lexington County","county",45063,"May",2020,151735,139349,12386
"45","SC","South Carolina","Marion County","county",45067,"May",2020,13062,11490,1572
"45","SC","South Carolina","Marlboro County","county",45069,"May",2020,9836,8143,1693
"45","SC","South Carolina","McCormick County","county",45065,"May",2020,3408,3010,398
"45","SC","South Carolina","Newberry County","county",45071,"May",2020,19259,17602,1657
"45","SC","South Carolina","Oconee County","county",45073,"May",2020,36091,32014,4077
"45","SC","South Carolina","Orangeburg County","county",45075,"May",2020,36850,31505,5345
"45","SC","South Carolina","Pickens County","county",45077,"May",2020,58385,51903,6482
"45","SC","South Carolina","Richland County","county",45079,"May",2020,204042,183266,20776
"45","SC","South Carolina","Saluda County","county",45081,"May",2020,9139,8471,668
"45","SC","South Carolina","Spartanburg County","county",45083,"May",2020,161797,138297,23500
"45","SC","South Carolina","Sumter County","county",45085,"May",2020,45687,40591,5096
"45","SC","South Carolina","Union County","county",45087,"May",2020,12489,10425,2064
"45","SC","South Carolina","Williamsburg County","county",45089,"May",2020,12412,10819,1593
"45","SC","South Carolina","York County","county",45091,"May",2020,141445,123700,17745
"45","SC","South Carolina","Abbeville County","county",45001,"April",2020,10097,8703,1394
"45","SC","South Carolina","Aiken County","county",45003,"April",2020,75678,68149,7529
"45","SC","South Carolina","Allendale County","county",45005,"April",2020,2577,2245,332
"45","SC","South Carolina","Anderson County","county",45007,"April",2020,92951,81268,11683
"45","SC","South Carolina","Bamberg County","county",45009,"April",2020,4804,4247,557
"45","SC","South Carolina","Barnwell County","county",45011,"April",2020,7814,7010,804
"45","SC","South Carolina","Beaufort County","county",45013,"April",2020,75837,66770,9067
"45","SC","South Carolina","Berkeley County","county",45015,"April",2020,101035,90144,10891
"45","SC","South Carolina","Calhoun County","county",45017,"April",2020,6454,5903,551
"45","SC","South Carolina","Charleston County","county",45019,"April",2020,211096,183515,27581
"45","SC","South Carolina","Cherokee County","county",45021,"April",2020,26741,22334,4407
"45","SC","South Carolina","Chester County","county",45023,"April",2020,13484,11531,1953
"45","SC","South Carolina","Chesterfield County","county",45025,"April",2020,21754,19379,2375
"45","SC","South Carolina","Clarendon County","county",45027,"April",2020,12671,11235,1436
"45","SC","South Carolina","Colleton County","county",45029,"April",2020,16181,14717,1464
"45","SC","South Carolina","Darlington County","county",45031,"April",2020,30403,27329,3074
"45","SC","South Carolina","Dillon County","county",45033,"April",2020,12789,11630,1159
"45","SC","South Carolina","Dorchester County","county",45035,"April",2020,76292,67737,8555
"45","SC","South Carolina","Edgefield County","county",45037,"April",2020,10892,9754,1138
"45","SC","South Carolina","Fairfield County","county",45039,"April",2020,9640,8530,1110
"45","SC","South Carolina","Florence County","county",45041,"April",2020,65889,60272,5617
"45","SC","South Carolina","Georgetown County","county",45043,"April",2020,26097,22157,3940
"45","SC","South Carolina","Greenville County","county",45045,"April",2020,259495,227709,31786
"45","SC","South Carolina","Greenwood County","county",45047,"April",2020,30720,27289,3431
"45","SC","South Carolina","Hampton County","county",45049,"April",2020,7942,7368,574
"45","SC","South Carolina","Horry County","county",45051,"April",2020,146260,113297,32963
"45","SC","South Carolina","Jasper County","county",45053,"April",2020,12008,10862,1146
"45","SC","South Carolina","Kershaw County","county",45055,"April",2020,29055,26376,2679
"45","SC","South Carolina","Lancaster County","county",45057,"April",2020,40953,35708,5245
"45","SC","South Carolina","Laurens County","county",45059,"April",2020,31214,26813,4401
"45","SC","South Carolina","Lee County","county",45061,"April",2020,6657,5856,801
"45","SC","South Carolina","Lexington County","county",45063,"April",2020,147193,136019,11174
"45","SC","South Carolina","Marion County","county",45067,"April",2020,12522,11035,1487
"45","SC","South Carolina","Marlboro County","county",45069,"April",2020,9553,7885,1668
"45","SC","South Carolina","McCormick County","county",45065,"April",2020,3314,2929,385
"45","SC","South Carolina","Newberry County","county",45071,"April",2020,18542,16908,1634
"45","SC","South Carolina","Oconee County","county",45073,"April",2020,35317,31079,4238
"45","SC","South Carolina","Orangeburg County","county",45075,"April",2020,35128,30461,4667
"45","SC","South Carolina","Pickens County","county",45077,"April",2020,57407,51094,6313
"45","SC","South Carolina","Richland County","county",45079,"April",2020,197151,179502,17649
"45","SC","South Carolina","Saluda County","county",45081,"April",2020,8687,8073,614
