Period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
May,Abbeville,"10,397","8,937","1,460",14.00%,Yes
May,Aiken,"76,926","69,214","7,712",10.00%,Yes
May,Allendale,"2,714","2,361",353,13.00%,Yes
May,Anderson,"94,317","82,584","11,733",12.40%,Yes
May,Bamberg,"5,101","4,430",671,13.20%,Yes
May,Barnwell,"8,113","7,224",889,11.00%,Yes
May,Beaufort,"79,317","70,359","8,958",11.30%,Yes
May,Berkeley,"103,065","91,614","11,451",11.10%,Yes
May,Calhoun,"6,780","6,083",697,10.30%,Yes
May,Charleston,"215,113","186,865","28,248",13.10%,Yes
May,Cherokee,"26,940","22,820","4,120",15.30%,Yes
May,Chester,"13,981","11,723","2,258",16.20%,Yes
May,Chesterfield,"22,308","20,001","2,307",10.30%,Yes
May,Clarendon,"13,127","11,640","1,487",11.30%,Yes
May,Colleton,"16,802","15,176","1,626",9.70%,Yes
May,Darlington,"31,333","27,916","3,417",10.90%,Yes
May,Dillon,"13,348","12,092","1,256",9.40%,Yes
May,Dorchester,"77,984","68,888","9,096",11.70%,Yes
May,Edgefield,"11,121","9,990","1,131",10.20%,Yes
May,Fairfield,"10,107","8,762","1,345",13.30%,Yes
May,Florence,"67,633","61,326","6,307",9.30%,Yes
May,Georgetown,"26,879","23,213","3,666",13.60%,Yes
May,Greenville,"263,692","231,234","32,458",12.30%,Yes
May,Greenwood,"31,685","28,072","3,613",11.40%,Yes
May,Hampton,"8,386","7,756",630,7.50%,Yes
May,Horry,"151,121","122,977","28,144",18.60%,Yes
May,Jasper,"12,713","11,485","1,228",9.70%,Yes
May,Kershaw,"30,011","27,079","2,932",9.80%,Yes
May,Lancaster,"41,881","36,282","5,599",13.40%,Yes
May,Laurens,"31,916","27,313","4,603",14.40%,Yes
May,Lee,"6,910","6,040",870,12.60%,Yes
May,Lexington,"151,735","139,349","12,386",8.20%,Yes
May,Marion,"13,062","11,490","1,572",12.00%,Yes
May,Marlboro,"9,836","8,143","1,693",17.20%,Yes
May,McCormick,"3,408","3,010",398,11.70%,Yes
May,Newberry,"19,259","17,602","1,657",8.60%,Yes
May,Oconee,"36,091","32,014","4,077",11.30%,Yes
May,Orangeburg,"36,850","31,505","5,345",14.50%,Yes
May,Pickens,"58,385","51,903","6,482",11.10%,Yes
May,Richland,"204,042","183,266","20,776",10.20%,Yes
May,Saluda,"9,139","8,471",668,7.30%,Yes
May,Spartanburg,"161,797","138,297","23,500",14.50%,Yes
May,Sumter,"45,687","40,591","5,096",11.20%,Yes
