Area,Time Period,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
City of Aberdeen,"January, 2020","14,940","14,378",562,3.8%,No
City of Brandon,"January, 2020","5,785","5,618",167,2.9%,No
City of Brookings,"January, 2020","13,389","12,868",521,3.9%,No
City of Huron,"January, 2020","6,810","6,567",243,3.6%,No
City of Mitchell,"January, 2020","8,728","8,431",297,3.4%,No
City of Pierre,"January, 2020","8,063","7,810",253,3.1%,No
City of Rapid City,"January, 2020","36,898","35,505","1,393",3.8%,No
City of Sioux Falls,"January, 2020","106,947","103,229","3,718",3.5%,No
City of Sioux Falls - Lincoln Co,"January, 2020","17,155","16,682",473,2.8%,No
City of Sioux Falls - Minnehaha Co,"January, 2020","89,792","86,547","3,245",3.6%,No
City of Spearfish,"January, 2020","6,203","6,004",199,3.2%,No
City of Vermillion,"January, 2020","5,789","5,580",209,3.6%,No
City of Watertown,"January, 2020","12,084","11,647",437,3.6%,No
City of Yankton,"January, 2020","7,343","7,095",248,3.4%,No
City of Aberdeen,"February, 2020","15,019","14,490",529,3.5%,No
City of Brandon,"February, 2020","5,825","5,669",156,2.7%,No
City of Brookings,"February, 2020","13,650","13,232",418,3.1%,No
City of Huron,"February, 2020","6,822","6,596",226,3.3%,No
City of Mitchell,"February, 2020","8,729","8,438",291,3.3%,No
City of Pierre,"February, 2020","8,019","7,767",252,3.1%,No
City of Rapid City,"February, 2020","37,146","35,782","1,364",3.7%,No
City of Sioux Falls,"February, 2020","107,707","104,160","3,547",3.3%,No
City of Sioux Falls - Lincoln Co,"February, 2020","17,275","16,830",445,2.6%,No
City of Sioux Falls - Minnehaha Co,"February, 2020","90,432","87,330","3,102",3.4%,No
City of Spearfish,"February, 2020","6,256","6,080",176,2.8%,No
City of Vermillion,"February, 2020","5,943","5,776",167,2.8%,No
City of Watertown,"February, 2020","12,097","11,672",425,3.5%,No
City of Yankton,"February, 2020","7,401","7,152",249,3.4%,No
City of Aberdeen,"March, 2020","15,086","14,602",484,3.2%,No
City of Brandon,"March, 2020","5,781","5,632",149,2.6%,No
City of Brookings,"March, 2020","13,688","13,294",394,2.9%,No
City of Huron,"March, 2020","6,835","6,618",217,3.2%,No
City of Mitchell,"March, 2020","8,800","8,508",292,3.3%,No
City of Pierre,"March, 2020","7,976","7,750",226,2.8%,No
City of Rapid City,"March, 2020","36,875","35,594","1,281",3.5%,No
City of Sioux Falls,"March, 2020","106,818","103,515","3,303",3.1%,No
City of Sioux Falls - Lincoln Co,"March, 2020","17,164","16,743",421,2.5%,No
City of Sioux Falls - Minnehaha Co,"March, 2020","89,654","86,772","2,882",3.2%,No
City of Spearfish,"March, 2020","6,383","6,210",173,2.7%,No
City of Vermillion,"March, 2020","5,949","5,770",179,3.0%,No
City of Watertown,"March, 2020","12,226","11,817",409,3.3%,No
City of Yankton,"March, 2020","7,328","7,100",228,3.1%,No
City of Aberdeen,"April, 2020","15,512","13,717","1,795",11.6%,No
City of Brandon,"April, 2020","5,687","5,223",464,8.2%,No
City of Brookings,"April, 2020","13,467","12,244","1,223",9.1%,No
City of Huron,"April, 2020","6,797","6,265",532,7.8%,No
City of Mitchell,"April, 2020","8,768","7,984",784,8.9%,No
City of Pierre,"April, 2020","7,941","7,283",658,8.3%,No
City of Rapid City,"April, 2020","37,726","32,301","5,425",14.4%,No
City of Sioux Falls,"April, 2020","108,638","95,985","12,653",11.6%,No
City of Sioux Falls - Lincoln Co,"April, 2020","17,234","15,523","1,711",9.9%,No
City of Sioux Falls - Minnehaha Co,"April, 2020","91,404","80,462","10,942",12.0%,No
City of Spearfish,"April, 2020","6,846","5,559","1,287",18.8%,No
City of Vermillion,"April, 2020","5,922","5,375",547,9.2%,No
City of Watertown,"April, 2020","12,729","10,937","1,792",14.1%,No
City of Yankton,"April, 2020","7,788","6,750","1,038",13.3%,No
City of Aberdeen,"May, 2020","15,367","13,793","1,574",10.2%,Yes
City of Brandon,"May, 2020","5,795","5,344",451,7.8%,Yes
City of Brookings,"May, 2020","13,216","12,072","1,144",8.7%,Yes
City of Huron,"May, 2020","6,841","6,366",475,6.9%,Yes
City of Mitchell,"May, 2020","8,778","8,066",712,8.1%,Yes
City of Pierre,"May, 2020","8,081","7,503",578,7.2%,Yes
City of Rapid City,"May, 2020","37,227","33,075","4,152",11.2%,Yes
City of Sioux Falls,"May, 2020","109,532","98,194","11,338",10.4%,Yes
City of Sioux Falls - Lincoln Co,"May, 2020","17,405","15,870","1,535",8.8%,Yes
City of Sioux Falls - Minnehaha Co,"May, 2020","92,127","82,324","9,803",10.6%,Yes
City of Spearfish,"May, 2020","6,428","5,636",792,12.3%,Yes
City of Vermillion,"May, 2020","5,452","4,858",594,10.9%,Yes
City of Watertown,"May, 2020","12,162","10,965","1,197",9.8%,Yes
City of Yankton,"May, 2020","7,495","6,813",682,9.1%,Yes
Aurora County,"January, 2020","1,477","1,431",46,3.10%,No
Beadle County,"January, 2020","9,483","9,151",332,3.50%,No
Bennett County,"January, 2020","1,083","1,020",63,5.80%,No
Bon Homme County,"January, 2020","2,836","2,728",108,3.80%,No
Brookings County,"January, 2020","19,069","18,351",718,3.80%,No
Brown County,"January, 2020","20,616","19,886",730,3.50%,No
Brule County,"January, 2020","2,373","2,287",86,3.60%,No
Buffalo County,"January, 2020",665,624,41,6.20%,No
Butte County,"January, 2020","4,978","4,776",202,4.10%,No
Campbell County,"January, 2020",763,731,32,4.20%,No
Charles Mix County,"January, 2020","3,661","3,517",144,3.90%,No
Clark County,"January, 2020","1,902","1,807",95,5.00%,No
Clay County,"January, 2020","7,614","7,355",259,3.40%,No
Codington County,"January, 2020","15,505","14,963",542,3.50%,No
Corson County,"January, 2020","1,352","1,281",71,5.30%,No
Custer County,"January, 2020","3,984","3,764",220,5.50%,No
Davison County,"January, 2020","10,984","10,608",376,3.40%,No
Day County,"January, 2020","2,746","2,570",176,6.40%,No
Deuel County,"January, 2020","2,121","1,950",171,8.10%,No
Dewey County,"January, 2020","2,177","2,026",151,6.90%,No
Aurora County,"February, 2020","1,470","1,428",42,2.90%,No
Beadle County,"February, 2020","9,505","9,191",314,3.30%,No
Bennett County,"February, 2020","1,072","1,012",60,5.60%,No
Bon Homme County,"February, 2020","2,824","2,722",102,3.60%,No
Brookings County,"February, 2020","19,473","18,870",603,3.10%,No
Brown County,"February, 2020","20,731","20,040",691,3.30%,No
Brule County,"February, 2020","2,357","2,278",79,3.40%,No
Buffalo County,"February, 2020",665,621,44,6.60%,No
Butte County,"February, 2020","4,969","4,780",189,3.80%,No
Campbell County,"February, 2020",768,736,32,4.20%,No
Charles Mix County,"February, 2020","3,634","3,507",127,3.50%,No
Clark County,"February, 2020","1,887","1,797",90,4.80%,No
Clay County,"February, 2020","7,825","7,614",211,2.70%,No
Codington County,"February, 2020","15,519","14,996",523,3.40%,No
Corson County,"February, 2020","1,346","1,274",72,5.30%,No
Custer County,"February, 2020","3,996","3,785",211,5.30%,No
Davison County,"February, 2020","10,982","10,617",365,3.30%,No
Day County,"February, 2020","2,748","2,574",174,6.30%,No
Deuel County,"February, 2020","2,119","1,957",162,7.60%,No
Dewey County,"February, 2020","2,169","2,030",139,6.40%,No
Aurora County,"March, 2020","1,506","1,466",40,2.70%,No
Beadle County,"March, 2020","9,522","9,221",301,3.20%,No
Bennett County,"March, 2020","1,077","1,027",50,4.60%,No
Bon Homme County,"March, 2020","2,901","2,814",87,3.00%,No
Brookings County,"March, 2020","19,542","18,959",583,3.00%,No
Brown County,"March, 2020","20,842","20,196",646,3.10%,No
Brule County,"March, 2020","2,419","2,344",75,3.10%,No
Buffalo County,"March, 2020",646,614,32,5.00%,No
Butte County,"March, 2020","5,073","4,894",179,3.50%,No
Campbell County,"March, 2020",802,765,37,4.60%,No
Charles Mix County,"March, 2020","3,749","3,622",127,3.40%,No
Clark County,"March, 2020","1,929","1,835",94,4.90%,No
Clay County,"March, 2020","7,825","7,606",219,2.80%,No
Codington County,"March, 2020","15,680","15,182",498,3.20%,No
Corson County,"March, 2020","1,380","1,313",67,4.90%,No
Custer County,"March, 2020","4,047","3,847",200,4.90%,No
Davison County,"March, 2020","11,066","10,704",362,3.30%,No
Day County,"March, 2020","2,763","2,599",164,5.90%,No
Deuel County,"March, 2020","2,173","2,031",142,6.50%,No
Dewey County,"March, 2020","2,232","2,092",140,6.30%,No
Aurora County,"April, 2020","1,478","1,394",84,5.70%,No
Beadle County,"April, 2020","9,436","8,729",707,7.50%,No
Bennett County,"April, 2020","1,033",965,68,6.60%,No
Bon Homme County,"April, 2020","2,823","2,578",245,8.70%,No
Brookings County,"April, 2020","19,124","17,461","1,663",8.70%,No
Brown County,"April, 2020","21,143","18,971","2,172",10.30%,No
Brule County,"April, 2020","2,513","2,228",285,11.30%,No
Buffalo County,"April, 2020",693,592,101,14.60%,No
Butte County,"April, 2020","5,215","4,556",659,12.60%,No
Campbell County,"April, 2020",745,696,49,6.60%,No
Charles Mix County,"April, 2020","3,798","3,359",439,11.60%,No
Clark County,"April, 2020","1,860","1,687",173,9.30%,No
Clay County,"April, 2020","7,748","7,085",663,8.60%,No
Codington County,"April, 2020","16,172","14,051","2,121",13.10%,No
Corson County,"April, 2020","1,283","1,203",80,6.20%,No
Custer County,"April, 2020","4,042","3,502",540,13.40%,No
Davison County,"April, 2020","10,993","10,045",948,8.60%,No
Day County,"April, 2020","2,776","2,405",371,13.40%,No
Deuel County,"April, 2020","2,193","1,929",264,12.00%,No
Dewey County,"April, 2020","2,121","1,929",192,9.10%,No
Aurora County,"May, 2020","1,494","1,401",93,6.20%,Yes
Beadle County,"May, 2020","9,454","8,870",584,6.20%,Yes
Bennett County,"May, 2020","1,029",955,74,7.20%,Yes
Bon Homme County,"May, 2020","2,787","2,582",205,7.40%,Yes
Brookings County,"May, 2020","18,775","17,216","1,559",8.30%,Yes
Brown County,"May, 2020","20,971","19,076","1,895",9.00%,Yes
Brule County,"May, 2020","2,482","2,239",243,9.80%,Yes
Buffalo County,"May, 2020",715,601,114,15.90%,Yes
Butte County,"May, 2020","5,074","4,560",514,10.10%,Yes
Campbell County,"May, 2020",735,692,43,5.90%,Yes
Charles Mix County,"May, 2020","3,898","3,437",461,11.80%,Yes
Clark County,"May, 2020","1,877","1,722",155,8.30%,Yes
Clay County,"May, 2020","7,125","6,404",721,10.10%,Yes
Codington County,"May, 2020","15,520","14,088","1,432",9.20%,Yes
Corson County,"May, 2020","1,281","1,188",93,7.30%,Yes
Custer County,"May, 2020","3,969","3,529",440,11.10%,Yes
Davison County,"May, 2020","10,997","10,149",848,7.70%,Yes
Day County,"May, 2020","2,758","2,515",243,8.80%,Yes
