"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment","unemployment_rate"
46,"SD","South Dakota","City of Aberdeen","city",NA,"January",2020,14940,14378,562,0.0376171352074967
46,"SD","South Dakota","City of Brandon","city",NA,"January",2020,5785,5618,167,0.0288677614520311
46,"SD","South Dakota","City of Brookings","city",NA,"January",2020,13389,12868,521,0.0389125401448951
46,"SD","South Dakota","City of Huron","city",NA,"January",2020,6810,6567,243,0.0356828193832599
46,"SD","South Dakota","City of Mitchell","city",NA,"January",2020,8728,8431,297,0.0340284142988084
46,"SD","South Dakota","City of Pierre","city",NA,"January",2020,8063,7810,253,0.0313778990450205
46,"SD","South Dakota","City of Rapid","city",NA,"January",2020,36898,35505,1393,0.0377527237248631
46,"SD","South Dakota","City of Sioux Falls","city",NA,"January",2020,106947,103229,3718,0.0347648835404453
46,"SD","South Dakota","City of Spearfish","city",NA,"January",2020,6203,6004,199,0.032081251007577
46,"SD","South Dakota","City of Vermillion","city",NA,"January",2020,5789,5580,209,0.0361029538780446
46,"SD","South Dakota","City of Watertown","city",NA,"January",2020,12084,11647,437,0.0361635220125786
46,"SD","South Dakota","City of Yankton","city",NA,"January",2020,7343,7095,248,0.0337736619910118
46,"SD","South Dakota","City of Aberdeen","city",NA,"February",2020,15019,14490,529,0.0352220520673813
46,"SD","South Dakota","City of Brandon","city",NA,"February",2020,5825,5669,156,0.0267811158798283
46,"SD","South Dakota","City of Brookings","city",NA,"February",2020,13650,13232,418,0.0306227106227106
46,"SD","South Dakota","City of Huron","city",NA,"February",2020,6822,6596,226,0.0331281149223102
46,"SD","South Dakota","City of Mitchell","city",NA,"February",2020,8729,8438,291,0.0333371520219956
46,"SD","South Dakota","City of Pierre","city",NA,"February",2020,8019,7767,252,0.0314253647586981
46,"SD","South Dakota","City of Rapid","city",NA,"February",2020,37146,35782,1364,0.0367199698487051
46,"SD","South Dakota","City of Sioux Falls","city",NA,"February",2020,107707,104160,3547,0.0329319357144847
46,"SD","South Dakota","City of Spearfish","city",NA,"February",2020,6256,6080,176,0.0281329923273657
46,"SD","South Dakota","City of Vermillion","city",NA,"February",2020,5943,5776,167,0.0281002860508161
46,"SD","South Dakota","City of Watertown","city",NA,"February",2020,12097,11672,425,0.0351326775233529
46,"SD","South Dakota","City of Yankton","city",NA,"February",2020,7401,7152,249,0.0336441021483583
46,"SD","South Dakota","City of Aberdeen","city",NA,"March",2020,15086,14602,484,0.0320827257059525
46,"SD","South Dakota","City of Brandon","city",NA,"March",2020,5781,5632,149,0.0257740875281093
46,"SD","South Dakota","City of Brookings","city",NA,"March",2020,13688,13294,394,0.0287843366452367
46,"SD","South Dakota","City of Huron","city",NA,"March",2020,6835,6618,217,0.0317483540599854
46,"SD","South Dakota","City of Mitchell","city",NA,"March",2020,8800,8508,292,0.0331818181818182
46,"SD","South Dakota","City of Pierre","city",NA,"March",2020,7976,7750,226,0.0283350050150451
46,"SD","South Dakota","City of Rapid","city",NA,"March",2020,36875,35594,1281,0.0347389830508475
46,"SD","South Dakota","City of Sioux Falls","city",NA,"March",2020,106818,103515,3303,0.0309217547604336
46,"SD","South Dakota","City of Spearfish","city",NA,"March",2020,6383,6210,173,0.02710324298919
46,"SD","South Dakota","City of Vermillion","city",NA,"March",2020,5949,5770,179,0.0300890906034628
