"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"47","TN","Tennessee","Anderson County","county",47001,"January",2020,34642,33332,1310
"47","TN","Tennessee","Bedford County","county",47003,"January",2020,21029,20197,832
"47","TN","Tennessee","Benton County","county",47005,"January",2020,6951,6566,385
"47","TN","Tennessee","Bledsoe County","county",47007,"January",2020,4394,4135,259
"47","TN","Tennessee","Blount County","county",47009,"January",2020,63860,61444,2416
"47","TN","Tennessee","Bradley County","county",47011,"January",2020,53419,51425,1994
"47","TN","Tennessee","Campbell County","county",47013,"January",2020,14926,14144,782
"47","TN","Tennessee","Cannon County","county",47015,"January",2020,6699,6486,213
"47","TN","Tennessee","Carroll County","county",47017,"January",2020,12087,11390,697
"47","TN","Tennessee","Carter County","county",47019,"January",2020,23926,22840,1086
"47","TN","Tennessee","Cheatham County","county",47021,"January",2020,22195,21556,639
"47","TN","Tennessee","Chester County","county",47023,"January",2020,8547,8243,304
"47","TN","Tennessee","Claiborne County","county",47025,"January",2020,13041,12387,654
"47","TN","Tennessee","Clay County","county",47027,"January",2020,2763,2562,201
"47","TN","Tennessee","Cocke County","county",47029,"January",2020,15111,14106,1005
"47","TN","Tennessee","Coffee County","county",47031,"January",2020,25794,24789,1005
"47","TN","Tennessee","Crockett County","county",47033,"January",2020,7106,6785,321
"47","TN","Tennessee","Cumberland County","county",47035,"January",2020,23906,22344,1562
"47","TN","Tennessee","Davidson County","county",47037,"January",2020,409615,398635,10980
"47","TN","Tennessee","Decatur County","county",47039,"January",2020,4646,4329,317
"47","TN","Tennessee","Anderson County","county",47001,"February",2020,34885,33554,1331
"47","TN","Tennessee","Bedford County","county",47003,"February",2020,21271,20406,865
"47","TN","Tennessee","Benton County","county",47005,"February",2020,6989,6597,392
"47","TN","Tennessee","Bledsoe County","county",47007,"February",2020,4441,4178,263
"47","TN","Tennessee","Blount County","county",47009,"February",2020,64320,61894,2426
"47","TN","Tennessee","Bradley County","county",47011,"February",2020,53279,51327,1952
"47","TN","Tennessee","Campbell County","county",47013,"February",2020,15036,14248,788
"47","TN","Tennessee","Cannon County","county",47015,"February",2020,6752,6540,212
"47","TN","Tennessee","Carroll County","county",47017,"February",2020,12148,11510,638
"47","TN","Tennessee","Carter County","county",47019,"February",2020,24202,23143,1059
"47","TN","Tennessee","Cheatham County","county",47021,"February",2020,22364,21717,647
