"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"49","UT","Utah","Beaver County","county",49001,"January",2019,2927,2836,91
"49","UT","Utah","Beaver County","county",49001,"January",2020,2802,2726,76
"49","UT","Utah","Box Elder County","county",49003,"January",2019,25608,24872,736
"49","UT","Utah","Box Elder County","county",49003,"January",2020,26220,25574,646
"49","UT","Utah","Cache County","county",49005,"January",2019,63908,62350,1558
"49","UT","Utah","Cache County","county",49005,"January",2020,64753,63454,1299
"49","UT","Utah","Carbon County","county",49007,"January",2019,8430,8091,339
"49","UT","Utah","Carbon County","county",49007,"January",2020,8579,8268,311
"49","UT","Utah","Daggett County","county",49009,"January",2019,390,372,18
"49","UT","Utah","Daggett County","county",49009,"January",2020,388,376,12
"49","UT","Utah","Davis County","county",49011,"January",2019,171670,167066,4604
"49","UT","Utah","Davis County","county",49011,"January",2020,176455,172382,4073
"49","UT","Utah","Duchesne County","county",49013,"January",2019,7708,7395,313
"49","UT","Utah","Duchesne County","county",49013,"January",2020,7881,7569,312
"49","UT","Utah","Emery County","county",49015,"January",2019,4331,4143,188
"49","UT","Utah","Emery County","county",49015,"January",2020,4338,4165,173
"49","UT","Utah","Garfield County","county",49017,"January",2019,2758,2570,188
"49","UT","Utah","Garfield County","county",49017,"January",2020,2782,2616,166
"49","UT","Utah","Grand County","county",49019,"January",2019,6074,5816,258
"49","UT","Utah","Grand County","county",49019,"January",2020,6367,6116,251
"49","UT","Utah","Iron County","county",49021,"January",2019,23467,22698,769
"49","UT","Utah","Iron County","county",49021,"January",2020,24693,24009,684
"49","UT","Utah","Juab County","county",49023,"January",2019,5639,5483,156
"49","UT","Utah","Juab County","county",49023,"January",2020,5814,5683,131
"49","UT","Utah","Kane County","county",49025,"January",2019,3789,3671,118
"49","UT","Utah","Kane County","county",49025,"January",2020,3845,3747,98
"49","UT","Utah","Millard County","county",49027,"January",2019,6005,5821,184
"49","UT","Utah","Millard County","county",49027,"January",2020,5929,5779,150
"49","UT","Utah","Morgan County","county",49029,"January",2019,5484,5341,143
"49","UT","Utah","Morgan County","county",49029,"January",2020,5634,5507,127
"49","UT","Utah","Piute County","county",49031,"January",2019,482,458,24
"49","UT","Utah","Piute County","county",49031,"January",2020,485,463,22
"49","UT","Utah","Rich County","county",49033,"January",2019,1170,1132,38
