"state_fips","state_short","state","area","area_type","fips","period","year","employment","labor_force","unemployment"
"51","VA","Virginia","Accomack County","county",NA,"January",2019,15596,16493,897
"51","VA","Virginia","Albemarle County","county",51003,"January",2019,54492,56174,1682
"51","VA","Virginia","Alleghany County","county",51005,"January",2019,6731,7041,310
"51","VA","Virginia","Amelia County","county",51007,"January",2019,6000,6257,257
"51","VA","Virginia","Amherst County","county",51009,"January",2019,14465,15007,542
"51","VA","Virginia","Appomattox County","county",51011,"January",2019,6864,7164,300
"51","VA","Virginia","Arlington County","county",51013,"January",2019,149328,153119,3791
"51","VA","Virginia","Augusta County","county",51015,"January",2019,36014,37114,1100
"51","VA","Virginia","Bath County","county",51017,"January",2019,2331,2419,88
"51","VA","Virginia","Bedford County","county",51019,"January",2019,37149,38436,1287
"51","VA","Virginia","Bland County","county",51021,"January",2019,2741,2839,98
"51","VA","Virginia","Botetourt County","county",51023,"January",2019,16791,17328,537
"51","VA","Virginia","Brunswick County","county",51025,"January",2019,5733,6098,365
"51","VA","Virginia","Buchanan County","county",51027,"January",2019,6359,6789,430
"51","VA","Virginia","Buckingham County","county",51029,"January",2019,6006,6363,357
"51","VA","Virginia","Campbell County","county",51031,"January",2019,25042,25987,945
"51","VA","Virginia","Caroline County","county",51033,"January",2019,14610,15208,598
"51","VA","Virginia","Carroll County","county",51035,"January",2019,12571,13194,623
"51","VA","Virginia","Charles City County","county",51036,"January",2019,3493,3661,168
"51","VA","Virginia","Charlotte County","county",51037,"January",2019,5069,5277,208
"51","VA","Virginia","Chesterfield County","county",51041,"January",2019,180576,186604,6028
"51","VA","Virginia","Clarke County","county",51043,"January",2019,7288,7526,238
"51","VA","Virginia","Craig County","county",51045,"January",2019,2205,2292,87
"51","VA","Virginia","Culpeper County","county",51047,"January",2019,23611,24414,803
"51","VA","Virginia","Cumberland County","county",51049,"January",2019,4447,4632,185
"51","VA","Virginia","Dickenson County","county",51051,"January",2019,4330,4615,285
"51","VA","Virginia","Dinwiddie County","county",51053,"January",2019,13072,13614,542
"51","VA","Virginia","Essex County","county",51057,"January",2019,5280,5550,270
"51","VA","Virginia","Fairfax County","county",51059,"January",2019,612286,630417,18131
"51","VA","Virginia","Fauquier County","county",51061,"January",2019,35749,36887,1138
"51","VA","Virginia","Floyd County","county",51063,"January",2019,7702,7977,275
"51","VA","Virginia","Fluvanna County","county",51065,"January",2019,13276,13656,380
"51","VA","Virginia","Franklin County","county",51067,"January",2019,25338,26233,895
"51","VA","Virginia","Frederick County","county",51069,"January",2019,46216,47624,1408
"51","VA","Virginia","Giles County","county",51071,"January",2019,7383,7696,313
"51","VA","Virginia","Gloucester County","county",51073,"January",2019,18804,19422,618
"51","VA","Virginia","Goochland County","county",51075,"January",2019,10792,11177,385
"51","VA","Virginia","Grayson County","county",51077,"January",2019,7620,7913,293
"51","VA","Virginia","Greene County","county",51079,"January",2019,10011,10289,278
"51","VA","Virginia","Greensville County","county",51081,"January",2019,4157,4339,182
"51","VA","Virginia","Halifax County","county",51083,"January",2019,14985,15682,697
"51","VA","Virginia","Hanover County","county",51085,"January",2019,57209,58912,1703
"51","VA","Virginia","Henrico County","county",51087,"January",2019,175238,181268,6030
"51","VA","Virginia","Henry County","county",51089,"January",2019,22992,23944,952
"51","VA","Virginia","Highland County","county",51091,"January",2019,1200,1237,37
"51","VA","Virginia","Isle of Wight County","county",51093,"January",2019,18625,19263,638
"51","VA","Virginia","James City County","county",51095,"January",2019,35156,36348,1192
"51","VA","Virginia","King and Queen County","county",51097,"January",2019,3723,3851,128
"51","VA","Virginia","King George County","county",51099,"January",2019,12853,13310,457
"51","VA","Virginia","King William County","county",51101,"January",2019,8814,9141,327
"51","VA","Virginia","Lancaster County","county",51103,"January",2019,4966,5369,403
"51","VA","Virginia","Lee County","county",51105,"January",2019,7874,8246,372
"51","VA","Virginia","Loudoun County","county",51107,"January",2019,214339,220495,6156
"51","VA","Virginia","Louisa County","county",51109,"January",2019,18899,19571,672
"51","VA","Virginia","Lunenburg County","county",51111,"January",2019,5190,5378,188
"51","VA","Virginia","Madison County","county",51113,"January",2019,7087,7282,195
"51","VA","Virginia","Mathews County","county",51115,"January",2019,3966,4121,155
"51","VA","Virginia","Mecklenburg County","county",51117,"January",2019,12190,12785,595
"51","VA","Virginia","Middlesex County","county",51119,"January",2019,5041,5216,175
"51","VA","Virginia","Montgomery County","county",51121,"January",2019,47119,48766,1647
"51","VA","Virginia","Nelson County","county",51125,"January",2019,7072,7329,257
"51","VA","Virginia","New Kent County","county",51127,"January",2019,12055,12427,372
"51","VA","Virginia","Northampton County","county",51131,"January",2019,4955,5307,352
"51","VA","Virginia","Northumberland County","county",51133,"January",2019,5181,5599,418
"51","VA","Virginia","Nottoway County","county",51135,"January",2019,7006,7251,245
"51","VA","Virginia","Orange County","county",51137,"January",2019,16495,17100,605
"51","VA","Virginia","Page County","county",51139,"January",2019,11150,11893,743
"51","VA","Virginia","Patrick County","county",51141,"January",2019,7135,7467,332
"51","VA","Virginia","Pittsylvania County","county",51143,"January",2019,29233,30383,1150
"51","VA","Virginia","Powhatan County","county",51145,"January",2019,13648,14083,435
"51","VA","Virginia","Prince Edward County","county",51147,"January",2019,9980,10435,455
"51","VA","Virginia","Prince George County","county",51149,"January",2019,14430,15015,585
"51","VA","Virginia","Prince William County","county",51153,"January",2019,236033,243944,7911
"51","VA","Virginia","Pulaski County","county",51155,"January",2019,15022,15642,620
"51","VA","Virginia","Rappahannock County","county",51157,"January",2019,3546,3664,118
"51","VA","Virginia","Richmond County","county",51159,"January",2019,3880,4047,167
"51","VA","Virginia","Roanoke County","county",51161,"January",2019,47665,49133,1468
"51","VA","Virginia","Rockbridge County","county",51163,"January",2019,10194,10562,368
"51","VA","Virginia","Rockingham County","county",51165,"January",2019,40801,42013,1212
"51","VA","Virginia","Russell County","county",51167,"January",2019,10642,11252,610
"51","VA","Virginia","Scott County","county",51169,"January",2019,8752,9105,353
"51","VA","Virginia","Shenandoah County","county",51171,"January",2019,21480,22177,697
"51","VA","Virginia","Smyth County","county",51173,"January",2019,13053,13681,628
"51","VA","Virginia","Southampton County","county",51175,"January",2019,8720,8998,278
"51","VA","Virginia","Spotsylvania County","county",51177,"January",2019,64181,66606,2425
"51","VA","Virginia","Stafford County","county",51179,"January",2019,69075,71605,2530
"51","VA","Virginia","Surry County","county",51181,"January",2019,3512,3669,157
"51","VA","Virginia","Sussex County","county",51183,"January",2019,3566,3768,202
"51","VA","Virginia","Tazewell County","county",51185,"January",2019,14952,15784,832
"51","VA","Virginia","Warren County","county",51187,"January",2019,19572,20277,705
"51","VA","Virginia","Washington County","county",51191,"January",2019,25609,26742,1133
"51","VA","Virginia","Westmoreland County","county",51193,"January",2019,8827,9270,443
"51","VA","Virginia","Wise County","county",51195,"January",2019,12618,13355,737
"51","VA","Virginia","Wythe County","county",51197,"January",2019,13094,13671,577
"51","VA","Virginia","York County","county",51199,"January",2019,31478,32575,1097
"51","VA","Virginia","Alexandria city","city",NA,"January",2019,97819,100621,2802
"51","VA","Virginia","Bristol city","city",NA,"January",2019,6872,7200,328
"51","VA","Virginia","Buena Vista city","city",NA,"January",2019,3220,3332,112
"51","VA","Virginia","Charlottesville city","city",NA,"January",2019,25197,25987,790
"51","VA","Virginia","Chesapeake city","city",NA,"January",2019,117577,121803,4226
"51","VA","Virginia","Colonial Heights city","city",NA,"January",2019,8442,8779,337
"51","VA","Virginia","Covington city","city",NA,"January",2019,2303,2421,118
"51","VA","Virginia","Danville city","city",NA,"January",2019,18359,19349,990
"51","VA","Virginia","Emporia city","city",NA,"January",2019,2187,2329,142
"51","VA","Virginia","Fairfax city","city",NA,"January",2019,12986,13346,360
"51","VA","Virginia","Falls Church city","city",NA,"January",2019,8310,8517,207
"51","VA","Virginia","Franklin city","city",NA,"January",2019,3397,3559,162
"51","VA","Virginia","Fredericksburg city","city",NA,"January",2019,13488,14080,592
"51","VA","Virginia","Galax city","city",NA,"January",2019,2795,2910,115
"51","VA","Virginia","Hampton city","city",NA,"January",2019,61121,64174,3053
"51","VA","Virginia","Harrisonburg city","city",NA,"January",2019,24212,25140,928
"51","VA","Virginia","Hopewell city","city",NA,"January",2019,9174,9679,505
"51","VA","Virginia","Lexington city","city",NA,"January",2019,1964,2077,113
"51","VA","Virginia","Lynchburg city","city",NA,"January",2019,34820,36455,1635
"51","VA","Virginia","Manassas city","city",NA,"January",2019,21205,21933,728
"51","VA","Virginia","Manassas Park city","city",NA,"January",2019,9022,9347,325
"51","VA","Virginia","Martinsville city","city",NA,"January",2019,5242,5474,232
"51","VA","Virginia","Newport News city","city",NA,"January",2019,84612,88403,3791
"51","VA","Virginia","Norfolk city","city",NA,"January",2019,106353,110928,4575
"51","VA","Virginia","Norton city","city",NA,"January",2019,1607,1685,78
"51","VA","Virginia","Petersburg city","city",NA,"January",2019,12178,13043,865
"51","VA","Virginia","Poquoson city","city",NA,"January",2019,6139,6332,193
"51","VA","Virginia","Portsmouth city","city",NA,"January",2019,41992,44022,2030
"51","VA","Virginia","Radford city","city",NA,"January",2019,8062,8439,377
"51","VA","Virginia","Richmond city","city",NA,"January",2019,113341,117909,4568
"51","VA","Virginia","Roanoke city","city",NA,"January",2019,47227,48915,1688
"51","VA","Virginia","Salem city","city",NA,"January",2019,12498,12905,407
"51","VA","Virginia","Staunton city","city",NA,"January",2019,11749,12147,398
"51","VA","Virginia","Suffolk city","city",NA,"January",2019,42692,44272,1580
"51","VA","Virginia","Virginia Beach city","city",NA,"January",2019,223802,231377,7575
"51","VA","Virginia","Waynesboro city","city",NA,"January",2019,10246,10628,382
"51","VA","Virginia","Williamsburg city","city",NA,"January",2019,6350,6663,313
"51","VA","Virginia","Winchester city","city",NA,"January",2019,14139,14644,505
"51","VA","Virginia","Accomack County","county",NA,"February",2019,15741,16518,777
"51","VA","Virginia","Albemarle County","county",51003,"February",2019,55602,57156,1554
"51","VA","Virginia","Alleghany County","county",51005,"February",2019,6741,7017,276
"51","VA","Virginia","Amelia County","county",51007,"February",2019,6044,6283,239
"51","VA","Virginia","Amherst County","county",51009,"February",2019,14626,15148,522
"51","VA","Virginia","Appomattox County","county",51011,"February",2019,6940,7226,286
"51","VA","Virginia","Arlington County","county",51013,"February",2019,150532,153729,3197
"51","VA","Virginia","Augusta County","county",51015,"February",2019,36429,37448,1019
"51","VA","Virginia","Bath County","county",51017,"February",2019,2373,2447,74
"51","VA","Virginia","Bedford County","county",51019,"February",2019,37534,38764,1230
"51","VA","Virginia","Bland County","county",51021,"February",2019,2787,2877,90
"51","VA","Virginia","Botetourt County","county",51023,"February",2019,16932,17421,489
"51","VA","Virginia","Brunswick County","county",51025,"February",2019,5794,6154,360
"51","VA","Virginia","Buchanan County","county",51027,"February",2019,6414,6805,391
"51","VA","Virginia","Buckingham County","county",51029,"February",2019,6128,6455,327
"51","VA","Virginia","Campbell County","county",51031,"February",2019,25314,26212,898
"51","VA","Virginia","Caroline County","county",51033,"February",2019,14721,15274,553
"51","VA","Virginia","Carroll County","county",51035,"February",2019,12713,13284,571
"51","VA","Virginia","Charles City County","county",51036,"February",2019,3521,3668,147
"51","VA","Virginia","Charlotte County","county",51037,"February",2019,5132,5328,196
"51","VA","Virginia","Chesterfield County","county",51041,"February",2019,181969,187639,5670
"51","VA","Virginia","Clarke County","county",51043,"February",2019,7345,7564,219
"51","VA","Virginia","Craig County","county",51045,"February",2019,2222,2315,93
"51","VA","Virginia","Culpeper County","county",51047,"February",2019,23771,24509,738
"51","VA","Virginia","Cumberland County","county",51049,"February",2019,4512,4684,172
"51","VA","Virginia","Dickenson County","county",51051,"February",2019,4443,4690,247
"51","VA","Virginia","Dinwiddie County","county",51053,"February",2019,13160,13667,507
"51","VA","Virginia","Essex County","county",51057,"February",2019,5299,5553,254
"51","VA","Virginia","Fairfax County","county",51059,"February",2019,616948,633030,16082
"51","VA","Virginia","Fauquier County","county",51061,"February",2019,36031,37093,1062
"51","VA","Virginia","Floyd County","county",51063,"February",2019,8091,8336,245
"51","VA","Virginia","Fluvanna County","county",51065,"February",2019,13549,13893,344
"51","VA","Virginia","Franklin County","county",51067,"February",2019,25536,26405,869
"51","VA","Virginia","Frederick County","county",51069,"February",2019,46680,48017,1337
"51","VA","Virginia","Giles County","county",51071,"February",2019,7786,8076,290
"51","VA","Virginia","Gloucester County","county",51073,"February",2019,18953,19539,586
"51","VA","Virginia","Goochland County","county",51075,"February",2019,10864,11212,348
"51","VA","Virginia","Grayson County","county",51077,"February",2019,7757,8037,280
"51","VA","Virginia","Greene County","county",51079,"February",2019,10210,10480,270
"51","VA","Virginia","Greensville County","county",51081,"February",2019,4178,4353,175
"51","VA","Virginia","Halifax County","county",51083,"February",2019,14977,15633,656
"51","VA","Virginia","Hanover County","county",51085,"February",2019,57654,59239,1585
"51","VA","Virginia","Henrico County","county",51087,"February",2019,176613,182264,5651
"51","VA","Virginia","Henry County","county",51089,"February",2019,23122,24019,897
"51","VA","Virginia","Highland County","county",51091,"February",2019,1213,1252,39
"51","VA","Virginia","Isle of Wight County","county",51093,"February",2019,18769,19381,612
"51","VA","Virginia","James City County","county",51095,"February",2019,35426,36548,1122
"51","VA","Virginia","King and Queen County","county",51097,"February",2019,3741,3865,124
"51","VA","Virginia","King George County","county",51099,"February",2019,12946,13370,424
"51","VA","Virginia","King William County","county",51101,"February",2019,8871,9183,312
"51","VA","Virginia","Lancaster County","county",51103,"February",2019,5010,5412,402
"51","VA","Virginia","Lee County","county",51105,"February",2019,7950,8295,345
"51","VA","Virginia","Loudoun County","county",51107,"February",2019,216113,221800,5687
"51","VA","Virginia","Louisa County","county",51109,"February",2019,19214,19808,594
"51","VA","Virginia","Lunenburg County","county",51111,"February",2019,5193,5368,175
"51","VA","Virginia","Madison County","county",51113,"February",2019,7116,7307,191
