Year,Period Type,Period,Period Name,Area Type,Area Name,Labor Force,Employed,Unemployed,Unemployment Rate,Last Period Unemp Rate,Last Year Unemp Rate,Last Period % Change,Last Year % Change
2019,Monthly,1,January,County,Accomack County,"16,493","15,596",897,5.4,4.1,5.2,31.71,3.85
2019,Monthly,1,January,County,Albemarle County,"56,174","54,492","1,682",3,2.4,3.2,25,-6.25
2019,Monthly,1,January,County,Alleghany County,"7,041","6,731",310,4.4,3.4,4.9,29.41,-10.2
2019,Monthly,1,January,County,Amelia County,"6,257","6,000",257,4.1,3,3.9,36.67,5.13
2019,Monthly,1,January,County,Amherst County,"15,007","14,465",542,3.6,3,4.1,20,-12.2
2019,Monthly,1,January,County,Appomattox County,"7,164","6,864",300,4.2,3.2,4.7,31.25,-10.64
2019,Monthly,1,January,County,Arlington County,"153,119","149,328","3,791",2.5,1.8,2.3,38.89,8.7
2019,Monthly,1,January,County,Augusta County,"37,114","36,014","1,100",3,2.4,3.4,25,-11.76
2019,Monthly,1,January,County,Bath County,"2,419","2,331",88,3.6,2.4,3.4,50,5.88
2019,Monthly,1,January,County,Bedford County,"38,436","37,149","1,287",3.3,2.6,3.8,26.92,-13.16
2019,Monthly,1,January,County,Bland County,"2,839","2,741",98,3.5,2.7,3.6,29.63,-2.78
2019,Monthly,1,January,County,Botetourt County,"17,328","16,791",537,3.1,2.3,3.3,34.78,-6.06
2019,Monthly,1,January,County,Brunswick County,"6,098","5,733",365,6,5.2,5.8,15.38,3.45
2019,Monthly,1,January,County,Buchanan County,"6,789","6,359",430,6.3,5.2,6.3,21.15,0
2019,Monthly,1,January,County,Buckingham County,"6,363","6,006",357,5.6,4.8,5.7,16.67,-1.75
2019,Monthly,1,January,County,Campbell County,"25,987","25,042",945,3.6,3,4.3,20,-16.28
2019,Monthly,1,January,County,Caroline County,"15,208","14,610",598,3.9,3.1,4.4,25.81,-11.36
2019,Monthly,1,January,County,Carroll County,"13,194","12,571",623,4.7,3.8,4.4,23.68,6.82
2019,Monthly,1,January,County,Charles City County,"3,661","3,493",168,4.6,3.9,5.2,17.95,-11.54
2019,Monthly,1,January,County,Charlotte County,"5,277","5,069",208,3.9,3.2,4.5,21.88,-13.33
2019,Monthly,1,January,County,Chesterfield County,"186,604","180,576","6,028",3.2,2.7,3.4,18.52,-5.88
2019,Monthly,1,January,County,Clarke County,"7,526","7,288",238,3.2,2.6,3.3,23.08,-3.03
2019,Monthly,1,January,County,Craig County,"2,292","2,205",87,3.8,3.2,4.3,18.75,-11.63
2019,Monthly,1,January,County,Culpeper County,"24,414","23,611",803,3.3,2.5,3.6,32,-8.33
2019,Monthly,1,January,County,Cumberland County,"4,632","4,447",185,4,2.9,4.4,37.93,-9.09
2019,Monthly,1,January,County,Dickenson County,"4,615","4,330",285,6.2,4.7,6.6,31.91,-6.06
2019,Monthly,1,January,County,Dinwiddie County,"13,614","13,072",542,4,3.5,4.2,14.29,-4.76
2019,Monthly,1,January,County,Essex County,"5,550","5,280",270,4.9,3.6,4.8,36.11,2.08
2019,Monthly,1,January,County,Fairfax County,"630,417","612,286","18,131",2.9,2.2,2.9,31.82,0
2019,Monthly,1,January,County,Fauquier County,"36,887","35,749","1,138",3.1,2.4,3.2,29.17,-3.13
