"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"53","WA","Washington","Benton County","county",53005,"January",2019,99909,93061,6848
"53","WA","Washington","Benton County","county",53005,"February",2019,99233,92050,7183
"53","WA","Washington","Benton County","county",53005,"March",2019,100731,94258,6473
"53","WA","Washington","Benton County","county",53005,"April",2019,101508,96145,5363
"53","WA","Washington","Benton County","county",53005,"May",2019,103049,98038,5011
"53","WA","Washington","Benton County","county",53005,"June",2019,106329,101209,5120
"53","WA","Washington","Benton County","county",53005,"July",2019,105715,100769,4946
"53","WA","Washington","Benton County","county",53005,"August",2019,104121,99190,4931
"53","WA","Washington","Benton County","county",53005,"September",2019,104357,100156,4201
"53","WA","Washington","Benton County","county",53005,"October",2019,104670,100330,4340
"53","WA","Washington","Benton County","county",53005,"November",2019,103890,99040,4850
"53","WA","Washington","Benton County","county",53005,"December",2019,104514,99030,5484
"53","WA","Washington","Benton County","county",53005,"January",2020,104938,98912,6026
"53","WA","Washington","Benton County","county",53005,"February",2020,105195,99430,5765
"53","WA","Washington","Benton County","county",53005,"March",2020,103923,98678,5245
"53","WA","Washington","Benton County","county",53005,"April",2020,105445,90994,14451
"53","WA","Washington","Benton County","county",53005,"May",2020,105404,92425,12979
"53","WA","Washington","Chelan County","county",53007,"January",2019,42559,39558,3001
"53","WA","Washington","Chelan County","county",53007,"February",2019,42347,39380,2967
"53","WA","Washington","Chelan County","county",53007,"March",2019,42708,40003,2705
"53","WA","Washington","Chelan County","county",53007,"April",2019,43038,40824,2214
"53","WA","Washington","Chelan County","county",53007,"May",2019,43412,41294,2118
"53","WA","Washington","Chelan County","county",53007,"June",2019,47914,45937,1977
"53","WA","Washington","Chelan County","county",53007,"July",2019,51952,50099,1853
"53","WA","Washington","Chelan County","county",53007,"August",2019,47696,45644,2052
"53","WA","Washington","Chelan County","county",53007,"September",2019,46573,44974,1599
"53","WA","Washington","Chelan County","county",53007,"October",2019,45754,44107,1647
"53","WA","Washington","Chelan County","county",53007,"November",2019,43665,41648,2017
"53","WA","Washington","Chelan County","county",53007,"December",2019,43733,41462,2271
"53","WA","Washington","Chelan County","county",53007,"January",2020,43223,40638,2585
"53","WA","Washington","Chelan County","county",53007,"February",2020,43045,40507,2538
"53","WA","Washington","Chelan County","county",53007,"March",2020,42624,40402,2222
"53","WA","Washington","Chelan County","county",53007,"April",2020,44043,36912,7131
"53","WA","Washington","Chelan County","county",53007,"May",2020,44012,37576,6436
"53","WA","Washington","Clark County","county",53011,"January",2019,240815,227477,13338
"53","WA","Washington","Clark County","county",53011,"February",2019,241192,228836,12356
"53","WA","Washington","Clark County","county",53011,"March",2019,241607,229142,12465
"53","WA","Washington","Clark County","county",53011,"April",2019,239613,227833,11780
"53","WA","Washington","Clark County","county",53011,"May",2019,239246,228001,11245
"53","WA","Washington","Clark County","county",53011,"June",2019,239487,227714,11773
"53","WA","Washington","Clark County","county",53011,"July",2019,239896,228202,11694
"53","WA","Washington","Clark County","county",53011,"August",2019,240864,229108,11756
"53","WA","Washington","Clark County","county",53011,"September",2019,240483,230467,10016
"53","WA","Washington","Clark County","county",53011,"October",2019,244960,234661,10299
"53","WA","Washington","Clark County","county",53011,"November",2019,246005,235364,10641
"53","WA","Washington","Clark County","county",53011,"December",2019,248649,238263,10386
"53","WA","Washington","Clark County","county",53011,"January",2020,247962,236675,11287
"53","WA","Washington","Clark County","county",53011,"February",2020,248872,237565,11307
"53","WA","Washington","Clark County","county",53011,"March",2020,242747,232047,10700
"53","WA","Washington","Clark County","county",53011,"April",2020,244704,209486,35218
"53","WA","Washington","Clark County","county",53011,"May",2020,244152,209156,34996
"53","WA","Washington","Columbia County","county",53013,"January",2019,1797,1661,136
"53","WA","Washington","Columbia County","county",53013,"February",2019,1816,1688,128
"53","WA","Washington","Columbia County","county",53013,"March",2019,1818,1698,120
"53","WA","Washington","Columbia County","county",53013,"April",2019,1836,1738,98
"53","WA","Washington","Columbia County","county",53013,"May",2019,1849,1754,95
"53","WA","Washington","Columbia County","county",53013,"June",2019,1864,1770,94
"53","WA","Washington","Columbia County","county",53013,"July",2019,1868,1784,84
"53","WA","Washington","Columbia County","county",53013,"August",2019,1852,1765,87
"53","WA","Washington","Columbia County","county",53013,"September",2019,1835,1756,79
"53","WA","Washington","Columbia County","county",53013,"October",2019,1883,1800,83
"53","WA","Washington","Columbia County","county",53013,"November",2019,1878,1778,100
"53","WA","Washington","Columbia County","county",53013,"December",2019,1872,1769,103
"53","WA","Washington","Columbia County","county",53013,"January",2020,1757,1643,114
"53","WA","Washington","Columbia County","county",53013,"February",2020,1780,1673,107
"53","WA","Washington","Columbia County","county",53013,"March",2020,1728,1636,92
"53","WA","Washington","Columbia County","county",53013,"April",2020,1727,1528,199
"53","WA","Washington","Columbia County","county",53013,"May",2020,1717,1536,181
"53","WA","Washington","Douglas County","county",53017,"January",2019,20745,19044,1701
"53","WA","Washington","Douglas County","county",53017,"February",2019,20700,19002,1698
"53","WA","Washington","Douglas County","county",53017,"March",2019,20702,19188,1514
"53","WA","Washington","Douglas County","county",53017,"April",2019,21479,20207,1272
"53","WA","Washington","Douglas County","county",53017,"May",2019,21608,20496,1112
"53","WA","Washington","Douglas County","county",53017,"June",2019,22802,21712,1090
"53","WA","Washington","Douglas County","county",53017,"July",2019,25217,24169,1048
"53","WA","Washington","Douglas County","county",53017,"August",2019,22419,21220,1199
"53","WA","Washington","Douglas County","county",53017,"September",2019,22620,21742,878
"53","WA","Washington","Douglas County","county",53017,"October",2019,22452,21534,918
"53","WA","Washington","Douglas County","county",53017,"November",2019,21483,20336,1147
"53","WA","Washington","Douglas County","county",53017,"December",2019,21388,20127,1261
"53","WA","Washington","Douglas County","county",53017,"January",2020,20982,19514,1468
"53","WA","Washington","Douglas County","county",53017,"February",2020,20992,19575,1417
"53","WA","Washington","Douglas County","county",53017,"March",2020,20499,19290,1209
"53","WA","Washington","Douglas County","county",53017,"April",2020,21109,17920,3189
"53","WA","Washington","Douglas County","county",53017,"May",2020,21103,18257,2846
"53","WA","Washington","Ferry County","county",53019,"January",2019,2578,2181,397
"53","WA","Washington","Ferry County","county",53019,"February",2019,2514,2133,381
"53","WA","Washington","Ferry County","county",53019,"March",2019,2533,2163,370
"53","WA","Washington","Ferry County","county",53019,"April",2019,2525,2200,325
"53","WA","Washington","Ferry County","county",53019,"May",2019,2575,2318,257
"53","WA","Washington","Ferry County","county",53019,"June",2019,2573,2317,256
"53","WA","Washington","Ferry County","county",53019,"July",2019,2505,2273,232
"53","WA","Washington","Ferry County","county",53019,"August",2019,2495,2254,241
"53","WA","Washington","Ferry County","county",53019,"September",2019,2437,2226,211
"53","WA","Washington","Ferry County","county",53019,"October",2019,2413,2200,213
"53","WA","Washington","Ferry County","county",53019,"November",2019,2430,2188,242
"53","WA","Washington","Ferry County","county",53019,"December",2019,2415,2143,272
"53","WA","Washington","Ferry County","county",53019,"January",2020,2472,2173,299
"53","WA","Washington","Ferry County","county",53019,"February",2020,2502,2170,332
"53","WA","Washington","Ferry County","county",53019,"March",2020,2357,2061,296
"53","WA","Washington","Ferry County","county",53019,"April",2020,2434,2065,369
"53","WA","Washington","Ferry County","county",53019,"May",2020,2400,2016,384
"53","WA","Washington","Franklin County","county",53021,"January",2019,40780,37071,3709
"53","WA","Washington","Franklin County","county",53021,"February",2019,40707,36844,3863
"53","WA","Washington","Franklin County","county",53021,"March",2019,41324,37697,3627
"53","WA","Washington","Franklin County","county",53021,"April",2019,42696,39974,2722
"53","WA","Washington","Franklin County","county",53021,"May",2019,43872,41440,2432
"53","WA","Washington","Franklin County","county",53021,"June",2019,45874,43347,2527
"53","WA","Washington","Franklin County","county",53021,"July",2019,45342,42973,2369
"53","WA","Washington","Franklin County","county",53021,"August",2019,45219,42870,2349
"53","WA","Washington","Franklin County","county",53021,"September",2019,43639,41721,1918
"53","WA","Washington","Franklin County","county",53021,"October",2019,43354,41360,1994
"53","WA","Washington","Franklin County","county",53021,"November",2019,42399,39964,2435
"53","WA","Washington","Franklin County","county",53021,"December",2019,42375,39338,3037
"53","WA","Washington","Franklin County","county",53021,"January",2020,42102,38934,3168
"53","WA","Washington","Franklin County","county",53021,"February",2020,42448,39385,3063
"53","WA","Washington","Franklin County","county",53021,"March",2020,42158,39561,2597
"53","WA","Washington","Franklin County","county",53021,"April",2020,43714,38008,5706
"53","WA","Washington","Franklin County","county",53021,"May",2020,44686,39174,5512
"53","WA","Washington","Garfield County","county",53023,"January",2019,888,816,72
"53","WA","Washington","Garfield County","county",53023,"February",2019,884,819,65
"53","WA","Washington","Garfield County","county",53023,"March",2019,881,819,62
"53","WA","Washington","Garfield County","county",53023,"April",2019,890,843,47
"53","WA","Washington","Garfield County","county",53023,"May",2019,905,864,41
"53","WA","Washington","Garfield County","county",53023,"June",2019,936,893,43
"53","WA","Washington","Garfield County","county",53023,"July",2019,958,916,42
"53","WA","Washington","Garfield County","county",53023,"August",2019,965,923,42
"53","WA","Washington","Garfield County","county",53023,"September",2019,929,892,37
"53","WA","Washington","Garfield County","county",53023,"October",2019,945,902,43
"53","WA","Washington","Garfield County","county",53023,"November",2019,927,874,53
"53","WA","Washington","Garfield County","county",53023,"December",2019,906,854,52
"53","WA","Washington","Garfield County","county",53023,"January",2020,838,775,63
"53","WA","Washington","Garfield County","county",53023,"February",2020,814,757,57
"53","WA","Washington","Garfield County","county",53023,"March",2020,770,725,45
"53","WA","Washington","Garfield County","county",53023,"April",2020,817,701,116
"53","WA","Washington","Garfield County","county",53023,"May",2020,780,681,99
"53","WA","Washington","Jefferson County","county",53031,"January",2019,12618,11757,861
"53","WA","Washington","Jefferson County","county",53031,"February",2019,12530,11639,891
"53","WA","Washington","Jefferson County","county",53031,"March",2019,12519,11700,819
"53","WA","Washington","Jefferson County","county",53031,"April",2019,12687,11926,761
"53","WA","Washington","Jefferson County","county",53031,"May",2019,12674,11988,686
"53","WA","Washington","Jefferson County","county",53031,"June",2019,12947,12210,737
"53","WA","Washington","Jefferson County","county",53031,"July",2019,13134,12418,716
"53","WA","Washington","Jefferson County","county",53031,"August",2019,13091,12390,701
"53","WA","Washington","Jefferson County","county",53031,"September",2019,13073,12463,610
"53","WA","Washington","Jefferson County","county",53031,"October",2019,13304,12681,623
"53","WA","Washington","Jefferson County","county",53031,"November",2019,13339,12658,681
"53","WA","Washington","Jefferson County","county",53031,"December",2019,13335,12673,662
"53","WA","Washington","Jefferson County","county",53031,"January",2020,13500,12725,775
"53","WA","Washington","Jefferson County","county",53031,"February",2020,13319,12582,737
"53","WA","Washington","Jefferson County","county",53031,"March",2020,12908,12225,683
"53","WA","Washington","Jefferson County","county",53031,"April",2020,14043,11596,2447
"53","WA","Washington","Jefferson County","county",53031,"May",2020,13607,11428,2179
"53","WA","Washington","King County","county",53033,"January",2019,1277413,1234136,43277
"53","WA","Washington","King County","county",53033,"February",2019,1290113,1251418,38695
"53","WA","Washington","King County","county",53033,"March",2019,1289512,1251347,38165
"53","WA","Washington","King County","county",53033,"April",2019,1280932,1250940,29992
"53","WA","Washington","King County","county",53033,"May",2019,1286119,1251636,34483
"53","WA","Washington","King County","county",53033,"June",2019,1287036,1250770,36266
"53","WA","Washington","King County","county",53033,"July",2019,1298313,1259313,39000
