County,Date,Geofips,Month,Year,Civilian Labor Force,Employment,Number of Records,Unemployment,Unemployment Rate
Benton,1/1/90,53005,1,1990,57997,53075,1,4922,8.50%
Benton,2/1/90,53005,2,1990,58398,53930,1,4468,7.70%
Benton,3/1/90,53005,3,1990,59499,55591,1,3908,6.60%
Benton,4/1/90,53005,4,1990,61916,58320,1,3596,5.80%
Benton,5/1/90,53005,5,1990,63267,59720,1,3547,5.60%
Benton,6/1/90,53005,6,1990,67686,64159,1,3527,5.20%
Benton,7/1/90,53005,7,1990,62032,58313,1,3719,6.00%
Benton,8/1/90,53005,8,1990,62999,59057,1,3942,6.30%
Benton,9/1/90,53005,9,1990,62353,58992,1,3361,5.40%
Benton,10/1/90,53005,10,1990,61533,58196,1,3337,5.40%
Benton,11/1/90,53005,11,1990,59355,55144,1,4211,7.10%
Benton,12/1/90,53005,12,1990,59004,54247,1,4757,8.10%
Benton,1/1/91,53005,1,1991,59006,53314,1,5692,9.60%
Benton,2/1/91,53005,2,1991,59074,54076,1,4998,8.50%
Benton,3/1/91,53005,3,1991,59867,55372,1,4495,7.50%
Benton,4/1/91,53005,4,1991,61972,58093,1,3879,6.30%
Benton,5/1/91,53005,5,1991,63072,59245,1,3827,6.10%
Benton,6/1/91,53005,6,1991,67935,63745,1,4190,6.20%
Benton,7/1/91,53005,7,1991,63871,59410,1,4461,7.00%
Benton,8/1/91,53005,8,1991,63203,58876,1,4327,6.80%
Benton,9/1/91,53005,9,1991,63280,59399,1,3881,6.10%
Benton,10/1/91,53005,10,1991,63199,59213,1,3986,6.30%
Benton,11/1/91,53005,11,1991,60839,56364,1,4475,7.40%
Benton,12/1/91,53005,12,1991,60398,55592,1,4806,8.00%
Benton,1/1/92,53005,1,1992,60246,54765,1,5481,9.10%
Benton,2/1/92,53005,2,1992,61057,55333,1,5724,9.40%
Benton,3/1/92,53005,3,1992,61849,56827,1,5022,8.10%
Benton,4/1/92,53005,4,1992,64965,60624,1,4341,6.70%
Benton,5/1/92,53005,5,1992,65891,61580,1,4311,6.50%
Benton,6/1/92,53005,6,1992,73182,68442,1,4740,6.50%
Benton,7/1/92,53005,7,1992,66922,62398,1,4524,6.80%
Benton,8/1/92,53005,8,1992,65898,61176,1,4722,7.20%
Benton,9/1/92,53005,9,1992,66049,61844,1,4205,6.40%
Benton,10/1/92,53005,10,1992,64989,60534,1,4455,6.90%
Benton,11/1/92,53005,11,1992,63041,58187,1,4854,7.70%
Benton,12/1/92,53005,12,1992,63957,58459,1,5498,8.60%
Benton,1/1/93,53005,1,1993,63689,57481,1,6208,9.70%
Benton,2/1/93,53005,2,1993,64497,58859,1,5638,8.70%
Benton,3/1/93,53005,3,1993,65277,60209,1,5068,7.80%
Benton,4/1/93,53005,4,1993,67035,62698,1,4337,6.50%
Benton,5/1/93,53005,5,1993,69063,64721,1,4342,6.30%
Benton,6/1/93,53005,6,1993,76006,71209,1,4797,6.30%
Benton,7/1/93,53005,7,1993,70100,65153,1,4947,7.10%
Benton,8/1/93,53005,8,1993,69308,64884,1,4424,6.40%
Benton,9/1/93,53005,9,1993,69345,65398,1,3947,5.70%
