"state_fips","state_short","state","area","area_type","fips","period","year","labor_force","employment","unemployment"
"55","WI","Wisconsin","Wisconsin","state",NA,"May",2020,3081769,2719991,361778
"55","WI","Wisconsin","Wisconsin","state",NA,"April",2020,3029571,2617882,411689
"55","WI","Wisconsin","Wisconsin","state",NA,"March",2020,3073342,2970150,103192
"55","WI","Wisconsin","Wisconsin","state",NA,"February",2020,3095473,2971093,124380
"55","WI","Wisconsin","Wisconsin","state",NA,"January",2020,3085640,2954618,131022
"55","WI","Wisconsin","Wisconsin","state",NA,"December",2019,3089959,2990550,99409
"55","WI","Wisconsin","Wisconsin","state",NA,"November",2019,3099895,3006783,93112
"55","WI","Wisconsin","Wisconsin","state",NA,"October",2019,3104233,3017296,86937
"55","WI","Wisconsin","Wisconsin","state",NA,"September",2019,3096038,3007545,88493
"55","WI","Wisconsin","Wisconsin","state",NA,"August",2019,3120077,3013936,106141
"55","WI","Wisconsin","Wisconsin","state",NA,"July",2019,3150096,3036817,113279
"55","WI","Wisconsin","Wisconsin","state",NA,"June",2019,3150680,3033118,117562
"55","WI","Wisconsin","Wisconsin","state",NA,"May",2019,3085969,2991141,94828
"55","WI","Wisconsin","Wisconsin","state",NA,"April",2019,3082421,2984790,97631
"55","WI","Wisconsin","Wisconsin","state",NA,"March",2019,3096679,2979102,117577
"55","WI","Wisconsin","Wisconsin","state",NA,"February",2019,3101942,2983353,118589
"55","WI","Wisconsin","Wisconsin","state",NA,"January",2019,3083718,2970152,113566
"55","WI","Wisconsin","Adams County","county",55001,"May",2020,8248,6838,1410
"55","WI","Wisconsin","Adams County","county",55001,"April",2020,8261,6578,1683
"55","WI","Wisconsin","Adams County","county",55001,"March",2020,8000,7495,505
"55","WI","Wisconsin","Adams County","county",55001,"February",2020,8031,7401,630
"55","WI","Wisconsin","Adams County","county",55001,"January",2020,8018,7434,584
"55","WI","Wisconsin","Adams County","county",55001,"December",2019,8056,7590,466
"55","WI","Wisconsin","Adams County","county",55001,"November",2019,8053,7681,372
"55","WI","Wisconsin","Adams County","county",55001,"October",2019,8086,7799,287
"55","WI","Wisconsin","Adams County","county",55001,"September",2019,8173,7881,292
"55","WI","Wisconsin","Adams County","county",55001,"August",2019,8278,7900,378
"55","WI","Wisconsin","Adams County","county",55001,"July",2019,8397,7976,421
"55","WI","Wisconsin","Adams County","county",55001,"June",2019,8471,8061,410
"55","WI","Wisconsin","Adams County","county",55001,"May",2019,8185,7866,319
"55","WI","Wisconsin","Adams County","county",55001,"April",2019,8049,7656,393
"55","WI","Wisconsin","Adams County","county",55001,"March",2019,7979,7436,543
"55","WI","Wisconsin","Adams County","county",55001,"February",2019,8035,7452,583
"55","WI","Wisconsin","Adams County","county",55001,"January",2019,8072,7496,576
"55","WI","Wisconsin","Ashland County","county",55003,"May",2020,7881,6619,1262
"55","WI","Wisconsin","Ashland County","county",55003,"April",2020,7824,6346,1478
"55","WI","Wisconsin","Ashland County","county",55003,"March",2020,7597,7211,386
