"state_fips","state_short","state","area","area_type","fips","period","year","employment","labor_force","unemployment"
"54","WV","West Virginia","Berkeley County","county",54003,"July",2019,57460,59570,2110
"54","WV","West Virginia","Greenbrier County","county",54025,"July",2019,15910,16560,650
"54","WV","West Virginia","Hancock County","county",54029,"July",2019,12680,13410,730
"54","WV","West Virginia","Harrison County","county",54033,"July",2019,34040,35520,1480
"54","WV","West Virginia","Jefferson County","county",54037,"July",2019,29970,30960,990
"54","WV","West Virginia","Kanawha County","county",54039,"July",2019,80400,84090,3690
"54","WV","West Virginia","Lewis County","county",54041,"July",2019,6590,6990,400
"54","WV","West Virginia","Logan County","county",54045,"July",2019,10600,11250,650
"54","WV","West Virginia","Marion County","county",54049,"July",2019,24380,25670,1290
"54","WV","West Virginia","Marshall County","county",54051,"July",2019,13740,14570,830
"54","WV","West Virginia","Mason County","county",54053,"July",2019,9330,9940,610
"54","WV","West Virginia","Mercer County","county",54055,"July",2019,19550,20800,1250
"54","WV","West Virginia","Mineral County","county",54057,"July",2019,12070,12890,810
"54","WV","West Virginia","Mingo County","county",54059,"July",2019,6440,6930,490
"54","WV","West Virginia","Monongalia County","county",54061,"July",2019,52300,54330,2030
"54","WV","West Virginia","Ohio County","county",54069,"July",2019,20980,21890,910
"54","WV","West Virginia","Preston County","county",54077,"July",2019,14820,15510,690
"54","WV","West Virginia","Hampshire County","county",54027,"March",2019,10200,10650,450
"54","WV","West Virginia","Hardy County","county",54031,"March",2019,5460,5810,350
"54","WV","West Virginia","Jackson County","county",54035,"March",2019,11950,12680,730
"54","WV","West Virginia","Lincoln County","county",54043,"March",2019,6630,7100,470
"54","WV","West Virginia","Mcdowell County","county",54047,"March",2019,4010,4450,440
"54","WV","West Virginia","Monroe County","county",54063,"March",2019,5630,5930,300
"54","WV","West Virginia","Morgan County","county",54065,"March",2019,7720,8070,340
"54","WV","West Virginia","Nicholas County","county",54067,"March",2019,8740,9380,640
"54","WV","West Virginia","Pendleton County","county",54071,"March",2019,3490,3640,160
"54","WV","West Virginia","Pleasants County","county",54073,"March",2019,2680,2900,220
"54","WV","West Virginia","Pocahontas County","county",54075,"March",2019,3870,4090,230
"54","WV","West Virginia","Raleigh County","county",54081,"March",2019,28380,29900,1520
