Congressional District 7,County,F9,geogfips,State,WED,WED_Title,F5,F7,Number of Records,Total,Ucfe,UCX,UI
Autauga,Autauga,,1,Alabama,6/20/20,6/20/20,1478,0,1,1,0,0,198
Baldwin,Baldwin,,3,Alabama,6/20/20,6/20/20,5195,0,1,3,0,0,483
Barbour,Barbour,,5,Alabama,6/20/20,6/20/20,518,0,1,5,0,0,109
Bibb,Bibb,,7,Alabama,6/20/20,6/20/20,609,0,1,7,0,0,50
Blount,Blount,,9,Alabama,6/20/20,6/20/20,651,0,1,9,0,0,91
Bullock,Bullock,,11,Alabama,6/20/20,6/20/20,305,0,1,11,0,0,78
Butler,Butler,,13,Alabama,6/20/20,6/20/20,1045,0,1,13,0,0,169
Calhoun,Calhoun,,15,Alabama,6/20/20,6/20/20,3572,0,1,15,0,0,382
Chambers,Chambers,,17,Alabama,6/20/20,6/20/20,998,0,1,17,0,0,204
Cherokee,Cherokee,,19,Alabama,6/20/20,6/20/20,390,0,1,19,0,0,48
Chilton,Chilton,,21,Alabama,6/20/20,6/20/20,871,0,1,21,0,0,112
"Choctaw, Clarke, Dallas and 11 more",Choctaw,,23,Alabama,6/20/20,6/20/20,203,0,1,23,0,0,40
"Choctaw, Clarke, Dallas and 11 more",Clarke,,25,Alabama,6/20/20,6/20/20,633,0,1,25,0,0,105
Clay,Clay,,27,Alabama,6/20/20,6/20/20,153,0,1,27,0,0,38
Cleburne,Cleburne,,29,Alabama,6/20/20,6/20/20,177,0,1,29,0,0,33
Coffee,Coffee,,31,Alabama,6/20/20,6/20/20,886,0,1,31,0,0,135
Colbert,Colbert,,33,Alabama,6/20/20,6/20/20,1561,0,1,33,0,0,172
Conecuh,Conecuh,,35,Alabama,6/20/20,6/20/20,335,0,1,35,0,0,78
Coosa,Coosa,,37,Alabama,6/20/20,6/20/20,249,0,1,37,0,0,30
Covington,Covington,,39,Alabama,6/20/20,6/20/20,615,0,1,39,0,0,114
Crenshaw,Crenshaw,,41,Alabama,6/20/20,6/20/20,331,0,1,41,0,0,82
Cullman,Cullman,,43,Alabama,6/20/20,6/20/20,1442,0,1,43,0,0,184
Dale,Dale,,45,Alabama,6/20/20,6/20/20,919,0,1,45,0,0,136
"Choctaw, Clarke, Dallas and 11 more",Dallas,,47,Alabama,6/20/20,6/20/20,1858,0,1,47,0,0,302
DeKalb,DeKalb,,49,Alabama,6/20/20,6/20/20,1097,0,1,49,0,0,194
Elmore,Elmore,,51,Alabama,6/20/20,6/20/20,2242,0,1,51,0,0,265
Escambia,Escambia,,53,Alabama,6/20/20,6/20/20,764,0,1,53,0,0,131
Etowah,Etowah,,55,Alabama,6/20/20,6/20/20,3115,0,1,55,0,0,329
Fayette,Fayette,,57,Alabama,6/20/20,6/20/20,240,0,1,57,0,0,49
Franklin,Franklin,,59,Alabama,6/20/20,6/20/20,581,0,1,59,0,0,87
Geneva,Geneva,,61,Alabama,6/20/20,6/20/20,373,0,1,61,0,0,73
"Choctaw, Clarke, Dallas and 11 more",Greene,,63,Alabama,6/20/20,6/20/20,339,0,1,63,0,0,39
"Choctaw, Clarke, Dallas and 11 more",Hale,,65,Alabama,6/20/20,6/20/20,709,0,1,65,0,0,70
Henry,Henry,,67,Alabama,6/20/20,6/20/20,268,0,1,67,0,0,40
Houston,Houston,,69,Alabama,6/20/20,6/20/20,2414,0,1,69,0,0,358
Jackson,Jackson,,71,Alabama,6/20/20,6/20/20,1140,0,1,71,0,0,145
"Choctaw, Clarke, Dallas and 11 more",Jefferson,,73,Alabama,6/20/20,6/20/20,23886,0,1,73,0,0,2815
Lamar,Lamar,,75,Alabama,6/20/20,6/20/20,215,0,1,75,0,0,42
Lauderdale,Lauderdale,,77,Alabama,6/20/20,6/20/20,2371,0,1,77,0,0,233
Lawrence,Lawrence,,79,Alabama,6/20/20,6/20/20,516,0,1,79,0,0,83
Lee,Lee,,81,Alabama,6/20/20,6/20/20,4081,0,1,81,0,0,489
Limestone,Limestone,,83,Alabama,6/20/20,6/20/20,1397,0,1,83,0,0,154
"Choctaw, Clarke, Dallas and 11 more",Lowndes,,85,Alabama,6/20/20,6/20/20,586,0,1,85,0,0,79
Macon,Macon,,87,Alabama,6/20/20,6/20/20,669,0,1,87,0,0,184
Madison,Madison,,89,Alabama,6/20/20,6/20/20,9802,0,1,89,0,0,1140
"Choctaw, Clarke, Dallas and 11 more",Marengo,,91,Alabama,6/20/20,6/20/20,394,0,1,91,0,0,57
Marion,Marion,,93,Alabama,6/20/20,6/20/20,472,0,1,93,0,0,103
Marshall,Marshall,,95,Alabama,6/20/20,6/20/20,1854,0,1,95,0,0,446
Mobile,Mobile,,97,Alabama,6/20/20,6/20/20,16069,0,1,97,0,0,2058
Monroe,Monroe,,99,Alabama,6/20/20,6/20/20,537,0,1,99,0,0,110
"Choctaw, Clarke, Dallas and 11 more",Montgomery,,101,Alabama,6/20/20,6/20/20,11313,0,1,101,0,0,1439
Morgan,Morgan,,103,Alabama,6/20/20,6/20/20,2950,0,1,103,0,0,418
"Choctaw, Clarke, Dallas and 11 more",Perry,,105,Alabama,6/20/20,6/20/20,354,0,1,105,0,0,35
"Choctaw, Clarke, Dallas and 11 more",Pickens,,107,Alabama,6/20/20,6/20/20,508,0,1,107,0,0,51
Pike,Pike,,109,Alabama,6/20/20,6/20/20,753,0,1,109,0,0,123
Randolph,Randolph,,111,Alabama,6/20/20,6/20/20,253,0,1,111,0,0,65
Russell,Russell,,113,Alabama,6/20/20,6/20/20,843,0,1,113,0,0,212
St. Clair,St. Clair,,115,Alabama,6/20/20,6/20/20,1884,0,1,115,0,0,211
Shelby,Shelby,,117,Alabama,6/20/20,6/20/20,3438,0,1,117,0,0,339
"Choctaw, Clarke, Dallas and 11 more",Sumter,,119,Alabama,6/20/20,6/20/20,322,0,1,119,0,0,50
Talladega,Talladega,,121,Alabama,6/20/20,6/20/20,2270,0,1,121,0,0,290
Tallapoosa,Tallapoosa,,123,Alabama,6/20/20,6/20/20,1233,0,1,123,0,0,160
"Choctaw, Clarke, Dallas and 11 more",Tuscaloosa,,125,Alabama,6/20/20,6/20/20,7661,0,1,125,0,0,703
Walker,Walker,,127,Alabama,6/20/20,6/20/20,1550,0,1,127,0,0,244
Washington,Washington,,129,Alabama,6/20/20,6/20/20,492,0,1,129,0,0,71
"Choctaw, Clarke, Dallas and 11 more",Wilcox,,131,Alabama,6/20/20,6/20/20,423,0,1,131,0,0,71
Winston,Winston,,133,Alabama,6/20/20,6/20/20,424,0,1,133,0,0,49
INA,INA,,,Alabama,6/20/20,6/20/20,6956,0,1,,0,0,994
Total,Total,,,Alabama,6/20/20,6/20/20,144752,0,1,,0,0,18671
Autauga,Autauga,0,1,Alabama,6/13/20,6/13/20,1497,0,1,1,0,0,203
Baldwin,Baldwin,0,3,Alabama,6/13/20,6/13/20,5913,0,1,3,0,0,558
Barbour,Barbour,0,5,Alabama,6/13/20,6/13/20,546,0,1,5,0,0,103
Bibb,Bibb,0,7,Alabama,6/13/20,6/13/20,809,0,1,7,0,0,64
Blount,Blount,0,9,Alabama,6/13/20,6/13/20,759,0,1,9,0,0,74
Bullock,Bullock,0,11,Alabama,6/13/20,6/13/20,300,0,1,11,0,0,93
Butler,Butler,0,13,Alabama,6/13/20,6/13/20,1082,0,1,13,0,0,124
Calhoun,Calhoun,0,15,Alabama,6/13/20,6/13/20,3922,0,1,15,0,0,419
Chambers,Chambers,0,17,Alabama,6/13/20,6/13/20,1252,0,1,17,0,0,168
Cherokee,Cherokee,0,19,Alabama,6/13/20,6/13/20,469,0,1,19,0,0,57
Chilton,Chilton,0,21,Alabama,6/13/20,6/13/20,974,0,1,21,0,0,86
"Choctaw, Clarke, Dallas and 11 more",Choctaw,0,23,Alabama,6/13/20,6/13/20,217,0,1,23,0,0,45
"Choctaw, Clarke, Dallas and 11 more",Clarke,0,25,Alabama,6/13/20,6/13/20,710,0,1,25,0,0,102
Clay,Clay,0,27,Alabama,6/13/20,6/13/20,163,0,1,27,0,0,34
Cleburne,Cleburne,0,29,Alabama,6/13/20,6/13/20,188,0,1,29,0,0,23
Coffee,Coffee,0,31,Alabama,6/13/20,6/13/20,973,0,1,31,0,0,117
Colbert,Colbert,0,33,Alabama,6/13/20,6/13/20,1830,0,1,33,0,0,196
Conecuh,Conecuh,0,35,Alabama,6/13/20,6/13/20,321,0,1,35,0,0,65
Coosa,Coosa,0,37,Alabama,6/13/20,6/13/20,304,0,1,37,0,0,29
Covington,Covington,0,39,Alabama,6/13/20,6/13/20,671,0,1,39,0,0,101
Crenshaw,Crenshaw,0,41,Alabama,6/13/20,6/13/20,410,0,1,41,0,0,35
Cullman,Cullman,0,43,Alabama,6/13/20,6/13/20,1754,0,1,43,0,0,218
Dale,Dale,0,45,Alabama,6/13/20,6/13/20,998,0,1,45,0,0,166
"Choctaw, Clarke, Dallas and 11 more",Dallas,0,47,Alabama,6/13/20,6/13/20,1979,0,1,47,0,0,218
DeKalb,DeKalb,0,49,Alabama,6/13/20,6/13/20,1264,0,1,49,0,0,237
Elmore,Elmore,0,51,Alabama,6/13/20,6/13/20,2259,0,1,51,0,0,274
Escambia,Escambia,0,53,Alabama,6/13/20,6/13/20,879,0,1,53,0,0,107
Etowah,Etowah,0,55,Alabama,6/13/20,6/13/20,3553,0,1,55,0,0,312
Fayette,Fayette,0,57,Alabama,6/13/20,6/13/20,297,0,1,57,0,0,28
Franklin,Franklin,0,59,Alabama,6/13/20,6/13/20,665,0,1,59,0,0,96
Geneva,Geneva,0,61,Alabama,6/13/20,6/13/20,393,0,1,61,0,0,64
"Choctaw, Clarke, Dallas and 11 more",Greene,0,63,Alabama,6/13/20,6/13/20,393,0,1,63,0,0,41
"Choctaw, Clarke, Dallas and 11 more",Hale,0,65,Alabama,6/13/20,6/13/20,919,0,1,65,0,0,81
Henry,Henry,0,67,Alabama,6/13/20,6/13/20,291,0,1,67,0,0,32
Houston,Houston,0,69,Alabama,6/13/20,6/13/20,2669,0,1,69,0,0,412
Jackson,Jackson,0,71,Alabama,6/13/20,6/13/20,1250,0,1,71,0,0,139
"Choctaw, Clarke, Dallas and 11 more",Jefferson,0,73,Alabama,6/13/20,6/13/20,27054,0,1,73,0,0,2672
Lamar,Lamar,0,75,Alabama,6/13/20,6/13/20,233,0,1,75,0,0,42
Lauderdale,Lauderdale,0,77,Alabama,6/13/20,6/13/20,2753,0,1,77,0,0,297
Lawrence,Lawrence,0,79,Alabama,6/13/20,6/13/20,571,0,1,79,0,0,82
Lee,Lee,0,81,Alabama,6/13/20,6/13/20,4605,0,1,81,0,0,536
Limestone,Limestone,0,83,Alabama,6/13/20,6/13/20,1573,0,1,83,0,0,163
"Choctaw, Clarke, Dallas and 11 more",Lowndes,0,85,Alabama,6/13/20,6/13/20,599,0,1,85,0,0,73
Macon,Macon,0,87,Alabama,6/13/20,6/13/20,769,0,1,87,0,0,86
Madison,Madison,0,89,Alabama,6/13/20,6/13/20,11117,0,1,89,0,0,1075
"Choctaw, Clarke, Dallas and 11 more",Marengo,0,91,Alabama,6/13/20,6/13/20,450,0,1,91,0,0,72
Marion,Marion,0,93,Alabama,6/13/20,6/13/20,523,0,1,93,0,0,102
Marshall,Marshall,0,95,Alabama,6/13/20,6/13/20,2087,0,1,95,0,0,354
Mobile,Mobile,0,97,Alabama,6/13/20,6/13/20,17056,0,1,97,0,0,2157
