"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Connecticut","09","CT","Fairfield","NA",2020-01-05,1,1,2020,1698
"Connecticut","09","CT","Fairfield","NA",2019-01-06,1,1,2019,1646
"Connecticut","09","CT","Hartford","NA",2020-01-05,1,1,2020,1917
"Connecticut","09","CT","Hartford","NA",2019-01-06,1,1,2019,1916
"Connecticut","09","CT","Litchfield","NA",2020-01-05,1,1,2020,NA
"Connecticut","09","CT","Litchfield","NA",2019-01-06,1,1,2019,529
"Connecticut","09","CT","Middlesex","NA",2020-01-05,1,1,2020,401
"Connecticut","09","CT","Middlesex","NA",2019-01-06,1,1,2019,385
"Connecticut","09","CT","New Haven","NA",2020-01-05,1,1,2020,1796
"Connecticut","09","CT","New Haven","NA",2019-01-06,1,1,2019,1695
"Connecticut","09","CT","New London","NA",2020-01-05,1,1,2020,595
"Connecticut","09","CT","New London","NA",2019-01-06,1,1,2019,572
"Connecticut","09","CT","Out of State","NA",2020-01-05,1,1,2020,521
"Connecticut","09","CT","Out of State","NA",2019-01-06,1,1,2019,570
"Connecticut","09","CT","Tolland","NA",2020-01-05,1,1,2020,245
"Connecticut","09","CT","Tolland","NA",2019-01-06,1,1,2019,261
"Connecticut","09","CT","unknown","NA",2020-01-05,1,1,2020,89
"Connecticut","09","CT","unknown","NA",2019-01-06,1,1,2019,100
"Connecticut","09","CT","Windham","NA",2020-01-05,1,1,2020,200
"Connecticut","09","CT","Windham","NA",2019-01-06,1,1,2019,220
"Connecticut","09","CT","Fairfield","NA",2020-01-12,2,1,2020,696
"Connecticut","09","CT","Fairfield","NA",2019-01-13,2,1,2019,NA
"Connecticut","09","CT","Hartford","NA",2020-01-12,2,1,2020,827
"Connecticut","09","CT","Hartford","NA",2019-01-13,2,1,2019,699
"Connecticut","09","CT","Litchfield","NA",2020-01-12,2,1,2020,NA
"Connecticut","09","CT","Litchfield","NA",2019-01-13,2,1,2019,NA
"Connecticut","09","CT","Middlesex","NA",2020-01-12,2,1,2020,141
"Connecticut","09","CT","Middlesex","NA",2019-01-13,2,1,2019,116
"Connecticut","09","CT","New Haven","NA",2020-01-12,2,1,2020,857
"Connecticut","09","CT","New Haven","NA",2019-01-13,2,1,2019,723
"Connecticut","09","CT","New London","NA",2020-01-12,2,1,2020,NA
"Connecticut","09","CT","New London","NA",2019-01-13,2,1,2019,NA
"Connecticut","09","CT","Out of State","NA",2020-01-12,2,1,2020,224
"Connecticut","09","CT","Out of State","NA",2019-01-13,2,1,2019,201
"Connecticut","09","CT","Tolland","NA",2020-01-12,2,1,2020,122
"Connecticut","09","CT","Tolland","NA",2019-01-13,2,1,2019,NA
"Connecticut","09","CT","unknown","NA",2020-01-12,2,1,2020,44
"Connecticut","09","CT","unknown","NA",2019-01-13,2,1,2019,31
"Connecticut","09","CT","Windham","NA",2020-01-12,2,1,2020,115
"Connecticut","09","CT","Windham","NA",2019-01-13,2,1,2019,117
"Connecticut","09","CT","Fairfield","NA",2020-01-19,3,1,2020,NA
"Connecticut","09","CT","Fairfield","NA",2019-01-20,3,1,2019,NA
"Connecticut","09","CT","Hartford","NA",2020-01-19,3,1,2020,698
"Connecticut","09","CT","Hartford","NA",2019-01-20,3,1,2019,689
"Connecticut","09","CT","Litchfield","NA",2020-01-19,3,1,2020,NA
"Connecticut","09","CT","Litchfield","NA",2019-01-20,3,1,2019,NA
"Connecticut","09","CT","Middlesex","NA",2020-01-19,3,1,2020,130
"Connecticut","09","CT","Middlesex","NA",2019-01-20,3,1,2019,116
"Connecticut","09","CT","New Haven","NA",2020-01-19,3,1,2020,691
"Connecticut","09","CT","New Haven","NA",2019-01-20,3,1,2019,768
"Connecticut","09","CT","New London","NA",2020-01-19,3,1,2020,NA
"Connecticut","09","CT","New London","NA",2019-01-20,3,1,2019,NA
"Connecticut","09","CT","Out of State","NA",2020-01-19,3,1,2020,159
"Connecticut","09","CT","Out of State","NA",2019-01-20,3,1,2019,183
"Connecticut","09","CT","Tolland","NA",2020-01-19,3,1,2020,NA
"Connecticut","09","CT","Tolland","NA",2019-01-20,3,1,2019,NA
"Connecticut","09","CT","unknown","NA",2020-01-19,3,1,2020,28
"Connecticut","09","CT","unknown","NA",2019-01-20,3,1,2019,40
"Connecticut","09","CT","Windham","NA",2020-01-19,3,1,2020,104
"Connecticut","09","CT","Windham","NA",2019-01-20,3,1,2019,NA
"Connecticut","09","CT","Fairfield","NA",2020-01-26,4,1,2020,523
"Connecticut","09","CT","Fairfield","NA",2019-01-27,4,1,2019,564
"Connecticut","09","CT","Hartford","NA",2020-01-26,4,1,2020,NA
"Connecticut","09","CT","Hartford","NA",2019-01-27,4,1,2019,NA
"Connecticut","09","CT","Litchfield","NA",2020-01-26,4,1,2020,NA
"Connecticut","09","CT","Litchfield","NA",2019-01-27,4,1,2019,NA
"Connecticut","09","CT","Middlesex","NA",2020-01-26,4,1,2020,121
"Connecticut","09","CT","Middlesex","NA",2019-01-27,4,1,2019,115
"Connecticut","09","CT","New Haven","NA",2020-01-26,4,1,2020,639
"Connecticut","09","CT","New Haven","NA",2019-01-27,4,1,2019,NA
"Connecticut","09","CT","New London","NA",2020-01-26,4,1,2020,188
"Connecticut","09","CT","New London","NA",2019-01-27,4,1,2019,203
"Connecticut","09","CT","Out of State","NA",2020-01-26,4,1,2020,145
"Connecticut","09","CT","Out of State","NA",2019-01-27,4,1,2019,181
"Connecticut","09","CT","Tolland","NA",2020-01-26,4,1,2020,NA
"Connecticut","09","CT","Tolland","NA",2019-01-27,4,1,2019,NA
"Connecticut","09","CT","unknown","NA",2020-01-26,4,1,2020,44
"Connecticut","09","CT","unknown","NA",2019-01-27,4,1,2019,44
"Connecticut","09","CT","Windham","NA",2020-01-26,4,1,2020,NA
"Connecticut","09","CT","Windham","NA",2019-01-27,4,1,2019,NA
"Connecticut","09","CT","Fairfield","NA",2020-02-02,5,2,2020,NA
"Connecticut","09","CT","Fairfield","NA",2019-02-03,5,2,2019,555
"Connecticut","09","CT","Hartford","NA",2020-02-02,5,2,2020,692
"Connecticut","09","CT","Hartford","NA",2019-02-03,5,2,2019,NA
"Connecticut","09","CT","Litchfield","NA",2020-02-02,5,2,2020,NA
"Connecticut","09","CT","Litchfield","NA",2019-02-03,5,2,2019,NA
"Connecticut","09","CT","Middlesex","NA",2020-02-02,5,2,2020,111
"Connecticut","09","CT","Middlesex","NA",2019-02-03,5,2,2019,108
"Connecticut","09","CT","New Haven","NA",2020-02-02,5,2,2020,680
"Connecticut","09","CT","New Haven","NA",2019-02-03,5,2,2019,667
"Connecticut","09","CT","New London","NA",2020-02-02,5,2,2020,NA
"Connecticut","09","CT","New London","NA",2019-02-03,5,2,2019,NA
"Connecticut","09","CT","Out of State","NA",2020-02-02,5,2,2020,179
"Connecticut","09","CT","Out of State","NA",2019-02-03,5,2,2019,202
"Connecticut","09","CT","Tolland","NA",2020-02-02,5,2,2020,NA
"Connecticut","09","CT","Tolland","NA",2019-02-03,5,2,2019,NA
"Connecticut","09","CT","unknown","NA",2020-02-02,5,2,2020,20
"Connecticut","09","CT","unknown","NA",2019-02-03,5,2,2019,25
"Connecticut","09","CT","Windham","NA",2020-02-02,5,2,2020,NA
"Connecticut","09","CT","Windham","NA",2019-02-03,5,2,2019,NA
"Connecticut","09","CT","Fairfield","NA",2019-02-10,6,2,2019,433
"Connecticut","09","CT","Fairfield","NA",2020-02-09,6,2,2020,NA
"Connecticut","09","CT","Hartford","NA",2019-02-10,6,2,2019,NA
"Connecticut","09","CT","Hartford","NA",2020-02-09,6,2,2020,581
"Connecticut","09","CT","Litchfield","NA",2019-02-10,6,2,2019,NA
"Connecticut","09","CT","Litchfield","NA",2020-02-09,6,2,2020,NA
"Connecticut","09","CT","Middlesex","NA",2019-02-10,6,2,2019,94
"Connecticut","09","CT","Middlesex","NA",2020-02-09,6,2,2020,98
"Connecticut","09","CT","New Haven","NA",2019-02-10,6,2,2019,562
"Connecticut","09","CT","New Haven","NA",2020-02-09,6,2,2020,613
"Connecticut","09","CT","New London","NA",2019-02-10,6,2,2019,NA
"Connecticut","09","CT","New London","NA",2020-02-09,6,2,2020,NA
"Connecticut","09","CT","Out of State","NA",2019-02-10,6,2,2019,152
"Connecticut","09","CT","Out of State","NA",2020-02-09,6,2,2020,157
"Connecticut","09","CT","Tolland","NA",2019-02-10,6,2,2019,NA
"Connecticut","09","CT","Tolland","NA",2020-02-09,6,2,2020,90
"Connecticut","09","CT","unknown","NA",2019-02-10,6,2,2019,41
"Connecticut","09","CT","unknown","NA",2020-02-09,6,2,2020,29
"Connecticut","09","CT","Windham","NA",2019-02-10,6,2,2019,NA
"Connecticut","09","CT","Windham","NA",2020-02-09,6,2,2020,NA
"Connecticut","09","CT","Fairfield","NA",2020-02-16,7,2,2020,335
"Connecticut","09","CT","Fairfield","NA",2019-02-17,7,2,2019,409
"Connecticut","09","CT","Hartford","NA",2020-02-16,7,2,2020,NA
"Connecticut","09","CT","Hartford","NA",2019-02-17,7,2,2019,NA
"Connecticut","09","CT","Litchfield","NA",2020-02-16,7,2,2020,NA
"Connecticut","09","CT","Litchfield","NA",2019-02-17,7,2,2019,NA
"Connecticut","09","CT","Middlesex","NA",2020-02-16,7,2,2020,NA
"Connecticut","09","CT","Middlesex","NA",2019-02-17,7,2,2019,NA
"Connecticut","09","CT","New Haven","NA",2020-02-16,7,2,2020,NA
"Connecticut","09","CT","New Haven","NA",2019-02-17,7,2,2019,582
"Connecticut","09","CT","New London","NA",2020-02-16,7,2,2020,NA
"Connecticut","09","CT","New London","NA",2019-02-17,7,2,2019,NA
"Connecticut","09","CT","Out of State","NA",2020-02-16,7,2,2020,98
"Connecticut","09","CT","Out of State","NA",2019-02-17,7,2,2019,143
"Connecticut","09","CT","Tolland","NA",2020-02-16,7,2,2020,NA
"Connecticut","09","CT","Tolland","NA",2019-02-17,7,2,2019,NA
"Connecticut","09","CT","unknown","NA",2020-02-16,7,2,2020,23
"Connecticut","09","CT","unknown","NA",2019-02-17,7,2,2019,24
"Connecticut","09","CT","Windham","NA",2020-02-16,7,2,2020,NA
"Connecticut","09","CT","Windham","NA",2019-02-17,7,2,2019,NA
"Connecticut","09","CT","Fairfield","NA",2020-02-23,8,2,2020,NA
"Connecticut","09","CT","Fairfield","NA",2019-02-24,8,2,2019,NA
"Connecticut","09","CT","Hartford","NA",2020-02-23,8,2,2020,NA
"Connecticut","09","CT","Hartford","NA",2019-02-24,8,2,2019,NA
"Connecticut","09","CT","Litchfield","NA",2020-02-23,8,2,2020,NA
"Connecticut","09","CT","Litchfield","NA",2019-02-24,8,2,2019,NA
"Connecticut","09","CT","Middlesex","NA",2020-02-23,8,2,2020,85
"Connecticut","09","CT","Middlesex","NA",2019-02-24,8,2,2019,NA
"Connecticut","09","CT","New Haven","NA",2020-02-23,8,2,2020,543
"Connecticut","09","CT","New Haven","NA",2019-02-24,8,2,2019,511
"Connecticut","09","CT","New London","NA",2020-02-23,8,2,2020,NA
"Connecticut","09","CT","New London","NA",2019-02-24,8,2,2019,NA
"Connecticut","09","CT","Out of State","NA",2020-02-23,8,2,2020,111
"Connecticut","09","CT","Out of State","NA",2019-02-24,8,2,2019,134
"Connecticut","09","CT","Tolland","NA",2020-02-23,8,2,2020,NA
"Connecticut","09","CT","Tolland","NA",2019-02-24,8,2,2019,51
"Connecticut","09","CT","unknown","NA",2020-02-23,8,2,2020,26
"Connecticut","09","CT","unknown","NA",2019-02-24,8,2,2019,27
"Connecticut","09","CT","Windham","NA",2020-02-23,8,2,2020,NA
"Connecticut","09","CT","Windham","NA",2019-02-24,8,2,2019,NA
"Connecticut","09","CT","Fairfield","NA",2020-03-01,9,3,2020,NA
"Connecticut","09","CT","Fairfield","NA",2019-03-03,9,3,2019,427
"Connecticut","09","CT","Hartford","NA",2020-03-01,9,3,2020,NA
"Connecticut","09","CT","Hartford","NA",2019-03-03,9,3,2019,643
"Connecticut","09","CT","Litchfield","NA",2020-03-01,9,3,2020,NA
"Connecticut","09","CT","Litchfield","NA",2019-03-03,9,3,2019,NA
"Connecticut","09","CT","Middlesex","NA",2020-03-01,9,3,2020,NA
"Connecticut","09","CT","Middlesex","NA",2019-03-03,9,3,2019,NA
"Connecticut","09","CT","New Haven","NA",2020-03-01,9,3,2020,609
"Connecticut","09","CT","New Haven","NA",2019-03-03,9,3,2019,678
"Connecticut","09","CT","New London","NA",2020-03-01,9,3,2020,167
"Connecticut","09","CT","New London","NA",2019-03-03,9,3,2019,NA
"Connecticut","09","CT","Out of State","NA",2020-03-01,9,3,2020,128
"Connecticut","09","CT","Out of State","NA",2019-03-03,9,3,2019,137
"Connecticut","09","CT","Tolland","NA",2020-03-01,9,3,2020,97
"Connecticut","09","CT","Tolland","NA",2019-03-03,9,3,2019,NA
"Connecticut","09","CT","unknown","NA",2020-03-01,9,3,2020,22
"Connecticut","09","CT","unknown","NA",2019-03-03,9,3,2019,24
"Connecticut","09","CT","Windham","NA",2020-03-01,9,3,2020,NA
"Connecticut","09","CT","Windham","NA",2019-03-03,9,3,2019,NA
"Connecticut","09","CT","Fairfield","NA",2019-03-10,10,3,2019,351
"Connecticut","09","CT","Fairfield","NA",2020-03-08,10,3,2020,1385
"Connecticut","09","CT","Hartford","NA",2019-03-10,10,3,2019,NA
"Connecticut","09","CT","Hartford","NA",2020-03-08,10,3,2020,1331
