"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Georgia",13,"GA","Appling",13001,2020-01-31,NA,1,2020,69
"Georgia",13,"GA","Appling",13001,2020-02-29,NA,2,2020,67
"Georgia",13,"GA","Appling",13001,2020-03-31,NA,3,2020,420
"Georgia",13,"GA","Appling",13001,2020-04-30,NA,4,2020,1546
"Georgia",13,"GA","Appling",13001,2020-05-31,NA,5,2020,873
"Georgia",13,"GA","Appling",13001,2020-06-30,NA,6,2020,649
"Georgia",13,"GA","Atkinson",13003,2020-01-31,NA,1,2020,146
"Georgia",13,"GA","Atkinson",13003,2020-02-29,NA,2,2020,47
"Georgia",13,"GA","Atkinson",13003,2020-03-31,NA,3,2020,121
"Georgia",13,"GA","Atkinson",13003,2020-04-30,NA,4,2020,664
"Georgia",13,"GA","Atkinson",13003,2020-05-31,NA,5,2020,429
"Georgia",13,"GA","Atkinson",13003,2020-06-30,NA,6,2020,284
"Georgia",13,"GA","Bacon",13005,2020-01-31,NA,1,2020,39
"Georgia",13,"GA","Bacon",13005,2020-02-29,NA,2,2020,18
"Georgia",13,"GA","Bacon",13005,2020-03-31,NA,3,2020,151
"Georgia",13,"GA","Bacon",13005,2020-04-30,NA,4,2020,655
"Georgia",13,"GA","Bacon",13005,2020-05-31,NA,5,2020,448
"Georgia",13,"GA","Bacon",13005,2020-06-30,NA,6,2020,354
"Georgia",13,"GA","Baker",13007,2020-01-31,NA,1,2020,6
"Georgia",13,"GA","Baker",13007,2020-02-29,NA,2,2020,5
"Georgia",13,"GA","Baker",13007,2020-03-31,NA,3,2020,39
"Georgia",13,"GA","Baker",13007,2020-04-30,NA,4,2020,123
"Georgia",13,"GA","Baker",13007,2020-05-31,NA,5,2020,70
"Georgia",13,"GA","Baker",13007,2020-06-30,NA,6,2020,59
"Georgia",13,"GA","Baldwin",13009,2020-01-31,NA,1,2020,117
"Georgia",13,"GA","Baldwin",13009,2020-02-29,NA,2,2020,62
"Georgia",13,"GA","Baldwin",13009,2020-03-31,NA,3,2020,1101
"Georgia",13,"GA","Baldwin",13009,2020-04-30,NA,4,2020,4077
"Georgia",13,"GA","Baldwin",13009,2020-05-31,NA,5,2020,2502
"Georgia",13,"GA","Baldwin",13009,2020-06-30,NA,6,2020,1744
"Georgia",13,"GA","Banks",13011,2020-01-31,NA,1,2020,142
"Georgia",13,"GA","Banks",13011,2020-02-29,NA,2,2020,32
"Georgia",13,"GA","Banks",13011,2020-03-31,NA,3,2020,355
"Georgia",13,"GA","Banks",13011,2020-04-30,NA,4,2020,1704
"Georgia",13,"GA","Banks",13011,2020-05-31,NA,5,2020,1140
"Georgia",13,"GA","Banks",13011,2020-06-30,NA,6,2020,595
"Georgia",13,"GA","Barrow",13013,2020-01-31,NA,1,2020,199
"Georgia",13,"GA","Barrow",13013,2020-02-29,NA,2,2020,133
"Georgia",13,"GA","Barrow",13013,2020-03-31,NA,3,2020,2184
"Georgia",13,"GA","Barrow",13013,2020-04-30,NA,4,2020,10476
"Georgia",13,"GA","Barrow",13013,2020-05-31,NA,5,2020,6216
"Georgia",13,"GA","Barrow",13013,2020-06-30,NA,6,2020,3575
"Georgia",13,"GA","Bartow",13015,2020-01-31,NA,1,2020,1359
"Georgia",13,"GA","Bartow",13015,2020-02-29,NA,2,2020,292
"Georgia",13,"GA","Bartow",13015,2020-03-31,NA,3,2020,3848
"Georgia",13,"GA","Bartow",13015,2020-04-30,NA,4,2020,16521
"Georgia",13,"GA","Bartow",13015,2020-05-31,NA,5,2020,9161
"Georgia",13,"GA","Bartow",13015,2020-06-30,NA,6,2020,5358
"Georgia",13,"GA","Ben Hill",13017,2020-01-31,NA,1,2020,179
"Georgia",13,"GA","Ben Hill",13017,2020-02-29,NA,2,2020,32
"Georgia",13,"GA","Ben Hill",13017,2020-03-31,NA,3,2020,163
"Georgia",13,"GA","Ben Hill",13017,2020-04-30,NA,4,2020,1332
"Georgia",13,"GA","Ben Hill",13017,2020-05-31,NA,5,2020,673
"Georgia",13,"GA","Ben Hill",13017,2020-06-30,NA,6,2020,590
"Georgia",13,"GA","Berrien",13019,2020-01-31,NA,1,2020,81
"Georgia",13,"GA","Berrien",13019,2020-02-29,NA,2,2020,26
"Georgia",13,"GA","Berrien",13019,2020-03-31,NA,3,2020,261
"Georgia",13,"GA","Berrien",13019,2020-04-30,NA,4,2020,1787
"Georgia",13,"GA","Berrien",13019,2020-05-31,NA,5,2020,787
"Georgia",13,"GA","Berrien",13019,2020-06-30,NA,6,2020,518
"Georgia",13,"GA","Bibb",13021,2020-01-31,NA,1,2020,659
"Georgia",13,"GA","Bibb",13021,2020-02-29,NA,2,2020,378
"Georgia",13,"GA","Bibb",13021,2020-03-31,NA,3,2020,4321
"Georgia",13,"GA","Bibb",13021,2020-04-30,NA,4,2020,16778
"Georgia",13,"GA","Bibb",13021,2020-05-31,NA,5,2020,10918
"Georgia",13,"GA","Bibb",13021,2020-06-30,NA,6,2020,9026
"Georgia",13,"GA","Bleckley",13023,2020-01-31,NA,1,2020,70
"Georgia",13,"GA","Bleckley",13023,2020-02-29,NA,2,2020,36
"Georgia",13,"GA","Bleckley",13023,2020-03-31,NA,3,2020,185
"Georgia",13,"GA","Bleckley",13023,2020-04-30,NA,4,2020,645
"Georgia",13,"GA","Bleckley",13023,2020-05-31,NA,5,2020,445
"Georgia",13,"GA","Bleckley",13023,2020-06-30,NA,6,2020,364
"Georgia",13,"GA","Brantley",13025,2020-01-31,NA,1,2020,34
"Georgia",13,"GA","Brantley",13025,2020-02-29,NA,2,2020,16
"Georgia",13,"GA","Brantley",13025,2020-03-31,NA,3,2020,312
"Georgia",13,"GA","Brantley",13025,2020-04-30,NA,4,2020,1521
"Georgia",13,"GA","Brantley",13025,2020-05-31,NA,5,2020,1017
"Georgia",13,"GA","Brantley",13025,2020-06-30,NA,6,2020,510
"Georgia",13,"GA","Brooks",13027,2020-01-31,NA,1,2020,82
"Georgia",13,"GA","Brooks",13027,2020-02-29,NA,2,2020,37
"Georgia",13,"GA","Brooks",13027,2020-03-31,NA,3,2020,179
"Georgia",13,"GA","Brooks",13027,2020-04-30,NA,4,2020,916
"Georgia",13,"GA","Brooks",13027,2020-05-31,NA,5,2020,782
"Georgia",13,"GA","Brooks",13027,2020-06-30,NA,6,2020,859
"Georgia",13,"GA","Bryan",13029,2020-01-31,NA,1,2020,74
"Georgia",13,"GA","Bryan",13029,2020-02-29,NA,2,2020,75
"Georgia",13,"GA","Bryan",13029,2020-03-31,NA,3,2020,1135
"Georgia",13,"GA","Bryan",13029,2020-04-30,NA,4,2020,5091
"Georgia",13,"GA","Bryan",13029,2020-05-31,NA,5,2020,2867
"Georgia",13,"GA","Bryan",13029,2020-06-30,NA,6,2020,1825
"Georgia",13,"GA","Bulloch",13031,2020-01-31,NA,1,2020,518
"Georgia",13,"GA","Bulloch",13031,2020-02-29,NA,2,2020,223
"Georgia",13,"GA","Bulloch",13031,2020-03-31,NA,3,2020,2160
"Georgia",13,"GA","Bulloch",13031,2020-04-30,NA,4,2020,9269
"Georgia",13,"GA","Bulloch",13031,2020-05-31,NA,5,2020,6362
"Georgia",13,"GA","Bulloch",13031,2020-06-30,NA,6,2020,4352
"Georgia",13,"GA","Burke",13033,2020-01-31,NA,1,2020,316
"Georgia",13,"GA","Burke",13033,2020-02-29,NA,2,2020,114
"Georgia",13,"GA","Burke",13033,2020-03-31,NA,3,2020,318
"Georgia",13,"GA","Burke",13033,2020-04-30,NA,4,2020,1676
"Georgia",13,"GA","Burke",13033,2020-05-31,NA,5,2020,839
"Georgia",13,"GA","Burke",13033,2020-06-30,NA,6,2020,851
"Georgia",13,"GA","Butts",13035,2020-01-31,NA,1,2020,69
"Georgia",13,"GA","Butts",13035,2020-02-29,NA,2,2020,54
"Georgia",13,"GA","Butts",13035,2020-03-31,NA,3,2020,582
"Georgia",13,"GA","Butts",13035,2020-04-30,NA,4,2020,2934
"Georgia",13,"GA","Butts",13035,2020-05-31,NA,5,2020,1824
"Georgia",13,"GA","Butts",13035,2020-06-30,NA,6,2020,1092
"Georgia",13,"GA","Calhoun",13037,2020-01-31,NA,1,2020,38
"Georgia",13,"GA","Calhoun",13037,2020-02-29,NA,2,2020,20
"Georgia",13,"GA","Calhoun",13037,2020-03-31,NA,3,2020,114
"Georgia",13,"GA","Calhoun",13037,2020-04-30,NA,4,2020,356
"Georgia",13,"GA","Calhoun",13037,2020-05-31,NA,5,2020,261
"Georgia",13,"GA","Calhoun",13037,2020-06-30,NA,6,2020,227
"Georgia",13,"GA","Camden",13039,2020-01-31,NA,1,2020,45
"Georgia",13,"GA","Camden",13039,2020-02-29,NA,2,2020,40
"Georgia",13,"GA","Camden",13039,2020-03-31,NA,3,2020,961
"Georgia",13,"GA","Camden",13039,2020-04-30,NA,4,2020,4085
"Georgia",13,"GA","Camden",13039,2020-05-31,NA,5,2020,2465
"Georgia",13,"GA","Camden",13039,2020-06-30,NA,6,2020,1403
"Georgia",13,"GA","Candler",13043,2020-01-31,NA,1,2020,65
"Georgia",13,"GA","Candler",13043,2020-02-29,NA,2,2020,20
"Georgia",13,"GA","Candler",13043,2020-03-31,NA,3,2020,186
"Georgia",13,"GA","Candler",13043,2020-04-30,NA,4,2020,790
"Georgia",13,"GA","Candler",13043,2020-05-31,NA,5,2020,465
"Georgia",13,"GA","Candler",13043,2020-06-30,NA,6,2020,397
"Georgia",13,"GA","Carroll",13045,2020-01-31,NA,1,2020,455
"Georgia",13,"GA","Carroll",13045,2020-02-29,NA,2,2020,303
"Georgia",13,"GA","Carroll",13045,2020-03-31,NA,3,2020,3655
"Georgia",13,"GA","Carroll",13045,2020-04-30,NA,4,2020,14450
"Georgia",13,"GA","Carroll",13045,2020-05-31,NA,5,2020,7950
"Georgia",13,"GA","Carroll",13045,2020-06-30,NA,6,2020,6026
"Georgia",13,"GA","Catoosa",13047,2020-01-31,NA,1,2020,306
"Georgia",13,"GA","Catoosa",13047,2020-02-29,NA,2,2020,65
"Georgia",13,"GA","Catoosa",13047,2020-03-31,NA,3,2020,749
"Georgia",13,"GA","Catoosa",13047,2020-04-30,NA,4,2020,4222
"Georgia",13,"GA","Catoosa",13047,2020-05-31,NA,5,2020,2217
"Georgia",13,"GA","Catoosa",13047,2020-06-30,NA,6,2020,1286
"Georgia",13,"GA","Charlton",13049,2020-01-31,NA,1,2020,22
"Georgia",13,"GA","Charlton",13049,2020-02-29,NA,2,2020,8
"Georgia",13,"GA","Charlton",13049,2020-03-31,NA,3,2020,93
"Georgia",13,"GA","Charlton",13049,2020-04-30,NA,4,2020,518
"Georgia",13,"GA","Charlton",13049,2020-05-31,NA,5,2020,467
"Georgia",13,"GA","Charlton",13049,2020-06-30,NA,6,2020,250
"Georgia",13,"GA","Chatham",13051,2020-01-31,NA,1,2020,599
"Georgia",13,"GA","Chatham",13051,2020-02-29,NA,2,2020,515
"Georgia",13,"GA","Chatham",13051,2020-03-31,NA,3,2020,14925
"Georgia",13,"GA","Chatham",13051,2020-04-30,NA,4,2020,48252
"Georgia",13,"GA","Chatham",13051,2020-05-31,NA,5,2020,29284
"Georgia",13,"GA","Chatham",13051,2020-06-30,NA,6,2020,19363
"Georgia",13,"GA","Chattahoochee",13053,2020-01-31,NA,1,2020,5
"Georgia",13,"GA","Chattahoochee",13053,2020-02-29,NA,2,2020,9
"Georgia",13,"GA","Chattahoochee",13053,2020-03-31,NA,3,2020,21
"Georgia",13,"GA","Chattahoochee",13053,2020-04-30,NA,4,2020,112
"Georgia",13,"GA","Chattahoochee",13053,2020-05-31,NA,5,2020,74
"Georgia",13,"GA","Chattahoochee",13053,2020-06-30,NA,6,2020,87
"Georgia",13,"GA","Chattooga",13055,2020-01-31,NA,1,2020,63
"Georgia",13,"GA","Chattooga",13055,2020-02-29,NA,2,2020,37
"Georgia",13,"GA","Chattooga",13055,2020-03-31,NA,3,2020,58
"Georgia",13,"GA","Chattooga",13055,2020-04-30,NA,4,2020,709
"Georgia",13,"GA","Chattooga",13055,2020-05-31,NA,5,2020,608
"Georgia",13,"GA","Chattooga",13055,2020-06-30,NA,6,2020,318
"Georgia",13,"GA","Cherokee",13057,2020-01-31,NA,1,2020,457
"Georgia",13,"GA","Cherokee",13057,2020-02-29,NA,2,2020,322
"Georgia",13,"GA","Cherokee",13057,2020-03-31,NA,3,2020,9092
"Georgia",13,"GA","Cherokee",13057,2020-04-30,NA,4,2020,31536
"Georgia",13,"GA","Cherokee",13057,2020-05-31,NA,5,2020,17725
"Georgia",13,"GA","Cherokee",13057,2020-06-30,NA,6,2020,11011
"Georgia",13,"GA","Clarke",13059,2020-01-31,NA,1,2020,255
"Georgia",13,"GA","Clarke",13059,2020-02-29,NA,2,2020,199
"Georgia",13,"GA","Clarke",13059,2020-03-31,NA,3,2020,4868
"Georgia",13,"GA","Clarke",13059,2020-04-30,NA,4,2020,15844
"Georgia",13,"GA","Clarke",13059,2020-05-31,NA,5,2020,10441
"Georgia",13,"GA","Clarke",13059,2020-06-30,NA,6,2020,7118
"Georgia",13,"GA","Clay",13061,2020-01-31,NA,1,2020,11
"Georgia",13,"GA","Clay",13061,2020-02-29,NA,2,2020,11
"Georgia",13,"GA","Clay",13061,2020-03-31,NA,3,2020,115
"Georgia",13,"GA","Clay",13061,2020-04-30,NA,4,2020,448
"Georgia",13,"GA","Clay",13061,2020-05-31,NA,5,2020,277
"Georgia",13,"GA","Clay",13061,2020-06-30,NA,6,2020,230
"Georgia",13,"GA","Clayton",13063,2020-01-31,NA,1,2020,1390
"Georgia",13,"GA","Clayton",13063,2020-02-29,NA,2,2020,902
"Georgia",13,"GA","Clayton",13063,2020-03-31,NA,3,2020,1029
"Georgia",13,"GA","Clayton",13063,2020-04-30,NA,4,2020,48691
"Georgia",13,"GA","Clayton",13063,2020-05-31,NA,5,2020,30778
"Georgia",13,"GA","Clayton",13063,2020-06-30,NA,6,2020,25414
"Georgia",13,"GA","Clinch",13065,2020-01-31,NA,1,2020,17
"Georgia",13,"GA","Clinch",13065,2020-02-29,NA,2,2020,0
"Georgia",13,"GA","Clinch",13065,2020-03-31,NA,3,2020,29
"Georgia",13,"GA","Clinch",13065,2020-04-30,NA,4,2020,318
"Georgia",13,"GA","Clinch",13065,2020-05-31,NA,5,2020,196
"Georgia",13,"GA","Clinch",13065,2020-06-30,NA,6,2020,106
"Georgia",13,"GA","Cobb",13067,2020-01-31,NA,1,2020,1623
"Georgia",13,"GA","Cobb",13067,2020-02-29,NA,2,2020,1228
"Georgia",13,"GA","Cobb",13067,2020-03-31,NA,3,2020,26415
"Georgia",13,"GA","Cobb",13067,2020-04-30,NA,4,2020,102022
"Georgia",13,"GA","Cobb",13067,2020-05-31,NA,5,2020,65153
"Georgia",13,"GA","Cobb",13067,2020-06-30,NA,6,2020,43763
"Georgia",13,"GA","Coffee",13069,2020-01-31,NA,1,2020,628
"Georgia",13,"GA","Coffee",13069,2020-02-29,NA,2,2020,200
"Georgia",13,"GA","Coffee",13069,2020-03-31,NA,3,2020,546
"Georgia",13,"GA","Coffee",13069,2020-04-30,NA,4,2020,3317
"Georgia",13,"GA","Coffee",13069,2020-05-31,NA,5,2020,2001
"Georgia",13,"GA","Coffee",13069,2020-06-30,NA,6,2020,1557
"Georgia",13,"GA","Colquitt",13071,2020-01-31,NA,1,2020,115
"Georgia",13,"GA","Colquitt",13071,2020-02-29,NA,2,2020,100
"Georgia",13,"GA","Colquitt",13071,2020-03-31,NA,3,2020,790
"Georgia",13,"GA","Colquitt",13071,2020-04-30,NA,4,2020,3510
"Georgia",13,"GA","Colquitt",13071,2020-05-31,NA,5,2020,2367
"Georgia",13,"GA","Colquitt",13071,2020-06-30,NA,6,2020,1370
"Georgia",13,"GA","Columbia",13073,2020-01-31,NA,1,2020,327
"Georgia",13,"GA","Columbia",13073,2020-02-29,NA,2,2020,173
"Georgia",13,"GA","Columbia",13073,2020-03-31,NA,3,2020,3091
"Georgia",13,"GA","Columbia",13073,2020-04-30,NA,4,2020,13151
"Georgia",13,"GA","Columbia",13073,2020-05-31,NA,5,2020,6848
"Georgia",13,"GA","Columbia",13073,2020-06-30,NA,6,2020,5726
"Georgia",13,"GA","Cook",13075,2020-01-31,NA,1,2020,56
"Georgia",13,"GA","Cook",13075,2020-02-29,NA,2,2020,32
"Georgia",13,"GA","Cook",13075,2020-03-31,NA,3,2020,354
"Georgia",13,"GA","Cook",13075,2020-04-30,NA,4,2020,1514
"Georgia",13,"GA","Cook",13075,2020-05-31,NA,5,2020,970
"Georgia",13,"GA","Cook",13075,2020-06-30,NA,6,2020,900
