FIPS,County,Week Ending,Initial Claims,Continued Weeks Claimed,Primary Point
19169,Story,1/25/20,47,394,POINT (-93.4650448 42.0362415)
19187,Webster,10/27/18,21,170,POINT (-94.18178810000002 42.4279662)
19103,Johnson,5/9/20,648,8793,POINT (-91.5880849 41.6715511)
19003,Adams,4/18/20,23,120,POINT (-94.6991849 41.02898390000001)
19139,Muscatine,6/20/20,122,2103,POINT (-91.1127562 41.4839221)
19063,Emmet,5/19/18,7,34,POINT (-94.6784803 43.37802250000001)
19079,Hamilton,6/8/19,8,38,POINT (-93.7068085 42.3837722)
19137,Montgomery,5/11/19,2,25,POINT (-95.1563758 41.03014)
19099,Jasper,1/19/19,45,369,POINT (-93.053765 41.6860394)
19033,Cerro Gordo,5/18/19,16,198,POINT (-93.2608184 43.081557700000005)
19059,Dickinson,7/21/18,11,187,POINT (-95.1508301 43.3779848)
19171,Tama,3/10/18,9,245,POINT (-92.5325425 42.07981170000001)
19043,Clayton,1/18/20,36,371,POINT (-91.34143280000002 42.8447493)
19087,Henry,12/1/18,30,77,POINT (-91.5445241 40.9879383)
19103,Johnson,11/23/19,92,430,POINT (-91.5880849 41.6715511)
19045,Clinton,10/27/18,33,178,POINT (-90.5319724 41.8980358)
19183,Washington,6/8/19,5,97,POINT (-91.7178676 41.335591)
19071,Fremont,3/21/20,19,18,POINT (-95.6046765 40.7455892)
19163,Scott,2/29/20,123,1492,POINT (-90.6232428 41.6370978)
19129,Mills,6/1/19,2,36,POINT (-95.62132670000001 41.0334523)
19087,Henry,5/18/19,18,77,POINT (-91.5445241 40.9879383)
19093,Ida,4/11/20,45,161,POINT (-95.5134962 42.3868747)
19165,Shelby,7/21/18,2,30,POINT (-95.31021130000002 41.6850926)
19101,Jefferson,12/7/19,13,77,POINT (-91.9488774 41.0317596)
19155,Pottawattamie,1/26/19,48,464,POINT (-95.5423935 41.3366123)
19017,Bremer,7/14/18,13,120,POINT (-92.31805480000001 42.7745873)
19047,Crawford,9/15/18,11,53,POINT (-95.3819678 42.0372125)
19113,Linn,12/21/19,821,1566,POINT (-91.5989646 42.0789478)
19093,Ida,4/20/19,1,26,POINT (-95.5134962 42.3868747)
19025,Calhoun,9/21/19,0,11,POINT (-94.6404136 42.385184800000005)
19055,Delaware,5/12/18,10,55,POINT (-91.3673502 42.471211)
19061,Dubuque,8/31/19,134,345,POINT (-90.8824564 42.468832)
19005,Allamakee,2/29/20,6,202,POINT (-91.3780923 43.2842838)
19011,Benton,10/20/18,22,86,POINT (-92.0656912 42.0801864)
19033,Cerro Gordo,3/7/20,68,396,POINT (-93.2608184 43.081557700000005)
19087,Henry,8/31/19,10,78,POINT (-91.5445241 40.9879383)
19153,Polk,1/4/20,827,4266,POINT (-93.5735335 41.6855048)
19101,Jefferson,9/29/18,10,77,POINT (-91.9488774 41.0317596)
19001,Adair,8/25/18,5,16,POINT (-94.4709413 41.3307464)
19035,Cherokee,4/25/20,45,394,POINT (-95.6238055 42.7356226)
19095,Iowa,1/19/19,9,168,POINT (-92.065524 41.6863229)
19041,Clay,9/29/18,13,55,POINT (-95.1509194 43.0825804)
19013,Black Hawk,8/3/19,240,874,POINT (-92.3088197 42.4700957)
19089,Howard,12/22/18,17,73,POINT (-92.3171989 43.3567673)
19183,Washington,8/17/19,9,59,POINT (-91.7178676 41.335591)
19005,Allamakee,9/14/19,4,25,POINT (-91.3780923 43.2842838)
19195,Worth,2/15/20,4,58,POINT (-93.2608476 43.3773984)
19153,Polk,6/8/19,449,2441,POINT (-93.5735335 41.6855048)
19175,Union,4/7/18,6,156,POINT (-94.2423792 41.0277304)
19101,Jefferson,3/21/20,129,106,POINT (-91.9488774 41.0317596)
19033,Cerro Gordo,6/2/18,29,293,POINT (-93.2608184 43.081557700000005)
19071,Fremont,2/22/20,2,21,POINT (-95.6046765 40.7455892)
19031,Cedar,1/25/20,18,200,POINT (-91.1324125 41.7723207)
19011,Benton,2/23/19,15,292,POINT (-92.0656912 42.0801864)
19049,Dallas,6/1/19,35,233,POINT (-94.0397374 41.6848862)
19003,Adams,9/8/18,5,9,POINT (-94.6991849 41.02898390000001)
19167,Sioux,9/21/19,2,37,POINT (-96.1778827 43.0826174)
19051,Davis,3/14/20,5,42,POINT (-92.4097173 40.7476891)
19005,Allamakee,1/12/19,31,214,POINT (-91.3780923 43.2842838)
19109,Kossuth,6/2/18,9,53,POINT (-94.2067199 43.20413)
19039,Clarke,6/8/19,2,52,POINT (-93.78515790000002 41.0290323)
19103,Johnson,3/30/19,57,675,POINT (-91.5880849 41.6715511)
19071,Fremont,5/9/20,21,146,POINT (-95.6046765 40.7455892)
19137,Montgomery,11/24/18,8,40,POINT (-95.1563758 41.03014)
19045,Clinton,9/21/19,39,285,POINT (-90.5319724 41.8980358)
19135,Monroe,6/29/19,4,26,POINT (-92.8689877 41.0297826)
19031,Cedar,6/16/18,6,70,POINT (-91.1324125 41.7723207)
19139,Muscatine,3/30/19,28,333,POINT (-91.1127562 41.4839221)
19107,Keokuk,8/25/18,4,45,POINT (-92.1786426 41.336465)
19035,Cherokee,5/25/19,8,58,POINT (-95.6238055 42.7356226)
19099,Jasper,2/16/19,28,418,POINT (-93.053765 41.6860394)
19077,Guthrie,12/21/19,13,63,POINT (-94.501055 41.6837548)
19071,Fremont,9/7/19,2,18,POINT (-95.6046765 40.7455892)
19059,Dickinson,4/13/19,11,134,POINT (-95.1508301 43.3779848)
19069,Franklin,4/11/20,80,246,POINT (-93.262473 42.7325458)
19155,Pottawattamie,5/4/19,31,212,POINT (-95.5423935 41.3366123)
19167,Sioux,3/14/20,16,296,POINT (-96.1778827 43.0826174)
19091,Humboldt,1/26/19,6,84,POINT (-94.2071868 42.7764686)
19165,Shelby,11/10/18,6,29,POINT (-95.31021130000002 41.6850926)
19153,Polk,2/24/18,378,4677,POINT (-93.5735335 41.6855048)
19137,Montgomery,5/30/20,11,400,POINT (-95.1563758 41.03014)
19079,Hamilton,6/29/19,4,47,POINT (-93.7068085 42.3837722)
19133,Monona,9/8/18,6,12,POINT (-95.9599235 42.0516663)
19137,Montgomery,7/7/18,7,34,POINT (-95.1563758 41.03014)
19143,Osceola,12/14/19,11,20,POINT (-95.6236852 43.3785704)
19165,Shelby,3/21/20,88,80,POINT (-95.31021130000002 41.6850926)
19049,Dallas,1/13/18,54,461,POINT (-94.0397374 41.6848862)
19167,Sioux,7/20/19,9,78,POINT (-96.1778827 43.0826174)
19079,Hamilton,6/13/20,35,433,POINT (-93.7068085 42.3837722)
19077,Guthrie,1/6/18,33,93,POINT (-94.501055 41.6837548)
19073,Greene,3/9/19,2,67,POINT (-94.3968356 42.0362394)
19069,Franklin,1/13/18,16,78,POINT (-93.262473 42.7325458)
19039,Clarke,3/30/19,3,106,POINT (-93.78515790000002 41.0290323)
19157,Poweshiek,2/24/18,8,195,POINT (-92.53146840000001 41.6864422)
19037,Chickasaw,11/30/19,31,84,POINT (-92.3176637 43.06004140000001)
19033,Cerro Gordo,1/20/18,31,366,POINT (-93.2608184 43.081557700000005)
19083,Hardin,2/15/20,7,153,POINT (-93.2404025 42.3838803)
19005,Allamakee,3/28/20,135,263,POINT (-91.3780923 43.2842838)
