"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Idaho",16,"ID","Ada",16001,2020-01-04,1,1,2020,421
"Idaho",16,"ID","Adams",16003,2020-01-04,1,1,2020,NA
"Idaho",16,"ID","Bannock",16005,2020-01-04,1,1,2020,84
"Idaho",16,"ID","Bear Lake",16007,2020-01-04,1,1,2020,NA
"Idaho",16,"ID","Benewah",16009,2020-01-04,1,1,2020,13
"Idaho",16,"ID","Bingham",16011,2020-01-04,1,1,2020,27
"Idaho",16,"ID","Blaine",16013,2020-01-04,1,1,2020,25
"Idaho",16,"ID","Boise",16015,2020-01-04,1,1,2020,NA
"Idaho",16,"ID","Bonner",16017,2020-01-04,1,1,2020,55
"Idaho",16,"ID","Bonneville",16019,2020-01-04,1,1,2020,96
"Idaho",16,"ID","Boundary",16021,2020-01-04,1,1,2020,25
"Idaho",16,"ID","Butte",16023,2020-01-04,1,1,2020,7
"Idaho",16,"ID","Camas",16025,2020-01-04,1,1,2020,NA
"Idaho",16,"ID","Canyon",16027,2020-01-04,1,1,2020,122
"Idaho",16,"ID","Caribou",16029,2020-01-04,1,1,2020,23
"Idaho",16,"ID","Cassia",16031,2020-01-04,1,1,2020,20
"Idaho",16,"ID","Clearwater",16035,2020-01-04,1,1,2020,5
"Idaho",16,"ID","Custer",16037,2020-01-04,1,1,2020,5
"Idaho",16,"ID","Elmore",16039,2020-01-04,1,1,2020,10
"Idaho",16,"ID","Franklin",16041,2020-01-04,1,1,2020,8
"Idaho",16,"ID","Fremont",16043,2020-01-04,1,1,2020,15
"Idaho",16,"ID","Gem",16045,2020-01-04,1,1,2020,5
"Idaho",16,"ID","Gooding",16047,2020-01-04,1,1,2020,6
"Idaho",16,"ID","Idaho",16049,2020-01-04,1,1,2020,13
"Idaho",16,"ID","Jefferson",16051,2020-01-04,1,1,2020,12
"Idaho",16,"ID","Jerome",16053,2020-01-04,1,1,2020,26
"Idaho",16,"ID","Kootenai",16055,2020-01-04,1,1,2020,215
"Idaho",16,"ID","Latah",16057,2020-01-04,1,1,2020,26
"Idaho",16,"ID","Lemhi",16059,2020-01-04,1,1,2020,11
"Idaho",16,"ID","Lewis",16061,2020-01-04,1,1,2020,5
"Idaho",16,"ID","Lincoln",16063,2020-01-04,1,1,2020,6
"Idaho",16,"ID","Madison",16065,2020-01-04,1,1,2020,16
"Idaho",16,"ID","Minidoka",16067,2020-01-04,1,1,2020,15
"Idaho",16,"ID","Nez Perce",16069,2020-01-04,1,1,2020,33
"Idaho",16,"ID","Oneida",16071,2020-01-04,1,1,2020,NA
"Idaho",16,"ID","Owyhee",16073,2020-01-04,1,1,2020,9
"Idaho",16,"ID","Payette",16075,2020-01-04,1,1,2020,12
"Idaho",16,"ID","Power",16077,2020-01-04,1,1,2020,5
"Idaho",16,"ID","Shoshone",16079,2020-01-04,1,1,2020,26
"Idaho",16,"ID","Teton",16081,2020-01-04,1,1,2020,6
"Idaho",16,"ID","Twin Falls",16083,2020-01-04,1,1,2020,80
"Idaho",16,"ID","Unclassified",NA,2020-01-04,1,1,2020,506
"Idaho",16,"ID","Valley",16085,2020-01-04,1,1,2020,11
"Idaho",16,"ID","Washington",16087,2020-01-04,1,1,2020,6
"Idaho",16,"ID","Ada",16001,2019-01-05,1,1,2019,428
"Idaho",16,"ID","Adams",16003,2019-01-05,1,1,2019,NA
"Idaho",16,"ID","Bannock",16005,2019-01-05,1,1,2019,45
"Idaho",16,"ID","Bear Lake",16007,2019-01-05,1,1,2019,NA
"Idaho",16,"ID","Benewah",16009,2019-01-05,1,1,2019,10
"Idaho",16,"ID","Bingham",16011,2019-01-05,1,1,2019,29
"Idaho",16,"ID","Blaine",16013,2019-01-05,1,1,2019,30
"Idaho",16,"ID","Boise",16015,2019-01-05,1,1,2019,5
"Idaho",16,"ID","Bonner",16017,2019-01-05,1,1,2019,53
"Idaho",16,"ID","Bonneville",16019,2019-01-05,1,1,2019,67
"Idaho",16,"ID","Boundary",16021,2019-01-05,1,1,2019,28
"Idaho",16,"ID","Butte",16023,2019-01-05,1,1,2019,9
"Idaho",16,"ID","Camas",16025,2019-01-05,1,1,2019,NA
"Idaho",16,"ID","Canyon",16027,2019-01-05,1,1,2019,132
"Idaho",16,"ID","Caribou",16029,2019-01-05,1,1,2019,19
"Idaho",16,"ID","Cassia",16031,2019-01-05,1,1,2019,12
"Idaho",16,"ID","Clearwater",16035,2019-01-05,1,1,2019,10
"Idaho",16,"ID","Custer",16037,2019-01-05,1,1,2019,6
"Idaho",16,"ID","Elmore",16039,2019-01-05,1,1,2019,5
"Idaho",16,"ID","Franklin",16041,2019-01-05,1,1,2019,5
"Idaho",16,"ID","Fremont",16043,2019-01-05,1,1,2019,11
"Idaho",16,"ID","Gem",16045,2019-01-05,1,1,2019,9
"Idaho",16,"ID","Gooding",16047,2019-01-05,1,1,2019,10
"Idaho",16,"ID","Idaho",16049,2019-01-05,1,1,2019,15
"Idaho",16,"ID","Jefferson",16051,2019-01-05,1,1,2019,13
"Idaho",16,"ID","Jerome",16053,2019-01-05,1,1,2019,25
"Idaho",16,"ID","Kootenai",16055,2019-01-05,1,1,2019,212
"Idaho",16,"ID","Latah",16057,2019-01-05,1,1,2019,26
"Idaho",16,"ID","Lemhi",16059,2019-01-05,1,1,2019,8
"Idaho",16,"ID","Lewis",16061,2019-01-05,1,1,2019,7
"Idaho",16,"ID","Lincoln",16063,2019-01-05,1,1,2019,10
"Idaho",16,"ID","Madison",16065,2019-01-05,1,1,2019,13
"Idaho",16,"ID","Minidoka",16067,2019-01-05,1,1,2019,22
"Idaho",16,"ID","Nez Perce",16069,2019-01-05,1,1,2019,33
"Idaho",16,"ID","Oneida",16071,2019-01-05,1,1,2019,NA
"Idaho",16,"ID","Owyhee",16073,2019-01-05,1,1,2019,9
"Idaho",16,"ID","Payette",16075,2019-01-05,1,1,2019,14
"Idaho",16,"ID","Power",16077,2019-01-05,1,1,2019,12
"Idaho",16,"ID","Shoshone",16079,2019-01-05,1,1,2019,11
"Idaho",16,"ID","Teton",16081,2019-01-05,1,1,2019,NA
"Idaho",16,"ID","Twin Falls",16083,2019-01-05,1,1,2019,83
"Idaho",16,"ID","Unclassified",NA,2019-01-05,1,1,2019,756
"Idaho",16,"ID","Valley",16085,2019-01-05,1,1,2019,13
"Idaho",16,"ID","Washington",16087,2019-01-05,1,1,2019,8
"Idaho",16,"ID","Ada",16001,2020-01-11,2,1,2020,428
"Idaho",16,"ID","Adams",16003,2020-01-11,2,1,2020,NA
"Idaho",16,"ID","Bannock",16005,2020-01-11,2,1,2020,35
"Idaho",16,"ID","Bear Lake",16007,2020-01-11,2,1,2020,NA
"Idaho",16,"ID","Benewah",16009,2020-01-11,2,1,2020,12
"Idaho",16,"ID","Bingham",16011,2020-01-11,2,1,2020,32
"Idaho",16,"ID","Blaine",16013,2020-01-11,2,1,2020,30
"Idaho",16,"ID","Boise",16015,2020-01-11,2,1,2020,NA
"Idaho",16,"ID","Bonner",16017,2020-01-11,2,1,2020,62
"Idaho",16,"ID","Bonneville",16019,2020-01-11,2,1,2020,76
