IDWD Research and Analysis,,,,,,,,,,
,,,,,,,,,,
Unemployment Insurance (UI) Claims,,,,,,,,,,
,,,,,,,,,,
Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Disclosure Code,Pct. Change from Same,Disclosure Code
,,,,,,,,,Week Last Year,
"Adams County, IN",18,1,2020,January,1,1,20,,,
"Adams County, IN",18,1,2020,January,1,2,16,,23.10%,
"Adams County, IN",18,1,2020,January,1,3,,(D),,(D)
"Adams County, IN",18,1,2020,January,1,4,10,,100.00%,
"Adams County, IN",18,1,2020,February,2,5,,(D),,(D)
"Adams County, IN",18,1,2020,February,2,6,10,,100.00%,
"Adams County, IN",18,1,2020,February,2,7,13,,100.00%,
"Adams County, IN",18,1,2020,February,2,8,49,,100.00%,
"Adams County, IN",18,1,2020,February,2,9,11,,10.00%,
"Adams County, IN",18,1,2020,March,3,10,,(D),,(D)
"Adams County, IN",18,1,2020,March,3,11,,(D),,(D)
"Adams County, IN",18,1,2020,March,3,12,156,,100.00%,
"Adams County, IN",18,1,2020,March,3,13,902,,100.00%,
"Adams County, IN",18,1,2020,April,4,14,968,,8700.00%,
"Adams County, IN",18,1,2020,April,4,15,403,,100.00%,
"Adams County, IN",18,1,2020,April,4,16,204,,100.00%,
"Adams County, IN",18,1,2020,April,4,17,145,,100.00%,
"Adams County, IN",18,1,2020,May,5,18,136,,100.00%,
"Adams County, IN",18,1,2020,May,5,19,83,,100.00%,
"Adams County, IN",18,1,2020,May,5,20,63,,472.70%,
"Adams County, IN",18,1,2020,May,5,21,72,,100.00%,
"Adams County, IN",18,1,2020,May,5,22,49,,100.00%,
"Adams County, IN",18,1,2020,June,6,23,68,,100.00%,
"Adams County, IN",18,1,2020,June,6,24,67,,100.00%,
"Adams County, IN",18,1,2020,June,6,25,96,,100.00%,
"Adams County, IN",18,1,2020,June,6,26,108,,100.00%,
"Adams County, IN",18,1,2020,July,7,27,66,,120.00%,
"Allen County, IN",18,3,2020,January,1,1,198,,31.10%,
"Allen County, IN",18,3,2020,January,1,2,245,,39.20%,
"Allen County, IN",18,3,2020,January,1,3,251,,71.90%,
"Allen County, IN",18,3,2020,January,1,4,164,,31.20%,
"Allen County, IN",18,3,2020,February,2,5,137,,-8.70%,
"Allen County, IN",18,3,2020,February,2,6,156,,24.80%,
"Allen County, IN",18,3,2020,February,2,7,196,,66.10%,
"Allen County, IN",18,3,2020,February,2,8,424,,311.70%,
"Allen County, IN",18,3,2020,February,2,9,157,,80.50%,
"Allen County, IN",18,3,2020,March,3,10,108,,22.70%,
"Allen County, IN",18,3,2020,March,3,11,115,,16.20%,
"Allen County, IN",18,3,2020,March,3,12,"3,561",,3688.30%,
"Allen County, IN",18,3,2020,March,3,13,"9,950",,12992.10%,
"Allen County, IN",18,3,2020,April,4,14,"6,848",,7771.30%,
"Allen County, IN",18,3,2020,April,4,15,"6,005",,7223.20%,
"Allen County, IN",18,3,2020,April,4,16,"3,646",,5261.80%,
"Allen County, IN",18,3,2020,April,4,17,"3,020",,3926.70%,
"Allen County, IN",18,3,2020,May,5,18,"2,429",,2378.60%,
"Allen County, IN",18,3,2020,May,5,19,"1,816",,1734.30%,
"Allen County, IN",18,3,2020,May,5,20,"1,784",,2023.80%,
"Allen County, IN",18,3,2020,May,5,21,"1,556",,1752.40%,
"Allen County, IN",18,3,2020,May,5,22,"1,340",,1422.70%,
"Allen County, IN",18,3,2020,June,6,23,"1,439",,1399.00%,
"Allen County, IN",18,3,2020,June,6,24,"1,301",,1314.10%,
"Allen County, IN",18,3,2020,June,6,25,"1,610",,1863.40%,
"Allen County, IN",18,3,2020,June,6,26,"2,491",,2607.60%,
"Allen County, IN",18,3,2020,July,7,27,"1,471",,1328.20%,
