county,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,5/16/20,5/23/20,5/30/20,6/6/20,6/13/20
Cheyenne,7,14,5,3,3,4,3,4,2,1,1,3
Sherman,13,24,17,108,17,10,4,8,13,8,10,8
Wallace,3,1,2,5,2,4,2,1,1,1,0,1
Greeley,5,1,5,2,1,1,1,1,1,2,1,1
Hamilton,4,3,4,7,4,2,3,2,1,1,1,2
Stanton,1,4,2,1,5,3,1,4,3,1,3,0
Morton,2,7,3,7,4,2,1,3,3,6,5,5
Rawlins,7,22,5,7,44,5,5,2,3,0,11,0
Thomas,33,63,92,40,24,38,18,13,14,9,7,10
Logan,10,27,27,11,7,41,9,4,7,7,4,2
Wichita,6,6,8,8,5,3,3,2,0,2,3,1
Kearny,16,18,13,33,11,9,6,5,4,6,0,5
Grant,18,41,19,19,22,19,13,8,12,11,12,17
Stevens,11,14,5,15,6,5,6,10,5,3,5,6
Decatur,8,22,4,7,14,12,5,3,5,3,3,0
Sheridan,4,8,7,9,1,3,2,4,2,3,1,1
Gove,8,41,9,17,9,11,11,2,1,4,3,6
Scott,4,34,10,14,16,3,8,15,6,4,12,4
Lane,4,5,3,6,6,2,1,1,5,1,1,3
Finney,391,449,153,162,165,206,92,84,70,60,70,45
Haskell,7,13,7,11,5,6,7,5,4,4,1,2
Gray,15,31,12,8,11,6,2,7,2,2,6,6
Seward,117,165,59,64,96,54,42,48,50,35,38,33
Meade,8,22,15,11,10,5,4,5,4,2,3,2
Norton,15,25,13,8,7,6,9,4,6,3,6,4
Graham,4,23,8,8,18,18,4,3,4,5,6,5
Trego,16,38,5,60,10,8,5,3,5,4,2,3
Ness,8,26,9,3,9,12,4,4,2,4,2,3
Hodgeman,4,5,8,4,2,3,4,1,4,0,1,2
Ford,152,219,114,113,204,117,76,65,60,60,94,49
Clark,2,4,3,0,5,1,0,5,4,2,4,3
Phillips,17,37,50,41,23,18,6,4,6,6,2,5
Rooks,27,41,22,17,19,23,7,12,10,4,8,10
Ellis,473,519,166,172,150,116,74,76,67,35,36,43
Rush,20,52,18,26,11,12,10,7,14,5,9,4
Pawnee,20,45,18,25,20,12,11,10,9,6,6,11
Edwards,14,14,7,9,11,7,9,6,5,3,2,9
Kiowa,9,16,7,12,9,9,2,6,1,1,3,5
Comanche,4,10,4,7,7,1,5,2,2,2,6,2
Smith,11,15,10,12,12,8,11,3,5,4,5,3
Osborne,33,29,21,7,10,4,3,5,5,4,4,0
Russell,114,105,38,51,38,38,18,16,13,12,9,7
Barton,221,404,167,156,135,96,55,89,212,75,68,49
Stafford,14,34,15,21,14,12,9,9,7,4,6,11
Pratt,46,137,58,75,35,33,44,20,25,19,20,17
Barber,23,29,30,23,16,10,10,6,11,4,3,5
Jewell,10,20,4,7,5,7,4,1,4,2,1,4
Mitchell,36,51,24,23,19,14,10,9,5,6,7,3
Lincoln,24,24,5,13,13,8,8,4,5,5,6,1
Ellsworth,38,42,18,15,18,13,15,13,9,16,10,10
Rice,106,123,48,44,62,27,22,32,28,19,24,11
Reno,865,998,508,617,698,317,234,225,189,188,159,231
Kingman,112,80,85,80,62,41,32,29,27,19,24,23
Harper,39,44,34,26,30,14,12,10,15,8,13,14
Republic,11,24,18,18,10,6,8,1,2,8,2,5
Cloud,46,111,34,44,35,19,23,15,12,18,20,18
Ottawa,36,71,26,37,35,17,62,25,20,18,14,12
Saline,809,971,567,554,427,301,607,270,217,207,243,204
McPherson,290,307,160,172,311,97,99,91,115,62,45,90
Harvey,499,737,482,800,316,147,106,133,104,62,75,88
Sedgwick,17967,11432,9044,9228,8737,4316,3400,3097,2805,2776,2669,2392
Sumner,637,382,400,580,467,150,111,102,76,84,120,99
Washington,16,44,12,18,7,6,7,8,7,11,7,1
Clay,67,106,45,42,18,27,26,14,32,28,15,9
Dickinson,325,279,133,104,116,107,73,49,50,65,60,48
Marion,110,188,90,45,74,26,23,22,24,25,20,24
Butler,1961,1085,826,936,1065,402,283,249,222,214,254,200
Cowley,436,500,532,430,415,131,97,142,103,89,75,94
Marshall,43,82,33,33,24,21,23,22,15,12,9,10
Riley,903,860,589,594,316,277,202,224,493,198,202,183
Geary,303,405,269,227,203,323,147,104,118,97,95,105
Morris,49,61,27,26,86,10,15,6,8,25,5,11
Chase,36,82,24,20,19,10,5,11,5,2,5,5
Nemaha,62,86,48,43,23,20,6,20,19,13,11,11
Pottawatomie,222,274,162,168,89,61,61,52,126,52,60,146
Wabaunsee,64,79,44,45,48,23,18,16,19,20,11,49
Lyon,311,391,182,198,255,299,138,96,82,100,82,73
Greenwood,53,87,72,42,35,21,14,18,19,10,22,13
Elk,30,25,25,18,16,9,5,10,11,6,6,4
Chautauqua,22,34,21,18,29,8,7,7,7,12,8,5
Brown,43,135,63,87,46,32,24,12,20,15,17,15
Jackson,212,250,260,193,115,62,46,48,30,43,29,29
Shawnee,3402,3319,1625,1731,1239,916,640,555,503,535,504,441
Osage,216,244,88,135,85,46,37,39,39,51,33,21
Coffey,73,103,41,37,38,22,19,20,19,23,10,14
Woodson,36,48,35,20,14,9,10,6,17,8,7,10
Wilson,92,292,358,105,70,42,30,24,247,40,24,22
Montgomery,610,571,509,219,390,195,152,215,312,231,125,124
Doniphan,34,43,29,36,17,17,14,13,10,9,12,7
Atchison,151,163,97,118,72,49,36,55,47,41,48,39
Jefferson,301,262,156,217,111,67,53,53,50,57,42,46
Douglas,2304,2129,1259,1503,859,621,705,521,629,610,394,351
Franklin,342,459,275,298,156,95,79,84,95,73,77,69
Anderson,82,88,43,48,31,13,21,19,25,19,17,22
Allen,177,221,99,61,63,48,38,31,104,45,43,39
Neosho,170,181,138,94,88,54,42,47,75,30,33,48
Labette,133,254,302,123,235,101,123,75,90,46,72,76
Leavenworth,1027,2581,614,502,440,307,244,197,242,187,155,131
Wyandotte,2536,9383,1425,1459,1346,873,695,657,726,538,562,541
Johnson,8369,421,5032,5102,4181,2668,1949,1770,1710,1452,1418,1318
Miami,386,109,207,222,182,122,81,84,74,89,70,56
Linn,85,159,47,68,54,39,29,32,36,30,21,22
Bourbon,246,566,83,904,71,59,54,39,77,118,45,117
Crawford,450,149,296,404,199,161,154,152,228,104,90,93
Cherokee,95,66,175,127,80,68,41,27,87,58,47,55
