"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Kentucky",22,"KY","Adair",21001,2020-01-31,5,1,2020,50
"Kentucky",22,"KY","Adair",21001,2019-01-31,5,1,2019,88
"Kentucky",22,"KY","Allen",21003,2020-01-31,5,1,2020,43
"Kentucky",22,"KY","Allen",21003,2019-01-31,5,1,2019,64
"Kentucky",22,"KY","Anderson",21005,2020-01-31,5,1,2020,55
"Kentucky",22,"KY","Anderson",21005,2019-01-31,5,1,2019,59
"Kentucky",22,"KY","Ballard",21007,2020-01-31,5,1,2020,41
"Kentucky",22,"KY","Ballard",21007,2019-01-31,5,1,2019,44
"Kentucky",22,"KY","Barren",21009,2020-01-31,5,1,2020,159
"Kentucky",22,"KY","Barren",21009,2019-01-31,5,1,2019,300
"Kentucky",22,"KY","Bath",21011,2020-01-31,5,1,2020,80
"Kentucky",22,"KY","Bath",21011,2019-01-31,5,1,2019,69
"Kentucky",22,"KY","Bell",21013,2020-01-31,5,1,2020,59
"Kentucky",22,"KY","Bell",21013,2019-01-31,5,1,2019,46
"Kentucky",22,"KY","Boone",21015,2020-01-31,5,1,2020,250
"Kentucky",22,"KY","Boone",21015,2019-01-31,5,1,2019,446
"Kentucky",22,"KY","Bourbon",21017,2020-01-31,5,1,2020,45
"Kentucky",22,"KY","Bourbon",21017,2019-01-31,5,1,2019,42
"Kentucky",22,"KY","Boyd",21019,2020-01-31,5,1,2020,154
"Kentucky",22,"KY","Boyd",21019,2019-01-31,5,1,2019,141
"Kentucky",22,"KY","Boyle",21021,2020-01-31,5,1,2020,105
"Kentucky",22,"KY","Boyle",21021,2019-01-31,5,1,2019,74
"Kentucky",22,"KY","Bracken",21023,2020-01-31,5,1,2020,37
"Kentucky",22,"KY","Bracken",21023,2019-01-31,5,1,2019,38
"Kentucky",22,"KY","Breathitt",21025,2020-01-31,5,1,2020,61
"Kentucky",22,"KY","Breathitt",21025,2019-01-31,5,1,2019,48
"Kentucky",22,"KY","Breckinridge",21027,2020-01-31,5,1,2020,83
"Kentucky",22,"KY","Breckinridge",21027,2019-01-31,5,1,2019,66
"Kentucky",22,"KY","Bullitt",21029,2020-01-31,5,1,2020,264
"Kentucky",22,"KY","Bullitt",21029,2019-01-31,5,1,2019,269
"Kentucky",22,"KY","Butler",21031,2020-01-31,5,1,2020,41
"Kentucky",22,"KY","Butler",21031,2019-01-31,5,1,2019,54
"Kentucky",22,"KY","Caldwell",21033,2020-01-31,5,1,2020,59
"Kentucky",22,"KY","Caldwell",21033,2019-01-31,5,1,2019,49
"Kentucky",22,"KY","Calloway",21035,2020-01-31,5,1,2020,270
"Kentucky",22,"KY","Calloway",21035,2019-01-31,5,1,2019,130
"Kentucky",22,"KY","Campbell",21037,2020-01-31,5,1,2020,169
"Kentucky",22,"KY","Campbell",21037,2019-01-31,5,1,2019,289
"Kentucky",22,"KY","Carlisle",21039,2020-01-31,5,1,2020,10
"Kentucky",22,"KY","Carlisle",21039,2019-01-31,5,1,2019,19
"Kentucky",22,"KY","Carroll",21041,2020-01-31,5,1,2020,35
"Kentucky",22,"KY","Carroll",21041,2019-01-31,5,1,2019,46
"Kentucky",22,"KY","Carter",21043,2020-01-31,5,1,2020,125
"Kentucky",22,"KY","Carter",21043,2019-01-31,5,1,2019,148
"Kentucky",22,"KY","Casey",21045,2020-01-31,5,1,2020,56
"Kentucky",22,"KY","Casey",21045,2019-01-31,5,1,2019,1590
"Kentucky",22,"KY","Christian",21047,2020-01-31,5,1,2020,283
"Kentucky",22,"KY","Christian",21047,2019-01-31,5,1,2019,247
"Kentucky",22,"KY","Clark",21049,2020-01-31,5,1,2020,140
"Kentucky",22,"KY","Clark",21049,2019-01-31,5,1,2019,93
"Kentucky",22,"KY","Clay",21051,2020-01-31,5,1,2020,56
"Kentucky",22,"KY","Clay",21051,2019-01-31,5,1,2019,57
"Kentucky",22,"KY","Clinton",21053,2020-01-31,5,1,2020,22
"Kentucky",22,"KY","Clinton",21053,2019-01-31,5,1,2019,23
"Kentucky",22,"KY","Crittenden",21055,2020-01-31,5,1,2020,33
"Kentucky",22,"KY","Crittenden",21055,2019-01-31,5,1,2019,41
"Kentucky",22,"KY","Cumberland",21057,2020-01-31,5,1,2020,32
"Kentucky",22,"KY","Cumberland",21057,2019-01-31,5,1,2019,15
"Kentucky",22,"KY","Daviess",21059,2020-01-31,5,1,2020,337
"Kentucky",22,"KY","Daviess",21059,2019-01-31,5,1,2019,316
"Kentucky",22,"KY","Edmonson",21061,2020-01-31,5,1,2020,49
"Kentucky",22,"KY","Edmonson",21061,2019-01-31,5,1,2019,50
"Kentucky",22,"KY","Elliott",21063,2020-01-31,5,1,2020,30
"Kentucky",22,"KY","Elliott",21063,2019-01-31,5,1,2019,27
"Kentucky",22,"KY","Estill",21065,2020-01-31,5,1,2020,27
"Kentucky",22,"KY","Estill",21065,2019-01-31,5,1,2019,34
"Kentucky",22,"KY","Fayette",21067,2020-01-31,5,1,2020,728
"Kentucky",22,"KY","Fayette",21067,2019-01-31,5,1,2019,602
"Kentucky",22,"KY","Fleming",21069,2020-01-31,5,1,2020,57
"Kentucky",22,"KY","Fleming",21069,2019-01-31,5,1,2019,59
"Kentucky",22,"KY","Floyd",21071,2020-01-31,5,1,2020,112
"Kentucky",22,"KY","Floyd",21071,2019-01-31,5,1,2019,105
"Kentucky",22,"KY","Franklin",21073,2020-01-31,5,1,2020,633
"Kentucky",22,"KY","Franklin",21073,2019-01-31,5,1,2019,113
"Kentucky",22,"KY","Fulton",21075,2020-01-31,5,1,2020,19
"Kentucky",22,"KY","Fulton",21075,2019-01-31,5,1,2019,7
"Kentucky",22,"KY","Gallatin",21077,2020-01-31,5,1,2020,27
"Kentucky",22,"KY","Gallatin",21077,2019-01-31,5,1,2019,28
"Kentucky",22,"KY","Garrard",21079,2020-01-31,5,1,2020,52
"Kentucky",22,"KY","Garrard",21079,2019-01-31,5,1,2019,51
"Kentucky",22,"KY","Grant",21081,2020-01-31,5,1,2020,80
"Kentucky",22,"KY","Grant",21081,2019-01-31,5,1,2019,94
"Kentucky",22,"KY","Graves",21083,2020-01-31,5,1,2020,136
"Kentucky",22,"KY","Graves",21083,2019-01-31,5,1,2019,114
"Kentucky",22,"KY","Grayson",21085,2020-01-31,5,1,2020,259
"Kentucky",22,"KY","Grayson",21085,2019-01-31,5,1,2019,481
"Kentucky",22,"KY","Green",21087,2020-01-31,5,1,2020,35
"Kentucky",22,"KY","Green",21087,2019-01-31,5,1,2019,41
"Kentucky",22,"KY","Greenup",21089,2020-01-31,5,1,2020,95
"Kentucky",22,"KY","Greenup",21089,2019-01-31,5,1,2019,85
"Kentucky",22,"KY","Hancock",21091,2020-01-31,5,1,2020,24
"Kentucky",22,"KY","Hancock",21091,2019-01-31,5,1,2019,18
"Kentucky",22,"KY","Hardin",21093,2020-01-31,5,1,2020,1268
"Kentucky",22,"KY","Hardin",21093,2019-01-31,5,1,2019,1338
"Kentucky",22,"KY","Harlan",21095,2020-01-31,5,1,2020,115
"Kentucky",22,"KY","Harlan",21095,2019-01-31,5,1,2019,36
"Kentucky",22,"KY","Harrison",21097,2020-01-31,5,1,2020,56
"Kentucky",22,"KY","Harrison",21097,2019-01-31,5,1,2019,51
"Kentucky",22,"KY","Hart",21099,2020-01-31,5,1,2020,54
"Kentucky",22,"KY","Hart",21099,2019-01-31,5,1,2019,92
"Kentucky",22,"KY","Henderson",21101,2020-01-31,5,1,2020,98
"Kentucky",22,"KY","Henderson",21101,2019-01-31,5,1,2019,81
"Kentucky",22,"KY","Henry",21103,2020-01-31,5,1,2020,48
"Kentucky",22,"KY","Henry",21103,2019-01-31,5,1,2019,54
"Kentucky",22,"KY","Hickman",21105,2020-01-31,5,1,2020,14
"Kentucky",22,"KY","Hickman",21105,2019-01-31,5,1,2019,16
"Kentucky",22,"KY","Hopkins",21107,2020-01-31,5,1,2020,147
"Kentucky",22,"KY","Hopkins",21107,2019-01-31,5,1,2019,120
"Kentucky",22,"KY","Jackson",21109,2020-01-31,5,1,2020,46
