"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Louisiana",22,"LA","Jefferson",22051,2020-03-28,13,3,2020,13240
"Louisiana",22,"LA","Orleans",22071,2020-03-28,13,3,2020,12896
"Louisiana",22,"LA","Plaquemines",22075,2020-03-28,13,3,2020,431
"Louisiana",22,"LA","St. Bernard",22087,2020-03-28,13,3,2020,1308
"Louisiana",22,"LA","St. Charles",22089,2020-03-28,13,3,2020,1179
"Louisiana",22,"LA","St. James",22093,2020-03-28,13,3,2020,336
"Louisiana",22,"LA","St. John the Baptist",22095,2020-03-28,13,3,2020,1030
"Louisiana",22,"LA","St. Tammany",22103,2020-03-28,13,3,2020,5807
"Louisiana",22,"LA","Ascension",22005,2020-03-28,13,3,2020,2759
"Louisiana",22,"LA","East Baton Rouge",22033,2020-03-28,13,3,2020,9777
"Louisiana",22,"LA","East Feliciana",22037,2020-03-28,13,3,2020,256
"Louisiana",22,"LA","Iberville",22047,2020-03-28,13,3,2020,611
"Louisiana",22,"LA","Livingston",22063,2020-03-28,13,3,2020,3217
"Louisiana",22,"LA","Pointe Coupee",22077,2020-03-28,13,3,2020,365
"Louisiana",22,"LA","St. Helena",22091,2020-03-28,13,3,2020,125
"Louisiana",22,"LA","Tangipahoa",22105,2020-03-28,13,3,2020,3110
"Louisiana",22,"LA","Washington",22117,2020-03-28,13,3,2020,567
"Louisiana",22,"LA","West Baton Rouge",22121,2020-03-28,13,3,2020,594
"Louisiana",22,"LA","West Feliciana",22125,2020-03-28,13,3,2020,139
"Louisiana",22,"LA","Assumption",22007,2020-03-28,13,3,2020,442
"Louisiana",22,"LA","Lafourche",22057,2020-03-28,13,3,2020,1421
"Louisiana",22,"LA","Terrebonne",22109,2020-03-28,13,3,2020,2138
"Louisiana",22,"LA","Acadia",22001,2020-03-28,13,3,2020,802
"Louisiana",22,"LA","Evangeline",22039,2020-03-28,13,3,2020,250
"Louisiana",22,"LA","Iberia",22045,2020-03-28,13,3,2020,1214
"Louisiana",22,"LA","Lafayette",22055,2020-03-28,13,3,2020,5265
"Louisiana",22,"LA","St. Landry",22097,2020-03-28,13,3,2020,1291
"Louisiana",22,"LA","St. Martin",22099,2020-03-28,13,3,2020,867
"Louisiana",22,"LA","St. Mary",22101,2020-03-28,13,3,2020,793
"Louisiana",22,"LA","Vermilion",22113,2020-03-28,13,3,2020,924
"Louisiana",22,"LA","Allen",22003,2020-03-28,13,3,2020,204
"Louisiana",22,"LA","Beauregard",22011,2020-03-28,13,3,2020,378
"Louisiana",22,"LA","Calcasieu",22019,2020-03-28,13,3,2020,4389
"Louisiana",22,"LA","Cameron",22023,2020-03-28,13,3,2020,47
"Louisiana",22,"LA","Jefferson Davis",22053,2020-03-28,13,3,2020,409
"Louisiana",22,"LA","Vernon",22115,2020-03-28,13,3,2020,479
"Louisiana",22,"LA","Avoyelles",22009,2020-03-28,13,3,2020,608
"Louisiana",22,"LA","Catahoula",22025,2020-03-28,13,3,2020,85
"Louisiana",22,"LA","Concordia",22029,2020-03-28,13,3,2020,158
"Louisiana",22,"LA","Grant",22043,2020-03-28,13,3,2020,210
"Louisiana",22,"LA","La Salle",22059,2020-03-28,13,3,2020,328
"Louisiana",22,"LA","Rapides",22079,2020-03-28,13,3,2020,1907
"Louisiana",22,"LA","Winn",22127,2020-03-28,13,3,2020,70
"Louisiana",22,"LA","Bienville",22013,2020-03-28,13,3,2020,116
"Louisiana",22,"LA","Bossier",22015,2020-03-28,13,3,2020,1994
