Claim Type1,Parish1,Region,Week Ending,Claims,Number of Records
Continued,Jefferson Parish,RLMA 1 - New Orleans,4/4/20,16328,1
Continued,Orleans Parish,RLMA 1 - New Orleans,4/4/20,19254,1
Continued,Plaquemines Parish,RLMA 1 - New Orleans,4/4/20,511,1
Continued,St. Bernard Parish,RLMA 1 - New Orleans,4/4/20,1769,1
Continued,St. Charles Parish,RLMA 1 - New Orleans,4/4/20,1454,1
Continued,St. James Parish,RLMA 1 - New Orleans,4/4/20,421,1
Continued,St. John the Baptist Parish,RLMA 1 - New Orleans,4/4/20,1230,1
Continued,St. Tammany Parish,RLMA 1 - New Orleans,4/4/20,6583,1
Continued,Ascension Parish,RLMA 2 - Baton Rouge,4/4/20,2782,1
Continued,East Baton Rouge Parish,RLMA 2 - Baton Rouge,4/4/20,11408,1
Continued,East Feliciana Parish,RLMA 2 - Baton Rouge,4/4/20,273,1
Continued,Iberville Parish,RLMA 2 - Baton Rouge,4/4/20,764,1
Continued,Livingston Parish,RLMA 2 - Baton Rouge,4/4/20,3480,1
Continued,Pointe Coupee Parish,RLMA 2 - Baton Rouge,4/4/20,403,1
Continued,St. Helena Parish,RLMA 2 - Baton Rouge,4/4/20,136,1
Continued,Tangipahoa Parish,RLMA 2 - Baton Rouge,4/4/20,3575,1
Continued,Washington Parish,RLMA 2 - Baton Rouge,4/4/20,592,1
Continued,West Baton Rouge Parish,RLMA 2 - Baton Rouge,4/4/20,613,1
Continued,West Feliciana Parish,RLMA 2 - Baton Rouge,4/4/20,173,1
Continued,Assumption Parish,RLMA 3 - Houma,4/4/20,394,1
Continued,Lafourche Parish,RLMA 3 - Houma,4/4/20,1481,1
Continued,Terrebonne Parish,RLMA 3 - Houma,4/4/20,2203,1
Continued,Acadia Parish,RLMA 4 - Lafayette,4/4/20,916,1
Continued,Evangeline Parish,RLMA 4 - Lafayette,4/4/20,309,1
Continued,Iberia Parish,RLMA 4 - Lafayette,4/4/20,1335,1
Continued,Lafayette Parish,RLMA 4 - Lafayette,4/4/20,5830,1
Continued,St. Landry Parish,RLMA 4 - Lafayette,4/4/20,1434,1
Continued,St. Martin Parish,RLMA 4 - Lafayette,4/4/20,977,1
Continued,St. Mary Parish,RLMA 4 - Lafayette,4/4/20,867,1
Continued,Vermilion Parish,RLMA 4 - Lafayette,4/4/20,989,1
Continued,Allen Parish,RLMA 5 - Lake Charles,4/4/20,231,1
Continued,Beauregard Parish,RLMA 5 - Lake Charles,4/4/20,479,1
Continued,Calcasieu Parish,RLMA 5 - Lake Charles,4/4/20,5356,1
Continued,Cameron Parish,RLMA 5 - Lake Charles,4/4/20,57,1
Continued,Jefferson Davis Parish,RLMA 5 - Lake Charles,4/4/20,441,1
Continued,Vernon Parish,RLMA 5 - Lake Charles,4/4/20,588,1
Continued,Avoyelles Parish,RLMA 6 - Alexandria,4/4/20,1059,1
