Blank,County Name,Week-Ending Date,00  Not identified,"11  Agriculture, Forestry, Fishing, Hunting",11  Management Occupations,13  Business and Financial Operations Occupations,15  Computer and Mathematical Occupations,17  Architecture and Engineering Occupations,"19  Life, Physical, and Social Science Occupations",21  Community and Social Service Occupations,21  Mining,22  Utilities,23  Construction,23  Legal Occupations,"25  Education, Training, and Library Occupations","27  Arts, Design, Entertainment, Sports, and Media Occupations",29  Healthcare Practitioners and Technical Occupations,31  Healthcare Support Occupations,31-33  Manufacturing,33  Protective Service Occupations,35  Food Preparation and Serving Related Occupations,37  Building and Grounds Cleaning and Maintenance Occupations,39  Personal Care and Service Occupations,41  Sales and Related Occupations,42  Wholesale Trade,43  Office and Administrative Support Occupations,44-45  Retail Trade,"45  Farming, Fishing, and Forestry Occupations",47  Construction and Extraction Occupations,48-49  Transportation and Warehousing,"49  Installation, Maintenance, and Repair Occupations",51  Information,51  Production Occupations,52  Finance and Insurance,53  Real Estate & Rental and Leasing,53  Transportation and Material Moving Occupations,"54  Professional, Scientific, Technical Services",55  Management of Companies and Enterprises,55  Military Specific Occupations,56  Admin & Support and Waste Mgt & Remediation,61  Educational Services,62  Health Care and Social Assistance,"71  Arts, Entertainment, Recreation",72  Accommodation and Food Services,81  Other Services (exc Public Administration),92  Public Administration,99  Unknown,American Indian or Alaska Native,Asian,Black or African American,Claims,Female,Hispanic,Male,N/A,Native Hawaiian or Other Pacific Islander,Not Hispanic,Race Unknown,Unknown,White
,Barnstable County,3/21/20,646,21,760,97,41,33,14,40,,,512,26,187,120,316,211,167,29,982,291,459,782,135,734,1087,37,409,137,344,65,149,33,113,331,242,12,,294,118,778,233,1212,515,102,30,40,101,253,6422,3492,295,2930,380,13,5747,516,,5499
,Berkshire County,3/21/20,336,10,283,50,10,19,5,26,,,199,18,86,60,91,83,200,32,466,136,243,295,98,328,389,7,221,50,115,37,198,15,48,145,126,,,98,54,256,132,631,208,51,23,11,42,95,2940,1524,145,1416,114,10,2681,175,,2607
,Bristol County,3/21/20,1728,72,1389,269,86,140,36,160,6,,1758,57,702,297,868,610,1651,128,1898,362,1201,1620,766,2246,2450,72,1590,583,827,106,1397,76,147,1367,569,49,,833,187,2817,331,1841,1163,296,108,62,375,990,17431,9186,1496,8243,866,46,15069,1815,,14143
,Dukes County,3/21/20,79,5,84,6,,6,,,,,163,5,13,22,13,7,12,,89,56,18,42,7,63,82,5,155,8,41,,15,,19,20,33,,,51,,35,37,85,30,17,8,9,8,31,672,282,30,390,47,,595,76,,545
,Essex County,3/21/20,2499,30,1966,380,82,121,48,120,,,2009,81,692,424,827,675,1335,147,2791,643,1756,2053,523,2469,2915,30,1884,805,877,141,1230,108,270,1767,724,53,6,1312,278,2579,544,3068,1757,249,136,131,671,1045,21205,10993,5157,10211,1256,95,14792,4326,,14937
,Franklin County,3/21/20,206,23,145,14,,20,9,23,,,189,6,58,41,80,41,218,8,264,41,95,127,61,195,204,15,166,46,87,10,181,7,8,105,30,,,57,44,235,50,223,83,44,16,5,19,24,1740,874,67,866,100,6,1573,104,,1582
,Hampden County,3/21/20,1296,11,771,163,42,73,33,158,,5,615,44,351,151,465,389,1013,140,1542,333,857,1090,304,1323,1454,6,560,348,492,76,1087,57,98,845,267,89,,531,177,1678,234,1718,774,219,47,87,299,911,10964,5817,2636,5146,623,50,7705,2019,,7598
,Hampshire County,3/21/20,316,11,335,40,16,21,7,23,,,247,12,126,91,169,93,215,27,556,72,208,287,117,305,416,6,206,83,120,21,247,18,33,156,85,12,,129,74,456,81,544,201,87,25,21,92,65,3151,1678,217,1473,180,7,2754,297,,2669
,Middlesex County,3/21/20,3491,30,3249,664,263,288,137,175,8,,2986,117,1428,804,1500,871,1348,247,4086,806,2911,2928,745,3402,3816,22,2498,992,1200,308,1248,157,432,2030,1148,108,,1534,659,4339,971,4802,2714,497,210,119,3037,1859,31088,15989,3477,15099,1833,59,25778,3654,,22360
,Nantucket County,3/21/20,50,,79,6,,10,,,,,172,,8,14,11,5,10,,57,75,16,33,,52,76,,141,9,38,,9,,7,15,29,,,77,8,14,12,70,29,,,6,11,39,576,214,73,362,19,,484,65,,454
,Norfolk County,3/21/20,1598,16,1750,358,121,121,50,78,8,,1653,60,605,406,709,401,862,125,2182,374,1651,1676,446,1827,2288,8,1419,549,586,177,666,80,239,1139,583,62,,646,291,2034,451,2560,1655,208,93,58,2566,1252,16408,8329,928,8079,923,29,14557,1281,,11222
,Plymouth County,3/21/20,1455,20,1435,262,76,107,42,91,8,,1861,39,618,287,577,369,854,132,1654,324,1117,1434,512,1840,2196,19,1651,499,752,125,710,72,202,1156,503,44,,711,194,1900,349,1807,1227,234,79,50,232,1511,14773,7596,619,7177,812,20,13342,1236,,11724
,Suffolk County,3/21/20,2318,8,1436,364,129,117,59,112,,,1181,75,424,437,485,413,512,303,3998,917,1539,1720,377,1714,1742,11,1178,968,372,165,580,85,318,1586,504,97,,1164,332,1525,464,4696,1494,138,117,127,1839,4003,18089,8981,4676,9107,1171,67,12242,4126,,7927
,Worcester County,3/21/20,2073,55,1806,338,120,189,61,188,12,5,1819,73,855,346,785,577,1477,143,2401,482,1718,1926,551,2279,2877,37,1545,673,991,129,1302,130,216,1393,671,64,,967,388,2656,475,2558,1575,308,121,84,751,686,19679,10274,2440,9404,974,51,16265,2148,,15959
,Barnstable County,3/28/20,603,20,517,84,26,22,13,50,,,320,19,89,118,234,141,105,21,588,179,300,663,91,506,885,20,270,127,198,55,105,31,111,309,173,20,,159,62,580,117,670,292,84,35,45,119,208,4507,2469,202,2038,274,9,4031,361,,3765
,Berkshire County,3/28/20,296,,200,46,12,17,,28,,,191,8,54,53,95,79,79,22,322,90,172,254,118,282,311,6,182,31,85,28,82,11,28,116,66,,,99,47,250,108,397,136,31,22,6,44,81,2230,1174,125,1056,107,5,1998,160,,1934
