"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Michigan",26,"MI","Alcona",26001,2020-03-28,13,3,2020,181
"Michigan",26,"MI","Alger",26003,2020-03-28,13,3,2020,153
"Michigan",26,"MI","Allegan",26005,2020-03-28,13,3,2020,3743
"Michigan",26,"MI","Alpena",26007,2020-03-28,13,3,2020,641
"Michigan",26,"MI","Antrim",26009,2020-03-28,13,3,2020,607
"Michigan",26,"MI","Arenac",26011,2020-03-28,13,3,2020,399
"Michigan",26,"MI","Baraga",26013,2020-03-28,13,3,2020,100
"Michigan",26,"MI","Barry",26015,2020-03-28,13,3,2020,1796
"Michigan",26,"MI","Bay",26017,2020-03-28,13,3,2020,3292
"Michigan",26,"MI","Benzie",26019,2020-03-28,13,3,2020,545
"Michigan",26,"MI","Berrien",26021,2020-03-28,13,3,2020,2834
"Michigan",26,"MI","Branch",26023,2020-03-28,13,3,2020,1135
"Michigan",26,"MI","Calhoun",26025,2020-03-28,13,3,2020,3880
"Michigan",26,"MI","Cass",26027,2020-03-28,13,3,2020,903
"Michigan",26,"MI","Charlevoix",26029,2020-03-28,13,3,2020,713
"Michigan",26,"MI","Cheboygan",26031,2020-03-28,13,3,2020,707
"Michigan",26,"MI","Chippewa",26033,2020-03-28,13,3,2020,558
"Michigan",26,"MI","Clare",26035,2020-03-28,13,3,2020,930
"Michigan",26,"MI","Clinton",26037,2020-03-28,13,3,2020,2147
"Michigan",26,"MI","Crawford",26039,2020-03-28,13,3,2020,392
"Michigan",26,"MI","Delta",26041,2020-03-28,13,3,2020,921
"Michigan",26,"MI","Dickinson",26043,2020-03-28,13,3,2020,437
"Michigan",26,"MI","Eaton",26045,2020-03-28,13,3,2020,3406
"Michigan",26,"MI","Emmet",26047,2020-03-28,13,3,2020,1098
"Michigan",26,"MI","Genesee",26049,2020-03-28,13,3,2020,15541
"Michigan",26,"MI","Gladwin",26051,2020-03-28,13,3,2020,623
"Michigan",26,"MI","Gogebic",26053,2020-03-28,13,3,2020,1
"Michigan",26,"MI","Grand Traverse",26055,2020-03-28,13,3,2020,2938
"Michigan",26,"MI","Gratiot",26057,2020-03-28,13,3,2020,1139
"Michigan",26,"MI","Hillsdale",26059,2020-03-28,13,3,2020,1686
"Michigan",26,"MI","Houghton",26061,2020-03-28,13,3,2020,648
"Michigan",26,"MI","Huron",26063,2020-03-28,13,3,2020,892
"Michigan",26,"MI","Ingham",26065,2020-03-28,13,3,2020,7076
"Michigan",26,"MI","Ionia",26067,2020-03-28,13,3,2020,2328
"Michigan",26,"MI","Iosco",26069,2020-03-28,13,3,2020,712
"Michigan",26,"MI","Iron",26071,2020-03-28,13,3,2020,218
"Michigan",26,"MI","Isabella",26073,2020-03-28,13,3,2020,1632
"Michigan",26,"MI","Jackson",26075,2020-03-28,13,3,2020,4498
"Michigan",26,"MI","Kalamazoo",26077,2020-03-28,13,3,2020,5966
"Michigan",26,"MI","Kalkaska",26079,2020-03-28,13,3,2020,526
"Michigan",26,"MI","Kent",26081,2020-03-28,13,3,2020,19497
"Michigan",26,"MI","Keweenaw",26083,2020-03-28,13,3,2020,37
"Michigan",26,"MI","Lake",26085,2020-03-28,13,3,2020,275
"Michigan",26,"MI","Lapeer",26087,2020-03-28,13,3,2020,4287
"Michigan",26,"MI","Leelanau",26089,2020-03-28,13,3,2020,535
"Michigan",26,"MI","Lenawee",26091,2020-03-28,13,3,2020,3586
"Michigan",26,"MI","Livingston",26093,2020-03-28,13,3,2020,6801
"Michigan",26,"MI","Luce",26095,2020-03-28,13,3,2020,86
"Michigan",26,"MI","Mackinac",26097,2020-03-28,13,3,2020,214
"Michigan",26,"MI","Macomb",26099,2020-03-28,13,3,2020,39243
"Michigan",26,"MI","Manistee",26101,2020-03-28,13,3,2020,566
"Michigan",26,"MI","Marquette",26103,2020-03-28,13,3,2020,1663
"Michigan",26,"MI","Mason",26105,2020-03-28,13,3,2020,850
"Michigan",26,"MI","Mecosta",26107,2020-03-28,13,3,2020,1272
"Michigan",26,"MI","Menominee",26109,2020-03-28,13,3,2020,273
"Michigan",26,"MI","Midland",26111,2020-03-28,13,3,2020,2111
"Michigan",26,"MI","Missaukee",26113,2020-03-28,13,3,2020,511
"Michigan",26,"MI","Monroe",26115,2020-03-28,13,3,2020,4154
"Michigan",26,"MI","Montcalm",26117,2020-03-28,13,3,2020,2298
"Michigan",26,"MI","Montmorency",26119,2020-03-28,13,3,2020,156
"Michigan",26,"MI","Muskegon",26121,2020-03-28,13,3,2020,6402
"Michigan",26,"MI","Newaygo",26123,2020-03-28,13,3,2020,1496
"Michigan",26,"MI","Oakland",26125,2020-03-28,13,3,2020,34181
"Michigan",26,"MI","Oceana",26127,2020-03-28,13,3,2020,660
"Michigan",26,"MI","Ogemaw",26129,2020-03-28,13,3,2020,443
"Michigan",26,"MI","Ontonagon",26131,2020-03-28,13,3,2020,128
"Michigan",26,"MI","Osceola",26133,2020-03-28,13,3,2020,1002
"Michigan",26,"MI","Oscoda",26135,2020-03-28,13,3,2020,200
"Michigan",26,"MI","Otsego",26137,2020-03-28,13,3,2020,765
"Michigan",26,"MI","Ottawa",26139,2020-03-28,13,3,2020,9206
"Michigan",26,"MI","Presque Isle",26141,2020-03-28,13,3,2020,277
"Michigan",26,"MI","Roscommon",26143,2020-03-28,13,3,2020,643
"Michigan",26,"MI","Saginaw",26145,2020-03-28,13,3,2020,5892
"Michigan",26,"MI","St. Clair",26147,2020-03-28,13,3,2020,7770
"Michigan",26,"MI","St. Joseph",26149,2020-03-28,13,3,2020,1848
"Michigan",26,"MI","Sanilac",26151,2020-03-28,13,3,2020,1648
"Michigan",26,"MI","Schoolcraft",26153,2020-03-28,13,3,2020,125
"Michigan",26,"MI","Shiawassee",26155,2020-03-28,13,3,2020,2931
"Michigan",26,"MI","Tuscola",26157,2020-03-28,13,3,2020,2076
"Michigan",26,"MI","Van Buren",26159,2020-03-28,13,3,2020,1755
"Michigan",26,"MI","Washtenaw",26161,2020-03-28,13,3,2020,6548
"Michigan",26,"MI","Wayne",26163,2020-03-28,13,3,2020,52689
"Michigan",26,"MI","Wexford",26165,2020-03-28,13,3,2020,1381
"Michigan",26,"MI","Alcona",26001,2020-04-04,14,4,2020,248
"Michigan",26,"MI","Alger",26003,2020-04-04,14,4,2020,206
"Michigan",26,"MI","Allegan",26005,2020-04-04,14,4,2020,4724
"Michigan",26,"MI","Alpena",26007,2020-04-04,14,4,2020,887
"Michigan",26,"MI","Antrim",26009,2020-04-04,14,4,2020,799
"Michigan",26,"MI","Arenac",26011,2020-04-04,14,4,2020,684
"Michigan",26,"MI","Baraga",26013,2020-04-04,14,4,2020,150
"Michigan",26,"MI","Barry",26015,2020-04-04,14,4,2020,2302
"Michigan",26,"MI","Bay",26017,2020-04-04,14,4,2020,4090
"Michigan",26,"MI","Benzie",26019,2020-04-04,14,4,2020,717
"Michigan",26,"MI","Berrien",26021,2020-04-04,14,4,2020,3880
"Michigan",26,"MI","Branch",26023,2020-04-04,14,4,2020,1135
"Michigan",26,"MI","Calhoun",26025,2020-04-04,14,4,2020,4506
"Michigan",26,"MI","Cass",26027,2020-04-04,14,4,2020,1052
"Michigan",26,"MI","Charlevoix",26029,2020-04-04,14,4,2020,1095
"Michigan",26,"MI","Cheboygan",26031,2020-04-04,14,4,2020,1169
"Michigan",26,"MI","Chippewa",26033,2020-04-04,14,4,2020,831
"Michigan",26,"MI","Clare",26035,2020-04-04,14,4,2020,1163
"Michigan",26,"MI","Clinton",26037,2020-04-04,14,4,2020,2427
"Michigan",26,"MI","Crawford",26039,2020-04-04,14,4,2020,456
"Michigan",26,"MI","Delta",26041,2020-04-04,14,4,2020,1304
"Michigan",26,"MI","Dickinson",26043,2020-04-04,14,4,2020,633
"Michigan",26,"MI","Eaton",26045,2020-04-04,14,4,2020,3714
"Michigan",26,"MI","Emmet",26047,2020-04-04,14,4,2020,1707
"Michigan",26,"MI","Genesee",26049,2020-04-04,14,4,2020,17517
"Michigan",26,"MI","Gladwin",26051,2020-04-04,14,4,2020,875
"Michigan",26,"MI","Gogebic",26053,2020-04-04,14,4,2020,0
"Michigan",26,"MI","Grand Traverse",26055,2020-04-04,14,4,2020,4021
"Michigan",26,"MI","Gratiot",26057,2020-04-04,14,4,2020,1438
"Michigan",26,"MI","Hillsdale",26059,2020-04-04,14,4,2020,1389
"Michigan",26,"MI","Houghton",26061,2020-04-04,14,4,2020,821
"Michigan",26,"MI","Huron",26063,2020-04-04,14,4,2020,1492
"Michigan",26,"MI","Ingham",26065,2020-04-04,14,4,2020,8821
"Michigan",26,"MI","Ionia",26067,2020-04-04,14,4,2020,2307
"Michigan",26,"MI","Iosco",26069,2020-04-04,14,4,2020,764
"Michigan",26,"MI","Iron",26071,2020-04-04,14,4,2020,294
"Michigan",26,"MI","Isabella",26073,2020-04-04,14,4,2020,2945
"Michigan",26,"MI","Jackson",26075,2020-04-04,14,4,2020,5767
"Michigan",26,"MI","Kalamazoo",26077,2020-04-04,14,4,2020,7520
"Michigan",26,"MI","Kalkaska",26079,2020-04-04,14,4,2020,723
"Michigan",26,"MI","Kent",26081,2020-04-04,14,4,2020,25632
"Michigan",26,"MI","Keweenaw",26083,2020-04-04,14,4,2020,53
"Michigan",26,"MI","Lake",26085,2020-04-04,14,4,2020,328
"Michigan",26,"MI","Lapeer",26087,2020-04-04,14,4,2020,4351
"Michigan",26,"MI","Leelanau",26089,2020-04-04,14,4,2020,761
"Michigan",26,"MI","Lenawee",26091,2020-04-04,14,4,2020,3554
"Michigan",26,"MI","Livingston",26093,2020-04-04,14,4,2020,8284
"Michigan",26,"MI","Luce",26095,2020-04-04,14,4,2020,143
"Michigan",26,"MI","Mackinac",26097,2020-04-04,14,4,2020,289
"Michigan",26,"MI","Macomb",26099,2020-04-04,14,4,2020,44850
"Michigan",26,"MI","Manistee",26101,2020-04-04,14,4,2020,767
"Michigan",26,"MI","Marquette",26103,2020-04-04,14,4,2020,2069
"Michigan",26,"MI","Mason",26105,2020-04-04,14,4,2020,984
"Michigan",26,"MI","Mecosta",26107,2020-04-04,14,4,2020,1384
"Michigan",26,"MI","Menominee",26109,2020-04-04,14,4,2020,374
"Michigan",26,"MI","Midland",26111,2020-04-04,14,4,2020,2777
"Michigan",26,"MI","Missaukee",26113,2020-04-04,14,4,2020,519
"Michigan",26,"MI","Monroe",26115,2020-04-04,14,4,2020,5099
"Michigan",26,"MI","Montcalm",26117,2020-04-04,14,4,2020,2678
"Michigan",26,"MI","Montmorency",26119,2020-04-04,14,4,2020,314
"Michigan",26,"MI","Muskegon",26121,2020-04-04,14,4,2020,7219
"Michigan",26,"MI","Newaygo",26123,2020-04-04,14,4,2020,1953
"Michigan",26,"MI","Oakland",26125,2020-04-04,14,4,2020,46938
"Michigan",26,"MI","Oceana",26127,2020-04-04,14,4,2020,789
"Michigan",26,"MI","Ogemaw",26129,2020-04-04,14,4,2020,620
"Michigan",26,"MI","Ontonagon",26131,2020-04-04,14,4,2020,170
"Michigan",26,"MI","Osceola",26133,2020-04-04,14,4,2020,809
"Michigan",26,"MI","Oscoda",26135,2020-04-04,14,4,2020,245
"Michigan",26,"MI","Otsego",26137,2020-04-04,14,4,2020,1072
"Michigan",26,"MI","Ottawa",26139,2020-04-04,14,4,2020,11291
"Michigan",26,"MI","Presque Isle",26141,2020-04-04,14,4,2020,419
"Michigan",26,"MI","Roscommon",26143,2020-04-04,14,4,2020,751
"Michigan",26,"MI","Saginaw",26145,2020-04-04,14,4,2020,6792
"Michigan",26,"MI","St. Clair",26147,2020-04-04,14,4,2020,8287
"Michigan",26,"MI","St. Joseph",26149,2020-04-04,14,4,2020,1674
"Michigan",26,"MI","Sanilac",26151,2020-04-04,14,4,2020,1693
"Michigan",26,"MI","Schoolcraft",26153,2020-04-04,14,4,2020,220
"Michigan",26,"MI","Shiawassee",26155,2020-04-04,14,4,2020,2949
"Michigan",26,"MI","Tuscola",26157,2020-04-04,14,4,2020,2330
"Michigan",26,"MI","Van Buren",26159,2020-04-04,14,4,2020,2275
"Michigan",26,"MI","Washtenaw",26161,2020-04-04,14,4,2020,9621
"Michigan",26,"MI","Wayne",26163,2020-04-04,14,4,2020,74228
"Michigan",26,"MI","Wexford",26165,2020-04-04,14,4,2020,1457
