weekEnding,county,claims
2/2/19,Saline,4
2/2/19,Franklin,105
2/2/19,Bates,16
2/2/19,Shelby,3
2/2/19,Clinton,8
2/2/19,Pike,11
2/2/19,Crawford,20
2/2/19,Laclede,27
2/2/19,Dent,9
2/2/19,Ray,8
2/2/19,Howard,7
2/2/19,Lafayette,22
2/2/19,Scotland,7
2/2/19,Adair,13
2/2/19,Macon,12
2/2/19,Dallas,7
2/2/19,Nodaway,6
2/2/19,Christian,50
2/2/19,Clark,4
2/2/19,Carroll,6
2/2/19,Madison,10
2/2/19,Pettis,22
2/2/19,Buchanan,51
2/2/19,Polk,15
2/2/19,Webster,27
2/2/19,Jefferson,180
2/2/19,Jackson,391
2/2/19,St. Louis,538
2/2/19,Moniteau,14
2/2/19,Grundy,10
2/2/19,Perry,17
2/2/19,Henry,21
2/2/19,Dunklin,20
2/2/19,Livingston,5
2/2/19,Montgomery,7
2/2/19,Callaway,38
2/2/19,Scott,18
2/2/19,Ste. Genevieve,16
2/2/19,Certified Mail,0
2/2/19,Greene,131
2/2/19,St. Louis City,226
2/2/19,Mississippi,5
2/2/19,Barry,11
2/2/19,St. Charles,222
2/2/19,Putnam,0
2/2/19,Knox,2
2/2/19,Taney,153
2/2/19,Monroe,7
2/2/19,Wright,9
2/2/19,Daviess,7
2/2/19,Lincoln,68
2/2/19,St. Clair,6
2/2/19,Morgan,22
2/2/19,Lawrence,19
2/2/19,Clay,97
2/2/19,Mercer,2
2/2/19,Pemiscot,9
2/2/19,Maries,5
2/2/19,Butler,25
2/2/19,Randolph,16
2/2/19,Worth,0
2/2/19,Miller,17
2/2/19,New Madrid,12
2/2/19,Ripley,8
2/2/19,Douglas,2
2/2/19,Oregon,2
2/2/19,Barton,3
2/2/19,Cooper,15
2/2/19,Chariton,4
2/2/19,Johnson,20
2/2/19,Cape Girardeau,36
2/2/19,DeKalb,4
2/2/19,Texas,15
2/2/19,Washington,30
2/2/19,Wayne,10
2/2/19,Platte,40
2/2/19,Howell,16
2/2/19,Harrison,2
2/2/19,Bollinger,12
2/2/19,Gentry,1
2/2/19,Cedar,2
2/2/19,Atchison,2
2/2/19,Stoddard,20
2/2/19,Lewis,1
2/2/19,Holt,3
2/2/19,Andrew,14
2/2/19,Cole,43
2/2/19,Audrain,18
2/2/19,Gasconade,16
2/2/19,Caldwell,5
2/2/19,Reynolds,5
2/2/19,Pulaski,14
2/2/19,Carter,4
2/2/19,McDonald,7
2/2/19,Linn,8
2/2/19,Stone,45
2/2/19,Osage,3
2/2/19,Cass,55
2/2/19,Shannon,2
2/2/19,Marion,19
2/2/19,Hickory,1
2/2/19,Ralls,8
2/2/19,Ozark,5
2/2/19,Sullivan,3
2/2/19,Benton,5
2/2/19,Boone,65
2/2/19,Vernon,7
2/2/19,St. Francois,41
2/2/19,Schuyler,4
2/2/19,Jasper,66
2/2/19,Camden,34
2/2/19,Phelps,23
2/2/19,Warren,36
2/2/19,Dade,1
2/2/19,Newton,17
2/2/19,Iron,3
1/26/19,Sullivan,6
1/26/19,Grundy,3
1/26/19,Cedar,6
1/26/19,Polk,15
1/26/19,Shelby,6
1/26/19,Gentry,1
1/26/19,St. Francois,56
1/26/19,Harrison,1
1/26/19,Johnson,29
1/26/19,Shannon,6
1/26/19,Hickory,3
1/26/19,McDonald,10
1/26/19,Macon,18
1/26/19,Warren,64
1/26/19,Jasper,48
1/26/19,Greene,121
1/26/19,Crawford,37
1/26/19,Boone,95
1/26/19,St. Charles,235
1/26/19,Cooper,15
1/26/19,Ozark,6
1/26/19,Wayne,9
1/26/19,Marion,28
1/26/19,Lafayette,30
