county,march,april,may,june
Adams,514,1230,1022,604
Alcorn,683,1604,751,565
Amite,93,270,232,167
Attala,180,734,582,462
Benton,132,281,273,167
Bolivar,258,816,1291,959
Calhoun,493,897,401,283
Carroll,70,338,296,202
Chickasaw,1050,1672,679,513
Choctaw,79,294,220,116
Claiborne,84,415,715,367
Clarke,158,565,404,269
Clay,758,1470,940,695
Coahoma,413,1327,1114,824
Copiah,288,1019,835,700
Covington,152,516,712,469
DeSoto,2209,5290,3445,2285
Forrest,1392,3504,2914,2184
Franklin,76,184,125,92
George,262,696,681,441
Greene,89,291,254,250
Grenada,331,868,675,643
Hancock,1230,2280,1167,711
Harrison,8244,14986,7619,4067
Hinds,4241,15240,12748,8057
Holmes,266,1492,899,571
Humphreys,57,294,438,402
Issaquena,2,23,20,8
Itawamba,938,1356,515,313
Jackson,4708,8745,5102,2666
Jasper,88,427,420,359
Jefferson,47,195,309,214
Jefferson Davis,64,326,555,357
Jones,553,1923,1572,1580
Kemper,99,304,245,190
Lafayette,1096,2207,1362,830
Lamar,1025,2534,1506,909
Lauderdale,897,2920,2013,1423
Lawrence,121,353,346,237
Leake,148,873,520,342
Lee   ,3401,7444,3323,2106
Leflore,218,1521,1447,1143
Lincoln,474,1286,909,586
Lowndes,1271,2826,2369,1601
Madison,1804,6045,3363,1805
Marion,191,807,590,554
Marshall,241,810,919,805
Monroe,1414,0,1290,847
Montgomery,123,371,456,290
Neshoba,138,1549,624,425
Newton,148,862,422,229
Noxubee,143,447,530,391
Oktibbeha,942,2234,1794,1232
Panola,527,1456,1332,1146
Pearl River,520,1635,1232,836
Perry,92,324,253,236
Pike,415,1306,1136,974
Pontotoc,1786,2946,898,574
Prentiss,891,1382,794,501
Quitman,97,289,285,192
Rankin,2364,6891,3410,1910
Scott,166,885,710,520
Sharkey,38,130,150,142
Simpson,231,750,556,459
Smith,88,353,277,222
Stone,248,801,466,321
Sunflower,175,719,773,897
Tallahatchie,103,363,530,404
Tate,388,923,822,629
Tippah,775,1192,585,351
Tishomingo,801,771,311,244
Tunica,511,1851,385,336
Union,1307,2258,807,403
Walthall,105,424,337,280
Warren,882,2719,1875,1383
Washington,574,1995,2152,1962
Wayne,125,539,720,640
Webster,123,411,336,172
Wilkinson,34,97,161,137
Winston,179,885,441,356
Yalobusha,188,873,379,309
Yazoo   ,359,1225,1148,762
