"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"New Jersey",34,"NJ","Atlantic",34001,2020-03-28,13,3,2020,8761
"New Jersey",34,"NJ","Bergen",34003,2020-03-28,13,3,2020,12705
"New Jersey",34,"NJ","Burlington",34005,2020-03-28,13,3,2020,6396
"New Jersey",34,"NJ","Camden",34007,2020-03-28,13,3,2020,8172
"New Jersey",34,"NJ","Cape May",34009,2020-03-28,13,3,2020,1899
"New Jersey",34,"NJ","Cumberland",34011,2020-03-28,13,3,2020,2280
"New Jersey",34,"NJ","Essex",34013,2020-03-28,13,3,2020,10370
"New Jersey",34,"NJ","Gloucester",34015,2020-03-28,13,3,2020,4926
"New Jersey",34,"NJ","Hudson",34017,2020-03-28,13,3,2020,8197
"New Jersey",34,"NJ","Hunterdon",34019,2020-03-28,13,3,2020,1544
"New Jersey",34,"NJ","Mercer",34021,2020-03-28,13,3,2020,4120
"New Jersey",34,"NJ","Middlesex",34023,2020-03-28,13,3,2020,11915
"New Jersey",34,"NJ","Monmouth",34025,2020-03-28,13,3,2020,10575
"New Jersey",34,"NJ","Morris",34027,2020-03-28,13,3,2020,7181
"New Jersey",34,"NJ","Ocean",34029,2020-03-28,13,3,2020,10729
"New Jersey",34,"NJ","Passaic",34031,2020-03-28,13,3,2020,9801
"New Jersey",34,"NJ","Salem",34033,2020-03-28,13,3,2020,721
"New Jersey",34,"NJ","Somerset",34035,2020-03-28,13,3,2020,3930
"New Jersey",34,"NJ","Sussex",34037,2020-03-28,13,3,2020,2977
"New Jersey",34,"NJ","Union",34039,2020-03-28,13,3,2020,7663
"New Jersey",34,"NJ","Warren",34041,2020-03-28,13,3,2020,1681
"New Jersey",34,"NJ","Atlantic",34001,2020-04-04,14,4,2020,10125
"New Jersey",34,"NJ","Bergen",34003,2020-04-04,14,4,2020,14888
"New Jersey",34,"NJ","Burlington",34005,2020-04-04,14,4,2020,6319
"New Jersey",34,"NJ","Camden",34007,2020-04-04,14,4,2020,8133
"New Jersey",34,"NJ","Cape May",34009,2020-04-04,14,4,2020,1756
"New Jersey",34,"NJ","Cumberland",34011,2020-04-04,14,4,2020,2089
"New Jersey",34,"NJ","Essex",34013,2020-04-04,14,4,2020,11288
"New Jersey",34,"NJ","Gloucester",34015,2020-04-04,14,4,2020,4733
"New Jersey",34,"NJ","Hudson",34017,2020-04-04,14,4,2020,8944
"New Jersey",34,"NJ","Hunterdon",34019,2020-04-04,14,4,2020,1590
"New Jersey",34,"NJ","Mercer",34021,2020-04-04,14,4,2020,4463
"New Jersey",34,"NJ","Middlesex",34023,2020-04-04,14,4,2020,12808
