county,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,5/16/20,5/23/20,5/30/20,6/6/20,6/13/20,6/20/20,6/27/20,7/4/20,7/11/20
Atlantic,"8,761","10,125","9,233","6,186","4,025","2,471","3,130","2,060","1,828","1,394","1,434","1,139","1,474",982,"1,519","1,483"
Bergen,"12,705","14,888","20,425","13,147","9,525","5,093","7,831","5,003","4,740","3,584","3,801","2,842","4,175","2,452","3,322","2,840"
Burlington,"6,396","6,319","7,576","5,094","3,897","2,283","3,223","2,229","2,126","1,646","1,677","1,390","2,000","1,412","2,892","2,281"
Camden,"8,172","8,133","9,830","6,303","4,957","2,986","3,953","2,829","2,632","2,259","2,200","1,952","2,816","1,894","2,764","2,425"
Cape May,"1,899","1,756","2,087","1,335",981,522,771,445,422,336,322,286,397,228,340,306
Cumberland,"2,280","2,089","2,447","1,513","1,279",838,997,730,672,598,621,532,663,530,885,723
Essex,"10,370","11,288","14,895","10,244","7,739","4,864","7,019","4,872","4,619","3,832","4,150","3,155","4,705","3,015","4,049","3,550"
Gloucester,"4,926","4,733","5,376","3,489","2,575","1,562","2,148","1,432","1,398","1,221","1,113",1017,1397,970,1335,1174
Hudson,"8,197","8,944","12,176","8,579","5,255","3,854","5,535","4,057","3,783","3,115","3,165","2,332","3,689","2,227","2,815","2,345"
Hunterdon,"1,544","1,590","2,037","1,346",914,520,797,502,454,345,415,332,401,258,445,474
Mercer,"4,120","4,463","5,338","3,498","2,803","1,751","2,548","1,813","1,672","1,400","1,502","1,185","1,547","1,190","3,191","2,377"
Middlesex,"11,915","12,808","15,608","10,506","8,059","4,806","6,802","4,704","4,274","3,453","3,693","2,869","3,875","2,600","3,743","3,978"
Monmouth,"10,575","10,641","13,464","8,350","5,145","3,511","4,973","3,166","3,074","2,388","2,545","2,115","2,735","1,855","2,778","2,261"
Morris,"7,181","7,222","9,113","6,071","4,288","2,480","3,671","2,289","2,132","1,645","1,773","1,490","1,964","1,234","1,676","1,425"
Ocean,"10,729","10,750","12,487","7,676","5,702","3,539","5,310","3,128","2,935","2,383","2,336","1,912","2,581","1,709","2,531","2,167"
Passaic,"9,801","9,982","12,653","8,864","6,648","3,928","5,496","3,937","3,684","3,130","3,397","2,453","3,621","2,187","2,677","2,417"
Salem,721,737,869,626,485,321,391,292,300,255,251,228,335,202,294,251
Somerset,"3,930","4,456","5,616","3,900","2,787","1,671","2,434","1,532","1,419","1,136","1,212","1,021","1,337",799,"1,187","1,384"
Sussex,"2,977","2,612","3,106","1,989","1,354",792,"1,104",719,670,474,512,465,651,428,717,523
Union,"7,663","8,306","10,545","7,343","5,458","3,506","4,789","3,401","3,052","2,482","2,636","2,060","2,935","1,702","2,574","2,368"
Warren,1681,"1,585",1845,"1,207",871,477,759,474,437,336,373,342,422,265,498,438
