"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Nevada",32,"NV","Carson City",32510,2020-01-04,1,1,2020,42
"Nevada",32,"NV","Churchill",32001,2020-01-04,1,1,2020,22
"Nevada",32,"NV","Clark",32003,2020-01-04,1,1,2020,1827
"Nevada",32,"NV","Douglas",32005,2020-01-04,1,1,2020,30
"Nevada",32,"NV","Elko",32007,2020-01-04,1,1,2020,40
"Nevada",32,"NV","Esmeralda",32009,2020-01-04,1,1,2020,0
"Nevada",32,"NV","Eureka",32011,2020-01-04,1,1,2020,0
"Nevada",32,"NV","Humboldt",32013,2020-01-04,1,1,2020,9
"Nevada",32,"NV","Lander",32015,2020-01-04,1,1,2020,3
"Nevada",32,"NV","Lincoln",32017,2020-01-04,1,1,2020,0
"Nevada",32,"NV","Lyon",32019,2020-01-04,1,1,2020,62
"Nevada",32,"NV","Mineral",32021,2020-01-04,1,1,2020,7
"Nevada",32,"NV","Nye",32023,2020-01-04,1,1,2020,33
"Nevada",32,"NV","Pershing",32027,2020-01-04,1,1,2020,6
"Nevada",32,"NV","Storey",32029,2020-01-04,1,1,2020,1
"Nevada",32,"NV","Washoe",32031,2020-01-04,1,1,2020,436
"Nevada",32,"NV","White Pine",32033,2020-01-04,1,1,2020,10
"Nevada",32,"NV","Unknown",NA,2020-01-04,1,1,2020,109
"Nevada",32,"NV","Carson City",32510,2020-01-11,2,1,2020,65
"Nevada",32,"NV","Churchill",32001,2020-01-11,2,1,2020,35
"Nevada",32,"NV","Clark",32003,2020-01-11,2,1,2020,2187
"Nevada",32,"NV","Douglas",32005,2020-01-11,2,1,2020,48
"Nevada",32,"NV","Elko",32007,2020-01-11,2,1,2020,56
"Nevada",32,"NV","Esmeralda",32009,2020-01-11,2,1,2020,1
"Nevada",32,"NV","Eureka",32011,2020-01-11,2,1,2020,0
"Nevada",32,"NV","Humboldt",32013,2020-01-11,2,1,2020,20
"Nevada",32,"NV","Lander",32015,2020-01-11,2,1,2020,13
"Nevada",32,"NV","Lincoln",32017,2020-01-11,2,1,2020,3
"Nevada",32,"NV","Lyon",32019,2020-01-11,2,1,2020,83
"Nevada",32,"NV","Mineral",32021,2020-01-11,2,1,2020,7
"Nevada",32,"NV","Nye",32023,2020-01-11,2,1,2020,29
"Nevada",32,"NV","Pershing",32027,2020-01-11,2,1,2020,4
"Nevada",32,"NV","Storey",32029,2020-01-11,2,1,2020,0
"Nevada",32,"NV","Washoe",32031,2020-01-11,2,1,2020,435
"Nevada",32,"NV","White Pine",32033,2020-01-11,2,1,2020,6
"Nevada",32,"NV","Unknown",NA,2020-01-11,2,1,2020,157
"Nevada",32,"NV","Carson City",32510,2020-01-18,3,1,2020,57
"Nevada",32,"NV","Churchill",32001,2020-01-18,3,1,2020,23
"Nevada",32,"NV","Clark",32003,2020-01-18,3,1,2020,2051
"Nevada",32,"NV","Douglas",32005,2020-01-18,3,1,2020,30
"Nevada",32,"NV","Elko",32007,2020-01-18,3,1,2020,40
"Nevada",32,"NV","Esmeralda",32009,2020-01-18,3,1,2020,0
"Nevada",32,"NV","Eureka",32011,2020-01-18,3,1,2020,0
"Nevada",32,"NV","Humboldt",32013,2020-01-18,3,1,2020,14
"Nevada",32,"NV","Lander",32015,2020-01-18,3,1,2020,2
"Nevada",32,"NV","Lincoln",32017,2020-01-18,3,1,2020,0
"Nevada",32,"NV","Lyon",32019,2020-01-18,3,1,2020,56
"Nevada",32,"NV","Mineral",32021,2020-01-18,3,1,2020,4
"Nevada",32,"NV","Nye",32023,2020-01-18,3,1,2020,23
"Nevada",32,"NV","Pershing",32027,2020-01-18,3,1,2020,3
"Nevada",32,"NV","Storey",32029,2020-01-18,3,1,2020,0
"Nevada",32,"NV","Washoe",32031,2020-01-18,3,1,2020,401
"Nevada",32,"NV","White Pine",32033,2020-01-18,3,1,2020,11
"Nevada",32,"NV","Unknown",NA,2020-01-18,3,1,2020,140
"Nevada",32,"NV","Carson City",32510,2020-01-25,4,1,2020,65
"Nevada",32,"NV","Churchill",32001,2020-01-25,4,1,2020,21
"Nevada",32,"NV","Clark",32003,2020-01-25,4,1,2020,1773
"Nevada",32,"NV","Douglas",32005,2020-01-25,4,1,2020,24
"Nevada",32,"NV","Elko",32007,2020-01-25,4,1,2020,28
"Nevada",32,"NV","Esmeralda",32009,2020-01-25,4,1,2020,0
"Nevada",32,"NV","Eureka",32011,2020-01-25,4,1,2020,2
"Nevada",32,"NV","Humboldt",32013,2020-01-25,4,1,2020,11
"Nevada",32,"NV","Lander",32015,2020-01-25,4,1,2020,4
"Nevada",32,"NV","Lincoln",32017,2020-01-25,4,1,2020,2
"Nevada",32,"NV","Lyon",32019,2020-01-25,4,1,2020,58
"Nevada",32,"NV","Mineral",32021,2020-01-25,4,1,2020,3
"Nevada",32,"NV","Nye",32023,2020-01-25,4,1,2020,17
