county,1/4/20,1/11/20,1/18/20,1/25/20,2/1/20,2/8/20,2/15/20,2/22/20,2/29/20,3/7/20,3/14/20,3/21/20,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,5/16/20,5/23/20,5/30/20,6/6/20
Carson City,42,65,57,65,55,40,37,44,41,37,43,381,1153,848,943,662,539,NA,NA,NA,NA,NA,166
Churchill,22,35,23,21,20,12,14,12,9,16,9,101,223,171,232,186,184,149,100,64,50,47,59
Clark,1827,2187,2051,1773,1949,2445,2297,1810,2139,2106,6070,17809,78983,58935,64889,47949,31495,35896,19387,16440,14817,11571,10816
Douglas,30,48,30,24,24,26,23,26,21,21,20,212,652,541,735,506,372,462,195,151,146,98,109
Elko,40,56,40,28,34,33,38,19,19,17,24,205,524,569,839,579,369,398,200,172,132,118,138
Esmeralda,0,1,0,0,0,0,0,0,1,0,1,4,3,3,3,2,3,2,0,1,2,0,3
Eureka,0,0,0,2,0,0,0,1,1,2,0,6,2,8,10,12,1,7,2,4,3,3,1
Humboldt,9,20,14,11,2,17,10,1,7,6,5,67,108,103,112,84,128,88,42,30,31,19,24
Lander,3,13,2,4,2,5,1,1,4,5,2,39,30,31,39,20,16,31,16,10,12,10,13
Lincoln,0,3,0,2,0,1,0,1,2,2,1,14,23,19,28,19,3,14,5,9,7,5,2
Lyon,62,83,56,58,44,55,62,29,54,45,38,377,793,601,722,744,889,561,263,190,159,132,139
Mineral,7,7,4,3,1,1,2,4,2,1,3,26,46,31,23,37,18,23,8,16,14,9,5
Nye,33,29,23,17,29,23,31,19,23,16,31,234,539,511,587,382,268,315,169,151,129,131,100
Pershing,6,4,3,4,5,1,0,3,0,0,3,21,31,28,15,16,17,17,10,3,5,4,6
Storey,1,0,0,1,0,2,2,2,4,0,0,5,25,16,23,17,13,11,6,4,7,4,2
Washoe,436,435,401,300,344,332,290,295,298,306,318,2470,8916,7664,9034,7734,5892,5630,2849,2522,2034,1430,1358
White Pine,10,6,11,2,6,11,5,0,2,0,4,42,64,47,62,36,32,31,16,14,15,14,11
Unknown,109,157,140,116,128,108,88,88,84,95,109,1204,1489,1741,1558,1153,1372,1175,1026,754,733,534,648
