"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"New York",36,"NY","Albany",36001,2020-03-21,12,3,2020,934
"New York",36,"NY","Allegany",36003,2020-03-21,12,3,2020,137
"New York",36,"NY","Bronx",36005,2020-03-21,12,3,2020,5274
"New York",36,"NY","Broome",36007,2020-03-21,12,3,2020,654
"New York",36,"NY","Cattaraugus",36009,2020-03-21,12,3,2020,316
"New York",36,"NY","Cayuga",36011,2020-03-21,12,3,2020,233
"New York",36,"NY","Chautauqua",36013,2020-03-21,12,3,2020,487
"New York",36,"NY","Chemung",36015,2020-03-21,12,3,2020,247
"New York",36,"NY","Chenango",36017,2020-03-21,12,3,2020,78
"New York",36,"NY","Clinton",36019,2020-03-21,12,3,2020,250
"New York",36,"NY","Columbia",36021,2020-03-21,12,3,2020,153
"New York",36,"NY","Cortland",36023,2020-03-21,12,3,2020,142
"New York",36,"NY","Delaware",36025,2020-03-21,12,3,2020,102
"New York",36,"NY","Dutchess",36027,2020-03-21,12,3,2020,861
"New York",36,"NY","Erie",36029,2020-03-21,12,3,2020,4640
"New York",36,"NY","Essex",36031,2020-03-21,12,3,2020,99
"New York",36,"NY","Franklin",36033,2020-03-21,12,3,2020,171
"New York",36,"NY","Fulton",36035,2020-03-21,12,3,2020,108
"New York",36,"NY","genesee",36037,2020-03-21,12,3,2020,268
"New York",36,"NY","Greene",36039,2020-03-21,12,3,2020,227
"New York",36,"NY","Hamilton",36041,2020-03-21,12,3,2020,99
"New York",36,"NY","Herkimer",36043,2020-03-21,12,3,2020,165
"New York",36,"NY","Jefferson",36045,2020-03-21,12,3,2020,378
"New York",36,"NY","Kings",36047,2020-03-21,12,3,2020,12642
"New York",36,"NY","Lewis",36049,2020-03-21,12,3,2020,74
"New York",36,"NY","Livingston",36051,2020-03-21,12,3,2020,227
"New York",36,"NY","Madison",36053,2020-03-21,12,3,2020,197
"New York",36,"NY","Monroe",36055,2020-03-21,12,3,2020,3135
"New York",36,"NY","Montgomery",36057,2020-03-21,12,3,2020,155
"New York",36,"NY","Nassau",36059,2020-03-21,12,3,2020,3615
"New York",36,"NY","New York",36061,2020-03-21,12,3,2020,8975
"New York",36,"NY","Niagara",36063,2020-03-21,12,3,2020,1131
"New York",36,"NY","Oneida",36065,2020-03-21,12,3,2020,664
"New York",36,"NY","Onondaga",36067,2020-03-21,12,3,2020,1796
"New York",36,"NY","Ontario",36069,2020-03-21,12,3,2020,483
"New York",36,"NY","Orange",36071,2020-03-21,12,3,2020,1092
"New York",36,"NY","Orleans",36073,2020-03-21,12,3,2020,138
"New York",36,"NY","Oswego",36075,2020-03-21,12,3,2020,405
"New York",36,"NY","Otsego",36077,2020-03-21,12,3,2020,224
"New York",36,"NY","Putnam",36079,2020-03-21,12,3,2020,290
"New York",36,"NY","Queens",36081,2020-03-21,12,3,2020,10187
"New York",36,"NY","Rensselaer",36083,2020-03-21,12,3,2020,585
"New York",36,"NY","Richmond",36085,2020-03-21,12,3,2020,1443
"New York",36,"NY","Rockland",36087,2020-03-21,12,3,2020,659
"New York",36,"NY","Saratoga",36091,2020-03-21,12,3,2020,969
"New York",36,"NY","Schenectady",36093,2020-03-21,12,3,2020,576
"New York",36,"NY","Schoharie",36095,2020-03-21,12,3,2020,94
"New York",36,"NY","Schuyler",36097,2020-03-21,12,3,2020,69
"New York",36,"NY","Seneca",36099,2020-03-21,12,3,2020,122
"New York",36,"NY","St. Lawrence",36089,2020-03-21,12,3,2020,352
"New York",36,"NY","Steuben",36101,2020-03-21,12,3,2020,324
"New York",36,"NY","Suffolk",36103,2020-03-21,12,3,2020,4146
"New York",36,"NY","Sullivan",36105,2020-03-21,12,3,2020,202
"New York",36,"NY","Tioga",36107,2020-03-21,12,3,2020,147
"New York",36,"NY","Tompkins",36109,2020-03-21,12,3,2020,263
"New York",36,"NY","Ulster",36111,2020-03-21,12,3,2020,716
"New York",36,"NY","Warren",36113,2020-03-21,12,3,2020,394
"New York",36,"NY","Washington",36115,2020-03-21,12,3,2020,234
"New York",36,"NY","Wayne",36117,2020-03-21,12,3,2020,282
"New York",36,"NY","Westchester",36119,2020-03-21,12,3,2020,2659
"New York",36,"NY","Wyoming",36121,2020-03-21,12,3,2020,155
"New York",36,"NY","Yates",36123,2020-03-21,12,3,2020,82
"New York",36,"NY","Out of State",NA,2020-03-21,12,3,2020,4827
"New York",36,"NY","Albany",36001,2020-03-28,13,3,2020,4536
"New York",36,"NY","Allegany",36003,2020-03-28,13,3,2020,520
"New York",36,"NY","Bronx",36005,2020-03-28,13,3,2020,23722
"New York",36,"NY","Broome",36007,2020-03-28,13,3,2020,3197
"New York",36,"NY","Cattaraugus",36009,2020-03-28,13,3,2020,1486
"New York",36,"NY","Cayuga",36011,2020-03-28,13,3,2020,1528
"New York",36,"NY","Chautauqua",36013,2020-03-28,13,3,2020,2469
"New York",36,"NY","Chemung",36015,2020-03-28,13,3,2020,1611
"New York",36,"NY","Chenango",36017,2020-03-28,13,3,2020,614
"New York",36,"NY","Clinton",36019,2020-03-28,13,3,2020,1355
"New York",36,"NY","Columbia",36021,2020-03-28,13,3,2020,686
"New York",36,"NY","Cortland",36023,2020-03-28,13,3,2020,913
"New York",36,"NY","Delaware",36025,2020-03-28,13,3,2020,419
"New York",36,"NY","Dutchess",36027,2020-03-28,13,3,2020,4925
"New York",36,"NY","Erie",36029,2020-03-28,13,3,2020,25582
"New York",36,"NY","Essex",36031,2020-03-28,13,3,2020,312
"New York",36,"NY","Franklin",36033,2020-03-28,13,3,2020,756
"New York",36,"NY","Fulton",36035,2020-03-28,13,3,2020,960
"New York",36,"NY","genesee",36037,2020-03-28,13,3,2020,1308
"New York",36,"NY","Greene",36039,2020-03-28,13,3,2020,781
"New York",36,"NY","Hamilton",36041,2020-03-28,13,3,2020,312
"New York",36,"NY","Herkimer",36043,2020-03-28,13,3,2020,1059
"New York",36,"NY","Jefferson",36045,2020-03-28,13,3,2020,1952
"New York",36,"NY","Kings",36047,2020-03-28,13,3,2020,43558
"New York",36,"NY","Lewis",36049,2020-03-28,13,3,2020,358
"New York",36,"NY","Livingston",36051,2020-03-28,13,3,2020,1338
"New York",36,"NY","Madison",36053,2020-03-28,13,3,2020,1249
"New York",36,"NY","Monroe",36055,2020-03-28,13,3,2020,15902
"New York",36,"NY","Montgomery",36057,2020-03-28,13,3,2020,990
"New York",36,"NY","Nassau",36059,2020-03-28,13,3,2020,23241
"New York",36,"NY","New York",36061,2020-03-28,13,3,2020,24711
"New York",36,"NY","Niagara",36063,2020-03-28,13,3,2020,7518
"New York",36,"NY","Oneida",36065,2020-03-28,13,3,2020,3861
"New York",36,"NY","Onondaga",36067,2020-03-28,13,3,2020,9744
"New York",36,"NY","Ontario",36069,2020-03-28,13,3,2020,2207
"New York",36,"NY","Orange",36071,2020-03-28,13,3,2020,6223
"New York",36,"NY","Orleans",36073,2020-03-28,13,3,2020,824
"New York",36,"NY","Oswego",36075,2020-03-28,13,3,2020,2125
"New York",36,"NY","Otsego",36077,2020-03-28,13,3,2020,748
"New York",36,"NY","Putnam",36079,2020-03-28,13,3,2020,1525
"New York",36,"NY","Queens",36081,2020-03-28,13,3,2020,44348
"New York",36,"NY","Rensselaer",36083,2020-03-28,13,3,2020,2543
"New York",36,"NY","Richmond",36085,2020-03-28,13,3,2020,7459
"New York",36,"NY","Rockland",36087,2020-03-28,13,3,2020,3698
"New York",36,"NY","Saratoga",36091,2020-03-28,13,3,2020,4472
"New York",36,"NY","Schenectady",36093,2020-03-28,13,3,2020,3003
"New York",36,"NY","Schoharie",36095,2020-03-28,13,3,2020,382
"New York",36,"NY","Schuyler",36097,2020-03-28,13,3,2020,384
"New York",36,"NY","Seneca",36099,2020-03-28,13,3,2020,567
"New York",36,"NY","St. Lawrence",36089,2020-03-28,13,3,2020,1345
"New York",36,"NY","Steuben",36101,2020-03-28,13,3,2020,2036
"New York",36,"NY","Suffolk",36103,2020-03-28,13,3,2020,29149
"New York",36,"NY","Sullivan",36105,2020-03-28,13,3,2020,947
"New York",36,"NY","Tioga",36107,2020-03-28,13,3,2020,818
"New York",36,"NY","Tompkins",36109,2020-03-28,13,3,2020,1486
"New York",36,"NY","Ulster",36111,2020-03-28,13,3,2020,3445
"New York",36,"NY","Warren",36113,2020-03-28,13,3,2020,1541
"New York",36,"NY","Washington",36115,2020-03-28,13,3,2020,1082
"New York",36,"NY","Wayne",36117,2020-03-28,13,3,2020,1611
"New York",36,"NY","Westchester",36119,2020-03-28,13,3,2020,13488
"New York",36,"NY","Wyoming",36121,2020-03-28,13,3,2020,837
"New York",36,"NY","Yates",36123,2020-03-28,13,3,2020,443
"New York",36,"NY","Out of State",NA,2020-03-28,13,3,2020,16815
"New York",36,"NY","Albany",36001,2020-04-04,14,4,2020,3477
"New York",36,"NY","Allegany",36003,2020-04-04,14,4,2020,462
"New York",36,"NY","Bronx",36005,2020-04-04,14,4,2020,23721
"New York",36,"NY","Broome",36007,2020-04-04,14,4,2020,2948
"New York",36,"NY","Cattaraugus",36009,2020-04-04,14,4,2020,1118
"New York",36,"NY","Cayuga",36011,2020-04-04,14,4,2020,1233
"New York",36,"NY","Chautauqua",36013,2020-04-04,14,4,2020,1971
"New York",36,"NY","Chemung",36015,2020-04-04,14,4,2020,1292
"New York",36,"NY","Chenango",36017,2020-04-04,14,4,2020,571
"New York",36,"NY","Clinton",36019,2020-04-04,14,4,2020,1406
"New York",36,"NY","Columbia",36021,2020-04-04,14,4,2020,702
"New York",36,"NY","Cortland",36023,2020-04-04,14,4,2020,675
"New York",36,"NY","Delaware",36025,2020-04-04,14,4,2020,465
"New York",36,"NY","Dutchess",36027,2020-04-04,14,4,2020,4459
"New York",36,"NY","Erie",36029,2020-04-04,14,4,2020,17355
"New York",36,"NY","Essex",36031,2020-04-04,14,4,2020,254
"New York",36,"NY","Franklin",36033,2020-04-04,14,4,2020,646
"New York",36,"NY","Fulton",36035,2020-04-04,14,4,2020,665
"New York",36,"NY","genesee",36037,2020-04-04,14,4,2020,886
"New York",36,"NY","Greene",36039,2020-04-04,14,4,2020,627
"New York",36,"NY","Hamilton",36041,2020-04-04,14,4,2020,254
"New York",36,"NY","Herkimer",36043,2020-04-04,14,4,2020,1094
"New York",36,"NY","Jefferson",36045,2020-04-04,14,4,2020,1462
"New York",36,"NY","Kings",36047,2020-04-04,14,4,2020,43658
"New York",36,"NY","Lewis",36049,2020-04-04,14,4,2020,341
"New York",36,"NY","Livingston",36051,2020-04-04,14,4,2020,996
"New York",36,"NY","Madison",36053,2020-04-04,14,4,2020,1242
"New York",36,"NY","Monroe",36055,2020-04-04,14,4,2020,11507
"New York",36,"NY","Montgomery",36057,2020-04-04,14,4,2020,819
"New York",36,"NY","Nassau",36059,2020-04-04,14,4,2020,24564
"New York",36,"NY","New York",36061,2020-04-04,14,4,2020,21757
"New York",36,"NY","Niagara",36063,2020-04-04,14,4,2020,4638
"New York",36,"NY","Oneida",36065,2020-04-04,14,4,2020,3766
"New York",36,"NY","Onondaga",36067,2020-04-04,14,4,2020,8327
"New York",36,"NY","Ontario",36069,2020-04-04,14,4,2020,1033
"New York",36,"NY","Orange",36071,2020-04-04,14,4,2020,5669
"New York",36,"NY","Orleans",36073,2020-04-04,14,4,2020,595
"New York",36,"NY","Oswego",36075,2020-04-04,14,4,2020,2137
"New York",36,"NY","Otsego",36077,2020-04-04,14,4,2020,603
"New York",36,"NY","Putnam",36079,2020-04-04,14,4,2020,1516
"New York",36,"NY","Queens",36081,2020-04-04,14,4,2020,50458
"New York",36,"NY","Rensselaer",36083,2020-04-04,14,4,2020,2038
"New York",36,"NY","Richmond",36085,2020-04-04,14,4,2020,8064
"New York",36,"NY","Rockland",36087,2020-04-04,14,4,2020,3736
"New York",36,"NY","Saratoga",36091,2020-04-04,14,4,2020,3355
"New York",36,"NY","Schenectady",36093,2020-04-04,14,4,2020,2384
"New York",36,"NY","Schoharie",36095,2020-04-04,14,4,2020,315
"New York",36,"NY","Schuyler",36097,2020-04-04,14,4,2020,302
"New York",36,"NY","Seneca",36099,2020-04-04,14,4,2020,469
"New York",36,"NY","St. Lawrence",36089,2020-04-04,14,4,2020,1298
"New York",36,"NY","Steuben",36101,2020-04-04,14,4,2020,1507
"New York",36,"NY","Suffolk",36103,2020-04-04,14,4,2020,30797
"New York",36,"NY","Sullivan",36105,2020-04-04,14,4,2020,874
"New York",36,"NY","Tioga",36107,2020-04-04,14,4,2020,799
"New York",36,"NY","Tompkins",36109,2020-04-04,14,4,2020,1075
"New York",36,"NY","Ulster",36111,2020-04-04,14,4,2020,2888
"New York",36,"NY","Warren",36113,2020-04-04,14,4,2020,1086
"New York",36,"NY","Washington",36115,2020-04-04,14,4,2020,799
"New York",36,"NY","Wayne",36117,2020-04-04,14,4,2020,1402
"New York",36,"NY","Westchester",36119,2020-04-04,14,4,2020,12617
"New York",36,"NY","Wyoming",36121,2020-04-04,14,4,2020,603
"New York",36,"NY","Yates",36123,2020-04-04,14,4,2020,1033
"New York",36,"NY","Out of State",NA,2020-04-04,14,4,2020,18763
"New York",36,"NY","Albany",36001,2020-04-11,15,4,2020,3776
"New York",36,"NY","Allegany",36003,2020-04-11,15,4,2020,496
"New York",36,"NY","Bronx",36005,2020-04-11,15,4,2020,28461
"New York",36,"NY","Broome",36007,2020-04-11,15,4,2020,3079
"New York",36,"NY","Cattaraugus",36009,2020-04-11,15,4,2020,1686
"New York",36,"NY","Cayuga",36011,2020-04-11,15,4,2020,1237
"New York",36,"NY","Chautauqua",36013,2020-04-11,15,4,2020,2289
"New York",36,"NY","Chemung",36015,2020-04-11,15,4,2020,1138
"New York",36,"NY","Chenango",36017,2020-04-11,15,4,2020,564
"New York",36,"NY","Clinton",36019,2020-04-11,15,4,2020,1223
"New York",36,"NY","Columbia",36021,2020-04-11,15,4,2020,744
"New York",36,"NY","Cortland",36023,2020-04-11,15,4,2020,668
"New York",36,"NY","Delaware",36025,2020-04-11,15,4,2020,474
"New York",36,"NY","Dutchess",36027,2020-04-11,15,4,2020,4969
"New York",36,"NY","Erie",36029,2020-04-11,15,4,2020,18040
"New York",36,"NY","Essex",36031,2020-04-11,15,4,2020,246
"New York",36,"NY","Franklin",36033,2020-04-11,15,4,2020,623
"New York",36,"NY","Fulton",36035,2020-04-11,15,4,2020,663
"New York",36,"NY","genesee",36037,2020-04-11,15,4,2020,931
"New York",36,"NY","Greene",36039,2020-04-11,15,4,2020,651
"New York",36,"NY","Hamilton",36041,2020-04-11,15,4,2020,246
"New York",36,"NY","Herkimer",36043,2020-04-11,15,4,2020,790
"New York",36,"NY","Jefferson",36045,2020-04-11,15,4,2020,1490
"New York",36,"NY","Kings",36047,2020-04-11,15,4,2020,53275
"New York",36,"NY","Lewis",36049,2020-04-11,15,4,2020,279
"New York",36,"NY","Livingston",36051,2020-04-11,15,4,2020,918
"New York",36,"NY","Madison",36053,2020-04-11,15,4,2020,1229
"New York",36,"NY","Monroe",36055,2020-04-11,15,4,2020,11689
"New York",36,"NY","Montgomery",36057,2020-04-11,15,4,2020,715
"New York",36,"NY","Nassau",36059,2020-04-11,15,4,2020,28064
"New York",36,"NY","New York",36061,2020-04-11,15,4,2020,26858
"New York",36,"NY","Niagara",36063,2020-04-11,15,4,2020,4824
"New York",36,"NY","Oneida",36065,2020-04-11,15,4,2020,3639
"New York",36,"NY","Onondaga",36067,2020-04-11,15,4,2020,8336
"New York",36,"NY","Ontario",36069,2020-04-11,15,4,2020,1013
"New York",36,"NY","Orange",36071,2020-04-11,15,4,2020,6530
"New York",36,"NY","Orleans",36073,2020-04-11,15,4,2020,581
"New York",36,"NY","Oswego",36075,2020-04-11,15,4,2020,2188
"New York",36,"NY","Otsego",36077,2020-04-11,15,4,2020,585
"New York",36,"NY","Putnam",36079,2020-04-11,15,4,2020,1742
"New York",36,"NY","Queens",36081,2020-04-11,15,4,2020,66128
"New York",36,"NY","Rensselaer",36083,2020-04-11,15,4,2020,2066
"New York",36,"NY","Richmond",36085,2020-04-11,15,4,2020,9803
"New York",36,"NY","Rockland",36087,2020-04-11,15,4,2020,4475
"New York",36,"NY","Saratoga",36091,2020-04-11,15,4,2020,3453
"New York",36,"NY","Schenectady",36093,2020-04-11,15,4,2020,2547
"New York",36,"NY","Schoharie",36095,2020-04-11,15,4,2020,332
"New York",36,"NY","Schuyler",36097,2020-04-11,15,4,2020,773
"New York",36,"NY","Seneca",36099,2020-04-11,15,4,2020,573
"New York",36,"NY","St. Lawrence",36089,2020-04-11,15,4,2020,1341
"New York",36,"NY","Steuben",36101,2020-04-11,15,4,2020,773
"New York",36,"NY","Suffolk",36103,2020-04-11,15,4,2020,31462
"New York",36,"NY","Sullivan",36105,2020-04-11,15,4,2020,993
"New York",36,"NY","Tioga",36107,2020-04-11,15,4,2020,809
"New York",36,"NY","Tompkins",36109,2020-04-11,15,4,2020,974
"New York",36,"NY","Ulster",36111,2020-04-11,15,4,2020,3121
"New York",36,"NY","Warren",36113,2020-04-11,15,4,2020,1039
"New York",36,"NY","Washington",36115,2020-04-11,15,4,2020,753
"New York",36,"NY","Wayne",36117,2020-04-11,15,4,2020,1489
"New York",36,"NY","Westchester",36119,2020-04-11,15,4,2020,15008
"New York",36,"NY","Wyoming",36121,2020-04-11,15,4,2020,601
"New York",36,"NY","Yates",36123,2020-04-11,15,4,2020,1013
"New York",36,"NY","Out of State",NA,2020-04-11,15,4,2020,399015
"New York",36,"NY","Albany",36001,2020-04-18,16,4,2020,1856
"New York",36,"NY","Allegany",36003,2020-04-18,16,4,2020,271
"New York",36,"NY","Bronx",36005,2020-04-18,16,4,2020,17593
"New York",36,"NY","Broome",36007,2020-04-18,16,4,2020,1622
"New York",36,"NY","Cattaraugus",36009,2020-04-18,16,4,2020,741
"New York",36,"NY","Cayuga",36011,2020-04-18,16,4,2020,637
"New York",36,"NY","Chautauqua",36013,2020-04-18,16,4,2020,1127
"New York",36,"NY","Chemung",36015,2020-04-18,16,4,2020,665
"New York",36,"NY","Chenango",36017,2020-04-18,16,4,2020,295
"New York",36,"NY","Clinton",36019,2020-04-18,16,4,2020,626
"New York",36,"NY","Columbia",36021,2020-04-18,16,4,2020,324
"New York",36,"NY","Cortland",36023,2020-04-18,16,4,2020,295
"New York",36,"NY","Delaware",36025,2020-04-18,16,4,2020,232
"New York",36,"NY","Dutchess",36027,2020-04-18,16,4,2020,2260
"New York",36,"NY","Erie",36029,2020-04-18,16,4,2020,9178
"New York",36,"NY","Essex",36031,2020-04-18,16,4,2020,115
"New York",36,"NY","Franklin",36033,2020-04-18,16,4,2020,250
"New York",36,"NY","Fulton",36035,2020-04-18,16,4,2020,345
"New York",36,"NY","genesee",36037,2020-04-18,16,4,2020,421
"New York",36,"NY","Greene",36039,2020-04-18,16,4,2020,311
"New York",36,"NY","Hamilton",36041,2020-04-18,16,4,2020,115
"New York",36,"NY","Herkimer",36043,2020-04-18,16,4,2020,393
"New York",36,"NY","Jefferson",36045,2020-04-18,16,4,2020,671
"New York",36,"NY","Kings",36047,2020-04-18,16,4,2020,29543
"New York",36,"NY","Lewis",36049,2020-04-18,16,4,2020,166
"New York",36,"NY","Livingston",36051,2020-04-18,16,4,2020,403
"New York",36,"NY","Madison",36053,2020-04-18,16,4,2020,504
"New York",36,"NY","Monroe",36055,2020-04-18,16,4,2020,5278
"New York",36,"NY","Montgomery",36057,2020-04-18,16,4,2020,395
"New York",36,"NY","Nassau",36059,2020-04-18,16,4,2020,13725
"New York",36,"NY","New York",36061,2020-04-18,16,4,2020,13524
"New York",36,"NY","Niagara",36063,2020-04-18,16,4,2020,2138
"New York",36,"NY","Oneida",36065,2020-04-18,16,4,2020,1809
"New York",36,"NY","Onondaga",36067,2020-04-18,16,4,2020,4082
"New York",36,"NY","Ontario",36069,2020-04-18,16,4,2020,460
"New York",36,"NY","Orange",36071,2020-04-18,16,4,2020,3590
"New York",36,"NY","Orleans",36073,2020-04-18,16,4,2020,297
"New York",36,"NY","Oswego",36075,2020-04-18,16,4,2020,1047
"New York",36,"NY","Otsego",36077,2020-04-18,16,4,2020,360
"New York",36,"NY","Putnam",36079,2020-04-18,16,4,2020,745
"New York",36,"NY","Queens",36081,2020-04-18,16,4,2020,37374
"New York",36,"NY","Rensselaer",36083,2020-04-18,16,4,2020,1033
"New York",36,"NY","Richmond",36085,2020-04-18,16,4,2020,5131
"New York",36,"NY","Rockland",36087,2020-04-18,16,4,2020,2168
"New York",36,"NY","Saratoga",36091,2020-04-18,16,4,2020,1654
