"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Ohio",39,"OH","Adams",39001,2020-01-04,1,1,2020,58
"Ohio",39,"OH","Adams",39001,2020-01-11,2,1,2020,36
"Ohio",39,"OH","Adams",39001,2020-01-18,3,1,2020,26
"Ohio",39,"OH","Adams",39001,2020-01-25,4,1,2020,26
"Ohio",39,"OH","Allen",39003,2020-01-04,1,1,2020,88
"Ohio",39,"OH","Allen",39003,2020-01-11,2,1,2020,115
"Ohio",39,"OH","Allen",39003,2020-01-18,3,1,2020,78
"Ohio",39,"OH","Allen",39003,2020-01-25,4,1,2020,74
"Ohio",39,"OH","Ashland",39005,2020-01-04,1,1,2020,53
"Ohio",39,"OH","Ashland",39005,2020-01-11,2,1,2020,50
"Ohio",39,"OH","Ashland",39005,2020-01-18,3,1,2020,34
"Ohio",39,"OH","Ashland",39005,2020-01-25,4,1,2020,41
"Ohio",39,"OH","Ashtabula",39007,2020-01-04,1,1,2020,122
"Ohio",39,"OH","Ashtabula",39007,2020-01-11,2,1,2020,91
"Ohio",39,"OH","Ashtabula",39007,2020-01-18,3,1,2020,60
"Ohio",39,"OH","Ashtabula",39007,2020-01-25,4,1,2020,76
"Ohio",39,"OH","Athens",39009,2020-01-04,1,1,2020,32
"Ohio",39,"OH","Athens",39009,2020-01-11,2,1,2020,41
"Ohio",39,"OH","Athens",39009,2020-01-18,3,1,2020,33
"Ohio",39,"OH","Athens",39009,2020-01-25,4,1,2020,31
"Ohio",39,"OH","Auglaize",39011,2020-01-04,1,1,2020,24
"Ohio",39,"OH","Auglaize",39011,2020-01-11,2,1,2020,30
"Ohio",39,"OH","Auglaize",39011,2020-01-18,3,1,2020,15
"Ohio",39,"OH","Auglaize",39011,2020-01-25,4,1,2020,17
"Ohio",39,"OH","Belmont",39013,2020-01-04,1,1,2020,105
"Ohio",39,"OH","Belmont",39013,2020-01-11,2,1,2020,81
"Ohio",39,"OH","Belmont",39013,2020-01-18,3,1,2020,67
"Ohio",39,"OH","Belmont",39013,2020-01-25,4,1,2020,52
"Ohio",39,"OH","Brown",39015,2020-01-04,1,1,2020,50
"Ohio",39,"OH","Brown",39015,2020-01-11,2,1,2020,54
"Ohio",39,"OH","Brown",39015,2020-01-18,3,1,2020,31
"Ohio",39,"OH","Brown",39015,2020-01-25,4,1,2020,24
"Ohio",39,"OH","Butler",39017,2020-01-04,1,1,2020,210
"Ohio",39,"OH","Butler",39017,2020-01-11,2,1,2020,245
"Ohio",39,"OH","Butler",39017,2020-01-18,3,1,2020,165
"Ohio",39,"OH","Butler",39017,2020-01-25,4,1,2020,137
"Ohio",39,"OH","Carroll",39019,2020-01-04,1,1,2020,47
"Ohio",39,"OH","Carroll",39019,2020-01-11,2,1,2020,53
"Ohio",39,"OH","Carroll",39019,2020-01-18,3,1,2020,21
"Ohio",39,"OH","Carroll",39019,2020-01-25,4,1,2020,113
"Ohio",39,"OH","Champaign",39021,2020-01-04,1,1,2020,28
"Ohio",39,"OH","Champaign",39021,2020-01-11,2,1,2020,51
"Ohio",39,"OH","Champaign",39021,2020-01-18,3,1,2020,29
"Ohio",39,"OH","Champaign",39021,2020-01-25,4,1,2020,22
"Ohio",39,"OH","Clark",39023,2020-01-04,1,1,2020,119
"Ohio",39,"OH","Clark",39023,2020-01-11,2,1,2020,186
"Ohio",39,"OH","Clark",39023,2020-01-18,3,1,2020,84
"Ohio",39,"OH","Clark",39023,2020-01-25,4,1,2020,63
"Ohio",39,"OH","Clermont",39025,2020-01-04,1,1,2020,153
"Ohio",39,"OH","Clermont",39025,2020-01-11,2,1,2020,123
"Ohio",39,"OH","Clermont",39025,2020-01-18,3,1,2020,102
"Ohio",39,"OH","Clermont",39025,2020-01-25,4,1,2020,102
"Ohio",39,"OH","Clinton",39027,2020-01-04,1,1,2020,38
"Ohio",39,"OH","Clinton",39027,2020-01-11,2,1,2020,29
"Ohio",39,"OH","Clinton",39027,2020-01-18,3,1,2020,24
"Ohio",39,"OH","Clinton",39027,2020-01-25,4,1,2020,17
"Ohio",39,"OH","Columbiana",39029,2020-01-04,1,1,2020,77
"Ohio",39,"OH","Columbiana",39029,2020-01-11,2,1,2020,67
"Ohio",39,"OH","Columbiana",39029,2020-01-18,3,1,2020,69
"Ohio",39,"OH","Columbiana",39029,2020-01-25,4,1,2020,93
"Ohio",39,"OH","Coshocton",39031,2020-01-04,1,1,2020,107
"Ohio",39,"OH","Coshocton",39031,2020-01-11,2,1,2020,37
"Ohio",39,"OH","Coshocton",39031,2020-01-18,3,1,2020,46
"Ohio",39,"OH","Coshocton",39031,2020-01-25,4,1,2020,29
"Ohio",39,"OH","Crawford",39033,2020-01-04,1,1,2020,66
"Ohio",39,"OH","Crawford",39033,2020-01-11,2,1,2020,38
"Ohio",39,"OH","Crawford",39033,2020-01-18,3,1,2020,29
"Ohio",39,"OH","Crawford",39033,2020-01-25,4,1,2020,24
"Ohio",39,"OH","Cuyahoga",39035,2020-01-04,1,1,2020,845
"Ohio",39,"OH","Cuyahoga",39035,2020-01-11,2,1,2020,991
"Ohio",39,"OH","Cuyahoga",39035,2020-01-18,3,1,2020,853
"Ohio",39,"OH","Cuyahoga",39035,2020-01-25,4,1,2020,732
"Ohio",39,"OH","Darke",39037,2020-01-04,1,1,2020,37
"Ohio",39,"OH","Darke",39037,2020-01-11,2,1,2020,37
"Ohio",39,"OH","Darke",39037,2020-01-18,3,1,2020,27
"Ohio",39,"OH","Darke",39037,2020-01-25,4,1,2020,34
"Ohio",39,"OH","Defiance",39039,2020-01-04,1,1,2020,37
"Ohio",39,"OH","Defiance",39039,2020-01-11,2,1,2020,31
"Ohio",39,"OH","Defiance",39039,2020-01-18,3,1,2020,27
"Ohio",39,"OH","Defiance",39039,2020-01-25,4,1,2020,21
"Ohio",39,"OH","Delaware",39041,2020-01-04,1,1,2020,68
"Ohio",39,"OH","Delaware",39041,2020-01-11,2,1,2020,77
"Ohio",39,"OH","Delaware",39041,2020-01-18,3,1,2020,61
"Ohio",39,"OH","Delaware",39041,2020-01-25,4,1,2020,43
"Ohio",39,"OH","Erie",39043,2020-01-04,1,1,2020,135
"Ohio",39,"OH","Erie",39043,2020-01-11,2,1,2020,89
"Ohio",39,"OH","Erie",39043,2020-01-18,3,1,2020,135
"Ohio",39,"OH","Erie",39043,2020-01-25,4,1,2020,75
"Ohio",39,"OH","Fairfield",39045,2020-01-04,1,1,2020,157
"Ohio",39,"OH","Fairfield",39045,2020-01-11,2,1,2020,74
"Ohio",39,"OH","Fairfield",39045,2020-01-18,3,1,2020,73
"Ohio",39,"OH","Fairfield",39045,2020-01-25,4,1,2020,58
"Ohio",39,"OH","Fayette",39047,2020-01-04,1,1,2020,28
"Ohio",39,"OH","Fayette",39047,2020-01-11,2,1,2020,11
"Ohio",39,"OH","Fayette",39047,2020-01-18,3,1,2020,9
"Ohio",39,"OH","Fayette",39047,2020-01-25,4,1,2020,12
"Ohio",39,"OH","Franklin",39049,2020-01-04,1,1,2020,607
"Ohio",39,"OH","Franklin",39049,2020-01-11,2,1,2020,586
"Ohio",39,"OH","Franklin",39049,2020-01-18,3,1,2020,551
"Ohio",39,"OH","Franklin",39049,2020-01-25,4,1,2020,470
"Ohio",39,"OH","Fulton",39051,2020-01-04,1,1,2020,95
"Ohio",39,"OH","Fulton",39051,2020-01-11,2,1,2020,64
"Ohio",39,"OH","Fulton",39051,2020-01-18,3,1,2020,51
"Ohio",39,"OH","Fulton",39051,2020-01-25,4,1,2020,47
"Ohio",39,"OH","Gallia",39053,2020-01-04,1,1,2020,53
"Ohio",39,"OH","Gallia",39053,2020-01-11,2,1,2020,39
"Ohio",39,"OH","Gallia",39053,2020-01-18,3,1,2020,15
"Ohio",39,"OH","Gallia",39053,2020-01-25,4,1,2020,17
"Ohio",39,"OH","Geauga",39055,2020-01-04,1,1,2020,64
"Ohio",39,"OH","Geauga",39055,2020-01-11,2,1,2020,63
"Ohio",39,"OH","Geauga",39055,2020-01-18,3,1,2020,40
"Ohio",39,"OH","Geauga",39055,2020-01-25,4,1,2020,52
