"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Rhode Island",44,"RI","Bristol",44001,2020-01-04,1,1,2020,390
"Rhode Island",44,"RI","Kent",44003,2020-01-04,1,1,2020,390
"Rhode Island",44,"RI","Newport",44005,2020-01-04,1,1,2020,390
"Rhode Island",44,"RI","Providence",44007,2020-01-04,1,1,2020,390
"Rhode Island",44,"RI","Washington",44009,2020-01-04,1,1,2020,390
"Rhode Island",44,"RI","Bristol",44001,2020-01-11,2,1,2020,358.2
"Rhode Island",44,"RI","Kent",44003,2020-01-11,2,1,2020,358.2
"Rhode Island",44,"RI","Newport",44005,2020-01-11,2,1,2020,358.2
"Rhode Island",44,"RI","Providence",44007,2020-01-11,2,1,2020,358.2
"Rhode Island",44,"RI","Washington",44009,2020-01-11,2,1,2020,358.2
"Rhode Island",44,"RI","Bristol",44001,2020-01-18,3,1,2020,233.6
"Rhode Island",44,"RI","Kent",44003,2020-01-18,3,1,2020,233.6
"Rhode Island",44,"RI","Newport",44005,2020-01-18,3,1,2020,233.6
"Rhode Island",44,"RI","Providence",44007,2020-01-18,3,1,2020,233.6
"Rhode Island",44,"RI","Washington",44009,2020-01-18,3,1,2020,233.6
"Rhode Island",44,"RI","Bristol",44001,2020-01-25,4,1,2020,209
"Rhode Island",44,"RI","Kent",44003,2020-01-25,4,1,2020,209
"Rhode Island",44,"RI","Newport",44005,2020-01-25,4,1,2020,209
"Rhode Island",44,"RI","Providence",44007,2020-01-25,4,1,2020,209
"Rhode Island",44,"RI","Washington",44009,2020-01-25,4,1,2020,209
"Rhode Island",44,"RI","Bristol",44001,2020-02-01,5,2,2020,193.2
"Rhode Island",44,"RI","Kent",44003,2020-02-01,5,2,2020,193.2
"Rhode Island",44,"RI","Newport",44005,2020-02-01,5,2,2020,193.2
"Rhode Island",44,"RI","Providence",44007,2020-02-01,5,2,2020,193.2
"Rhode Island",44,"RI","Washington",44009,2020-02-01,5,2,2020,193.2
"Rhode Island",44,"RI","Bristol",44001,2020-02-08,6,2,2020,188.8
"Rhode Island",44,"RI","Kent",44003,2020-02-08,6,2,2020,188.8
"Rhode Island",44,"RI","Newport",44005,2020-02-08,6,2,2020,188.8
"Rhode Island",44,"RI","Providence",44007,2020-02-08,6,2,2020,188.8
"Rhode Island",44,"RI","Washington",44009,2020-02-08,6,2,2020,188.8
"Rhode Island",44,"RI","Bristol",44001,2020-02-15,7,2,2020,188.6
"Rhode Island",44,"RI","Kent",44003,2020-02-15,7,2,2020,188.6
"Rhode Island",44,"RI","Newport",44005,2020-02-15,7,2,2020,188.6
"Rhode Island",44,"RI","Providence",44007,2020-02-15,7,2,2020,188.6
"Rhode Island",44,"RI","Washington",44009,2020-02-15,7,2,2020,188.6
"Rhode Island",44,"RI","Bristol",44001,2020-02-22,8,2,2020,382
"Rhode Island",44,"RI","Kent",44003,2020-02-22,8,2,2020,382
"Rhode Island",44,"RI","Newport",44005,2020-02-22,8,2,2020,382
"Rhode Island",44,"RI","Providence",44007,2020-02-22,8,2,2020,382
"Rhode Island",44,"RI","Washington",44009,2020-02-22,8,2,2020,382
"Rhode Island",44,"RI","Bristol",44001,2020-02-29,9,2,2020,164.4
"Rhode Island",44,"RI","Kent",44003,2020-02-29,9,2,2020,164.4
"Rhode Island",44,"RI","Newport",44005,2020-02-29,9,2,2020,164.4
"Rhode Island",44,"RI","Providence",44007,2020-02-29,9,2,2020,164.4
"Rhode Island",44,"RI","Washington",44009,2020-02-29,9,2,2020,164.4
"Rhode Island",44,"RI","Bristol",44001,2020-03-07,10,3,2020,137
"Rhode Island",44,"RI","Kent",44003,2020-03-07,10,3,2020,137
"Rhode Island",44,"RI","Newport",44005,2020-03-07,10,3,2020,137
"Rhode Island",44,"RI","Providence",44007,2020-03-07,10,3,2020,137
"Rhode Island",44,"RI","Washington",44009,2020-03-07,10,3,2020,137
"Rhode Island",44,"RI","Bristol",44001,2020-03-14,11,3,2020,218.4
"Rhode Island",44,"RI","Kent",44003,2020-03-14,11,3,2020,218.4
"Rhode Island",44,"RI","Newport",44005,2020-03-14,11,3,2020,218.4
"Rhode Island",44,"RI","Providence",44007,2020-03-14,11,3,2020,218.4
"Rhode Island",44,"RI","Washington",44009,2020-03-14,11,3,2020,218.4
"Rhode Island",44,"RI","Bristol",44001,2020-03-21,12,3,2020,7434.2
"Rhode Island",44,"RI","Kent",44003,2020-03-21,12,3,2020,7434.2
