"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"South Carolina",45,"SC","Abbeville",45001,2020-03-21,12,3,2020,83
"South Carolina",45,"SC","Abbeville",45001,2020-03-28,13,3,2020,150
"South Carolina",45,"SC","Aiken",45003,2020-03-21,12,3,2020,408
"South Carolina",45,"SC","Aiken",45003,2020-03-28,13,3,2020,1186
"South Carolina",45,"SC","Allendale",45005,2020-03-21,12,3,2020,20
"South Carolina",45,"SC","Allendale",45005,2020-03-28,13,3,2020,47
"South Carolina",45,"SC","Anderson",45007,2020-03-21,12,3,2020,967
"South Carolina",45,"SC","Anderson",45007,2020-03-28,13,3,2020,2220
"South Carolina",45,"SC","Bamberg",45009,2020-03-21,12,3,2020,32
"South Carolina",45,"SC","Bamberg",45009,2020-03-28,13,3,2020,63
"South Carolina",45,"SC","Barnwell",45011,2020-03-21,12,3,2020,48
"South Carolina",45,"SC","Barnwell",45011,2020-03-28,13,3,2020,161
"South Carolina",45,"SC","Beaufort",45013,2020-03-21,12,3,2020,1090
"South Carolina",45,"SC","Beaufort",45013,2020-03-28,13,3,2020,2709
"South Carolina",45,"SC","Berkeley",45015,2020-03-21,12,3,2020,1321
"South Carolina",45,"SC","Berkeley",45015,2020-03-28,13,3,2020,3057
"South Carolina",45,"SC","Calhoun",45017,2020-03-21,12,3,2020,26
"South Carolina",45,"SC","Calhoun",45017,2020-03-28,13,3,2020,55
"South Carolina",45,"SC","Charleston",45019,2020-03-21,12,3,2020,4183
"South Carolina",45,"SC","Charleston",45019,2020-03-28,13,3,2020,7845
"South Carolina",45,"SC","Cherokee",45021,2020-03-21,12,3,2020,238
"South Carolina",45,"SC","Cherokee",45021,2020-03-28,13,3,2020,488
"South Carolina",45,"SC","Chester",45023,2020-03-21,12,3,2020,153
"South Carolina",45,"SC","Chester",45023,2020-03-28,13,3,2020,279
"South Carolina",45,"SC","Chesterfield",45025,2020-03-21,12,3,2020,65
"South Carolina",45,"SC","Chesterfield",45025,2020-03-28,13,3,2020,330
"South Carolina",45,"SC","Clarendon",45027,2020-03-21,12,3,2020,68
"South Carolina",45,"SC","Clarendon",45027,2020-03-28,13,3,2020,212
"South Carolina",45,"SC","Colleton",45029,2020-03-21,12,3,2020,155
"South Carolina",45,"SC","Colleton",45029,2020-03-28,13,3,2020,402
"South Carolina",45,"SC","Darlington",45031,2020-03-21,12,3,2020,190
"South Carolina",45,"SC","Darlington",45031,2020-03-28,13,3,2020,646
"South Carolina",45,"SC","Dillon",45033,2020-03-21,12,3,2020,64
"South Carolina",45,"SC","Dillon",45033,2020-03-28,13,3,2020,132
"South Carolina",45,"SC","Dorchester",45035,2020-03-21,12,3,2020,949
"South Carolina",45,"SC","Dorchester",45035,2020-03-28,13,3,2020,2194
"South Carolina",45,"SC","Edgefield",45037,2020-03-21,12,3,2020,55
"South Carolina",45,"SC","Edgefield",45037,2020-03-28,13,3,2020,136
"South Carolina",45,"SC","Fairfield",45039,2020-03-21,12,3,2020,56
"South Carolina",45,"SC","Fairfield",45039,2020-03-28,13,3,2020,173
"South Carolina",45,"SC","Florence",45041,2020-03-21,12,3,2020,553
"South Carolina",45,"SC","Florence",45041,2020-03-28,13,3,2020,1257
"South Carolina",45,"SC","Georgetown",45043,2020-03-21,12,3,2020,311
"South Carolina",45,"SC","Georgetown",45043,2020-03-28,13,3,2020,844
"South Carolina",45,"SC","Greenville",45045,2020-03-21,12,3,2020,3265
"South Carolina",45,"SC","Greenville",45045,2020-03-28,13,3,2020,6556
"South Carolina",45,"SC","Greenwood",45047,2020-03-21,12,3,2020,329
"South Carolina",45,"SC","Greenwood",45047,2020-03-28,13,3,2020,636
"South Carolina",45,"SC","Hampton",45049,2020-03-21,12,3,2020,53
"South Carolina",45,"SC","Hampton",45049,2020-03-28,13,3,2020,125
"South Carolina",45,"SC","Horry",45051,2020-03-21,12,3,2020,5258
"South Carolina",45,"SC","Horry",45051,2020-03-28,13,3,2020,9672
"South Carolina",45,"SC","Jasper",45053,2020-03-21,12,3,2020,118
"South Carolina",45,"SC","Jasper",45053,2020-03-28,13,3,2020,251
"South Carolina",45,"SC","Kershaw",45055,2020-03-21,12,3,2020,338
"South Carolina",45,"SC","Kershaw",45055,2020-03-28,13,3,2020,720
"South Carolina",45,"SC","Lancaster",45057,2020-03-21,12,3,2020,307
"South Carolina",45,"SC","Lancaster",45057,2020-03-28,13,3,2020,639
"South Carolina",45,"SC","Laurens",45059,2020-03-21,12,3,2020,239
"South Carolina",45,"SC","Laurens",45059,2020-03-28,13,3,2020,692
"South Carolina",45,"SC","Lee",45061,2020-03-21,12,3,2020,25
"South Carolina",45,"SC","Lee",45061,2020-03-28,13,3,2020,97
"South Carolina",45,"SC","Lexington",45063,2020-03-21,12,3,2020,1487
"South Carolina",45,"SC","Lexington",45063,2020-03-28,13,3,2020,3112
"South Carolina",45,"SC","McCormick",45065,2020-03-21,12,3,2020,15
"South Carolina",45,"SC","McCormick",45065,2020-03-28,13,3,2020,43
"South Carolina",45,"SC","Marion",45067,2020-03-21,12,3,2020,125
"South Carolina",45,"SC","Marion",45067,2020-03-28,13,3,2020,262
"South Carolina",45,"SC","Marlboro",45069,2020-03-21,12,3,2020,50
"South Carolina",45,"SC","Marlboro",45069,2020-03-28,13,3,2020,195
"South Carolina",45,"SC","Newberry",45071,2020-03-21,12,3,2020,106
"South Carolina",45,"SC","Newberry",45071,2020-03-28,13,3,2020,256
"South Carolina",45,"SC","Oconee",45073,2020-03-21,12,3,2020,378
"South Carolina",45,"SC","Oconee",45073,2020-03-28,13,3,2020,1025
"South Carolina",45,"SC","Orangeburg",45075,2020-03-21,12,3,2020,277
"South Carolina",45,"SC","Orangeburg",45075,2020-03-28,13,3,2020,716
"South Carolina",45,"SC","Pickens",45077,2020-03-21,12,3,2020,716
"South Carolina",45,"SC","Pickens",45077,2020-03-28,13,3,2020,1613
"South Carolina",45,"SC","Richland",45079,2020-03-21,12,3,2020,2476
"South Carolina",45,"SC","Richland",45079,2020-03-28,13,3,2020,4684
"South Carolina",45,"SC","Saluda",45081,2020-03-21,12,3,2020,21
"South Carolina",45,"SC","Saluda",45081,2020-03-28,13,3,2020,61
