county,3/21/20,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,5/16/20,5/23/20,5/30/20,6/6/20,6/13/20,6/20/20,6/27/20,7/4/20,7/11/20
Abbeville,83,150,228,291,435,340,247,184,155,203,130,146,127,123,92,99,183
Aiken,408,1186,2515,1715,1247,1288,884,639,734,538,381,435,332,382,389,361,382
Allendale,20,47,61,125,53,65,61,46,49,42,55,50,59,43,54,39,60
Anderson,967,2220,3224,3185,3413,2961,1858,1284,1252,1025,838,983,818,800,710,764,1009
Bamberg,32,63,110,170,100,96,100,60,71,79,54,74,71,53,66,69,49
Barnwell,48,161,231,227,156,174,119,93,133,150,130,87,74,71,111,88,146
Beaufort,1090,2709,2822,2694,2401,1933,1332,905,716,496,336,349,289,312,288,262,316
Berkeley,1321,3057,3409,4102,3464,2546,2188,1521,1836,1057,735,886,773,624,754,721,755
Calhoun,26,55,94,148,97,76,86,84,47,52,23,33,35,32,40,27,39
Charleston,4183,7845,7315,6877,6134,5496,4273,2671,2505,1837,1362,1501,1311,1242,1141,1179,1051
Cherokee,238,488,1333,1336,863,850,498,606,641,480,371,476,314,240,253,207,489
Chester,153,279,453,611,417,419,284,186,144,120,132,196,152,125,146,98,130
Chesterfield,65,330,649,544,293,331,275,193,164,228,150,250,193,138,106,129,112
Clarendon,68,212,361,511,335,284,226,163,160,143,88,131,91,100,117,108,148
Colleton,155,402,512,494,435,326,326,296,238,213,232,324,236,178,175,182,201
Darlington,190,646,859,1084,765,719,532,381,363,336,274,571,448,281,313,297,280
Dillon,64,132,237,371,309,233,229,217,125,143,131,207,110,131,141,185,272
Dorchester,949,2194,2528,2792,2278,1866,1564,1090,1306,707,608,678,571,516,456,528,531
Edgefield,55,136,444,348,238,261,179,131,161,106,56,114,51,68,64,68,93
Fairfield,56,173,288,415,286,246,218,127,174,116,88,102,100,79,81,113,108
Florence,553,1257,1685,2168,1866,1582,1291,865,769,761,584,838,746,595,640,549,614
Georgetown,311,844,981,709,845,751,598,328,339,331,248,332,251,229,247,242,220
Greenville,3265,6556,9919,10378,8894,8089,5000,3494,2845,2559,1880,1993,1862,1642,1557,1529,1755
Greenwood,329,636,838,877,811,1036,476,440,397,409,315,442,363,445,334,330,568
Hampton,53,125,229,222,147,182,150,102,96,106,92,130,144,96,99,78,121
Horry,5258,9672,10098,7930,7867,5745,4318,2664,1999,1847,1198,1161,1096,1015,946,935,874
Jasper,118,251,339,354,293,265,174,130,115,104,67,80,80,72,65,71,84
Kershaw,338,720,1017,1096,801,668,536,353,300,265,214,260,227,213,211,199,219
Lancaster,307,639,994,1082,765,781,560,395,313,263,254,271,195,232,224,190,228
Laurens,239,692,934,797,729,692,496,379,314,305,254,339,241,225,243,181,319
Lee,25,97,147,232,128,175,114,89,67,75,60,84,96,59,86,59,78
Lexington,1487,3112,3992,4080,3481,2872,2368,1442,1308,1052,830,1015,843,828,858,754,752
McCormick,15,43,50,120,94,64,58,40,27,47,42,36,60,30,41,36,37
Marion,125,262,356,453,373,284,298,218,203,262,257,279,267,229,187,184,230
Marlboro,50,195,382,382,368,195,224,307,136,146,118,314,100,94,89,115,111
Newberry,106,256,505,670,536,463,272,174,146,150,83,122,121,109,132,106,237
Oconee,378,1025,1178,1194,1000,951,485,356,305,340,234,289,418,235,349,208,276
Orangeburg,277,716,1100,2009,1113,1012,876,621,623,521,435,572,520,464,397,441,452
Pickens,716,1613,2153,2069,1873,1666,975,742,602,536,400,444,422,373,350,363,618
Richland,2476,4684,5848,5950,4898,4137,3763,2583,2279,2166,1634,1858,1855,1642,1554,1467,1349
Saluda,21,61,110,171,103,148,98,56,66,42,24,37,24,26,43,22,62
Spartanburg,1554,3104,6038,7258,5457,6326,3266,2546,2166,1893,1385,1803,1071,1003,974,830,1277
Sumter,316,811,1305,1928,1158,1124,995,527,614,599,522,587,604,469,582,530,891
Union,66,175,413,811,501,461,429,267,348,234,164,218,153,137,133,135,195
Williamsburg,67,259,317,341,411,295,281,188,147,159,104,216,165,135,175,133,196
York,1404,2328,3374,3237,2358,2010,1665,1141,969,826,665,698,688,566,590,509,570
