"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Tennessee",47,"TN","Anderson",47001,2020-03-14,11,3,2020,40
"Tennessee",47,"TN","Bedford",47003,2020-03-14,11,3,2020,12
"Tennessee",47,"TN","Benton",47005,2020-03-14,11,3,2020,7
"Tennessee",47,"TN","Bledsoe",47007,2020-03-14,11,3,2020,6
"Tennessee",47,"TN","Blount",47009,2020-03-14,11,3,2020,32
"Tennessee",47,"TN","Bradley",47011,2020-03-14,11,3,2020,54
"Tennessee",47,"TN","Campbell",47013,2020-03-14,11,3,2020,18
"Tennessee",47,"TN","Cannon",47015,2020-03-14,11,3,2020,4
"Tennessee",47,"TN","Carroll",47017,2020-03-14,11,3,2020,23
"Tennessee",47,"TN","Carter",47019,2020-03-14,11,3,2020,19
"Tennessee",47,"TN","Cheatham",47021,2020-03-14,11,3,2020,13
"Tennessee",47,"TN","Claiborne",47025,2020-03-14,11,3,2020,10
"Tennessee",47,"TN","Clay",47027,2020-03-14,11,3,2020,2
"Tennessee",47,"TN","Cocke",47029,2020-03-14,11,3,2020,6
"Tennessee",47,"TN","Coffee",47031,2020-03-14,11,3,2020,16
"Tennessee",47,"TN","Crockett",47033,2020-03-14,11,3,2020,52
"Tennessee",47,"TN","Cumberland",47035,2020-03-14,11,3,2020,21
"Tennessee",47,"TN","Davidson",47037,2020-03-14,11,3,2020,332
"Tennessee",47,"TN","Decatur",47039,2020-03-14,11,3,2020,8
"Tennessee",47,"TN","DeKalb",47041,2020-03-14,11,3,2020,7
"Tennessee",47,"TN","Dickson",47043,2020-03-14,11,3,2020,16
"Tennessee",47,"TN","Dyer",47045,2020-03-14,11,3,2020,15
"Tennessee",47,"TN","Fayette",47047,2020-03-14,11,3,2020,21
"Tennessee",47,"TN","Fentress",47049,2020-03-14,11,3,2020,1
"Tennessee",47,"TN","Franklin",47051,2020-03-14,11,3,2020,6
"Tennessee",47,"TN","Gibson",47053,2020-03-14,11,3,2020,15
"Tennessee",47,"TN","Giles",47055,2020-03-14,11,3,2020,15
"Tennessee",47,"TN","Grainger",47057,2020-03-14,11,3,2020,3
"Tennessee",47,"TN","Greene",47059,2020-03-14,11,3,2020,21
"Tennessee",47,"TN","Grundy",47061,2020-03-14,11,3,2020,2
"Tennessee",47,"TN","Hamblen",47063,2020-03-14,11,3,2020,15
"Tennessee",47,"TN","Hamilton",47065,2020-03-14,11,3,2020,124
"Tennessee",47,"TN","Hancock",47067,2020-03-14,11,3,2020,7
"Tennessee",47,"TN","Hardeman",47069,2020-03-14,11,3,2020,11
"Tennessee",47,"TN","Hardin",47071,2020-03-14,11,3,2020,16
"Tennessee",47,"TN","Hawkins",47073,2020-03-14,11,3,2020,13
"Tennessee",47,"TN","Haywood",47075,2020-03-14,11,3,2020,20
"Tennessee",47,"TN","Henderson",47077,2020-03-14,11,3,2020,8
"Tennessee",47,"TN","Henry",47079,2020-03-14,11,3,2020,7
"Tennessee",47,"TN","Hickman",47081,2020-03-14,11,3,2020,6
"Tennessee",47,"TN","Houston",47083,2020-03-14,11,3,2020,10
"Tennessee",47,"TN","Humphreys",47085,2020-03-14,11,3,2020,11
"Tennessee",47,"TN","Jackson",47087,2020-03-14,11,3,2020,4
"Tennessee",47,"TN","Jefferson",47089,2020-03-14,11,3,2020,13
"Tennessee",47,"TN","Johnson",47091,2020-03-14,11,3,2020,4
"Tennessee",47,"TN","Knox",47093,2020-03-14,11,3,2020,147
"Tennessee",47,"TN","Lake",47095,2020-03-14,11,3,2020,3
"Tennessee",47,"TN","Lauderdale",47097,2020-03-14,11,3,2020,11
"Tennessee",47,"TN","Lawrence",47099,2020-03-14,11,3,2020,16
"Tennessee",47,"TN","Lewis",47101,2020-03-14,11,3,2020,2
"Tennessee",47,"TN","Lincoln",47103,2020-03-14,11,3,2020,15
"Tennessee",47,"TN","Loudon",47105,2020-03-14,11,3,2020,12
"Tennessee",47,"TN","Macon",47111,2020-03-14,11,3,2020,8
"Tennessee",47,"TN","Madison",47113,2020-03-14,11,3,2020,29
"Tennessee",47,"TN","Marion",47115,2020-03-14,11,3,2020,6
"Tennessee",47,"TN","Marshall",47117,2020-03-14,11,3,2020,11
"Tennessee",47,"TN","Maury",47119,2020-03-14,11,3,2020,26
"Tennessee",47,"TN","McMinn",47107,2020-03-14,11,3,2020,23
"Tennessee",47,"TN","McNairy",47109,2020-03-14,11,3,2020,5
"Tennessee",47,"TN","Meigs",47121,2020-03-14,11,3,2020,10
"Tennessee",47,"TN","Monroe",47123,2020-03-14,11,3,2020,13
"Tennessee",47,"TN","Montgomery",47125,2020-03-14,11,3,2020,90
"Tennessee",47,"TN","Moore",47127,2020-03-14,11,3,2020,2
"Tennessee",47,"TN","Morgan",47129,2020-03-14,11,3,2020,4
"Tennessee",47,"TN","Obion",47131,2020-03-14,11,3,2020,8
"Tennessee",47,"TN","Overton",47133,2020-03-14,11,3,2020,2
"Tennessee",47,"TN","Perry",47135,2020-03-14,11,3,2020,1
"Tennessee",47,"TN","Pickett",47137,2020-03-14,11,3,2020,4
"Tennessee",47,"TN","Polk",47139,2020-03-14,11,3,2020,4
"Tennessee",47,"TN","Putnam",47141,2020-03-14,11,3,2020,21
"Tennessee",47,"TN","Rhea",47143,2020-03-14,11,3,2020,31
"Tennessee",47,"TN","Roane",47145,2020-03-14,11,3,2020,10
"Tennessee",47,"TN","Robertson",47147,2020-03-14,11,3,2020,38
"Tennessee",47,"TN","Rutherford",47149,2020-03-14,11,3,2020,113
"Tennessee",47,"TN","Scott",47151,2020-03-14,11,3,2020,9
"Tennessee",47,"TN","Sequatchie",47153,2020-03-14,11,3,2020,5
"Tennessee",47,"TN","Sevier",47155,2020-03-14,11,3,2020,28
"Tennessee",47,"TN","Shelby",47157,2020-03-14,11,3,2020,427
"Tennessee",47,"TN","Smith",47159,2020-03-14,11,3,2020,9
"Tennessee",47,"TN","Stewart",47161,2020-03-14,11,3,2020,5
"Tennessee",47,"TN","Sullivan",47163,2020-03-14,11,3,2020,31
"Tennessee",47,"TN","Sumner",47165,2020-03-14,11,3,2020,61
"Tennessee",47,"TN","Tipton",47167,2020-03-14,11,3,2020,24
"Tennessee",47,"TN","Trousdale",47169,2020-03-14,11,3,2020,8
"Tennessee",47,"TN","Unicoi",47171,2020-03-14,11,3,2020,7
"Tennessee",47,"TN","Union",47173,2020-03-14,11,3,2020,4
"Tennessee",47,"TN","Van Buren",47175,2020-03-14,11,3,2020,1
"Tennessee",47,"TN","Warren",47177,2020-03-14,11,3,2020,9
"Tennessee",47,"TN","Washington",47179,2020-03-14,11,3,2020,30
"Tennessee",47,"TN","Wayne",47181,2020-03-14,11,3,2020,6
"Tennessee",47,"TN","Weakley",47183,2020-03-14,11,3,2020,7
"Tennessee",47,"TN","White",47185,2020-03-14,11,3,2020,9
"Tennessee",47,"TN","Williamson",47187,2020-03-14,11,3,2020,45
"Tennessee",47,"TN","Wilson",47189,2020-03-14,11,3,2020,70
"Tennessee",47,"TN","Anderson",47001,2020-03-21,12,3,2020,400
"Tennessee",47,"TN","Bedford",47003,2020-03-21,12,3,2020,184
"Tennessee",47,"TN","Benton",47005,2020-03-21,12,3,2020,51
"Tennessee",47,"TN","Bledsoe",47007,2020-03-21,12,3,2020,32
"Tennessee",47,"TN","Blount",47009,2020-03-21,12,3,2020,543
"Tennessee",47,"TN","Bradley",47011,2020-03-21,12,3,2020,431
"Tennessee",47,"TN","Campbell",47013,2020-03-21,12,3,2020,111
"Tennessee",47,"TN","Cannon",47015,2020-03-21,12,3,2020,50
"Tennessee",47,"TN","Carroll",47017,2020-03-21,12,3,2020,81
"Tennessee",47,"TN","Carter",47019,2020-03-21,12,3,2020,121
"Tennessee",47,"TN","Cheatham",47021,2020-03-21,12,3,2020,213
"Tennessee",47,"TN","Chester",47023,2020-03-21,12,3,2020,18
"Tennessee",47,"TN","Claiborne",47025,2020-03-21,12,3,2020,40
"Tennessee",47,"TN","Clay",47027,2020-03-21,12,3,2020,24
"Tennessee",47,"TN","Cocke",47029,2020-03-21,12,3,2020,335
"Tennessee",47,"TN","Coffee",47031,2020-03-21,12,3,2020,247
"Tennessee",47,"TN","Crockett",47033,2020-03-21,12,3,2020,138
"Tennessee",47,"TN","Cumberland",47035,2020-03-21,12,3,2020,117
"Tennessee",47,"TN","Davidson",47037,2020-03-21,12,3,2020,8205
"Tennessee",47,"TN","Decatur",47039,2020-03-21,12,3,2020,25
"Tennessee",47,"TN","DeKalb",47041,2020-03-21,12,3,2020,109
