Claims Week Ending,County,Continued Week claims,Total Initial Claims
7/11/20,Anderson,"2,171",221
7/11/20,Bedford,"1,554",112
7/11/20,Benton,414,70
7/11/20,Bledsoe,198,18
7/11/20,Blount,"3,948",261
7/11/20,Bradley,"3,611",391
7/11/20,Campbell,827,126
7/11/20,Cannon,354,33
7/11/20,Carroll,752,84
7/11/20,Carter,"1,116",84
7/11/20,Cheatham,"1,308",89
7/11/20,Chester,392,53
7/11/20,Claiborne,647,54
7/11/20,Clay,110,21
7/11/20,Cocke,"1,520",137
7/11/20,Coffee,"2,128",139
7/11/20,Crockett,311,71
7/11/20,Cumberland,"1,299",146
7/11/20,Davidson,"44,763","2,859"
7/11/20,Decatur,316,42
7/11/20,DeKalb,627,55
7/11/20,Dickson,"1,437",111
7/11/20,Dyer,"1,108",111
7/11/20,Fayette,"1,218",104
7/11/20,Fentress,364,62
7/11/20,Franklin,"1,329",89
7/11/20,Gibson,"1,504",110
7/11/20,Giles,"1,036",95
7/11/20,Grainger,578,71
7/11/20,Greene,"2,409",209
7/11/20,Grundy,412,37
7/11/20,Hamblen,"1,918",205
7/11/20,Hamilton,"13,734",974
7/11/20,Hancock,136,28
7/11/20,Hardeman,798,72
7/11/20,Hardin,580,76
7/11/20,Hawkins,"1,535",162
7/11/20,Haywood,758,76
7/11/20,Henderson,940,69
7/11/20,Henry,733,72
7/11/20,Hickman,573,75
7/11/20,Houston,205,41
7/11/20,Humphreys,421,53
7/11/20,Jackson,276,30
7/11/20,Jefferson,"1,544",118
7/11/20,Johnson,326,36
7/11/20,Knox,"15,240","1,063"
7/11/20,Lake,121,22
7/11/20,Lauderdale,830,125
7/11/20,Lawrence,"1,463",149
7/11/20,Lewis,341,33
7/11/20,Lincoln,973,63
7/11/20,Loudon,"1,622",123
7/11/20,Macon,671,128
7/11/20,Madison,"4,144",352
7/11/20,Marion,875,66
7/11/20,Marshall,"1,335",106
7/11/20,Maury,"5,285",399
7/11/20,McMinn,"1,713",161
7/11/20,McNairy,796,199
7/11/20,Meigs,435,53
7/11/20,Monroe,"1,486",136
7/11/20,Montgomery,"6,868",545
7/11/20,Moore,130,12
7/11/20,Morgan,339,52
7/11/20,Obion,646,94
7/11/20,Overton,416,36
7/11/20,Perry,193,19
7/11/20,Pickett,82,5
7/11/20,Polk,372,40
7/11/20,Putnam,"2,331",168
7/11/20,Rhea,"1,062",96
7/11/20,Roane,"1,273",138
7/11/20,Robertson,"2,512",187
7/11/20,Rutherford,"14,767",811
7/11/20,Scott,627,55
7/11/20,Sequatchie,365,29
7/11/20,Sevier,"5,300",221
7/11/20,Shelby,"53,705","5,246"
7/11/20,Smith,444,47
7/11/20,Stewart,274,19
7/11/20,Sullivan,"4,347",331
7/11/20,Sumner,"7,145",406
7/11/20,Tipton,"1,653",150
7/11/20,Trousdale,313,30
7/11/20,Unicoi,445,26
7/11/20,Union,404,35
7/11/20,Van Buren,173,25
7/11/20,Warren,"1,751",125
7/11/20,Washington,"3,774",262
7/11/20,Wayne,263,33
7/11/20,Weakley,784,139
7/11/20,White,841,71
7/11/20,Williamson,"5,902",391
7/11/20,Wilson,"5,392",324
