date,area,count,,,,,
3/21/20,Greater Memphis,"4,355",,,,,
3/21/20,Northwest Tennessee,511,,,,,
3/21/20,Southwest Tennessee,518,,,,,
3/21/20,Northern Middle Tennessee,"16,993",,,,,
3/21/20,Southern Middle Tennessee,"1,992",,,,,
3/21/20,Upper Cumberland,877,,,,,
3/21/20,Southeast Tennessee,"4,211",,,,,
3/21/20,East Tennessee,"6,854",,,,,
3/21/20,Northeast Tennessee,"1,616",,,,,
3/28/20,Greater Memphis,"12,548",,,,,
3/28/20,Northwest Tennessee,"2,299",,,,,
3/28/20,Southwest Tennessee,"2,571",,,,,
3/28/20,Northern Middle Tennessee,"32,246",,,,,
3/28/20,Southern Middle Tennessee,"8,147",,,,,
3/28/20,Upper Cumberland,"3,295",,,,,
3/28/20,Southeast Tennessee,"9,309",,,,,
3/28/20,East Tennessee,"20,025",,,,,
3/28/20,Northeast Tennessee,"4,749",,,,,
4/4/20,Greater Memphis,"15, 452",,,,,
4/4/20,Northwest Tennessee,"3,409",,,,,
4/4/20,Southwest Tennessee,"3,604",,,,,
4/4/20,Northern Middle Tennessee,"47,325",,,,,
4/4/20,Southern Middle Tennessee,"10,613",,,,,
4/4/20,Upper Cumberland,"4,892",,,,,
4/4/20,Southeast Tennessee,"13,578",,,,,
4/4/20,East Tennessee,"25, 040",,,,,
4/4/20,Northeast Tennessee,"6,419",,,,,
4/11/20,Greater Memphis,"12,216",,,,,
4/11/20,Northwest Tennessee,"2,233",,,,,
4/11/20,Southwest Tennessee,"2,692",,,,,
4/11/20,Northern Middle Tennessee,"34,643",,,,,
4/11/20,Southern Middle Tennessee,"10,488",,,,,
4/11/20,Upper Cumberland,"4,052",,,,,
4/11/20,Southeast Tennessee,"10,442",,,,,
4/11/20,East Tennessee,"16,669",,,,,
4/11/20,Northeast Tennessee,"4,626",,,,,
4/18/20,Greater Memphis,"12,361",,,,,
4/18/20,Northwest Tennessee,"2,966",,,,,
4/18/20,Southwest Tennessee,"2,835",,,,,
4/18/20,Northern Middle Tennessee,"29,065",,,,,
4/18/20,Southern Middle Tennessee,"6,656",,,,,
4/18/20,Upper Cumberland,"3,397",,,,,
4/18/20,Southeast Tennessee,"10,188",,,,,
4/18/20,East Tennessee,"17,222",,,,,
4/18/20,Northeast Tennessee,"5,085",,,,,
4/25/20,Greater Memphis,"8,215",,,,,
4/25/20,Northwest Tennessee,"1,105",,,,,
4/25/20,Southwest Tennessee,"1,480",,,,,
4/25/20,Northern Middle Tennessee,"14,927",,,,,
4/25/20,Southern Middle Tennessee,"3,251",,,,,
4/25/20,Upper Cumberland,"1,510",,,,,
4/25/20,Southeast Tennessee,"5,018",,,,,
4/25/20,East Tennessee,9.29,,,,,
4/25/20,Northeast Tennessee,"2,379",,,,,
5/2/20,Greater Memphis,"8,218",,,,,
5/2/20,Northwest Tennessee,918,,,,,
5/2/20,Southwest Tennessee,"1,244",,,,,
5/2/20,Northern Middle Tennessee,"13,274",,,,,
5/2/20,Southern Middle Tennessee,"2,255",,,,,
5/2/20,Upper Cumberland,"1,009",,,,,
5/2/20,Southeast Tennessee,"3,787",,,,,
5/2/20,East Tennessee,"6,303",,,,,
5/2/20,Northeast Tennessee,"1,781",,,,,
5/9/20,Greater Memphis,"6,634",,,,,
5/9/20,Northwest Tennessee,736,,,,,
5/9/20,Southwest Tennessee,999,,,,,
5/9/20,Northern Middle Tennessee,"8,694",,,,,
5/9/20,Southern Middle Tennessee,"1,567",,,,,
5/9/20,Upper Cumberland,681,,,,,
5/9/20,Southeast Tennessee,"2,688",,,,,
5/9/20,East Tennessee,"4,025",,,,,
5/9/20,Northeast Tennessee,"1,101",,,,,
5/16/20,Greater Memphis,"6,081",,,,,
5/16/20,Northwest Tennessee,608,,,,,
5/16/20,Southwest Tennessee,875,,,,,
5/16/20,Northern Middle Tennessee,"7,768",,,,,
5/16/20,Southern Middle Tennessee,"1,385",,,,,
5/16/20,Upper Cumberland,673,,,,,
5/16/20,Southeast Tennessee,"2,469",,,,,
5/16/20,East Tennessee,"3,183",,,,,
5/16/20,Northeast Tennessee,872,,,,,
5/23/20,Greater Memphis,"5,940",,,,,
5/23/20,Northwest Tennessee,582,,,,,
5/23/20,Southwest Tennessee,795,,,,,
5/23/20,Northern Middle Tennessee,"7,324",,,,,
5/23/20,Southern Middle Tennessee,"1,267",,,,,
5/23/20,Upper Cumberland,649,,,,,
5/23/20,Southeast Tennessee,"2,494",,,,,
5/23/20,East Tennessee,"2,726",,,,,
5/23/20,Northeast Tennessee,902,,,,,
5/30/20,Greater Memphis,"5,676",,,,,
5/30/20,Northwest Tennessee,499,,,,,
5/30/20,Southwest Tennessee,689,,,,,
5/30/20,Northern Middle Tennessee,"5,754",,,,,
5/30/20,Southern Middle Tennessee,"1,010",,,,,
5/30/20,Upper Cumberland,562,,,,,
5/30/20,Southeast Tennessee,"1,798",,,,,
5/30/20,East Tennessee,"2,430",,,,,
5/30/20,Northeast Tennessee,694,,,,,
6/6/20,Greater Memphis,"5,905",,,,,
6/6/20,Northwest Tennessee,482,,,,,
6/6/20,Southwest Tennessee,677,,,,,
6/6/20,Northern Middle Tennessee,"5,448",,,,,
6/6/20,Southern Middle Tennessee,938,,,,,
6/6/20,Upper Cumberland,489,,,,,
6/6/20,Southeast Tennessee,"1,631",,,,,
6/6/20,East Tennessee,"2,194",,,,,
6/6/20,Northeast Tennessee,699,,,,,
6/13/20,Greater Memphis,"5,467",,,,,
6/13/20,Northwest Tennessee,442,,,,,
6/13/20,Southwest Tennessee,591,,,,,
6/13/20,Northern Middle Tennessee,"4,880",,,,,
6/13/20,Southern Middle Tennessee,851,,,,,
6/13/20,Upper Cumberland,433,,,,,
6/13/20,Southeast Tennessee,"1,510",,,,,
6/13/20,East Tennessee,"2,055",,,,,
6/13/20,Northeast Tennessee,649,,,,,
