polyname,area
"tennessee,anderson",East Tennessee
"tennessee,blount",East Tennessee
"tennessee,campbell",East Tennessee
"tennessee,claiborne",East Tennessee
"tennessee,cocke",East Tennessee
"tennessee,grainger",East Tennessee
"tennessee,hamblen",East Tennessee
"tennessee,jefferson",East Tennessee
"tennessee,knox",East Tennessee
"tennessee,loudon",East Tennessee
"tennessee,monroe",East Tennessee
"tennessee,morgan",East Tennessee
"tennessee,roane",East Tennessee
"tennessee,scott",East Tennessee
"tennessee,sevier",East Tennessee
"tennessee,union",East Tennessee
"tennessee,fayette",Greater Memphis
"tennessee,lauderdale",Greater Memphis
"tennessee,shelby",Greater Memphis
"tennessee,tipton",Greater Memphis
"tennessee,carter",Northeast Tennessee
"tennessee,greene",Northeast Tennessee
"tennessee,hamilton",Southeast Tennessee
"tennessee,hawkins",Northeast Tennessee
"tennessee,johnson",Northeast Tennessee
"tennessee,sullivan",Northeast Tennessee
"tennessee,unicoi",Northeast Tennessee
"tennessee,washington",Northeast Tennessee
"tennessee,cheatham",Northern Middle Tennessee
"tennessee,davidson",Northern Middle Tennessee
"tennessee,dickson",Northern Middle Tennessee
"tennessee,houston",Northern Middle Tennessee
"tennessee,humphreys",Northern Middle Tennessee
"tennessee,montgomery",Northern Middle Tennessee
"tennessee,robertson",Northern Middle Tennessee
"tennessee,rutherford",Northern Middle Tennessee
"tennessee,stewart",Northern Middle Tennessee
"tennessee,sumner",Northern Middle Tennessee
"tennessee,trousdale",Northern Middle Tennessee
"tennessee,williamson",Northern Middle Tennessee
"tennessee,wilson",Northern Middle Tennessee
"tennessee,benton",Northwest Tennessee
"tennessee,carroll",Northwest Tennessee
"tennessee,crockett",Northwest Tennessee
"tennessee,dyer",Northwest Tennessee
"tennessee,gibson",Northwest Tennessee
"tennessee,henry",Northwest Tennessee
"tennessee,lake",Northwest Tennessee
"tennessee,obion",Northwest Tennessee
"tennessee,weakley",Northwest Tennessee
"tennessee,bledsoe",Southeast Tennessee
"tennessee,bradley",Southeast Tennessee
"tennessee,grundy",Southeast Tennessee
"tennessee,mcminn",Southeast Tennessee
"tennessee,marion",Southeast Tennessee
"tennessee,meigs",Southeast Tennessee
"tennessee,polk",Southeast Tennessee
"tennessee,rhea",Southeast Tennessee
"tennessee,sequatchie",Southeast Tennessee
"tennessee,bedford",Southern Middle Tennessee
"tennessee,coffee",Southern Middle Tennessee
"tennessee,franklin",Southern Middle Tennessee
"tennessee,giles",Southern Middle Tennessee
"tennessee,hickman",Southern Middle Tennessee
"tennessee,lawrence",Southern Middle Tennessee
"tennessee,lewis",Southern Middle Tennessee
"tennessee,lincoln",Southern Middle Tennessee
"tennessee,marshall",Southern Middle Tennessee
"tennessee,maury",Southern Middle Tennessee
"tennessee,moore",Southern Middle Tennessee
"tennessee,perry",Southern Middle Tennessee
"tennessee,wayne",Southern Middle Tennessee
"tennessee,chester",Southwest Tennessee
"tennessee,decatur",Southwest Tennessee
"tennessee,hardeman",Southwest Tennessee
"tennessee,hardin",Southwest Tennessee
"tennessee,haywood",Southwest Tennessee
"tennessee,henderson",Southwest Tennessee
"tennessee,mcnairy",Southwest Tennessee
"tennessee,madison",Southwest Tennessee
"tennessee,cannon",Upper Cumberland
"tennessee,clay",Upper Cumberland
"tennessee,cumberland",Upper Cumberland
"tennessee,de kalb",Upper Cumberland
"tennessee,fentress",Upper Cumberland
"tennessee,jackson",Upper Cumberland
"tennessee,macon",Upper Cumberland
"tennessee,overton",Upper Cumberland
"tennessee,pickett",Upper Cumberland
"tennessee,putnam",Upper Cumberland
"tennessee,smith",Upper Cumberland
"tennessee,van buren",Upper Cumberland
"tennessee,warren",Upper Cumberland
"tennessee,white",Upper Cumberland
"tennessee,hancock",Northeast Tennessee
