"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Utah",49,"UT","Beaver",49001,2019-01-05,1,1,2019,4
"Utah",49,"UT","Beaver",49001,2020-01-04,1,1,2020,0
"Utah",49,"UT","Box Elder",49003,2019-01-05,1,1,2019,124
"Utah",49,"UT","Box Elder",49003,2020-01-04,1,1,2020,52
"Utah",49,"UT","Cache",49005,2019-01-05,1,1,2019,110
"Utah",49,"UT","Cache",49005,2020-01-04,1,1,2020,88
"Utah",49,"UT","Carbon",49007,2019-01-05,1,1,2019,24
"Utah",49,"UT","Carbon",49007,2020-01-04,1,1,2020,16
"Utah",49,"UT","Daggett",49009,2019-01-05,1,1,2019,4
"Utah",49,"UT","Daggett",49009,2020-01-04,1,1,2020,4
"Utah",49,"UT","Davis",49011,2019-01-05,1,1,2019,578
"Utah",49,"UT","Davis",49011,2020-01-04,1,1,2020,218
"Utah",49,"UT","Duchesne",49013,2019-01-05,1,1,2019,30
"Utah",49,"UT","Duchesne",49013,2020-01-04,1,1,2020,38
"Utah",49,"UT","Emery",49015,2019-01-05,1,1,2019,32
"Utah",49,"UT","Emery",49015,2020-01-04,1,1,2020,10
"Utah",49,"UT","Garfield",49017,2019-01-05,1,1,2019,34
"Utah",49,"UT","Garfield",49017,2020-01-04,1,1,2020,16
"Utah",49,"UT","Grand",49019,2019-01-05,1,1,2019,118
"Utah",49,"UT","Grand",49019,2020-01-04,1,1,2020,64
"Utah",49,"UT","Iron",49021,2019-01-05,1,1,2019,60
"Utah",49,"UT","Iron",49021,2020-01-04,1,1,2020,56
"Utah",49,"UT","Juab",49023,2019-01-05,1,1,2019,22
"Utah",49,"UT","Juab",49023,2020-01-04,1,1,2020,26
"Utah",49,"UT","Kane",49025,2019-01-05,1,1,2019,30
"Utah",49,"UT","Kane",49025,2020-01-04,1,1,2020,2
"Utah",49,"UT","Millard",49027,2019-01-05,1,1,2019,22
"Utah",49,"UT","Millard",49027,2020-01-04,1,1,2020,6
"Utah",49,"UT","Morgan",49029,2019-01-05,1,1,2019,12
"Utah",49,"UT","Morgan",49029,2020-01-04,1,1,2020,12
"Utah",49,"UT","Out of State",NA,2019-01-05,1,1,2019,196
"Utah",49,"UT","Out of State",NA,2020-01-04,1,1,2020,156
"Utah",49,"UT","Piute",49031,2019-01-05,1,1,2019,2
"Utah",49,"UT","Piute",49031,2020-01-04,1,1,2020,0
"Utah",49,"UT","Rich",49033,2019-01-05,1,1,2019,2
"Utah",49,"UT","Rich",49033,2020-01-04,1,1,2020,8
"Utah",49,"UT","Salt Lake",49035,2019-01-05,1,1,2019,1192
"Utah",49,"UT","Salt Lake",49035,2020-01-04,1,1,2020,1074
"Utah",49,"UT","San Juan",49037,2019-01-05,1,1,2019,32
"Utah",49,"UT","San Juan",49037,2020-01-04,1,1,2020,32
"Utah",49,"UT","Sanpete",49039,2019-01-05,1,1,2019,34
"Utah",49,"UT","Sanpete",49039,2020-01-04,1,1,2020,16
"Utah",49,"UT","Sevier",49041,2019-01-05,1,1,2019,56
"Utah",49,"UT","Sevier",49041,2020-01-04,1,1,2020,12
"Utah",49,"UT","Summit",49043,2019-01-05,1,1,2019,30
"Utah",49,"UT","Summit",49043,2020-01-04,1,1,2020,18
"Utah",49,"UT","Tooele",49045,2019-01-05,1,1,2019,94
"Utah",49,"UT","Tooele",49045,2020-01-04,1,1,2020,60
"Utah",49,"UT","Uintah",49047,2019-01-05,1,1,2019,74
"Utah",49,"UT","Uintah",49047,2020-01-04,1,1,2020,74
"Utah",49,"UT","Unknown",NA,2019-01-05,1,1,2019,0
"Utah",49,"UT","Unknown",NA,2020-01-04,1,1,2020,0
"Utah",49,"UT","Utah",49049,2019-01-05,1,1,2019,588
"Utah",49,"UT","Utah",49049,2020-01-04,1,1,2020,506
