"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Virginia",51,"VA","Accomack","51001",2020-03-14,11,3,2020,6
"Virginia",51,"VA","Albermarle","51003",2020-03-14,11,3,2020,12
"Virginia",51,"VA","Alleghany","51005",2020-03-14,11,3,2020,1
"Virginia",51,"VA","Amelia","51007",2020-03-14,11,3,2020,2
"Virginia",51,"VA","Amherst","51009",2020-03-14,11,3,2020,9
"Virginia",51,"VA","Appomattox","51011",2020-03-14,11,3,2020,4
"Virginia",51,"VA","Arlington","51013",2020-03-14,11,3,2020,19
"Virginia",51,"VA","Augusta","51015",2020-03-14,11,3,2020,19
"Virginia",51,"VA","Bath","51017",2020-03-14,11,3,2020,2
"Virginia",51,"VA","Bedford","51019",2020-03-14,11,3,2020,20
"Virginia",51,"VA","Bland","51021",2020-03-14,11,3,2020,1
"Virginia",51,"VA","Botetourt","51023",2020-03-14,11,3,2020,4
"Virginia",51,"VA","Brunswick","51025",2020-03-14,11,3,2020,5
"Virginia",51,"VA","Buchanan","51027",2020-03-14,11,3,2020,3
"Virginia",51,"VA","Buckingham","51029",2020-03-14,11,3,2020,5
"Virginia",51,"VA","Campbell","51031",2020-03-14,11,3,2020,15
"Virginia",51,"VA","Caroline","51033",2020-03-14,11,3,2020,5
"Virginia",51,"VA","Carroll","51035",2020-03-14,11,3,2020,115
"Virginia",51,"VA","Charles City","51036",2020-03-14,11,3,2020,0
"Virginia",51,"VA","Charlotte","51037",2020-03-14,11,3,2020,4
"Virginia",51,"VA","Chesterfield","51041",2020-03-14,11,3,2020,83
"Virginia",51,"VA","Clarke","51043",2020-03-14,11,3,2020,3
"Virginia",51,"VA","Craig","51045",2020-03-14,11,3,2020,1
"Virginia",51,"VA","Culpeper","51047",2020-03-14,11,3,2020,9
"Virginia",51,"VA","Cumberland","51049",2020-03-14,11,3,2020,0
"Virginia",51,"VA","Dickenson","51051",2020-03-14,11,3,2020,5
"Virginia",51,"VA","Dinwiddie","51053",2020-03-14,11,3,2020,5
"Virginia",51,"VA","Essex","51057",2020-03-14,11,3,2020,5
"Virginia",51,"VA","Fairfax","51059",2020-03-14,11,3,2020,145
"Virginia",51,"VA","Fauquier","51061",2020-03-14,11,3,2020,9
"Virginia",51,"VA","Floyd","51063",2020-03-14,11,3,2020,2
"Virginia",51,"VA","Fluvanna","51065",2020-03-14,11,3,2020,5
"Virginia",51,"VA","Franklin","51067",2020-03-14,11,3,2020,13
"Virginia",51,"VA","Frederick","51069",2020-03-14,11,3,2020,15
"Virginia",51,"VA","Giles","51071",2020-03-14,11,3,2020,1
"Virginia",51,"VA","Gloucester","51073",2020-03-14,11,3,2020,4
"Virginia",51,"VA","Goochland","51075",2020-03-14,11,3,2020,3
"Virginia",51,"VA","Grayson","51077",2020-03-14,11,3,2020,39
"Virginia",51,"VA","Greene","51079",2020-03-14,11,3,2020,5
"Virginia",51,"VA","Greensville","51081",2020-03-14,11,3,2020,1
"Virginia",51,"VA","Halifax","51083",2020-03-14,11,3,2020,5
"Virginia",51,"VA","Hanover","51085",2020-03-14,11,3,2020,20
"Virginia",51,"VA","Henrico","51087",2020-03-14,11,3,2020,79
"Virginia",51,"VA","Henry","51089",2020-03-14,11,3,2020,20
"Virginia",51,"VA","Highland","51091",2020-03-14,11,3,2020,1
"Virginia",51,"VA","Isle of Wight","51093",2020-03-14,11,3,2020,5
"Virginia",51,"VA","James City","51095",2020-03-14,11,3,2020,17
"Virginia",51,"VA","King & Queen","51097",2020-03-14,11,3,2020,2
"Virginia",51,"VA","King George","51099",2020-03-14,11,3,2020,4
"Virginia",51,"VA","King William","51101",2020-03-14,11,3,2020,7
"Virginia",51,"VA","Lancaster","51103",2020-03-14,11,3,2020,1
"Virginia",51,"VA","Lee","51105",2020-03-14,11,3,2020,3
"Virginia",51,"VA","Loudoun","51107",2020-03-14,11,3,2020,53
"Virginia",51,"VA","Louisa","51109",2020-03-14,11,3,2020,4
"Virginia",51,"VA","Lunenburg","51111",2020-03-14,11,3,2020,0
"Virginia",51,"VA","Madison","51113",2020-03-14,11,3,2020,2
"Virginia",51,"VA","Mathews","51115",2020-03-14,11,3,2020,0
"Virginia",51,"VA","Mecklenburg","51117",2020-03-14,11,3,2020,7
"Virginia",51,"VA","Middlesex","51119",2020-03-14,11,3,2020,1
"Virginia",51,"VA","Montgomery","51121",2020-03-14,11,3,2020,10
"Virginia",51,"VA","Nelson","51125",2020-03-14,11,3,2020,3
"Virginia",51,"VA","New Kent","51127",2020-03-14,11,3,2020,4
"Virginia",51,"VA","Northampton","51131",2020-03-14,11,3,2020,3
"Virginia",51,"VA","Northumberland","51133",2020-03-14,11,3,2020,2
"Virginia",51,"VA","Nottoway","51135",2020-03-14,11,3,2020,4
"Virginia",51,"VA","Orange","51137",2020-03-14,11,3,2020,11
"Virginia",51,"VA","Page","51139",2020-03-14,11,3,2020,7
"Virginia",51,"VA","Patrick","51141",2020-03-14,11,3,2020,2
"Virginia",51,"VA","Pittsylvania","51143",2020-03-14,11,3,2020,21
"Virginia",51,"VA","Powhatan","51145",2020-03-14,11,3,2020,4
"Virginia",51,"VA","Prince Edward","51147",2020-03-14,11,3,2020,7
"Virginia",51,"VA","Prince George","51149",2020-03-14,11,3,2020,8
"Virginia",51,"VA","Prince William","51153",2020-03-14,11,3,2020,90
"Virginia",51,"VA","Pulaski","51155",2020-03-14,11,3,2020,7
"Virginia",51,"VA","Rappahannock","51157",2020-03-14,11,3,2020,0
"Virginia",51,"VA","Richmond","51159",2020-03-14,11,3,2020,3
"Virginia",51,"VA","Roanoke","51161",2020-03-14,11,3,2020,10
"Virginia",51,"VA","Rockbridge","51163",2020-03-14,11,3,2020,3
"Virginia",51,"VA","Rockingham","51165",2020-03-14,11,3,2020,5
"Virginia",51,"VA","Russell","51167",2020-03-14,11,3,2020,4
"Virginia",51,"VA","Scott","51169",2020-03-14,11,3,2020,0
"Virginia",51,"VA","Shenandoah","51171",2020-03-14,11,3,2020,11
"Virginia",51,"VA","Smyth","51173",2020-03-14,11,3,2020,8
"Virginia",51,"VA","Southampton","51175",2020-03-14,11,3,2020,1
"Virginia",51,"VA","Spotsylvania","51177",2020-03-14,11,3,2020,28
"Virginia",51,"VA","Stafford","51179",2020-03-14,11,3,2020,31
"Virginia",51,"VA","Surry","51181",2020-03-14,11,3,2020,1
"Virginia",51,"VA","Sussex","51183",2020-03-14,11,3,2020,3
"Virginia",51,"VA","Tazewell","51185",2020-03-14,11,3,2020,8
"Virginia",51,"VA","Warren","51187",2020-03-14,11,3,2020,8
"Virginia",51,"VA","Washington","51191",2020-03-14,11,3,2020,9
