"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Vermont",50,"VT","Addison",50001,2020-01-04,1,1,2020,279
"Vermont",50,"VT","Bennington",50003,2020-01-04,1,1,2020,332
"Vermont",50,"VT","Caledonia",50005,2020-01-04,1,1,2020,325
"Vermont",50,"VT","Chittenden",50007,2020-01-04,1,1,2020,1014
"Vermont",50,"VT","Franklin",50011,2020-01-04,1,1,2020,557
"Vermont",50,"VT","Lamoille",50015,2020-01-04,1,1,2020,332
"Vermont",50,"VT","Orleans",50019,2020-01-04,1,1,2020,521
"Vermont",50,"VT","Rutland",50021,2020-01-04,1,1,2020,515
"Vermont",50,"VT","Unknown",NA,2020-01-04,1,1,2020,87
"Vermont",50,"VT","Washington",50023,2020-01-04,1,1,2020,923
"Vermont",50,"VT","Windham",50025,2020-01-04,1,1,2020,181
"Vermont",50,"VT","Windsor",50027,2020-01-04,1,1,2020,351
"Vermont",50,"VT","Addison",50001,2020-01-11,2,1,2020,289
"Vermont",50,"VT","Bennington",50003,2020-01-11,2,1,2020,328
"Vermont",50,"VT","Caledonia",50005,2020-01-11,2,1,2020,344
"Vermont",50,"VT","Chittenden",50007,2020-01-11,2,1,2020,1059
"Vermont",50,"VT","Franklin",50011,2020-01-11,2,1,2020,592
"Vermont",50,"VT","Lamoille",50015,2020-01-11,2,1,2020,339
"Vermont",50,"VT","Orleans",50019,2020-01-11,2,1,2020,520
"Vermont",50,"VT","Rutland",50021,2020-01-11,2,1,2020,529
"Vermont",50,"VT","Unknown",NA,2020-01-11,2,1,2020,88
"Vermont",50,"VT","Washington",50023,2020-01-11,2,1,2020,986
"Vermont",50,"VT","Windham",50025,2020-01-11,2,1,2020,167
"Vermont",50,"VT","Windsor",50027,2020-01-11,2,1,2020,368
"Vermont",50,"VT","Addison",50001,2020-01-18,3,1,2020,270
"Vermont",50,"VT","Bennington",50003,2020-01-18,3,1,2020,293
"Vermont",50,"VT","Caledonia",50005,2020-01-18,3,1,2020,324
"Vermont",50,"VT","Chittenden",50007,2020-01-18,3,1,2020,943
"Vermont",50,"VT","Franklin",50011,2020-01-18,3,1,2020,428
"Vermont",50,"VT","Lamoille",50015,2020-01-18,3,1,2020,337
"Vermont",50,"VT","Orleans",50019,2020-01-18,3,1,2020,473
"Vermont",50,"VT","Rutland",50021,2020-01-18,3,1,2020,492
"Vermont",50,"VT","Unknown",NA,2020-01-18,3,1,2020,95
"Vermont",50,"VT","Washington",50023,2020-01-18,3,1,2020,848
"Vermont",50,"VT","Windham",50025,2020-01-18,3,1,2020,141
"Vermont",50,"VT","Windsor",50027,2020-01-18,3,1,2020,317
"Vermont",50,"VT","Addison",50001,2020-01-25,4,1,2020,263
"Vermont",50,"VT","Bennington",50003,2020-01-25,4,1,2020,300
"Vermont",50,"VT","Caledonia",50005,2020-01-25,4,1,2020,311
