center,1/4/20,1/11/20,1/18/20,1/25/20,2/1/20,2/8/20,2/15/20,2/22/20,2/29/20,3/7/20,3/14/20,3/21/20,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,5/16/20,5/23/20,5/30/20,6/6/20
Barre,923,986,848,800,786,740,726,702,682,766,709,673,1370,1549,2161,3880,4753,4169,3960,3832,3448,3188,3073
Bennington,332,328,293,300,311,309,318,328,354,301,291,306,690,788,1002,1852,2339,2134,2143,2145,1978,1850,1815
Brattleboro,181,167,141,133,149,143,151,154,180,151,152,151,473,517,671,1306,1780,1580,1598,1657,1521,1481,1429
Burlington,1014,1059,943,846,837,858,885,860,827,917,838,941,2644,2878,3954,7705,9740,8816,8944,9301,8951,8458,8395
Middlebury,279,289,270,263,276,274,289,281,326,274,274,267,505,576,803,1486,1828,1627,1475,1482,1345,1232,1186
Morrisville,332,339,337,358,350,253,349,352,358,389,369,354,803,915,1255,2201,2655,2473,2390,2336,2168,1968,1916
Newport,521,520,473,651,627,501,494,525,525,545,535,494,951,1631,2312,3810,2405,3578,3347,3125,2656,2301,2362
Rutland,515,529,492,488,467,464,496,494,573,533,488,463,1345,2236,3142,7030,8464,6738,6214,5709,5219,4777,4570
St. Albans,557,592,428,423,438,440,472,448,437,533,293,437,1001,1746,2560,5020,5853,4586,4313,4273,3804,3446,3366
St. Johnsbury,325,344,324,311,326,309,309,299,298,363,304,271,606,931,1336,2474,2938,2302,2092,2015,1757,1663,1599
Springfield,172,179,160,164,175,186,180,185,200,188,176,182,595,864,1148,2639,3167,2493,2360,2326,2115,2034,1948
White River,179,189,157,157,171,168,174,163,188,187,190,187,551,863,1246,2718,3437,2471,2367,2238,2122,1930,1923
Agent State,87,88,95,92,93,80,88,81,91,83,87,84,161,384,502,778,892,938,1022,1019,967,928,1058
