"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Wyoming",56,"WY","Albany",56001,2020-01-04,1,1,2020,21
"Wyoming",56,"WY","Albany",56001,2019-01-05,1,1,2019,24
"Wyoming",56,"WY","Big Horn",56003,2020-01-04,1,1,2020,13
"Wyoming",56,"WY","Big Horn",56003,2019-01-05,1,1,2019,12
"Wyoming",56,"WY","Campbell",56005,2020-01-04,1,1,2020,39
"Wyoming",56,"WY","Campbell",56005,2019-01-05,1,1,2019,31
"Wyoming",56,"WY","Carbon",56007,2020-01-04,1,1,2020,13
"Wyoming",56,"WY","Carbon",56007,2019-01-05,1,1,2019,14
"Wyoming",56,"WY","Converse",56009,2020-01-04,1,1,2020,8
"Wyoming",56,"WY","Converse",56009,2019-01-05,1,1,2019,9
"Wyoming",56,"WY","Crook",56011,2020-01-04,1,1,2020,NA
"Wyoming",56,"WY","Crook",56011,2019-01-05,1,1,2019,NA
"Wyoming",56,"WY","Fremont",56013,2020-01-04,1,1,2020,51
"Wyoming",56,"WY","Fremont",56013,2019-01-05,1,1,2019,55
"Wyoming",56,"WY","Goshen",56015,2020-01-04,1,1,2020,NA
"Wyoming",56,"WY","Goshen",56015,2019-01-05,1,1,2019,NA
"Wyoming",56,"WY","Hot Springs",56017,2020-01-04,1,1,2020,5
"Wyoming",56,"WY","Hot Springs",56017,2019-01-05,1,1,2019,8
"Wyoming",56,"WY","Johnson",56019,2020-01-04,1,1,2020,12
"Wyoming",56,"WY","Johnson",56019,2019-01-05,1,1,2019,14
"Wyoming",56,"WY","Laramie",56021,2020-01-04,1,1,2020,89
"Wyoming",56,"WY","Laramie",56021,2019-01-05,1,1,2019,92
"Wyoming",56,"WY","Lincoln",56023,2020-01-04,1,1,2020,11
"Wyoming",56,"WY","Lincoln",56023,2019-01-05,1,1,2019,16
"Wyoming",56,"WY","Natrona",56025,2020-01-04,1,1,2020,105
"Wyoming",56,"WY","Natrona",56025,2019-01-05,1,1,2019,77
"Wyoming",56,"WY","Niobrara",56027,2020-01-04,1,1,2020,0
"Wyoming",56,"WY","Niobrara",56027,2019-01-05,1,1,2019,NA
"Wyoming",56,"WY","Park",56029,2020-01-04,1,1,2020,26
"Wyoming",56,"WY","Park",56029,2019-01-05,1,1,2019,33
"Wyoming",56,"WY","Platte",56031,2020-01-04,1,1,2020,5
"Wyoming",56,"WY","Platte",56031,2019-01-05,1,1,2019,10
"Wyoming",56,"WY","Sheridan",56033,2020-01-04,1,1,2020,40
"Wyoming",56,"WY","Sheridan",56033,2019-01-05,1,1,2019,37
"Wyoming",56,"WY","Sublette",56035,2020-01-04,1,1,2020,7
"Wyoming",56,"WY","Sublette",56035,2019-01-05,1,1,2019,7
"Wyoming",56,"WY","Sweetwater",56037,2020-01-04,1,1,2020,47
"Wyoming",56,"WY","Sweetwater",56037,2019-01-05,1,1,2019,32
"Wyoming",56,"WY","Teton",56039,2020-01-04,1,1,2020,18
"Wyoming",56,"WY","Teton",56039,2019-01-05,1,1,2019,11
"Wyoming",56,"WY","Uinta",56041,2020-01-04,1,1,2020,23
"Wyoming",56,"WY","Uinta",56041,2019-01-05,1,1,2019,10
"Wyoming",56,"WY","Washakie",56043,2020-01-04,1,1,2020,8
"Wyoming",56,"WY","Washakie",56043,2019-01-05,1,1,2019,NA
"Wyoming",56,"WY","Weston",56045,2020-01-04,1,1,2020,7
"Wyoming",56,"WY","Weston",56045,2019-01-05,1,1,2019,NA
"Wyoming",56,"WY","zOther State",NA,2020-01-04,1,1,2020,93
"Wyoming",56,"WY","zOther State",NA,2019-01-05,1,1,2019,86
"Wyoming",56,"WY","Albany",56001,2020-01-11,2,1,2020,24
"Wyoming",56,"WY","Albany",56001,2019-01-12,2,1,2019,38
"Wyoming",56,"WY","Big Horn",56003,2020-01-11,2,1,2020,20
"Wyoming",56,"WY","Big Horn",56003,2019-01-12,2,1,2019,14
"Wyoming",56,"WY","Campbell",56005,2020-01-11,2,1,2020,60
"Wyoming",56,"WY","Campbell",56005,2019-01-12,2,1,2019,48
"Wyoming",56,"WY","Carbon",56007,2020-01-11,2,1,2020,22
"Wyoming",56,"WY","Carbon",56007,2019-01-12,2,1,2019,28
"Wyoming",56,"WY","Converse",56009,2020-01-11,2,1,2020,9
"Wyoming",56,"WY","Converse",56009,2019-01-12,2,1,2019,11
"Wyoming",56,"WY","Crook",56011,2020-01-11,2,1,2020,5
"Wyoming",56,"WY","Crook",56011,2019-01-12,2,1,2019,NA
"Wyoming",56,"WY","Fremont",56013,2020-01-11,2,1,2020,79
"Wyoming",56,"WY","Fremont",56013,2019-01-12,2,1,2019,98
"Wyoming",56,"WY","Goshen",56015,2020-01-11,2,1,2020,6
