"state_fips","whole_fips","labor_force","employed","unemployed","unemployment_rate"
"01","01001",25215,22321,2894,11.5
"01","01003",91688,77301,14387,15.7
"01","01005",8101,7292,809,10
"01","01007",9041,7437,1604,17.7
"01","01009",23980,21711,2269,9.5
"01","01011",4335,3942,393,9.1
"01","01013",9617,7714,1903,19.8
"01","01015",47701,38939,8762,18.4
"01","01017",16287,13776,2511,15.4
"01","01019",12493,11071,1422,11.4
"01","01021",19351,16993,2358,12.2
"01","01023",4283,3774,509,11.9
"01","01025",7403,6296,1107,15
"01","01027",5782,5247,535,9.3
"01","01029",5503,4815,688,12.5
"01","01031",20174,18267,1907,9.5
"01","01033",23701,19788,3913,16.5
"01","01035",4483,3818,665,14.8
"01","01037",4441,3862,579,13
"01","01039",14576,13034,1542,10.6
"01","01041",6447,5441,1006,15.6
"01","01043",37900,33450,4450,11.7
"01","01045",19387,17547,1840,9.5
"01","01047",15427,12202,3225,20.9
"01","01049",30168,26644,3524,11.7
"01","01051",36122,32104,4018,11.1
"01","01053",14046,12448,1598,11.4
"01","01055",44060,35776,8284,18.8
"01","01057",6332,5631,701,11.1
"01","01059",14118,12529,1589,11.3
"01","01061",10044,9235,809,8.1
"01","01063",3114,2424,690,22.2
"01","01065",6374,5044,1330,20.9
"01","01067",6372,5784,588,9.2
"01","01069",43726,38906,4820,11
"01","01071",22696,19685,3011,13.3
"01","01073",313537,273910,39627,12.6
"01","01075",5614,4988,626,11.2
"01","01077",41834,35740,6094,14.6
"01","01079",13405,11832,1573,11.7
"01","01081",74057,64841,9216,12.4
"01","01083",42808,37910,4898,11.4
"01","01085",4006,2964,1042,26
"01","01087",8269,6718,1551,18.8
"01","01089",179201,160476,18725,10.4
"01","01091",7330,6459,871,11.9
"01","01093",12517,11127,1390,11.1
"01","01095",42915,38192,4723,11
"01","01097",186844,158671,28173,15.1
"01","01099",7401,6224,1177,15.9
"01","01101",106077,90087,15990,15.1
"01","01103",54744,48573,6171,11.3
"01","01105",3532,2795,737,20.9
"01","01107",7688,6589,1099,14.3
"01","01109",14774,13431,1343,9.1
"01","01111",9361,8210,1151,12.3
"01","01113",22199,19924,2275,10.2
"01","01115",40125,34839,5286,13.2
"01","01117",110465,100282,10183,9.2
"01","01119",4675,4090,585,12.5
"01","01121",37932,30391,7541,19.9
"01","01123",19109,15985,3124,16.3
"01","01125",106255,88367,17888,16.8
"01","01127",24827,21624,3203,12.9
"01","01129",6466,5654,812,12.6
"01","01131",2886,2227,659,22.8
"01","01133",9827,8807,1020,10.4
"02","02013",2159,1935,224,10.4
"02","02016",3847,3674,173,4.5
"02","02020",143916,123911,20005,13.9
"02","02050",6678,5835,843,12.6
"02","02060",406,365,41,10.1
"02","02068",673,508,165,24.5
"02","02070",1837,1661,176,9.6
"02","02090",42769,37960,4809,11.2
"02","02100",1022,743,279,27.3
"02","02105",942,772,170,18
"02","02110",16338,14577,1761,10.8
"02","02122",24197,20041,4156,17.2
"02","02130",6241,5163,1078,17.3
"02","02150",5497,4913,584,10.6
"02","02158",2536,2019,517,20.4
"02","02164",614,527,87,14.2
"02","02170",45913,38775,7138,15.5
"02","02180",3897,3405,492,12.6
"02","02185",3289,3107,182,5.5
"02","02188",2768,2367,401,14.5
"02","02195",1293,1092,201,15.5
"02","02198",2639,2281,358,13.6
"02","02220",4063,3544,519,12.8
"02","02230",671,460,211,31.4
"02","02240",2570,2300,270,10.5
"02","02261",4352,3744,608,14
"02","02275",939,801,138,14.7
"02","02282",311,283,28,9
"02","02290",2368,2004,364,15.4
"04","04001",20206,17086,3120,15.4
"04","04003",51362,45833,5529,10.8
"04","04005",72728,60426,12302,16.9
"04","04007",21275,18816,2459,11.6
"04","04009",15506,14337,1169,7.5
"04","04011",4595,4353,242,5.3
"04","04012",9131,8357,774,8.5
"04","04013",2309037,2023872,285165,12.3
"04","04015",88406,72209,16197,18.3
"04","04017",40409,34728,5681,14.1
"04","04019",496958,434139,62819,12.6
"04","04021",183823,161994,21829,11.9
"04","04023",19555,16513,3042,15.6
"04","04025",110896,95552,15344,13.8
"04","04027",97390,74908,22482,23.1
"05","05001",8817,8368,449,5.1
"05","05003",7234,6320,914,12.6
"05","05005",15910,14207,1703,10.7
"05","05007",130669,120253,10416,8
"05","05009",15883,14181,1702,10.7
"05","05011",4393,3919,474,10.8
"05","05013",2311,2139,172,7.4
"05","05015",12569,11231,1338,10.6
"05","05017",3075,2644,431,14
"05","05019",9312,8452,860,9.2
"05","05021",5334,4859,475,8.9
"05","05023",9334,7844,1490,16
"05","05025",3021,2745,276,9.1
"05","05027",8983,8131,852,9.5
"05","05029",8107,7194,913,11.3
"05","05031",54418,49399,5019,9.2
"05","05033",25653,23208,2445,9.5
"05","05035",20921,18020,2901,13.9
"05","05037",7240,6478,762,10.5
"05","05039",2656,2411,245,9.2
"05","05041",5106,4617,489,9.6
"05","05043",7528,6712,816,10.8
"05","05045",60024,53537,6487,10.8
"05","05047",7186,6553,633,8.8
"05","05049",4781,4420,361,7.6
"05","05051",40003,33887,6116,15.3
"05","05053",7851,7200,651,8.3
"05","05055",19693,17578,2115,10.7
