"county_fips","percent_poverty"
"01117",8.3
"01121",19.5
"01125",16.6
"04021",12.5
"06045",19
"06059",10.5
"06067",14.3
"12017",15.2
"17143",17
"18059",5.8
"18067",11.2
"22105",16.3
"25003",10.8
"27139",6.5
"36087",14.6
"36105",15.6
"37037",9
"37085",14.2
"37195",22.1
"39007",17.8
"39013",10.9
"40031",16.2
"42013",14.4
"42039",12.6
"42051",13.6
"47113",18.1
"48027",12.8
"48061",28.1
"49057",9.3
"51165",8.2
"51700",14.4
"51710",17.8
"51810",6.9
"53007",9.8
"01015",20.5
"08005",8.1
"13013",8.2
"13157",4.7
"13245",20.6
"13285",21.8
"19061",12.3
"21227",17.2
"27019",3
"28075",27.5
"28081",11.3
"28121",8.3
"36111",15
"37183",8.4
"39093",14.6
"40119",24.7
"40131",10.1
"42081",12.9
"45015",13.2
"45085",18.5
"47147",10.9
"48085",6.7
"49045",6.8
"53041",11.1
"53053",8.5
"54061",19.6
"55009",8.3
"06115",17.6
"13051",13.4
"13063",17
"13113",3
"13223",7.4
"17043",6.5
"17089",8.4
"18089",15.2
"21059",16.1
"21185",6.5
"25009",10.7
"26163",21.6
"29165",5.4
"36053",9.1
"37159",17.8
"39029",15
"41059",17.6
"42045",8.6
"42073",16.7
"47157",21.7
"04003",13.4
"04005",15.7
"06023",21
"06039",20.9
"12097",13.5
"13059",27.5
"13313",14.3
"16019",10.3
"22109",16.2
"24015",6.2
"24037",8.2
"25001",7.6
"25021",6.6
"27163",3.7
"34033",11.6
"34035",4.6
"36081",11.5
"36119",8.2
"37109",10.1
"42003",11.8
"45035",12.2
"48231",12.7
"51650",15.4
"01077",13.2
"09011",10.1
"17167",13.4
"21111",15.4
"21151",16.2
"22015",15.1
"24009",4.1
"26025",18
"34025",6.6
"37119",11.7
"39055",5.1
"39119",17.5
"41043",12.6
"42017",5.5
"42095",10.4
"45075",26.4
"48029",17.3
"48091",6.1
"48361",11
"48497",9
"53009",13.4
"72021",35
"72137",36.9
"04025",13.2
"13097",13.3
"13135",8.9
"15007",6.4
"16027",11
"18019",12.3
"19013",17.1
"21015",4.6
"22051",15.3
"23031",9
"24027",5.1
"24031",6.9
"27053",10.1
"28067",18.9
"29510",22.1
"34013",15.2
"34021",11.2
"36113",10.8
"36117",8.7
"37129",15.6
"39081",20
"42085",15.8
"42111",10.6
"51800",9.9
"53033",9.3
"54033",18.9
"06111",8.9
"09005",6.8
"09007",6.6
"12023",14.8
"13047",10.4
"13247",11.8
"13297",12.6
"16005",13.2
"24003",7.1
"28033",8.8
"29097",17.4
"30029",10.9
"35001",16.8
"36005",27.4
"37019",9.3
"37021",10.8
"37127",11.2
"37193",20.7
"39035",17.7
"39061",15.4
"39165",5
"40017",6.8
"42029",7
"42077",12.3
"45063",13
"47119",10.4
"47189",8.2
"48203",11.2
"51041",7.9
"55131",3.6
"09003",11.1
"12033",13.9
"18039",11.9
"18109",11.2
"19049",7.4
"23011",10.4
"26049",18.8
"26087",10.8
"26145",16.7
"30013",13.7
"32003",13.9
"36007",17.9
"36027",9.1
"37023",13.1
"37035",13.5
"37125",9.6
"39009",32.3
"39023",14.8
"39099",16.1
"45051",14.5
"47093",13.1
"51061",5.4
"72127",39.7
"01069",16.4
"06083",12.5
"10003",11.7
"12113",8.6
"13295",14
"20091",5.4
"25017",7.3
"25025",17.5
"26055",11.4
"27137",14.8
"31153",5.8
"33011",7.5
"34017",14.4
"37025",9
"38015",7.1
"39085",6.9
"39153",11.7
"40037",13.7
"41039",18.5
"42001",7.3
"42041",6.9
"47065",12.7
"47179",14.9
"49005",14.5
"53015",11.2
"54081",21.6
"72013",46.1
"01103",11.9
"06031",19.2
"06089",15.1
"12073",21.4
"12103",11.6
"17093",3.9
"26017",16.8
"26159",16.4
"32031",10.2
"33013",6.6
"39045",9.9
"45041",17.5
"48005",18
"53057",8.8
"53067",8.4
"54039",17.9
"55025",11
"01097",20.8
"06013",7.7
"12083",14.9
"12091",14.1
"12117",9.9
"13073",7.5
"13095",27.9
"13151",6
"13153",11.8
"17183",19.8
"17197",6.2
"18141",13
"19163",12.3
"23019",15
"26111",12.3
"26115",10.2
"27145",13.5
"35061",15.8
"36101",12.3
"37097",9.3
"38017",11
"38101",11.8
"41051",11.9
"42021",14.8
"48485",18.2
"51015",9.6
"51550",7.8
"51770",20.4
"54011",19.7
"55141",10.2
"72061",26.1
"01083",11.3
"05051",23
"08069",10.9
"12035",10.7
"17201",16.6
"24025",7.2
"30031",9.2
"37157",19.7
"39155",18.5
"42019",8.7
"42049",15.5
"42079",14.4
"45055",15.1
"51107",3.8
"72135",27.1
"01073",16
"04013",12.2
"05069",21
"05145",17.4
"06079",13.1
"08014",6.8
"09009",11.6
"12061",9.7
"13021",25.1
"13089",13.8
"13127",16.7
"16001",9.8
"17111",5.7
"17179",9.9
"18053",21.1
"18081",7.6
"19103",16.9
"26099",11.1
"27131",9.5
"29051",6.1
"29071",8.3
"33017",10.3
"36067",13.9
"36069",8
"37069",11
"37161",20.3
"39169",8.2
"41019",14
"42055",12.7
"42133",8.7
"44007",16.7
"45013",10.8
"47125",12.6
"47165",8.7
"48251",10.6
"48309",19.7
"48397",5
"48409",18.1
"49049",9.4
"51179",5
"51510",10.9
"53077",16.6
"72025",35.9
"01089",12.1
"06087",12.3
"12085",10.5
"15003",7.8
"16055",9.9
"17113",15.6
"17161",14.6
"18157",18.5
"18177",15.5
"19193",14.1
"21145",13.4
"22073",21.6
"23001",11.6
"27037",6.4
"27123",14.5
"36015",12.4
"42097",12.9
"46103",13.8
"48037",19.4
"48141",20.6
"49053",9.4
"51003",10.9
"51680",21.1
"53063",13.1
"55097",11.8
"01043",14.4
"06037",14.1
"06061",7.5
"09013",8.5
"10005",12.5
"13031",23.7
"13115",22.8
"13217",16.9
"17031",13.7
"21047",17.8
"25011",10.1
"25013",16.8
"26155",9.9
"29047",6.8
"30063",12.7
"30111",11.2
"36045",11.8
"39063",11.1
"39151",14.6
"42005",7.7
"48139",8.1
"48201",16.6
"48291",12.7
"48479",26.3
"51095",8.4
"51161",5.6
"55059",12.7
"06033",17.6
"06075",10
"08123",10.8
"12005",12.6
"13015",11.9
"20015",9.6
"20103",12.7
"20161",22.8
"25015",10.8
"29031",14.7
"36001",11.2
"36029",13.8
"37045",20.5
"39109",6.9
"39145",22.9
"41005",7
"45077",17.5
"47163",16.8
"53027",17.2
"72139",29.9
"05031",19.3
"06071",14.9
"12099",12.2
"12107",15.1
"13117",5.1
"13121",12.9
"17097",7.8
"20173",13
"26005",11.6
"26081",11.3
"29037",8.6
"29189",10.6
"34005",5.8
"34007",13.3
"35035",21.4
"37071",14.2
"37171",16
"42091",5.8
"46099",9.5
"47149",11
"47187",3.1
"48183",14.2
"48347",21.4
"48439",12.1
"51069",6
"55089",3.4
"55133",5.1
"06065",12.7
"06085",7.2
"06099",15.6
"08101",17.3
"12053",14.3
"12101",12.7
"12115",10.3
"12119",8.2
"18011",4.6
"26091",9.4
"29183",5.8
"29187",20.6
"36059",5.6
"36071",11.4
"37133",15.6
"39113",17.1
"45045",10.8
"47059",13.6
"48041",24.7
"48209",16
"51059",5.9
"12081",10
"13057",7.9
"13215",20.1
"15001",16.2
"18127",9
"22057",16.7
"24510",18.4
"36083",11.2
"37057",16.1
"39089",8.6
"41029",15.1
"42063",14.9
"45007",14.7
"48135",11
"48423",15.4
"48469",15.7
"55127",9.9
"01127",17.2
"05007",8.6
"06101",13.1
"08001",8.8
"12087",12.5
"12095",16
"13077",11.7
"17099",14.9
"19113",9.3
"27013",16.5
"28047",20.6
"28049",18.3
"29099",8.5
"33009",7.9
"36013",18.9
"37067",16.9
"39025",7.8
"39041",4.1
"39049",15.5
"39103",6.8
"47011",15.4
"48021",13
"48355",15.9
"53005",9.4
"53073",15.8
"04001",38.3
"04015",16.1
"04019",16.2
"05143",16
"06095",7.3
"11001",16.2
"12109",6.4
"16083",15.8
"17115",18
"18167",18.8
"21037",14.7
"22019",14.4
"22097",36
"25023",5.7
"29043",7.9
"30049",11.2
"35025",15.8
"39157",13.2
"40125",18
"45091",9.7
"48441",16.7
"48471",29.4
"50007",11.6
"51740",19.5
"54107",15
"56025",7.9
"01055",17.2
"01081",20.3
"02020",9.2
"08031",11.3
"12021",10.6
"12086",16
"18097",16.8
"20045",18.1
"22063",9.9
"26037",8.2
"28059",19.2
"36019",12.5
"36061",15.5
"36091",5.9
"37001",13.2
"37101",11.4
"37135",12.8
"37179",5.7
"38035",14.3
"39017",12.7
"41017",9.3
"42033",15.5
"45057",14.2
"47009",8.9
"48121",7.6
"48375",19.6
"48453",12.1
"49011",5.2
"51013",5.8
"01101",19.8
"06073",11.4
"06077",14.2
"10001",14.8
"12111",11
"13185",28.7
"17001",12
"17037",13.5
"17199",13.8
"18063",7.2
"19155",11.7
"24021",6.3
"24033",8.1
"26045",9.4
"26075",13.7
"26121",15.8
"26139",6.5
"27003",5
"31055",11.3
"31109",12.4
"33005",11
"34011",14.6
"35049",11.5
"37051",16.9
"42075",10.3
"47037",15.4
"48113",14.1
"48167",11.7
"51153",6.4
"51199",6
"53011",8.7
"55117",6.6
"56021",8.4
"06053",13.4
"08035",2.4
"12031",14.5
"13255",13.7
"18003",13.4
"22005",10.9
"26161",15.5
"28089",6.1
"29021",15.8
"29077",16
"34015",7.8
"34029",9.8
"34039",7.3
"36009",17.6
"36055",14.7
"36109",17.4
"37027",16.7
"37063",13.4
"37191",22.5
"41003",17.2
"41067",8.9
"42025",12
"42069",14.5
"45003",14.9
"48213",21.1
"49035",8.9
"51177",7.9
"01051",9.5
"01115",11.7
"05131",15.4
"06055",9.1
"08059",6.9
"12001",20.2
"12069",11.6
"12127",12.8
"17119",14.4
"18105",21.9
"19169",20.7
"34027",4.5
"36065",14.5
"36075",16.6
"37147",24.7
"39101",17.5
"39173",12.8
"41071",13.9
"42011",11.6
"47155",14.7
"48099",15.7
"48367",7.7
"51121",28.5
"53029",6.8
"55027",8.9
"55039",10.9
"12071",12.2
"12105",15.8
"17019",20
"21029",10.5
"26073",24.6
"28035",25.9
"34003",6.9
"34041",6.1
"39003",13.9
"39043",9
"40145",9.9
"41053",14.1
"42043",13.7
"42089",12.3
"44005",7
"44009",7.3
"45073",15.3
"48187",7.9
"48215",30.5
"48329",10
"53061",7.5
"55079",18.9
"55101",13
"72113",49.9
"06047",22
"06081",6.8
"02170",10.5
"04027",19.6
"05119",17
"13045",17.6
"13067",8.7
"13139",13.5
"18085",8.5
"18163",15.1
"22033",16.1
"24013",6.4
"24045",14.3
"25027",8.8
"26065",18.3
"34019",4.8
"36063",13.1
"36079",6.4
"37049",15.4
"37151",14
"39141",20.6
"40109",17.2
"48245",18.5
"48303",17.9
"54003",12.2
"55073",7
"02090",8.1
"05085",13.9
"06001",8.9
"06097",10.1
"06113",21.6
"09015",12.6
"12011",12.4
"20177",14.4
"21067",14.5
"22017",22.2
"22079",19.3
"26147",14.6
"27171",4.4
"29095",12.9
"36051",13
"36103",7.2
"40027",12.2
"40101",13.7
"41035",18.7
"42101",24.5
"45019",14.1
"45047",18.6
"47141",13
"48257",13.4
"48381",7.6
"55071",11.4
"55139",10.8
"72031",33.5
"01095",19.6
"04017",29.4
"06107",22.5
"08077",16.6
"09001",10.2
"12089",12.4
"17163",14.5
"18035",22.6
"18091",16.4
"18095",17.7
"21117",9.7
"22055",15.2
"24017",5.7
"26077",14.6
"27109",6.5
"27141",7.9
"34009",9.4
"35045",24.4
"36089",14.2
"37081",15.6
"39095",18.6
"40143",14.3
"44003",7.1
"48039",9.9
"48491",6.8
"53045",13.7
"55105",10.9
"72097",55.9
"06057",10.3
"12019",8.9
"12055",22.4
"12131",9.2
"15009",7.1
"23005",8.2
"33015",5.4
"35031",33.4
"36011",12.7
"36047",19
"37089",8.2
"39057",12.7
"39139",13.9
"41033",16.4
"42007",11
"42037",11.5
"45031",24.8
"45079",16.7
"48157",8
"48181",11.6
"48451",16.3
"51019",12.5
"53021",15.8
"53025",11.7
"55109",4.2
"05045",18.1
"06019",21.5
"08013",9.9
"08041",9.9
"12015",10.9
"12057",14.8
"18043",8.4
"21093",14.2
"22071",23.8
"23003",15.3
"24005",10.1
"24043",10.9
"26125",8.1
"34001",12.9
"34023",8.3
"34037",4.8
"35005",16.9
"35013",25.9
"36085",11.4
"42071",7.6
"42107",13
"42129",9
"45083",13.4
"48339",9.2
"51087",9
"51760",21.9
"55035",13.4
"55063",10.8
"01003",8.9
"05125",10.6
"12009",10.6
"17091",17.2
"18005",10.6
"18057",4.3
"19153",9.8
"20209",17.7
"22045",24.6
"22103",12.7
"24001",16.6
"25005",10.6
"26021",15.2
"26093",4.8
"26103",15
"29019",18.3
"34031",13.6
"35043",13.2
"36093",10.7
"37031",8
"37155",23.7
"39133",11.2
"41047",14.6
"42027",19.1
"42125",8.5
"45059",20.6
"47001",19.7
"51085",4.6
"53035",9
"55055",8.2
"55087",7.3
"01049",22.7
"06007",18.8
"06017",7.9
"06025",23.1
"06029",20.6
"06041",6
