WED_Title,County,State,Congressional District 7,F9,geogfips,WED,F5,F7,Number of Records,Total,Ucfe,UCX,UI
5/30/20,Autauga,Alabama,Autauga,0,1,5/30/20,1730,0,1,1,0,0,195
5/30/20,Baldwin,Alabama,Baldwin,0,3,5/30/20,7075,0,1,3,0,0,590
5/30/20,Barbour,Alabama,Barbour,0,5,5/30/20,512,0,1,5,0,0,127
5/30/20,Bibb,Alabama,Bibb,0,7,5/30/20,1013,0,1,7,0,0,123
5/30/20,Blount,Alabama,Blount,0,9,5/30/20,895,0,1,9,0,0,116
5/30/20,Bullock,Alabama,Bullock,0,11,5/30/20,287,0,1,11,0,0,56
5/30/20,Butler,Alabama,Butler,0,13,5/30/20,1121,0,1,13,0,0,142
5/30/20,Calhoun,Alabama,Calhoun,0,15,5/30/20,4626,0,1,15,0,0,467
5/30/20,Chambers,Alabama,Chambers,0,17,5/30/20,1375,0,1,17,0,0,174
5/30/20,Cherokee,Alabama,Cherokee,0,19,5/30/20,525,0,1,19,0,0,52
5/30/20,Chilton,Alabama,Chilton,0,21,5/30/20,1257,0,1,21,0,0,137
5/30/20,Choctaw,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,23,5/30/20,216,0,1,23,0,0,42
5/30/20,Clarke,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,25,5/30/20,747,0,1,25,0,0,121
5/30/20,Clay,Alabama,Clay,0,27,5/30/20,197,0,1,27,0,0,35
5/30/20,Cleburne,Alabama,Cleburne,0,29,5/30/20,213,0,1,29,0,0,20
5/30/20,Coffee,Alabama,Coffee,0,31,5/30/20,1158,0,1,31,0,0,163
5/30/20,Colbert,Alabama,Colbert,0,33,5/30/20,2095,0,1,33,0,0,183
5/30/20,Conecuh,Alabama,Conecuh,0,35,5/30/20,313,0,1,35,0,0,75
5/30/20,Coosa,Alabama,Coosa,0,37,5/30/20,321,0,1,37,0,0,34
5/30/20,Covington,Alabama,Covington,0,39,5/30/20,747,0,1,39,0,0,101
5/30/20,Crenshaw,Alabama,Crenshaw,0,41,5/30/20,436,0,1,41,0,0,54
5/30/20,Cullman,Alabama,Cullman,0,43,5/30/20,2227,0,1,43,0,0,229
5/30/20,Dale,Alabama,Dale,0,45,5/30/20,1098,0,1,45,0,0,142
5/30/20,Dallas,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,47,5/30/20,2133,0,1,47,0,0,232
5/30/20,DeKalb,Alabama,DeKalb,0,49,5/30/20,1584,0,1,49,0,0,167
5/30/20,Elmore,Alabama,Elmore,0,51,5/30/20,2439,0,1,51,0,0,321
5/30/20,Escambia,Alabama,Escambia,0,53,5/30/20,870,0,1,53,0,0,188
5/30/20,Etowah,Alabama,Etowah,0,55,5/30/20,4239,0,1,55,0,0,376
5/30/20,Fayette,Alabama,Fayette,0,57,5/30/20,347,0,1,57,0,0,50
5/30/20,Franklin,Alabama,Franklin,0,59,5/30/20,722,0,1,59,0,0,94
5/30/20,Geneva,Alabama,Geneva,0,61,5/30/20,443,0,1,61,0,0,56
5/30/20,Greene,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,63,5/30/20,488,0,1,63,0,0,53
5/30/20,Hale,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,65,5/30/20,1123,0,1,65,0,0,144
5/30/20,Henry,Alabama,Henry,0,67,5/30/20,316,0,1,67,0,0,52
5/30/20,Houston,Alabama,Houston,0,69,5/30/20,2957,0,1,69,0,0,386
5/30/20,Jackson,Alabama,Jackson,0,71,5/30/20,1478,0,1,71,0,0,158
5/30/20,Jefferson,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,73,5/30/20,28945,0,1,73,0,0,3302
5/30/20,Lamar,Alabama,Lamar,0,75,5/30/20,289,0,1,75,0,0,74
5/30/20,Lauderdale,Alabama,Lauderdale,0,77,5/30/20,3193,0,1,77,0,0,265
5/30/20,Lawrence,Alabama,Lawrence,0,79,5/30/20,669,0,1,79,0,0,68
5/30/20,Lee,Alabama,Lee,0,81,5/30/20,5103,0,1,81,0,0,531
5/30/20,Limestone,Alabama,Limestone,0,83,5/30/20,1899,0,1,83,0,0,159
5/30/20,Lowndes,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,85,5/30/20,657,0,1,85,0,0,50
5/30/20,Macon,Alabama,Macon,0,87,5/30/20,800,0,1,87,0,0,119
5/30/20,Madison,Alabama,Madison,0,89,5/30/20,12430,0,1,89,0,0,1261
5/30/20,Marengo,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,91,5/30/20,479,0,1,91,0,0,73
5/30/20,Marion,Alabama,Marion,0,93,5/30/20,622,0,1,93,0,0,110
5/30/20,Marshall,Alabama,Marshall,0,95,5/30/20,2663,0,1,95,0,0,323
5/30/20,Mobile,Alabama,Mobile,0,97,5/30/20,17856,0,1,97,0,0,2433
5/30/20,Monroe,Alabama,Monroe,0,99,5/30/20,552,0,1,99,0,0,117
5/30/20,Montgomery,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,101,5/30/20,11912,0,1,101,0,0,1479
5/30/20,Morgan,Alabama,Morgan,0,103,5/30/20,3727,0,1,103,0,0,436
5/30/20,Perry,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,105,5/30/20,483,0,1,105,0,0,62
5/30/20,Pickens,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,107,5/30/20,762,0,1,107,0,0,118
5/30/20,Pike,Alabama,Pike,0,109,5/30/20,855,0,1,109,0,0,142
5/30/20,Randolph,Alabama,Randolph,0,111,5/30/20,351,0,1,111,0,0,62
5/30/20,Russell,Alabama,Russell,0,113,5/30/20,908,0,1,113,0,0,219
5/30/20,St. Clair,Alabama,St. Clair,0,115,5/30/20,2555,0,1,115,0,0,257
5/30/20,Shelby,Alabama,Shelby,0,117,5/30/20,4414,0,1,117,0,0,449
5/30/20,Sumter,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,119,5/30/20,386,0,1,119,0,0,57
5/30/20,Talladega,Alabama,Talladega,0,121,5/30/20,3154,0,1,121,0,0,341
5/30/20,Tallapoosa,Alabama,Tallapoosa,0,123,5/30/20,1460,0,1,123,0,0,173
5/30/20,Tuscaloosa,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,125,5/30/20,11768,0,1,125,0,0,1386
5/30/20,Walker,Alabama,Walker,0,127,5/30/20,2006,0,1,127,0,0,267
5/30/20,Washington,Alabama,Washington,0,129,5/30/20,554,0,1,129,0,0,88
5/30/20,Wilcox,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,131,5/30/20,440,0,1,131,0,0,73
5/30/20,Winston,Alabama,Winston,0,133,5/30/20,594,0,1,133,0,0,82
5/23/20,Autauga,Alabama,Autauga,0,1,5/23/20,1981,0,1,1,0,0,299
5/23/20,Baldwin,Alabama,Baldwin,0,3,5/23/20,7778,0,1,3,0,0,755
5/23/20,Barbour,Alabama,Barbour,0,5,5/23/20,483,0,1,5,0,0,106
5/23/20,Bibb,Alabama,Bibb,0,7,5/23/20,909,0,1,7,0,0,217
5/23/20,Blount,Alabama,Blount,0,9,5/23/20,918,0,1,9,0,0,174
5/23/20,Bullock,Alabama,Bullock,0,11,5/23/20,298,0,1,11,0,0,61
5/23/20,Butler,Alabama,Butler,0,13,5/23/20,1209,0,1,13,0,0,150
5/23/20,Calhoun,Alabama,Calhoun,0,15,5/23/20,5093,0,1,15,0,0,639
5/23/20,Chambers,Alabama,Chambers,0,17,5/23/20,1375,0,1,17,0,0,219
5/23/20,Cherokee,Alabama,Cherokee,0,19,5/23/20,564,0,1,19,0,0,61
5/23/20,Chilton,Alabama,Chilton,0,21,5/23/20,1421,0,1,21,0,0,193
5/23/20,Choctaw,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,23,5/23/20,224,0,1,23,0,0,51
5/23/20,Clarke,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,25,5/23/20,781,0,1,25,0,0,129
5/23/20,Clay,Alabama,Clay,0,27,5/23/20,203,0,1,27,0,0,38
5/23/20,Cleburne,Alabama,Cleburne,0,29,5/23/20,220,0,1,29,0,0,39
5/23/20,Coffee,Alabama,Coffee,0,31,5/23/20,1164,0,1,31,0,0,178
5/23/20,Colbert,Alabama,Colbert,0,33,5/23/20,2313,0,1,33,0,0,206
5/23/20,Conecuh,Alabama,Conecuh,0,35,5/23/20,317,0,1,35,0,0,65
5/23/20,Coosa,Alabama,Coosa,0,37,5/23/20,358,0,1,37,0,0,29
5/23/20,Covington,Alabama,Covington,0,39,5/23/20,788,0,1,39,0,0,133
5/23/20,Crenshaw,Alabama,Crenshaw,0,41,5/23/20,486,0,1,41,0,0,55
5/23/20,Cullman,Alabama,Cullman,0,43,5/23/20,2546,0,1,43,0,0,292
5/23/20,Dale,Alabama,Dale,0,45,5/23/20,1137,0,1,45,0,0,182
5/23/20,Dallas,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,47,5/23/20,2339,0,1,47,0,0,329
5/23/20,DeKalb,Alabama,DeKalb,0,49,5/23/20,1770,0,1,49,0,0,253
5/23/20,Elmore,Alabama,Elmore,0,51,5/23/20,2753,0,1,51,0,0,395
5/23/20,Escambia,Alabama,Escambia,0,53,5/23/20,856,0,1,53,0,0,207
5/23/20,Etowah,Alabama,Etowah,0,55,5/23/20,4467,0,1,55,0,0,542
5/23/20,Fayette,Alabama,Fayette,0,57,5/23/20,349,0,1,57,0,0,89
5/23/20,Franklin,Alabama,Franklin,0,59,5/23/20,772,0,1,59,0,0,125
5/23/20,Geneva,Alabama,Geneva,0,61,5/23/20,453,0,1,61,0,0,81
5/23/20,Greene,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,63,5/23/20,421,0,1,63,0,0,84
5/23/20,Hale,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,65,5/23/20,1018,0,1,65,0,0,208
5/23/20,Henry,Alabama,Henry,0,67,5/23/20,333,0,1,67,0,0,60
5/23/20,Houston,Alabama,Houston,0,69,5/23/20,2982,0,1,69,0,0,503
5/23/20,Jackson,Alabama,Jackson,0,71,5/23/20,1599,0,1,71,0,0,171
5/23/20,Jefferson,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,73,5/23/20,28812,0,1,73,0,0,4221
5/23/20,Lamar,Alabama,Lamar,0,75,5/23/20,279,0,1,75,0,0,118
5/23/20,Lauderdale,Alabama,Lauderdale,0,77,5/23/20,3650,0,1,77,0,0,295
5/23/20,Lawrence,Alabama,Lawrence,0,79,5/23/20,702,0,1,79,0,0,103
5/23/20,Lee,Alabama,Lee,0,81,5/23/20,5358,0,1,81,0,0,606
5/23/20,Limestone,Alabama,Limestone,0,83,5/23/20,2074,0,1,83,0,0,229
5/23/20,Lowndes,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,85,5/23/20,676,0,1,85,0,0,80
5/23/20,Macon,Alabama,Macon,0,87,5/23/20,840,0,1,87,0,0,120
5/23/20,Madison,Alabama,Madison,0,89,5/23/20,12850,0,1,89,0,0,1564
5/23/20,Marengo,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,91,5/23/20,436,0,1,91,0,0,91
5/23/20,Marion,Alabama,Marion,0,93,5/23/20,625,0,1,93,0,0,144
5/23/20,Marshall,Alabama,Marshall,0,95,5/23/20,2852,0,1,95,0,0,569
5/23/20,Mobile,Alabama,Mobile,0,97,5/23/20,17828,0,1,97,0,0,3167
5/23/20,Monroe,Alabama,Monroe,0,99,5/23/20,559,0,1,99,0,0,127
5/23/20,Montgomery,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,101,5/23/20,12596,0,1,101,0,0,1891
5/23/20,Morgan,Alabama,Morgan,0,103,5/23/20,3965,0,1,103,0,0,516
5/23/20,Perry,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,105,5/23/20,431,0,1,105,0,0,99
5/23/20,Pickens,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,107,5/23/20,633,0,1,107,0,0,155
5/23/20,Pike,Alabama,Pike,0,109,5/23/20,824,0,1,109,0,0,164
5/23/20,Randolph,Alabama,Randolph,0,111,5/23/20,382,0,1,111,0,0,77
5/23/20,Russell,Alabama,Russell,0,113,5/23/20,879,0,1,113,0,0,264
5/23/20,St. Clair,Alabama,St. Clair,0,115,5/23/20,2752,0,1,115,0,0,361
5/23/20,Shelby,Alabama,Shelby,0,117,5/23/20,4593,0,1,117,0,0,583
5/23/20,Sumter,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,119,5/23/20,329,0,1,119,0,0,81
5/23/20,Talladega,Alabama,Talladega,0,121,5/23/20,3685,0,1,121,0,0,431
5/23/20,Tallapoosa,Alabama,Tallapoosa,0,123,5/23/20,1534,0,1,123,0,0,185
5/23/20,Tuscaloosa,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,125,5/23/20,10527,0,1,125,0,0,2272
5/23/20,Walker,Alabama,Walker,0,127,5/23/20,2094,0,1,127,0,0,312
5/23/20,Washington,Alabama,Washington,0,129,5/23/20,562,0,1,129,0,0,114
5/23/20,Wilcox,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,131,5/23/20,451,0,1,131,0,0,62
5/23/20,Winston,Alabama,Winston,0,133,5/23/20,576,0,1,133,0,0,159
5/16/20,Autauga,Alabama,Autauga,0,1,5/16/20,1925,0,1,1,0,0,266
5/16/20,Baldwin,Alabama,Baldwin,0,3,5/16/20,9198,0,1,3,0,0,811
5/16/20,Barbour,Alabama,Barbour,0,5,5/16/20,481,0,1,5,0,0,110
5/16/20,Bibb,Alabama,Bibb,0,7,5/16/20,953,0,1,7,0,0,134
5/16/20,Blount,Alabama,Blount,0,9,5/16/20,1040,0,1,9,0,0,160
5/16/20,Bullock,Alabama,Bullock,0,11,5/16/20,269,0,1,11,0,0,48
5/16/20,Butler,Alabama,Butler,0,13,5/16/20,1188,0,1,13,0,0,119
5/16/20,Calhoun,Alabama,Calhoun,0,15,5/16/20,7084,0,1,15,0,0,569
5/16/20,Chambers,Alabama,Chambers,0,17,5/16/20,1413,0,1,17,0,0,201
5/16/20,Cherokee,Alabama,Cherokee,0,19,5/16/20,629,0,1,19,0,0,54
5/16/20,Chilton,Alabama,Chilton,0,21,5/16/20,1458,0,1,21,0,0,169
5/16/20,Choctaw,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,23,5/16/20,226,0,1,23,0,0,58
5/16/20,Clarke,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,25,5/16/20,749,0,1,25,0,0,132
5/16/20,Clay,Alabama,Clay,0,27,5/16/20,336,0,1,27,0,0,26
5/16/20,Cleburne,Alabama,Cleburne,0,29,5/16/20,329,0,1,29,0,0,21
5/16/20,Coffee,Alabama,Coffee,0,31,5/16/20,1243,0,1,31,0,0,154
5/16/20,Colbert,Alabama,Colbert,0,33,5/16/20,2481,0,1,33,0,0,239
5/16/20,Conecuh,Alabama,Conecuh,0,35,5/16/20,323,0,1,35,0,0,65
5/16/20,Coosa,Alabama,Coosa,0,37,5/16/20,482,0,1,37,0,0,44
5/16/20,Covington,Alabama,Covington,0,39,5/16/20,826,0,1,39,0,0,143
5/16/20,Crenshaw,Alabama,Crenshaw,0,41,5/16/20,469,0,1,41,0,0,43
5/16/20,Cullman,Alabama,Cullman,0,43,5/16/20,2800,0,1,43,0,0,285
5/16/20,Dale,Alabama,Dale,0,45,5/16/20,1182,0,1,45,0,0,193
5/16/20,Dallas,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,47,5/16/20,2180,0,1,47,0,0,291
5/16/20,DeKalb,Alabama,DeKalb,0,49,5/16/20,1986,0,1,49,0,0,226
5/16/20,Elmore,Alabama,Elmore,0,51,5/16/20,2739,0,1,51,0,0,364
5/16/20,Escambia,Alabama,Escambia,0,53,5/16/20,857,0,1,53,0,0,142
5/16/20,Etowah,Alabama,Etowah,0,55,5/16/20,5406,0,1,55,0,0,462
5/16/20,Fayette,Alabama,Fayette,0,57,5/16/20,333,0,1,57,0,0,42
5/16/20,Franklin,Alabama,Franklin,0,59,5/16/20,824,0,1,59,0,0,120
5/16/20,Geneva,Alabama,Geneva,0,61,5/16/20,495,0,1,61,0,0,67
5/16/20,Greene,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,63,5/16/20,449,0,1,63,0,0,72
5/16/20,Hale,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,65,5/16/20,981,0,1,65,0,0,147
5/16/20,Henry,Alabama,Henry,0,67,5/16/20,338,0,1,67,0,0,55
5/16/20,Houston,Alabama,Houston,0,69,5/16/20,3176,0,1,69,0,0,449
5/16/20,Jackson,Alabama,Jackson,0,71,5/16/20,1695,0,1,71,0,0,168
5/16/20,Jefferson,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,73,5/16/20,30333,0,1,73,0,0,3715
5/16/20,Lamar,Alabama,Lamar,0,75,5/16/20,230,0,1,75,0,0,43
5/16/20,Lauderdale,Alabama,Lauderdale,0,77,5/16/20,4015,0,1,77,0,0,417
5/16/20,Lawrence,Alabama,Lawrence,0,79,5/16/20,741,0,1,79,0,0,103
5/16/20,Lee,Alabama,Lee,0,81,5/16/20,5548,0,1,81,0,0,611
5/16/20,Limestone,Alabama,Limestone,0,83,5/16/20,2279,0,1,83,0,0,295
5/16/20,Lowndes,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,85,5/16/20,658,0,1,85,0,0,72
5/16/20,Macon,Alabama,Macon,0,87,5/16/20,800,0,1,87,0,0,99
5/16/20,Madison,Alabama,Madison,0,89,5/16/20,13822,0,1,89,0,0,1606
5/16/20,Marengo,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,91,5/16/20,437,0,1,91,0,0,71
5/16/20,Marion,Alabama,Marion,0,93,5/16/20,627,0,1,93,0,0,141
5/16/20,Marshall,Alabama,Marshall,0,95,5/16/20,3463,0,1,95,0,0,348
5/16/20,Mobile,Alabama,Mobile,0,97,5/16/20,18466,0,1,97,0,0,3000
5/16/20,Monroe,Alabama,Monroe,0,99,5/16/20,593,0,1,99,0,0,101
5/16/20,Montgomery,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,101,5/16/20,12055,0,1,101,0,0,1596
5/16/20,Morgan,Alabama,Morgan,0,103,5/16/20,4243,0,1,103,0,0,495
5/16/20,Perry,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,105,5/16/20,415,0,1,105,0,0,70
5/16/20,Pickens,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,107,5/16/20,647,0,1,107,0,0,96
5/16/20,Pike,Alabama,Pike,0,109,5/16/20,820,0,1,109,0,0,139
