"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Arizona",4,"AZ","Apache",4001,2020-02-08,6,2,2020,20
"Arizona",4,"AZ","Cochise",4003,2020-02-08,6,2,2020,22
"Arizona",4,"AZ","Coconino",4005,2020-02-08,6,2,2020,47
"Arizona",4,"AZ","Gila",4007,2020-02-08,6,2,2020,10
"Arizona",4,"AZ","Graham",4009,2020-02-08,6,2,2020,7
"Arizona",4,"AZ","Greenlee",4011,2020-02-08,6,2,2020,1
"Arizona",4,"AZ","La Paz",4012,2020-02-08,6,2,2020,2
"Arizona",4,"AZ","Maricopa",4013,2020-02-08,6,2,2020,1310
"Arizona",4,"AZ","Mohave",4015,2020-02-08,6,2,2020,48
"Arizona",4,"AZ","Navajo",4017,2020-02-08,6,2,2020,37
"Arizona",4,"AZ","Pima",4019,2020-02-08,6,2,2020,259
"Arizona",4,"AZ","Pinal",4021,2020-02-08,6,2,2020,121
"Arizona",4,"AZ","Santa Cruz",4023,2020-02-08,6,2,2020,13
"Arizona",4,"AZ","Yavapai",4025,2020-02-08,6,2,2020,50
"Arizona",4,"AZ","Yuma",4027,2020-02-08,6,2,2020,68
"Arizona",4,"AZ","Apache",4001,2020-02-15,7,2,2020,16
"Arizona",4,"AZ","Cochise",4003,2020-02-15,7,2,2020,26
"Arizona",4,"AZ","Coconino",4005,2020-02-15,7,2,2020,26
"Arizona",4,"AZ","Gila",4007,2020-02-15,7,2,2020,15
"Arizona",4,"AZ","Graham",4009,2020-02-15,7,2,2020,8
"Arizona",4,"AZ","Greenlee",4011,2020-02-15,7,2,2020,0
"Arizona",4,"AZ","La Paz",4012,2020-02-15,7,2,2020,4
"Arizona",4,"AZ","Maricopa",4013,2020-02-15,7,2,2020,1276
"Arizona",4,"AZ","Mohave",4015,2020-02-15,7,2,2020,45
"Arizona",4,"AZ","Navajo",4017,2020-02-15,7,2,2020,34
"Arizona",4,"AZ","Pima",4019,2020-02-15,7,2,2020,231
"Arizona",4,"AZ","Pinal",4021,2020-02-15,7,2,2020,107
"Arizona",4,"AZ","Santa Cruz",4023,2020-02-15,7,2,2020,9
"Arizona",4,"AZ","Yavapai",4025,2020-02-15,7,2,2020,47
"Arizona",4,"AZ","Yuma",4027,2020-02-15,7,2,2020,90
"Arizona",4,"AZ","Apache",4001,2020-02-22,8,2,2020,15
"Arizona",4,"AZ","Cochise",4003,2020-02-22,8,2,2020,23
"Arizona",4,"AZ","Coconino",4005,2020-02-22,8,2,2020,29
"Arizona",4,"AZ","Gila",4007,2020-02-22,8,2,2020,16
"Arizona",4,"AZ","Graham",4009,2020-02-22,8,2,2020,15
"Arizona",4,"AZ","Greenlee",4011,2020-02-22,8,2,2020,1
"Arizona",4,"AZ","La Paz",4012,2020-02-22,8,2,2020,8
"Arizona",4,"AZ","Maricopa",4013,2020-02-22,8,2,2020,1073
"Arizona",4,"AZ","Mohave",4015,2020-02-22,8,2,2020,52
"Arizona",4,"AZ","Navajo",4017,2020-02-22,8,2,2020,33
"Arizona",4,"AZ","Pima",4019,2020-02-22,8,2,2020,226
"Arizona",4,"AZ","Pinal",4021,2020-02-22,8,2,2020,106
"Arizona",4,"AZ","Santa Cruz",4023,2020-02-22,8,2,2020,10
"Arizona",4,"AZ","Yavapai",4025,2020-02-22,8,2,2020,50
"Arizona",4,"AZ","Yuma",4027,2020-02-22,8,2,2020,57
"Arizona",4,"AZ","Apache",4001,2020-02-29,9,2,2020,16
"Arizona",4,"AZ","Cochise",4003,2020-02-29,9,2,2020,29
"Arizona",4,"AZ","Coconino",4005,2020-02-29,9,2,2020,20
"Arizona",4,"AZ","Gila",4007,2020-02-29,9,2,2020,14
"Arizona",4,"AZ","Graham",4009,2020-02-29,9,2,2020,9
"Arizona",4,"AZ","Greenlee",4011,2020-02-29,9,2,2020,2
"Arizona",4,"AZ","La Paz",4012,2020-02-29,9,2,2020,4
"Arizona",4,"AZ","Maricopa",4013,2020-02-29,9,2,2020,1003
"Arizona",4,"AZ","Mohave",4015,2020-02-29,9,2,2020,42
"Arizona",4,"AZ","Navajo",4017,2020-02-29,9,2,2020,26
"Arizona",4,"AZ","Pima",4019,2020-02-29,9,2,2020,218
"Arizona",4,"AZ","Pinal",4021,2020-02-29,9,2,2020,96
"Arizona",4,"AZ","Santa Cruz",4023,2020-02-29,9,2,2020,14
"Arizona",4,"AZ","Yavapai",4025,2020-02-29,9,2,2020,47
"Arizona",4,"AZ","Yuma",4027,2020-02-29,9,2,2020,58
"Arizona",4,"AZ","Apache",4001,2020-03-07,10,3,2020,13
"Arizona",4,"AZ","Cochise",4003,2020-03-07,10,3,2020,23
"Arizona",4,"AZ","Coconino",4005,2020-03-07,10,3,2020,40
"Arizona",4,"AZ","Gila",4007,2020-03-07,10,3,2020,13
"Arizona",4,"AZ","Graham",4009,2020-03-07,10,3,2020,10
"Arizona",4,"AZ","Greenlee",4011,2020-03-07,10,3,2020,3
"Arizona",4,"AZ","La Paz",4012,2020-03-07,10,3,2020,3
"Arizona",4,"AZ","Maricopa",4013,2020-03-07,10,3,2020,1091
"Arizona",4,"AZ","Mohave",4015,2020-03-07,10,3,2020,55
"Arizona",4,"AZ","Navajo",4017,2020-03-07,10,3,2020,19
"Arizona",4,"AZ","Pima",4019,2020-03-07,10,3,2020,259
"Arizona",4,"AZ","Pinal",4021,2020-03-07,10,3,2020,79
"Arizona",4,"AZ","Santa Cruz",4023,2020-03-07,10,3,2020,12
"Arizona",4,"AZ","Yavapai",4025,2020-03-07,10,3,2020,47
"Arizona",4,"AZ","Yuma",4027,2020-03-07,10,3,2020,60
"Arizona",4,"AZ","Apache",4001,2020-03-14,11,3,2020,11
"Arizona",4,"AZ","Cochise",4003,2020-03-14,11,3,2020,31
"Arizona",4,"AZ","Coconino",4005,2020-03-14,11,3,2020,38
"Arizona",4,"AZ","Gila",4007,2020-03-14,11,3,2020,7
"Arizona",4,"AZ","Graham",4009,2020-03-14,11,3,2020,6
"Arizona",4,"AZ","Greenlee",4011,2020-03-14,11,3,2020,2
"Arizona",4,"AZ","La Paz",4012,2020-03-14,11,3,2020,6
"Arizona",4,"AZ","Maricopa",4013,2020-03-14,11,3,2020,1264
