"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"California",6,"CA","Alameda",6001,2020-01-31,NA,1,2020,6430
"California",6,"CA","Alpine",6003,2020-01-31,NA,1,2020,12
"California",6,"CA","Amador",6005,2020-01-31,NA,1,2020,224
"California",6,"CA","Butte",6007,2020-01-31,NA,1,2020,1739
"California",6,"CA","Calaveras",6009,2020-01-31,NA,1,2020,319
"California",6,"CA","Colusa",6011,2020-01-31,NA,1,2020,921
"California",6,"CA","Contra Costa",6013,2020-01-31,NA,1,2020,4759
"California",6,"CA","Del Norte",6015,2020-01-31,NA,1,2020,207
"California",6,"CA","El Dorado",6017,2020-01-31,NA,1,2020,1003
"California",6,"CA","Fresno",6019,2020-01-31,NA,1,2020,13016
"California",6,"CA","Glenn",6021,2020-01-31,NA,1,2020,375
"California",6,"CA","Humboldt",6023,2020-01-31,NA,1,2020,1008
"California",6,"CA","Imperial",6025,2020-01-31,NA,1,2020,2984
"California",6,"CA","Inyo",6027,2020-01-31,NA,1,2020,96
"California",6,"CA","Kern",6029,2020-01-31,NA,1,2020,11751
"California",6,"CA","Kings",6031,2020-01-31,NA,1,2020,2151
"California",6,"CA","Lake",6033,2020-01-31,NA,1,2020,572
"California",6,"CA","Lassen",6035,2020-01-31,NA,1,2020,232
"California",6,"CA","Los Angeles",6037,2020-01-31,NA,1,2020,52544
"California",6,"CA","Madera",6039,2020-01-31,NA,1,2020,1519
"California",6,"CA","Marin",6041,2020-01-31,NA,1,2020,699
"California",6,"CA","Mariposa",6043,2020-01-31,NA,1,2020,180
"California",6,"CA","Mendocino",6045,2020-01-31,NA,1,2020,666
"California",6,"CA","Merced",6047,2020-01-31,NA,1,2020,4726
"California",6,"CA","Modoc",6049,2020-01-31,NA,1,2020,70
"California",6,"CA","Mono",6051,2020-01-31,NA,1,2020,85
"California",6,"CA","Monterey",6053,2020-01-31,NA,1,2020,6279
"California",6,"CA","Napa",6055,2020-01-31,NA,1,2020,680
"California",6,"CA","Nevada",6057,2020-01-31,NA,1,2020,524
"California",6,"CA","Orange",6059,2020-01-31,NA,1,2020,10299
"California",6,"CA","Placer",6061,2020-01-31,NA,1,2020,1664
"California",6,"CA","Plumas",6063,2020-01-31,NA,1,2020,300
"California",6,"CA","Riverside",6065,2020-01-31,NA,1,2020,13396
"California",6,"CA","Sacramento",6067,2020-01-31,NA,1,2020,8852
"California",6,"CA","San Benito",6069,2020-01-31,NA,1,2020,698
"California",6,"CA","San Bernardino",6071,2020-01-31,NA,1,2020,12970
"California",6,"CA","San Diego",6073,2020-01-31,NA,1,2020,13326
"California",6,"CA","San Francisco",6075,2020-01-31,NA,1,2020,3781
"California",6,"CA","San Joaquin",6077,2020-01-31,NA,1,2020,7004
