"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Colorado",8,"CO","Adams",8001,2020-03-07,10,3,2020,189
"Colorado",8,"CO","Alamosa",8003,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Arapahoe",8005,2020-03-07,10,3,2020,220
"Colorado",8,"CO","Archuleta",8007,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Baca",8009,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Bent",8011,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Boulder",8013,2020-03-07,10,3,2020,80
"Colorado",8,"CO","Broomfield",8014,2020-03-07,10,3,2020,22
"Colorado",8,"CO","Chaffee",8015,2020-03-07,10,3,2020,6
"Colorado",8,"CO","Cheyenne",8017,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Clear Creek",8019,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Conejos",8021,2020-03-07,10,3,2020,7
"Colorado",8,"CO","Costilla",8023,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Crowley",8025,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Custer",8027,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Delta",8029,2020-03-07,10,3,2020,15
"Colorado",8,"CO","Denver",8031,2020-03-07,10,3,2020,273
"Colorado",8,"CO","Dolores",8033,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Douglas",8035,2020-03-07,10,3,2020,96
"Colorado",8,"CO","Eagle",8037,2020-03-07,10,3,2020,11
"Colorado",8,"CO","Elbert",8039,2020-03-07,10,3,2020,9
"Colorado",8,"CO","El Paso",8041,2020-03-07,10,3,2020,269
"Colorado",8,"CO","Fremont",8043,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Garfield",8045,2020-03-07,10,3,2020,16
"Colorado",8,"CO","Gilpin",8047,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Grand",8049,2020-03-07,10,3,2020,7
"Colorado",8,"CO","Gunnison",8051,2020-03-07,10,3,2020,8
"Colorado",8,"CO","Hinsdale",8053,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Huerfano",8055,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Jackson",8057,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Jefferson",8059,2020-03-07,10,3,2020,191
"Colorado",8,"CO","Kiowa",8061,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Kit Carson",8063,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Lake",8065,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","La Plata",8067,2020-03-07,10,3,2020,14
"Colorado",8,"CO","Larimer",8069,2020-03-07,10,3,2020,96
"Colorado",8,"CO","Las Animas",8071,2020-03-07,10,3,2020,7
"Colorado",8,"CO","Lincoln",8073,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Logan",8075,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Mesa",8077,2020-03-07,10,3,2020,42
"Colorado",8,"CO","Mineral",8079,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Moffat",8081,2020-03-07,10,3,2020,6
"Colorado",8,"CO","Montezuma",8083,2020-03-07,10,3,2020,8
"Colorado",8,"CO","Montrose",8085,2020-03-07,10,3,2020,38
"Colorado",8,"CO","Morgan",8087,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Otero",8089,2020-03-07,10,3,2020,6
"Colorado",8,"CO","Ouray",8091,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Park",8093,2020-03-07,10,3,2020,6
"Colorado",8,"CO","Phillips",8095,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Pitkin",8097,2020-03-07,10,3,2020,7
"Colorado",8,"CO","Prowers",8099,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Pueblo",8101,2020-03-07,10,3,2020,57
"Colorado",8,"CO","Rio Blanco",8103,2020-03-07,10,3,2020,6
"Colorado",8,"CO","Rio Grande",8105,2020-03-07,10,3,2020,6
"Colorado",8,"CO","Routt",8107,2020-03-07,10,3,2020,7
"Colorado",8,"CO","Saguache",8109,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","San Juan",8111,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","San Miguel",8113,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Sedgwick",8115,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Summit",8117,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Teller",8119,2020-03-07,10,3,2020,6
"Colorado",8,"CO","Washington",8121,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Weld",8123,2020-03-07,10,3,2020,107
"Colorado",8,"CO","Yuma",8125,2020-03-07,10,3,2020,NA
"Colorado",8,"CO","Adams",8001,2020-03-14,11,3,2020,300
"Colorado",8,"CO","Alamosa",8003,2020-03-14,11,3,2020,NA
"Colorado",8,"CO","Arapahoe",8005,2020-03-14,11,3,2020,417
"Colorado",8,"CO","Archuleta",8007,2020-03-14,11,3,2020,NA
"Colorado",8,"CO","Baca",8009,2020-03-14,11,3,2020,NA
