county,Jan,Feb,Mar,Apr
Appling,69,67,420,1546
Atkinson,146,47,121,664
Bacon,39,18,151,655
Baker,6,5,39,123
Baldwin,117,62,1101,4077
Banks,142,32,355,1704
Barrow,199,133,2184,10476
Bartow,1359,292,3848,16521
Ben Hill,179,32,163,1332
Berrien,81,26,261,1787
Bibb,659,378,4321,16778
Bleckley,70,36,185,645
Brantley,34,16,312,1521
Brooks,82,37,179,916
Bryan,74,75,1135,5091
Bulloch,518,223,2160,9269
Burke,316,114,318,1676
Butts,69,54,582,2934
Calhoun,38,20,114,356
Camden,45,40,961,4085
Candler,65,20,186,790
Carroll,455,303,3655,14450
Catoosa,306,65,749,4222
Charlton,22,8,93,518
Chatham,599,515,14925,48252
Chattahoochee,5,9,21,112
Chattooga,63,37,58,709
Cherokee,457,322,9092,31536
Clarke,255,199,4868,15844
Clay,11,11,115,448
Clayton,1390,902,1029,48691
Clinch,17,0,29,318
Cobb,1623,1228,26415,102022
Coffee,628,200,546,3317
Colquitt,115,100,790,3510
Columbia,327,173,3091,13151
Cook,56,32,354,1514
Coweta,723,217,4496,19725
Crawford,60,26,199,746
Crisp,184,156,460,1994
Dade,29,6,181,973
Dawson,35,39,877,3650
Decatur,98,43,365,2125
DeKalb,2012,1588,27027,106864
Dodge,79,27,149,944
Dooly,95,76,108,636
Dougherty,355,266,2663,9634
Douglas,434,305,4793,20987
Early,32,15,71,354
Echols,5,1,28,176
Effingham,121,82,1485,6623
Elbert,409,51,250,2000
Emanuel,246,82,232,1307
Evans,42,23,115,724
Fannin,74,54,853,2279
Fayette,216,126,2954,14625
Floyd,1213,378,3764,12549
Forsyth,234,227,5395,26541
Franklin,150,35,498,2937
Fulton,3076,2215,44097,179134
Gilmer,100,64,695,2926
Glascock,10,8,17,164
Glynn,177,110,3342,12020
Gordon,822,236,1418,8697
Grady,39,18,311,1507
Greene,57,41,445,1744
Gwinnett,1723,1447,29768,136026
Habersham,829,168,1076,3849
Hall,659,275,4826,24532
Hancock,42,12,102,582
Haralson,56,51,819,4414
Harris,123,87,902,3295
Hart,209,98,342,2100
Heard,84,47,219,1169
Henry,699,495,7343,38156
Houston,746,265,3816,14498
Irwin,66,19,71,542
Jackson,182,113,1818,9558
Jasper,66,35,300,1325
Jeff Davis,62,33,111,1094
Jefferson,163,52,216,1231
Jenkins,142,33,99,498
Johnson,40,24,103,514
Jones,62,46,460,1919
Lamar,51,89,371,1775
Lanier,20,10,99,531
Laurens,226,131,1155,4081
Lee,112,55,1347,5459
Liberty,111,96,1237,5750
Lincoln,49,16,146,641
Long,30,31,204,1169
Lowndes,413,216,2512,13074
Lumpkin,59,40,1003,3630
McDuffie,211,101,238,1102
McIntosh,21,28,796,3432
Macon,180,63,88,532
Madison,89,74,431,2184
Marion,36,18,350,1303
Meriwether,167,81,447,2456
Miller,22,7,72,243
Mitchell,57,41,246,1090
Monroe,79,65,576,2141
Montgomery,75,29,136,988
Morgan,53,27,572,2047
Murray,988,233,848,6649
Muscogee,1210,378,5546,21126
Newton,341,313,3326,13468
Oconee,32,27,893,3731
Oglethorpe,39,13,242,1098
Paulding,400,253,4507,17646
Peach,338,46,672,3041
Pickens,64,48,899,3276
Pierce,46,17,265,1682
Pike,54,33,351,1876
Polk,475,159,1562,4735
Pulaski,72,37,87,581
Putnam,68,24,667,2013
Quitman,3,0,9,44
Rabun,79,27,634,1511
Randolph,42,22,156,1071
Richmond,1494,643,5203,21390
Rockdale,319,281,2768,12842
Schley,17,7,48,186
Screven,193,36,207,1582
Seminole,33,6,109,492
Spalding,381,245,1513,7808
Stephens,182,47,548,2839
Stewart,39,15,59,229
Sumter,246,106,373,2231
Talbot,30,20,102,410
Taliaferro,9,4,29,106
Tattnall,60,29,275,1090
Taylor,100,23,97,570
Telfair,65,36,87,518
Terrell,93,37,121,629
Thomas,92,52,870,3590
Tift,138,67,1138,4152
Toombs,271,78,389,2899
Towns,17,9,302,1042
Treutlen,45,22,72,429
Troup,424,152,1783,12224
Turner,38,23,212,693
Twiggs,25,29,95,468
Union,44,37,679,2110
Upson,175,120,499,3058
Walker,518,92,810,6311
Walton,198,124,2770,11880
Ware,127,59,569,3025
Warren,81,22,98,510
Washington,57,35,203,1158
Wayne,91,69,416,2520
Webster,9,3,15,90
Wheeler,34,14,24,260
White,241,85,954,3331
Whitfield,3528,413,2661,21259
Wilcox,34,17,48,323
Wilkes,57,18,94,566
Wilkinson,39,21,127,605
Worth,70,38,322,1322
