"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Illinois",17,"IL","Adams",17001,2020-01-31,NA,1,2020,196
"Illinois",17,"IL","Alexander",17003,2020-01-31,NA,1,2020,18
"Illinois",17,"IL","Bond",17005,2020-01-31,NA,1,2020,77
"Illinois",17,"IL","Boone",17007,2020-01-31,NA,1,2020,1088
"Illinois",17,"IL","Brown",17009,2020-01-31,NA,1,2020,13
"Illinois",17,"IL","Bureau",17011,2020-01-31,NA,1,2020,189
"Illinois",17,"IL","Calhoun",17013,2020-01-31,NA,1,2020,26
"Illinois",17,"IL","Carroll",17015,2020-01-31,NA,1,2020,61
"Illinois",17,"IL","Cass",17017,2020-01-31,NA,1,2020,54
"Illinois",17,"IL","Champaign",17019,2020-01-31,NA,1,2020,567
"Illinois",17,"IL","Christian",17021,2020-01-31,NA,1,2020,140
"Illinois",17,"IL","Clark",17023,2020-01-31,NA,1,2020,56
"Illinois",17,"IL","Clay",17025,2020-01-31,NA,1,2020,88
"Illinois",17,"IL","Clinton",17027,2020-01-31,NA,1,2020,226
"Illinois",17,"IL","Coles",17029,2020-01-31,NA,1,2020,110
"Illinois",17,"IL","Cook",17031,2020-01-31,NA,1,2020,18275
"Illinois",17,"IL","Crawford",17033,2020-01-31,NA,1,2020,57
"Illinois",17,"IL","Cumberland",17035,2020-01-31,NA,1,2020,55
"Illinois",17,"IL","DeKalb",17037,2020-01-31,NA,1,2020,654
"Illinois",17,"IL","DeWitt",17039,2020-01-31,NA,1,2020,63
"Illinois",17,"IL","Douglas",17041,2020-01-31,NA,1,2020,60
"Illinois",17,"IL","DuPage",17043,2020-01-31,NA,1,2020,2431
"Illinois",17,"IL","Edgar",17045,2020-01-31,NA,1,2020,33
"Illinois",17,"IL","Edwards",17047,2020-01-31,NA,1,2020,18
"Illinois",17,"IL","Effingham",17049,2020-01-31,NA,1,2020,132
"Illinois",17,"IL","Fayette",17051,2020-01-31,NA,1,2020,124
"Illinois",17,"IL","Ford",17053,2020-01-31,NA,1,2020,38
"Illinois",17,"IL","Franklin",17055,2020-01-31,NA,1,2020,140
"Illinois",17,"IL","Fulton",17057,2020-01-31,NA,1,2020,248
"Illinois",17,"IL","Gallatin",17059,2020-01-31,NA,1,2020,21
"Illinois",17,"IL","Greene",17061,2020-01-31,NA,1,2020,51
"Illinois",17,"IL","Grundy",17063,2020-01-31,NA,1,2020,429
"Illinois",17,"IL","Hamilton",17065,2020-01-31,NA,1,2020,41
"Illinois",17,"IL","Hancock",17067,2020-01-31,NA,1,2020,49
"Illinois",17,"IL","Hardin",17069,2020-01-31,NA,1,2020,13
"Illinois",17,"IL","Henderson",17071,2020-01-31,NA,1,2020,32
"Illinois",17,"IL","Henry",17073,2020-01-31,NA,1,2020,202
"Illinois",17,"IL","Iroquois",17075,2020-01-31,NA,1,2020,125
"Illinois",17,"IL","Jackson",17077,2020-01-31,NA,1,2020,137
"Illinois",17,"IL","Jasper",17079,2020-01-31,NA,1,2020,46
"Illinois",17,"IL","Jefferson",17081,2020-01-31,NA,1,2020,181
"Illinois",17,"IL","Jersey",17083,2020-01-31,NA,1,2020,105
"Illinois",17,"IL","JoDaviess",17085,2020-01-31,NA,1,2020,84
"Illinois",17,"IL","Johnson",17087,2020-01-31,NA,1,2020,53
"Illinois",17,"IL","Kane",17089,2020-01-31,NA,1,2020,1920
"Illinois",17,"IL","Kankakee",17091,2020-01-31,NA,1,2020,591
"Illinois",17,"IL","Kendall",17093,2020-01-31,NA,1,2020,581
"Illinois",17,"IL","Knox",17095,2020-01-31,NA,1,2020,186
"Illinois",17,"IL","Lake",17097,2020-01-31,NA,1,2020,1994
"Illinois",17,"IL","LaSalle",17099,2020-01-31,NA,1,2020,824
"Illinois",17,"IL","Lawrence",17101,2020-01-31,NA,1,2020,35
"Illinois",17,"IL","Lee",17103,2020-01-31,NA,1,2020,193
"Illinois",17,"IL","Livingston",17105,2020-01-31,NA,1,2020,138
"Illinois",17,"IL","Logan",17107,2020-01-31,NA,1,2020,78
"Illinois",17,"IL","McDonough",17109,2020-01-31,NA,1,2020,90
"Illinois",17,"IL","McHenry",17111,2020-01-31,NA,1,2020,1261
"Illinois",17,"IL","McLean",17113,2020-01-31,NA,1,2020,522
"Illinois",17,"IL","Macon",17115,2020-01-31,NA,1,2020,439
"Illinois",17,"IL","Macoupin",17117,2020-01-31,NA,1,2020,229
"Illinois",17,"IL","Madison",17119,2020-01-31,NA,1,2020,915
"Illinois",17,"IL","Marion",17121,2020-01-31,NA,1,2020,175
"Illinois",17,"IL","Marshall",17123,2020-01-31,NA,1,2020,66
