county,claims,date
Cheyenne,7,28-Mar
Sherman,13,28-Mar
Wallance,3,28-Mar
Greeley,5,28-Mar
Hamilton,4,28-Mar
Stanton,1,28-Mar
Morton,2,28-Mar
Rawlins,7,28-Mar
Thomas,33,28-Mar
Logan,10,28-Mar
Wichita,6,28-Mar
Kearny,16,28-Mar
Grant,18,28-Mar
Stevens,11,28-Mar
Decatur,8,28-Mar
Sheridan,4,28-Mar
Gove,8,28-Mar
Scott,4,28-Mar
Lane,4,28-Mar
Finney,391,28-Mar
Haskell,7,28-Mar
Gray,15,28-Mar
Seward,117,28-Mar
Meade,8,28-Mar
Norton,15,28-Mar
Graham,4,28-Mar
Trego,16,28-Mar
Ness,8,28-Mar
Nodgeman,4,28-Mar
Ford,152,28-Mar
Clark,2,28-Mar
Phillips,17,28-Mar
Rooks,27,28-Mar
Ellis,473,28-Mar
Rush,20,28-Mar
Pawnee,20,28-Mar
Edwards,14,28-Mar
Kiowa,9,28-Mar
Comanche,4,28-Mar
Smith,11,28-Mar
Osborne,33,28-Mar
Russell,114,28-Mar
Barton,221,28-Mar
Stafford,14,28-Mar
Pratt,46,28-Mar
Barber,23,28-Mar
Jewell,10,28-Mar
Mitchell,36,28-Mar
Lincoln,24,28-Mar
Ellsworth,38,28-Mar
Rice,106,28-Mar
Reno,865,28-Mar
Kingman,112,28-Mar
Harper,39,28-Mar
Republic,11,28-Mar
Cloud,46,28-Mar
Ottawa,36,28-Mar
Saline,809,28-Mar
McPherson,290,28-Mar
Harvey,499,28-Mar
Sedgewick,17967,28-Mar
Sumner,637,28-Mar
Washington,16,28-Mar
Clay,67,28-Mar
Dickinson,325,28-Mar
Marion,110,28-Mar
Butler,1961,28-Mar
Cowley,436,28-Mar
Marshall,43,28-Mar
Riley,903,28-Mar
Geary,303,28-Mar
Morris,49,28-Mar
Chase,36,28-Mar
Nemaha,62,28-Mar
Pottawatomie,222,28-Mar
Wabaunsee,64,28-Mar
Lyon,311,28-Mar
Greenwood,53,28-Mar
Elk,30,28-Mar
Chautauqua,22,28-Mar
Brown,43,28-Mar
Jackson,212,28-Mar
Shawnee,3402,28-Mar
Osage,216,28-Mar
Coffey,73,28-Mar
Woodson,36,28-Mar
Wilson,92,28-Mar
Montgomery,610,28-Mar
Doniphan,34,28-Mar
Atchison,151,28-Mar
Jefferson,301,28-Mar
Douglas,2304,28-Mar
Franklin,342,28-Mar
Anderson,82,28-Mar
Allen,177,28-Mar
Neosho,170,28-Mar
Labette,133,28-Mar
Leavenworth,1027,28-Mar
Wyandotte,2536,28-Mar
Johnson,8369,28-Mar
Miami,386,28-Mar
Linn,85,28-Mar
Bourbon,246,28-Mar
Crawford,450,28-Mar
Cherokee,95,28-Mar
Cheyenne,14,4-Apr
Sherman,24,4-Apr
Wallance,1,4-Apr
Greeley,1,4-Apr
Hamilton,3,4-Apr
Stanton,4,4-Apr
Morton,7,4-Apr
Rawlins,22,4-Apr
Thomas,63,4-Apr
Logan,27,4-Apr
Wichita,6,4-Apr
Kearny,18,4-Apr
Grant,41,4-Apr
Stevens,14,4-Apr
Decatur,22,4-Apr
Sheridan,8,4-Apr
Gove,41,4-Apr
Scott,34,4-Apr
Lane,5,4-Apr
Finney,449,4-Apr
Haskell,13,4-Apr
Gray,31,4-Apr
Seward,165,4-Apr
Meade,22,4-Apr
Norton,25,4-Apr
Graham,23,4-Apr
Trego,38,4-Apr
Ness,26,4-Apr
Nodgeman,5,4-Apr
Ford,219,4-Apr
Clark,4,4-Apr
Phillips,37,4-Apr
Rooks,41,4-Apr
Ellis,519,4-Apr
Rush,52,4-Apr
Pawnee,45,4-Apr
Edwards,14,4-Apr
Kiowa,16,4-Apr
Comanche,10,4-Apr
Smith,15,4-Apr
Osborne,29,4-Apr
Russell,105,4-Apr
Barton,404,4-Apr
Stafford,34,4-Apr
Pratt,137,4-Apr
Barber,29,4-Apr
Jewell,20,4-Apr
Mitchell,51,4-Apr
Lincoln,24,4-Apr
Ellsworth,42,4-Apr
Rice,123,4-Apr
Reno,998,4-Apr
Kingman,80,4-Apr
Harper,44,4-Apr
Republic,24,4-Apr
Cloud,111,4-Apr
Ottawa,71,4-Apr
Saline,971,4-Apr
McPherson,307,4-Apr
Harvey,737,4-Apr
Sedgewick,11432,4-Apr
Sumner,382,4-Apr
Washington,44,4-Apr
Clay,106,4-Apr
Dickinson,279,4-Apr
Marion,188,4-Apr
Butler,1085,4-Apr
Cowley,500,4-Apr
Marshall,82,4-Apr
Riley,860,4-Apr
Geary,405,4-Apr
Morris,61,4-Apr
Chase,82,4-Apr
Nemaha,86,4-Apr
Pottawatomie,274,4-Apr
Wabaunsee,79,4-Apr
Lyon,391,4-Apr
Greenwood,87,4-Apr
Elk,25,4-Apr
Chautauqua,34,4-Apr
Brown,135,4-Apr
Jackson,250,4-Apr
Shawnee,3319,4-Apr
Osage,244,4-Apr
Coffey,103,4-Apr
Woodson,48,4-Apr
Wilson,292,4-Apr
Montgomery,571,4-Apr
Doniphan,43,4-Apr
Atchison,163,4-Apr
Jefferson,262,4-Apr
Douglas,2129,4-Apr
Franklin,459,4-Apr
Anderson,88,4-Apr
Allen,221,4-Apr
Neosho,181,4-Apr
Labette,254,4-Apr
Leavenworth,2581,4-Apr
Wyandotte,9383,4-Apr
Johnson,421,4-Apr
Miami,109,4-Apr
Linn,159,4-Apr
Bourbon,566,4-Apr
Crawford,149,4-Apr
Cherokee,66,4-Apr
Cheyenne,5,11-Apr
Sherman,17,11-Apr
Wallance,2,11-Apr
Greeley,5,11-Apr
Hamilton,4,11-Apr
Stanton,2,11-Apr
Morton,3,11-Apr
Rawlins,5,11-Apr
Thomas,92,11-Apr
Logan,27,11-Apr
Wichita,8,11-Apr
Kearny,13,11-Apr
Grant,19,11-Apr
Stevens,5,11-Apr
Decatur,4,11-Apr
Sheridan,7,11-Apr
Gove,9,11-Apr
Scott,10,11-Apr
Lane,3,11-Apr
Finney,153,11-Apr
Haskell,7,11-Apr
Gray,12,11-Apr
Seward,59,11-Apr
Meade,15,11-Apr
Norton,13,11-Apr
Graham,8,11-Apr
Trego,5,11-Apr
Ness,9,11-Apr
Nodgeman,8,11-Apr
Ford,114,11-Apr
Clark,3,11-Apr
Phillips,50,11-Apr
Rooks,22,11-Apr
Ellis,166,11-Apr
Rush,18,11-Apr
Pawnee,18,11-Apr
Edwards,7,11-Apr
Kiowa,7,11-Apr
Comanche,4,11-Apr
Smith,10,11-Apr
Osborne,21,11-Apr
Russell,38,11-Apr
Barton,167,11-Apr
Stafford,15,11-Apr
Pratt,58,11-Apr
Barber,30,11-Apr
Jewell,4,11-Apr
Mitchell,24,11-Apr
Lincoln,5,11-Apr
Ellsworth,18,11-Apr
Rice,48,11-Apr
Reno,508,11-Apr
Kingman,85,11-Apr
Harper,34,11-Apr
Republic,18,11-Apr
Cloud,34,11-Apr
Ottawa,26,11-Apr
Saline,567,11-Apr
McPherson,160,11-Apr
Harvey,482,11-Apr
Sedgewick,9044,11-Apr
Sumner,400,11-Apr
Washington,12,11-Apr
Clay,45,11-Apr
Dickinson,133,11-Apr
Marion,90,11-Apr
Butler,826,11-Apr
Cowley,532,11-Apr
Marshall,33,11-Apr
Riley,589,11-Apr
Geary,269,11-Apr
Morris,27,11-Apr
Chase,24,11-Apr
Nemaha,48,11-Apr
Pottawatomie,162,11-Apr
Wabaunsee,44,11-Apr
Lyon,182,11-Apr
Greenwood,72,11-Apr
Elk,25,11-Apr
Chautauqua,21,11-Apr
Brown,63,11-Apr
Jackson,260,11-Apr
Shawnee,1625,11-Apr
Osage,88,11-Apr
Coffey,41,11-Apr
Woodson,35,11-Apr
Wilson,358,11-Apr
Montgomery,509,11-Apr
Doniphan,29,11-Apr
Atchison,97,11-Apr
Jefferson,156,11-Apr
Douglas,1259,11-Apr
Franklin,275,11-Apr
Anderson,43,11-Apr
Allen,99,11-Apr
Neosho,138,11-Apr
Labette,302,11-Apr
Leavenworth,614,11-Apr
Wyandotte,1425,11-Apr
Johnson,5032,11-Apr
Miami,207,11-Apr
Linn,47,11-Apr
Bourbon,83,11-Apr
Crawford,296,11-Apr
Cherokee,175,11-Apr
Cheyenne,3,18-Apr
Sherman,108,18-Apr
Wallance,5,18-Apr
Greeley,2,18-Apr
Hamilton,7,18-Apr
Stanton,1,18-Apr
Morton,7,18-Apr
Rawlins,7,18-Apr
Thomas,40,18-Apr
Logan,11,18-Apr
Wichita,8,18-Apr
Kearny,33,18-Apr
Grant,19,18-Apr
Stevens,15,18-Apr
Decatur,7,18-Apr
Sheridan,9,18-Apr
Gove,17,18-Apr
Scott,14,18-Apr
Lane,6,18-Apr
Finney,162,18-Apr
Haskell,11,18-Apr
Gray,8,18-Apr
Seward,64,18-Apr
Meade,11,18-Apr
Norton,8,18-Apr
Graham,8,18-Apr
Trego,60,18-Apr
Ness,3,18-Apr
Nodgeman,4,18-Apr
Ford,113,18-Apr
Clark,0,18-Apr
Phillips,41,18-Apr
Rooks,17,18-Apr
Ellis,172,18-Apr
Rush,26,18-Apr
Pawnee,25,18-Apr
Edwards,9,18-Apr
Kiowa,12,18-Apr
Comanche,7,18-Apr
Smith,12,18-Apr
Osborne,7,18-Apr
Russell,51,18-Apr
Barton,156,18-Apr
Stafford,21,18-Apr
Pratt,75,18-Apr
Barber,23,18-Apr
Jewell,7,18-Apr
Mitchell,23,18-Apr
Lincoln,13,18-Apr
Ellsworth,15,18-Apr
Rice,44,18-Apr
Reno,617,18-Apr
Kingman,80,18-Apr
Harper,26,18-Apr
Republic,18,18-Apr
Cloud,44,18-Apr
Ottawa,37,18-Apr
Saline,554,18-Apr
McPherson,172,18-Apr
Harvey,800,18-Apr
Sedgewick,9228,18-Apr
Sumner,580,18-Apr
Washington,18,18-Apr
Clay,42,18-Apr
Dickinson,104,18-Apr
Marion,45,18-Apr
Butler,936,18-Apr
Cowley,430,18-Apr
Marshall,33,18-Apr
Riley,594,18-Apr
Geary,227,18-Apr
Morris,26,18-Apr
Chase,20,18-Apr
Nemaha,43,18-Apr
Pottawatomie,168,18-Apr
Wabaunsee,45,18-Apr
Lyon,198,18-Apr
Greenwood,42,18-Apr
Elk,18,18-Apr
Chautauqua,18,18-Apr
Brown,87,18-Apr
Jackson,193,18-Apr
Shawnee,1731,18-Apr
Osage,135,18-Apr
Coffey,37,18-Apr
Woodson,20,18-Apr
Wilson,105,18-Apr
Montgomery,219,18-Apr
Doniphan,36,18-Apr
Atchison,118,18-Apr
Jefferson,217,18-Apr
Douglas,1503,18-Apr
Franklin,298,18-Apr
Anderson,48,18-Apr
Allen,61,18-Apr
Neosho,94,18-Apr
Labette,123,18-Apr
Leavenworth,502,18-Apr
Wyandotte,1459,18-Apr
Johnson,5102,18-Apr
Miami,222,18-Apr
Linn,68,18-Apr
Bourbon,904,18-Apr
Crawford,404,18-Apr
Cherokee,127,18-Apr
Cheyenne,3,25-Apr
Sherman,17,25-Apr
Wallance,2,25-Apr
Greeley,1,25-Apr
Hamilton,4,25-Apr
Stanton,5,25-Apr
Morton,4,25-Apr
Rawlins,44,25-Apr
Thomas,24,25-Apr
Logan,7,25-Apr
Wichita,5,25-Apr
Kearny,11,25-Apr
Grant,22,25-Apr
Stevens,6,25-Apr
Decatur,14,25-Apr
Sheridan,1,25-Apr
Gove,9,25-Apr
Scott,16,25-Apr
