county,claims,date
Cheyenne,7,3/28/20
Sherman,13,3/28/20
Wallace,3,3/28/20
Greeley,5,3/28/20
Hamilton,4,3/28/20
Stanton,1,3/28/20
Morton,2,3/28/20
Rawlins,7,3/28/20
Thomas,33,3/28/20
Logan,10,3/28/20
Wichita,6,3/28/20
Kearny,16,3/28/20
Grant,18,3/28/20
Stevens,11,3/28/20
Decatur,8,3/28/20
Sheridan,4,3/28/20
Gove,8,3/28/20
Scott,4,3/28/20
Lane,4,3/28/20
Finney,391,3/28/20
Haskell,7,3/28/20
Gray,15,3/28/20
Seward,117,3/28/20
Meade,8,3/28/20
Norton,15,3/28/20
Graham,4,3/28/20
Trego,16,3/28/20
Ness,8,3/28/20
Hodgeman,4,3/28/20
Ford,152,3/28/20
Clark,2,3/28/20
Phillips,17,3/28/20
Rooks,27,3/28/20
Ellis,473,3/28/20
Rush,20,3/28/20
Pawnee,20,3/28/20
Edwards,14,3/28/20
Kiowa,9,3/28/20
Comanche,4,3/28/20
Smith,11,3/28/20
Osborne,33,3/28/20
Russell,114,3/28/20
Barton,221,3/28/20
Stafford,14,3/28/20
Pratt,46,3/28/20
Barber,23,3/28/20
Jewell,10,3/28/20
Mitchell,36,3/28/20
Lincoln,24,3/28/20
Ellsworth,38,3/28/20
Rice,106,3/28/20
Reno,865,3/28/20
Kingman,112,3/28/20
Harper,39,3/28/20
Republic,11,3/28/20
Cloud,46,3/28/20
Ottawa,36,3/28/20
Saline,809,3/28/20
McPherson,290,3/28/20
Harvey,499,3/28/20
Sedgwick,17967,3/28/20
Sumner,637,3/28/20
Washington,16,3/28/20
Clay,67,3/28/20
Dickinson,325,3/28/20
Marion,110,3/28/20
Butler,1961,3/28/20
Cowley,436,3/28/20
Marshall,43,3/28/20
Riley,903,3/28/20
Geary,303,3/28/20
Morris,49,3/28/20
Chase,36,3/28/20
Nemaha,62,3/28/20
Pottawatomie,222,3/28/20
Wabaunsee,64,3/28/20
Lyon,311,3/28/20
Greenwood,53,3/28/20
Elk,30,3/28/20
Chautauqua,22,3/28/20
Brown,43,3/28/20
Jackson,212,3/28/20
Shawnee,3402,3/28/20
Osage,216,3/28/20
Coffey,73,3/28/20
Woodson,36,3/28/20
Wilson,92,3/28/20
Montgomery,610,3/28/20
Doniphan,34,3/28/20
Atchison,151,3/28/20
Jefferson,301,3/28/20
Douglas,2304,3/28/20
Franklin,342,3/28/20
Anderson,82,3/28/20
Allen,177,3/28/20
Neosho,170,3/28/20
Labette,133,3/28/20
Leavenworth,1027,3/28/20
Wyandotte,2536,3/28/20
Johnson,8369,3/28/20
Miami,386,3/28/20
Linn,85,3/28/20
Bourbon,246,3/28/20
Crawford,450,3/28/20
Cherokee,95,3/28/20
Cheyenne,14,4/4/20
Sherman,24,4/4/20
Wallace,1,4/4/20
Greeley,1,4/4/20
Hamilton,3,4/4/20
Stanton,4,4/4/20
Morton,7,4/4/20
Rawlins,22,4/4/20
Thomas,63,4/4/20
Logan,27,4/4/20
Wichita,6,4/4/20
Kearny,18,4/4/20
Grant,41,4/4/20
Stevens,14,4/4/20
Decatur,22,4/4/20
Sheridan,8,4/4/20
Gove,41,4/4/20
Scott,34,4/4/20
Lane,5,4/4/20
Finney,449,4/4/20
Haskell,13,4/4/20
Gray,31,4/4/20
Seward,165,4/4/20
Meade,22,4/4/20
Norton,25,4/4/20
Graham,23,4/4/20
Trego,38,4/4/20
Ness,26,4/4/20
Hodgeman,5,4/4/20
Ford,219,4/4/20
Clark,4,4/4/20
Phillips,37,4/4/20
Rooks,41,4/4/20
Ellis,519,4/4/20
Rush,52,4/4/20
Pawnee,45,4/4/20
Edwards,14,4/4/20
Kiowa,16,4/4/20
Comanche,10,4/4/20
Smith,15,4/4/20
Osborne,29,4/4/20
Russell,105,4/4/20
Barton,404,4/4/20
Stafford,34,4/4/20
Pratt,137,4/4/20
Barber,29,4/4/20
Jewell,20,4/4/20
Mitchell,51,4/4/20
Lincoln,24,4/4/20
Ellsworth,42,4/4/20
Rice,123,4/4/20
Reno,998,4/4/20
Kingman,80,4/4/20
Harper,44,4/4/20
Republic,24,4/4/20
Cloud,111,4/4/20
Ottawa,71,4/4/20
Saline,971,4/4/20
McPherson,307,4/4/20
Harvey,737,4/4/20
Sedgwick,11432,4/4/20
Sumner,382,4/4/20
Washington,44,4/4/20
Clay,106,4/4/20
Dickinson,279,4/4/20
Marion,188,4/4/20
Butler,1085,4/4/20
Cowley,500,4/4/20
Marshall,82,4/4/20
Riley,860,4/4/20
Geary,405,4/4/20
Morris,61,4/4/20
Chase,82,4/4/20
Nemaha,86,4/4/20
Pottawatomie,274,4/4/20
Wabaunsee,79,4/4/20
Lyon,391,4/4/20
Greenwood,87,4/4/20
Elk,25,4/4/20
Chautauqua,34,4/4/20
Brown,135,4/4/20
Jackson,250,4/4/20
Shawnee,3319,4/4/20
Osage,244,4/4/20
Coffey,103,4/4/20
Woodson,48,4/4/20
Wilson,292,4/4/20
Montgomery,571,4/4/20
Doniphan,43,4/4/20
Atchison,163,4/4/20
Jefferson,262,4/4/20
Douglas,2129,4/4/20
Franklin,459,4/4/20
Anderson,88,4/4/20
Allen,221,4/4/20
Neosho,181,4/4/20
Labette,254,4/4/20
Leavenworth,2581,4/4/20
Wyandotte,9383,4/4/20
Johnson,421,4/4/20
Miami,109,4/4/20
Linn,159,4/4/20
Bourbon,566,4/4/20
Crawford,149,4/4/20
Cherokee,66,4/4/20
Cheyenne,5,4/11/20
Sherman,17,4/11/20
Wallace,2,4/11/20
Greeley,5,4/11/20
Hamilton,4,4/11/20
Stanton,2,4/11/20
Morton,3,4/11/20
Rawlins,5,4/11/20
Thomas,92,4/11/20
Logan,27,4/11/20
Wichita,8,4/11/20
Kearny,13,4/11/20
Grant,19,4/11/20
Stevens,5,4/11/20
Decatur,4,4/11/20
Sheridan,7,4/11/20
Gove,9,4/11/20
Scott,10,4/11/20
Lane,3,4/11/20
Finney,153,4/11/20
Haskell,7,4/11/20
Gray,12,4/11/20
Seward,59,4/11/20
Meade,15,4/11/20
Norton,13,4/11/20
Graham,8,4/11/20
Trego,5,4/11/20
Ness,9,4/11/20
Hodgeman,8,4/11/20
Ford,114,4/11/20
Clark,3,4/11/20
Phillips,50,4/11/20
Rooks,22,4/11/20
Ellis,166,4/11/20
Rush,18,4/11/20
Pawnee,18,4/11/20
Edwards,7,4/11/20
Kiowa,7,4/11/20
Comanche,4,4/11/20
Smith,10,4/11/20
Osborne,21,4/11/20
Russell,38,4/11/20
Barton,167,4/11/20
Stafford,15,4/11/20
Pratt,58,4/11/20
Barber,30,4/11/20
Jewell,4,4/11/20
Mitchell,24,4/11/20
Lincoln,5,4/11/20
Ellsworth,18,4/11/20
Rice,48,4/11/20
Reno,508,4/11/20
Kingman,85,4/11/20
Harper,34,4/11/20
Republic,18,4/11/20
Cloud,34,4/11/20
Ottawa,26,4/11/20
Saline,567,4/11/20
McPherson,160,4/11/20
Harvey,482,4/11/20
Sedgwick,9044,4/11/20
Sumner,400,4/11/20
Washington,12,4/11/20
Clay,45,4/11/20
Dickinson,133,4/11/20
Marion,90,4/11/20
Butler,826,4/11/20
Cowley,532,4/11/20
Marshall,33,4/11/20
Riley,589,4/11/20
Geary,269,4/11/20
Morris,27,4/11/20
Chase,24,4/11/20
Nemaha,48,4/11/20
Pottawatomie,162,4/11/20
Wabaunsee,44,4/11/20
Lyon,182,4/11/20
Greenwood,72,4/11/20
Elk,25,4/11/20
Chautauqua,21,4/11/20
Brown,63,4/11/20
Jackson,260,4/11/20
Shawnee,1625,4/11/20
Osage,88,4/11/20
Coffey,41,4/11/20
Woodson,35,4/11/20
Wilson,358,4/11/20
Montgomery,509,4/11/20
Doniphan,29,4/11/20
Atchison,97,4/11/20
Jefferson,156,4/11/20
Douglas,1259,4/11/20
Franklin,275,4/11/20
Anderson,43,4/11/20
Allen,99,4/11/20
Neosho,138,4/11/20
Labette,302,4/11/20
Leavenworth,614,4/11/20
Wyandotte,1425,4/11/20
Johnson,5032,4/11/20
Miami,207,4/11/20
Linn,47,4/11/20
Bourbon,83,4/11/20
Crawford,296,4/11/20
Cherokee,175,4/11/20
Cheyenne,3,4/18/20
Sherman,108,4/18/20
Wallace,5,4/18/20
Greeley,2,4/18/20
Hamilton,7,4/18/20
Stanton,1,4/18/20
