"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Kentucky",21,"KY","Adair",21001,2020-01-31,NA,1,2020,"50"
"Kentucky",21,"KY","Allen",21003,2020-01-31,NA,1,2020,"43"
"Kentucky",21,"KY","Anderson",21005,2020-01-31,NA,1,2020,"55"
"Kentucky",21,"KY","Ballard",21007,2020-01-31,NA,1,2020,"41"
"Kentucky",21,"KY","Barren",21009,2020-01-31,NA,1,2020,"159"
"Kentucky",21,"KY","Bath",21011,2020-01-31,NA,1,2020,"80"
"Kentucky",21,"KY","Bell",21013,2020-01-31,NA,1,2020,"59"
"Kentucky",21,"KY","Boone",21015,2020-01-31,NA,1,2020,"250"
"Kentucky",21,"KY","Bourbon",21017,2020-01-31,NA,1,2020,"45"
"Kentucky",21,"KY","Boyd",21019,2020-01-31,NA,1,2020,"154"
"Kentucky",21,"KY","Boyle",21021,2020-01-31,NA,1,2020,"105"
"Kentucky",21,"KY","Bracken",21023,2020-01-31,NA,1,2020,"37"
"Kentucky",21,"KY","Breathitt",21025,2020-01-31,NA,1,2020,"61"
"Kentucky",21,"KY","Breckinridge",21027,2020-01-31,NA,1,2020,"83"
"Kentucky",21,"KY","Bullitt",21029,2020-01-31,NA,1,2020,"264"
"Kentucky",21,"KY","Butler",21031,2020-01-31,NA,1,2020,"41"
"Kentucky",21,"KY","Caldwell",21033,2020-01-31,NA,1,2020,"59"
"Kentucky",21,"KY","Calloway",21035,2020-01-31,NA,1,2020,"270"
"Kentucky",21,"KY","Campbell",21037,2020-01-31,NA,1,2020,"169"
"Kentucky",21,"KY","Carlisle",21039,2020-01-31,NA,1,2020,"10"
"Kentucky",21,"KY","Carroll",21041,2020-01-31,NA,1,2020,"35"
"Kentucky",21,"KY","Carter",21043,2020-01-31,NA,1,2020,"125"
"Kentucky",21,"KY","Casey",21045,2020-01-31,NA,1,2020,"56"
"Kentucky",21,"KY","Christian",21047,2020-01-31,NA,1,2020,"283"
"Kentucky",21,"KY","Clark",21049,2020-01-31,NA,1,2020,"140"
"Kentucky",21,"KY","Clay",21051,2020-01-31,NA,1,2020,"56"
"Kentucky",21,"KY","Clinton",21053,2020-01-31,NA,1,2020,"22"
"Kentucky",21,"KY","Crittenden",21055,2020-01-31,NA,1,2020,"33"
"Kentucky",21,"KY","Cumberland",21057,2020-01-31,NA,1,2020,"32"
"Kentucky",21,"KY","Daviess",21059,2020-01-31,NA,1,2020,"337"
"Kentucky",21,"KY","Edmonson",21061,2020-01-31,NA,1,2020,"49"
"Kentucky",21,"KY","Elliott",21063,2020-01-31,NA,1,2020,"30"
"Kentucky",21,"KY","Estill",21065,2020-01-31,NA,1,2020,"27"
"Kentucky",21,"KY","Fayette",21067,2020-01-31,NA,1,2020,"728"
"Kentucky",21,"KY","Fleming",21069,2020-01-31,NA,1,2020,"57"
"Kentucky",21,"KY","Floyd",21071,2020-01-31,NA,1,2020,"112"
"Kentucky",21,"KY","Franklin",21073,2020-01-31,NA,1,2020,"633"
"Kentucky",21,"KY","Fulton",21075,2020-01-31,NA,1,2020,"19"
"Kentucky",21,"KY","Gallatin",21077,2020-01-31,NA,1,2020,"27"
"Kentucky",21,"KY","Garrard",21079,2020-01-31,NA,1,2020,"52"
"Kentucky",21,"KY","Grant",21081,2020-01-31,NA,1,2020,"80"
"Kentucky",21,"KY","Graves",21083,2020-01-31,NA,1,2020,"136"
"Kentucky",21,"KY","Grayson",21085,2020-01-31,NA,1,2020,"259"
"Kentucky",21,"KY","Green",21087,2020-01-31,NA,1,2020,"35"
"Kentucky",21,"KY","Greenup",21089,2020-01-31,NA,1,2020,"95"
"Kentucky",21,"KY","Hancock",21091,2020-01-31,NA,1,2020,"24"
"Kentucky",21,"KY","Hardin",21093,2020-01-31,NA,1,2020,"1268"
"Kentucky",21,"KY","Harlan",21095,2020-01-31,NA,1,2020,"115"
"Kentucky",21,"KY","Harrison",21097,2020-01-31,NA,1,2020,"56"
"Kentucky",21,"KY","Hart",21099,2020-01-31,NA,1,2020,"54"
"Kentucky",21,"KY","Henderson",21101,2020-01-31,NA,1,2020,"98"
"Kentucky",21,"KY","Henry",21103,2020-01-31,NA,1,2020,"48"
"Kentucky",21,"KY","Hickman",21105,2020-01-31,NA,1,2020,"14"
"Kentucky",21,"KY","Hopkins",21107,2020-01-31,NA,1,2020,"147"
"Kentucky",21,"KY","Jackson",21109,2020-01-31,NA,1,2020,"46"
"Kentucky",21,"KY","Jefferson",21111,2020-01-31,NA,1,2020,"2614"
"Kentucky",21,"KY","Jessamine",21113,2020-01-31,NA,1,2020,"129"
"Kentucky",21,"KY","Johnson",21115,2020-01-31,NA,1,2020,"92"
"Kentucky",21,"KY","Kenton",21117,2020-01-31,NA,1,2020,"319"
"Kentucky",21,"KY","Knott",21119,2020-01-31,NA,1,2020,"30"
"Kentucky",21,"KY","Knox",21121,2020-01-31,NA,1,2020,"54"
"Kentucky",21,"KY","Larue",21123,2020-01-31,NA,1,2020,"45"
"Kentucky",21,"KY","Laurel",21125,2020-01-31,NA,1,2020,"150"
"Kentucky",21,"KY","Lawrence",21127,2020-01-31,NA,1,2020,"52"
"Kentucky",21,"KY","Lee",21129,2020-01-31,NA,1,2020,"20"
"Kentucky",21,"KY","Leslie",21131,2020-01-31,NA,1,2020,"39"
"Kentucky",21,"KY","Letcher",21133,2020-01-31,NA,1,2020,"75"
"Kentucky",21,"KY","Lewis",21135,2020-01-31,NA,1,2020,"65"
"Kentucky",21,"KY","Lincoln",21137,2020-01-31,NA,1,2020,"115"
"Kentucky",21,"KY","Livingston",21139,2020-01-31,NA,1,2020,"48"
"Kentucky",21,"KY","Logan",21141,2020-01-31,NA,1,2020,"58"
"Kentucky",21,"KY","Lyon",21143,2020-01-31,NA,1,2020,"22"
"Kentucky",21,"KY","Madison",21151,2020-01-31,NA,1,2020,"222"
"Kentucky",21,"KY","Magoffin",21153,2020-01-31,NA,1,2020,"127"
"Kentucky",21,"KY","Marion",21155,2020-01-31,NA,1,2020,"79"
"Kentucky",21,"KY","Marshall",21157,2020-01-31,NA,1,2020,"193"
"Kentucky",21,"KY","Martin",21159,2020-01-31,NA,1,2020,"49"
"Kentucky",21,"KY","Mason",21161,2020-01-31,NA,1,2020,"49"
"Kentucky",21,"KY","McCracken",21145,2020-01-31,NA,1,2020,"278"
"Kentucky",21,"KY","McCreary",21147,2020-01-31,NA,1,2020,"38"
"Kentucky",21,"KY","McLean",21149,2020-01-31,NA,1,2020,"37"
"Kentucky",21,"KY","Meade",21163,2020-01-31,NA,1,2020,"80"
"Kentucky",21,"KY","Menifee",21165,2020-01-31,NA,1,2020,"52"
"Kentucky",21,"KY","Mercer",21167,2020-01-31,NA,1,2020,"71"
"Kentucky",21,"KY","Metcalfe",21169,2020-01-31,NA,1,2020,"65"
"Kentucky",21,"KY","Monroe",21171,2020-01-31,NA,1,2020,"35"
"Kentucky",21,"KY","Montgomery",21173,2020-01-31,NA,1,2020,"111"
"Kentucky",21,"KY","Morgan",21175,2020-01-31,NA,1,2020,"47"
"Kentucky",21,"KY","Muhlenberg",21177,2020-01-31,NA,1,2020,"154"
"Kentucky",21,"KY","Nelson",21179,2020-01-31,NA,1,2020,"185"
"Kentucky",21,"KY","Nicholas",21181,2020-01-31,NA,1,2020,"21"
"Kentucky",21,"KY","Ohio",21183,2020-01-31,NA,1,2020,"142"
"Kentucky",21,"KY","Oldham",21185,2020-01-31,NA,1,2020,"93"
"Kentucky",21,"KY","Owen",21187,2020-01-31,NA,1,2020,"29"
"Kentucky",21,"KY","Owsley",21189,2020-01-31,NA,1,2020,"9"
"Kentucky",21,"KY","Pendleton",21191,2020-01-31,NA,1,2020,"36"
"Kentucky",21,"KY","Perry",21193,2020-01-31,NA,1,2020,"95"
"Kentucky",21,"KY","Pike",21195,2020-01-31,NA,1,2020,"200"
"Kentucky",21,"KY","Powell",21197,2020-01-31,NA,1,2020,"54"
"Kentucky",21,"KY","Pulaski",21199,2020-01-31,NA,1,2020,"186"
"Kentucky",21,"KY","Robertson",21201,2020-01-31,NA,1,2020,"4"
"Kentucky",21,"KY","Rockcastle",21203,2020-01-31,NA,1,2020,"52"
"Kentucky",21,"KY","Rowan",21205,2020-01-31,NA,1,2020,"79"
