"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Minnesota",27,"MN","Kittson",27069,2020-01-31,NA,1,2020,15
"Minnesota",27,"MN","Marshall",27089,2020-01-31,NA,1,2020,78
"Minnesota",27,"MN","Norman",27107,2020-01-31,NA,1,2020,20
"Minnesota",27,"MN","Pennington",27113,2020-01-31,NA,1,2020,267
"Minnesota",27,"MN","Polk",27119,2020-01-31,NA,1,2020,88
"Minnesota",27,"MN","Red Lake",27125,2020-01-31,NA,1,2020,57
"Minnesota",27,"MN","Roseau",27135,2020-01-31,NA,1,2020,126
"Minnesota",27,"MN","Beltrami",27007,2020-01-31,NA,1,2020,157
"Minnesota",27,"MN","Clearwater",27029,2020-01-31,NA,1,2020,73
"Minnesota",27,"MN","Hubbard",27057,2020-01-31,NA,1,2020,96
"Minnesota",27,"MN","Lake of the Woods",27077,2020-01-31,NA,1,2020,15
"Minnesota",27,"MN","Mahnomen",27087,2020-01-31,NA,1,2020,14
"Minnesota",27,"MN","Aitkin",27001,2020-01-31,NA,1,2020,87
"Minnesota",27,"MN","Carlton",27017,2020-01-31,NA,1,2020,170
"Minnesota",27,"MN","Cook",27031,2020-01-31,NA,1,2020,19
"Minnesota",27,"MN","Itasca",27061,2020-01-31,NA,1,2020,323
"Minnesota",27,"MN","Koochiching",27071,2020-01-31,NA,1,2020,43
"Minnesota",27,"MN","Lake",27075,2020-01-31,NA,1,2020,63
"Minnesota",27,"MN","Saint Louis",27137,2020-01-31,NA,1,2020,755
"Minnesota",27,"MN","Becker",27005,2020-01-31,NA,1,2020,123
"Minnesota",27,"MN","Clay",27027,2020-01-31,NA,1,2020,110
"Minnesota",27,"MN","Douglas",27041,2020-01-31,NA,1,2020,103
"Minnesota",27,"MN","Grant",27051,2020-01-31,NA,1,2020,15
"Minnesota",27,"MN","Otter Tail",27111,2020-01-31,NA,1,2020,197
"Minnesota",27,"MN","Pope",27121,2020-01-31,NA,1,2020,34
"Minnesota",27,"MN","Stevens",27149,2020-01-31,NA,1,2020,19
"Minnesota",27,"MN","Traverse",27155,2020-01-31,NA,1,2020,13
"Minnesota",27,"MN","Wilkin",27167,2020-01-31,NA,1,2020,10
"Minnesota",27,"MN","Cass",27021,2020-01-31,NA,1,2020,138
"Minnesota",27,"MN","Crow Wing",27035,2020-01-31,NA,1,2020,237
"Minnesota",27,"MN","Morrison",27097,2020-01-31,NA,1,2020,185
"Minnesota",27,"MN","Todd",27153,2020-01-31,NA,1,2020,91
"Minnesota",27,"MN","Wadena",27159,2020-01-31,NA,1,2020,71
"Minnesota",27,"MN","Kandiyohi",27067,2020-01-31,NA,1,2020,165
"Minnesota",27,"MN","McLeod",27085,2020-01-31,NA,1,2020,143
"Minnesota",27,"MN","Meeker",27093,2020-01-31,NA,1,2020,95
"Minnesota",27,"MN","Renville",27129,2020-01-31,NA,1,2020,69
"Minnesota",27,"MN","Big Stone",27011,2020-01-31,NA,1,2020,11
"Minnesota",27,"MN","Chippewa",27023,2020-01-31,NA,1,2020,50
"Minnesota",27,"MN","Lac qui Parle",27073,2020-01-31,NA,1,2020,20
"Minnesota",27,"MN","Swift",27151,2020-01-31,NA,1,2020,87
"Minnesota",27,"MN","Yellow Medicine",27173,2020-01-31,NA,1,2020,34
"Minnesota",27,"MN","Chisago",27025,2020-01-31,NA,1,2020,328
"Minnesota",27,"MN","Isanti",27059,2020-01-31,NA,1,2020,242
"Minnesota",27,"MN","Kanabec",27065,2020-01-31,NA,1,2020,114
"Minnesota",27,"MN","Mille Lacs",27095,2020-01-31,NA,1,2020,165
"Minnesota",27,"MN","Pine",27115,2020-01-31,NA,1,2020,158
"Minnesota",27,"MN","Benton",27009,2020-01-31,NA,1,2020,207
"Minnesota",27,"MN","Sherburne",27141,2020-01-31,NA,1,2020,445
"Minnesota",27,"MN","Stearns",27145,2020-01-31,NA,1,2020,720
"Minnesota",27,"MN","Wright",27171,2020-01-31,NA,1,2020,575
"Minnesota",27,"MN","Cottonwood",27033,2020-01-31,NA,1,2020,58
"Minnesota",27,"MN","Jackson",27063,2020-01-31,NA,1,2020,49
"Minnesota",27,"MN","Lincoln",27081,2020-01-31,NA,1,2020,15
"Minnesota",27,"MN","Lyon",27083,2020-01-31,NA,1,2020,71
"Minnesota",27,"MN","Murray",27101,2020-01-31,NA,1,2020,35
"Minnesota",27,"MN","Nobles",27105,2020-01-31,NA,1,2020,81
"Minnesota",27,"MN","Pipestone",27117,2020-01-31,NA,1,2020,38
"Minnesota",27,"MN","Redwood",27127,2020-01-31,NA,1,2020,59
"Minnesota",27,"MN","Rock",27133,2020-01-31,NA,1,2020,11
"Minnesota",27,"MN","Blue Earth",27013,2020-01-31,NA,1,2020,261
"Minnesota",27,"MN","Brown",27015,2020-01-31,NA,1,2020,190
"Minnesota",27,"MN","Faribault",27043,2020-01-31,NA,1,2020,68
"Minnesota",27,"MN","Le Sueur",27079,2020-01-31,NA,1,2020,149
"Minnesota",27,"MN","Martin",27091,2020-01-31,NA,1,2020,81
"Minnesota",27,"MN","Nicollet",27103,2020-01-31,NA,1,2020,90
"Minnesota",27,"MN","Sibley",27143,2020-01-31,NA,1,2020,54
"Minnesota",27,"MN","Waseca",27161,2020-01-31,NA,1,2020,65
"Minnesota",27,"MN","Watonwan",27165,2020-01-31,NA,1,2020,61
