county,month,claims,,,,,,,,,,,,,
Kittson County,4/1/20,89,,,,,,,,,,,,,
Marshall County,4/1/20,319,,,,,,,,,,,,,
Norman County,4/1/20,246,,,,,,,,,,,,,
Pennington County,4/1/20,610,,,,,,,,,,,,,
Polk County,4/1/20,"1,014",,,,,,,,,,,,,
Red Lake County,4/1/20,159,,,,,,,,,,,,,
Roseau County,4/1/20,882,,,,,,,,,,,,,
Beltrami County,4/1/20,"2,267",,,,,,,,,,,,,
Clearwater County,4/1/20,510,,,,,,,,,,,,,
Hubbard County,4/1/20,"1,046",,,,,,,,,,,,,
Lake of the Woods County,4/1/20,215,,,,,,,,,,,,,
Mahnomen County,4/1/20,601,,,,,,,,,,,,,
Aitkin County,4/1/20,752,,,,,,,,,,,,,
Carlton County,4/1/20,"2,314",,,,,,,,,,,,,
Cook County,4/1/20,461,,,,,,,,,,,,,
Itasca County,4/1/20,"2,460",,,,,,,,,,,,,
Koochiching County,4/1/20,531,,,,,,,,,,,,,
Lake County,4/1/20,812,,,,,,,,,,,,,
Saint Louis County,4/1/20,"11,770",,,,,,,,,,,,,
Becker County,4/1/20,"1,922",,,,,,,,,,,,,
Clay County,4/1/20,"1,386",,,,,,,,,,,,,
Douglas County,4/1/20,"1,806",,,,,,,,,,,,,
Grant County,4/1/20,192,,,,,,,,,,,,,
Otter Tail County,4/1/20,"2,110",,,,,,,,,,,,,
Pope County,4/1/20,401,,,,,,,,,,,,,
Stevens County,4/1/20,209,,,,,,,,,,,,,
Traverse County,4/1/20,68,,,,,,,,,,,,,
Wilkin County,4/1/20,142,,,,,,,,,,,,,
Cass County,4/1/20,"1,941",,,,,,,,,,,,,
Crow Wing County,4/1/20,"3,616",,,,,,,,,,,,,
Morrison County,4/1/20,"1,824",,,,,,,,,,,,,
Todd County,4/1/20,961,,,,,,,,,,,,,
Wadena County,4/1/20,571,,,,,,,,,,,,,
Kandiyohi County,4/1/20,"1,576",,,,,,,,,,,,,
McLeod County,4/1/20,"1,703",,,,,,,,,,,,,
Meeker County,4/1/20,884,,,,,,,,,,,,,
Renville County,4/1/20,462,,,,,,,,,,,,,
Big Stone County,4/1/20,144,,,,,,,,,,,,,
Chippewa County,4/1/20,610,,,,,,,,,,,,,
Lac qui Parle County,4/1/20,197,,,,,,,,,,,,,
Swift County,4/1/20,404,,,,,,,,,,,,,
Yellow Medicine County,4/1/20,402,,,,,,,,,,,,,
Chisago County,4/1/20,"3,204",,,,,,,,,,,,,
Isanti County,4/1/20,"2,263",,,,,,,,,,,,,
Kanabec County,4/1/20,"1,046",,,,,,,,,,,,,
Mille Lacs County,4/1/20,"1,703",,,,,,,,,,,,,
