county,date,claims,,,,,,,,,,
Albany,3/28/20,"4,536",,,,,,,,,,
Allegany,3/28/20,520,,,,,,,,,,
Bronx,3/28/20,"23,722",,,,,,,,,,
Broome,3/28/20,"3,197",,,,,,,,,,
Cattaraugus,3/28/20,"1,486",,,,,,,,,,
Cayuga,3/28/20,"1,528",,,,,,,,,,
Chautauqua,3/28/20,"2,469",,,,,,,,,,
Chemung,3/28/20,"1,611",,,,,,,,,,
Chenango,3/28/20,614,,,,,,,,,,
Clinton,3/28/20,"1,355",,,,,,,,,,
Columbia,3/28/20,686,,,,,,,,,,
Cortland,3/28/20,913,,,,,,,,,,
Delaware,3/28/20,419,,,,,,,,,,
Dutchess,3/28/20,"4,925",,,,,,,,,,
Erie,3/28/20,"25,582",,,,,,,,,,
Essex,3/28/20,312,,,,,,,,,,
Franklin,3/28/20,756,,,,,,,,,,
Fulton,3/28/20,960,,,,,,,,,,
genesee,3/28/20,"1,308",,,,,,,,,,
Greene,3/28/20,781,,,,,,,,,,
Hamilton,3/28/20,312,,,,,,,,,,
Herkimer,3/28/20,"1,059",,,,,,,,,,
Jefferson,3/28/20,"1,952",,,,,,,,,,
Kings,3/28/20,"43,558",,,,,,,,,,
Lewis,3/28/20,358,,,,,,,,,,
Livingston,3/28/20,"1,338",,,,,,,,,,
Madison,3/28/20,"1,249",,,,,,,,,,
Monroe,3/28/20,"15,902",,,,,,,,,,
Montgomery,3/28/20,990,,,,,,,,,,
Nassau,3/28/20,"23,241",,,,,,,,,,
New York,3/28/20,"24,711",,,,,,,,,,
Niagara,3/28/20,"7,518",,,,,,,,,,
Oneida,3/28/20,"3,861",,,,,,,,,,
Onondaga,3/28/20,"9,744",,,,,,,,,,
Ontario,3/28/20,"2,207",,,,,,,,,,
Orange,3/28/20,"6,223",,,,,,,,,,
Orleans,3/28/20,824,,,,,,,,,,
Oswego,3/28/20,"2,125",,,,,,,,,,
Otsego,3/28/20,748,,,,,,,,,,
Putnam,3/28/20,"1,525",,,,,,,,,,
Queens,3/28/20,"44,348",,,,,,,,,,
Rensselaer,3/28/20,"2,543",,,,,,,,,,
Richmond,3/28/20,"7,459",,,,,,,,,,
Rockland,3/28/20,"3,698",,,,,,,,,,
Saratoga,3/28/20,"4,472",,,,,,,,,,
Schenectady,3/28/20,"3,003",,,,,,,,,,
Schoharie,3/28/20,382,,,,,,,,,,
Schuyler,3/28/20,384,,,,,,,,,,
Seneca,3/28/20,567,,,,,,,,,,
St. Lawrence,3/28/20,"1,345",,,,,,,,,,
Steuben,3/28/20,"2,036",,,,,,,,,,
Suffolk,3/28/20,"29,149",,,,,,,,,,
Sullivan,3/28/20,947,,,,,,,,,,
Tioga,3/28/20,818,,,,,,,,,,
Tompkins,3/28/20,"1,486",,,,,,,,,,
Ulster,3/28/20,"3,445",,,,,,,,,,
Warren,3/28/20,"1,541",,,,,,,,,,
Washington,3/28/20,"1,082",,,,,,,,,,
Wayne,3/28/20,"1,611",,,,,,,,,,
Westchester,3/28/20,"13,488",,,,,,,,,,
Wyoming,3/28/20,837,,,,,,,,,,
Yates,3/28/20,443,,,,,,,,,,
Out of State,3/28/20,"16,815",,,,,,,,,,
Albany,3/21/20,934,,,,,,,,,,
Allegany,3/21/20,137,,,,,,,,,,
