county,1/4/20,1/11/20,1/18/20,1/25/20,2/1/20,2/8/20,2/15/20,2/22/20,2/29/20,3/7/20,3/14/20,3/21/20,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,5/16/20,5/23/20,5/30/20,6/6/20
Adams,58,36,26,26,19,33,38,32,24,17,11,201,338,355,390,186,131,110,64,62,83,56,50
Allen,88,115,78,74,96,67,74,72,79,69,59,"1,562","3,311","2,225","1,761",1271,809,532,460,394,416,268,267
Ashland,53,50,34,41,37,34,35,31,27,21,18,693,1070,775,554,349,262,242,194,139,134,106,74
Ashtabula,122,91,60,76,65,54,53,115,81,41,57,1298,"2,261",1470,912,624,632,402,289,269,240,220,273
Athens,32,41,33,31,33,24,34,17,21,13,23,861,792,701,439,295,269,195,212,129,129,101,145
Auglaize,24,30,15,17,54,18,22,13,15,16,16,611,1508,"1,166","1,021",849,479,270,205,187,223,164,136
Belmont,105,81,67,52,52,63,56,51,45,59,65,759,908,778,593,460,341,206,200,171,124,117,111
Brown,50,54,31,24,27,28,33,19,30,28,14,480,731,610,540,376,226,181,167,137,104,105,88
Butler,210,245,165,137,143,190,157,160,158,129,151,"5,821","7,537","6,768","4,465","3,430","2,608","1,889","1,800","1,375","1,273",983,927
Carroll,47,53,21,113,45,33,20,19,53,32,29,379,660,442,414,232,233,182,97,169,149,100,95
Champaign,28,51,29,22,114,19,10,12,9,12,23,404,835,950,855,691,449,206,133,121,144,98,146
Clark,119,186,84,63,116,67,65,36,60,54,70,1992,"3,409","2,387","2,060",1378,"1,019",620,487,405,410,312,501
Clermont,153,123,102,102,79,108,82,96,82,90,111,"3,198","3,945","3,456","2,497",1687,"1,317",857,876,646,487,434,422
Clinton,38,29,24,17,13,22,19,11,19,15,21,493,654,694,868,380,246,169,137,125,125,100,86
Columbiana,77,67,69,93,68,52,62,54,71,61,65,1553,"2,372",1679,"1,122",780,660,394,416,384,275,267,259
Coshocton,107,37,46,29,28,26,21,46,37,23,14,411,661,464,383,215,230,126,124,205,97,109,101
Crawford,66,38,29,24,22,24,24,17,28,27,24,775,1789,926,652,448,331,245,204,151,152,125,112
Cuyahoga,845,991,853,732,721,682,645,528,608,661,919,"24,883","25,773","22,968","15,154","10,728","9,887","6,912","5,649",5277,"5,013","4,087","4,834"
Darke,37,37,27,34,23,25,21,24,20,17,15,490,1500,"1,219",842,393,351,276,350,219,226,350,176
Defiance,37,31,27,21,30,18,52,26,17,23,20,429,1666,887,565,332,306,197,154,129,141,129,105
Delaware,68,77,61,43,50,60,53,38,40,45,76,"2,901","2,935","2,748","2,167",1562,1392,720,548,539,482,405,370
Erie,135,89,135,75,58,44,70,45,54,57,48,1795,"3,696",1992,"1,293",764,593,492,373,357,267,216,262
Fairfield,157,74,73,58,62,61,59,57,41,44,63,"2,353","2,848","2,902","1,869",1202,1040,643,498,463,443,387,321
Fayette,28,11,9,12,8,12,7,7,5,35,26,316,651,617,468,232,216,127,101,87,91,68,62
Franklin,607,586,551,470,552,492,456,441,415,502,674,"23,527","23,295","23,327","17,688","12,284",10389,"6,759","5,490","5,069","4,788","4,071","4,074"
Fulton,95,64,51,47,42,50,51,37,74,30,33,611,"2,210",1063,631,411,277,214,194,168,148,97,89
Gallia,53,39,15,17,13,17,23,15,14,21,22,258,413,334,194,141,130,62,57,57,47,50,43
Geauga,64,63,40,52,37,23,48,26,28,33,48,1347,1442,1244,746,502,499,342,216,253,232,158,175
Greene,94,66,54,37,42,50,51,35,48,65,58,"2,533","3,122","2,576","1,800","1,138",1042,716,569,505,432,368,335
Guernsey,68,49,36,64,42,24,35,23,32,29,25,538,710,643,425,270,241,204,198,142,139,167,143
Hamilton,486,481,380,308,321,401,330,337,289,324,412,"13,053","14,075","14,743","9,410","6,821","5,737","4,192","3,706","3,049","2,668","2,196","2,439"
Hancock,44,46,32,24,33,26,31,25,68,35,35,"1,212","2,963","2,075","1,137",738,567,391,306,315,275,204,183
Hardin,22,17,16,14,13,17,11,15,12,15,13,321,854,719,568,459,317,167,157,129,115,108,87
Harrison,27,17,15,20,9,8,8,11,15,21,16,156,233,175,121,99,94,68,56,51,48,34,34
Henry,53,40,23,21,27,23,56,53,20,30,16,365,"1,170",578,382,215,165,106,116,90,89,67,97
Highland,40,32,20,16,18,29,28,24,18,20,24,474,928,728,770,378,272,165,147,105,96,124,71
Hocking,39,33,12,17,29,20,15,22,14,11,11,345,634,558,292,239,201,144,75,86,71,72,55
Holmes,13,13,8,12,4,5,4,6,4,4,6,235,477,344,168,119,82,60,41,60,47,24,26
Huron,120,86,90,62,59,56,65,51,44,47,41,946,"2,503",1392,782,465,406,319,248,281,194,137,178
Jackson,138,51,23,24,25,36,59,26,17,16,55,261,564,454,289,171,175,122,89,97,124,87,75
Jefferson,67,49,35,59,57,57,53,34,41,51,61,665,917,830,606,481,403,245,219,172,123,120,121
Knox,52,67,35,27,24,18,28,14,85,54,22,784,1092,935,592,388,329,180,171,122,141,125,209
Lake,220,183,146,151,141,135,134,113,110,122,144,"5,035","5,299","4,252","2,781",1863,1730,"1,096",915,923,825,613,647
Lawrence,30,35,32,19,20,20,19,13,12,15,13,312,436,540,438,262,236,132,112,92,78,95,64
Licking,118,129,97,72,84,63,61,74,90,72,93,"2,744","3,076","2,793","2,158","1,199","1,107",704,611,560,461,412,392
Logan,32,32,21,29,27,7,17,21,18,14,15,560,"1,139",1800,"1,999",1434,831,294,216,173,195,124,113
Lorain,371,415,243,255,286,243,255,195,182,225,177,"6,254","8,638","5,967","3,939",2671,2337,1756,1475,1368,1093,931,952
Lucas,436,444,383,420,396,305,290,288,"2,648",433,303,"8,690","17,393","10,932","7,436",4993,"3,713","2,626",2211,"2,184",1927,1456,1416
Madison,22,26,14,9,15,11,11,11,7,7,12,480,691,558,557,407,260,174,113,98,105,83,68
