"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Rhode Island",44,"RI",NA,NA,2020-01-04,1,1,2020,1950
"Rhode Island",44,"RI",NA,NA,2020-01-11,2,1,2020,1791
"Rhode Island",44,"RI",NA,NA,2020-01-18,3,1,2020,1168
"Rhode Island",44,"RI",NA,NA,2020-01-25,4,1,2020,1045
"Rhode Island",44,"RI",NA,NA,2020-02-01,5,2,2020,966
"Rhode Island",44,"RI",NA,NA,2020-02-08,6,2,2020,944
"Rhode Island",44,"RI",NA,NA,2020-02-15,7,2,2020,943
"Rhode Island",44,"RI",NA,NA,2020-02-22,8,2,2020,1910
"Rhode Island",44,"RI",NA,NA,2020-02-29,9,2,2020,822
"Rhode Island",44,"RI",NA,NA,2020-03-07,10,3,2020,685
"Rhode Island",44,"RI",NA,NA,2020-03-14,11,3,2020,1092
"Rhode Island",44,"RI",NA,NA,2020-03-21,12,3,2020,37171
"Rhode Island",44,"RI",NA,NA,2020-03-28,13,3,2020,27599
"Rhode Island",44,"RI",NA,NA,2020-04-04,14,4,2020,28072
"Rhode Island",44,"RI",NA,NA,2020-04-11,15,4,2020,22309
"Rhode Island",44,"RI",NA,NA,2020-04-18,16,4,2020,17930
"Rhode Island",44,"RI",NA,NA,2020-04-25,17,4,2020,12921
"Rhode Island",44,"RI",NA,NA,2020-05-02,18,5,2020,9460
"Rhode Island",44,"RI",NA,NA,2020-05-09,19,5,2020,6116
"Rhode Island",44,"RI",NA,NA,2020-05-16,20,5,2020,3766
"Rhode Island",44,"RI",NA,NA,2020-05-23,21,5,2020,2847
"Rhode Island",44,"RI",NA,NA,2020-05-30,22,5,2020,2675
