"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Texas",48,"TX","Anderson",48001,2020-03-07,10,3,2020,20
"Texas",48,"TX","Andrews",48003,2020-03-07,10,3,2020,1
"Texas",48,"TX","Angelina",48005,2020-03-07,10,3,2020,37
"Texas",48,"TX","Aransas",48007,2020-03-07,10,3,2020,9
"Texas",48,"TX","Archer",48009,2020-03-07,10,3,2020,2
"Texas",48,"TX","Armstrong",48011,2020-03-07,10,3,2020,2
"Texas",48,"TX","Atascosa",48013,2020-03-07,10,3,2020,20
"Texas",48,"TX","Austin",48015,2020-03-07,10,3,2020,17
"Texas",48,"TX","Bailey",48017,2020-03-07,10,3,2020,3
"Texas",48,"TX","Bandera",48019,2020-03-07,10,3,2020,5
"Texas",48,"TX","Bastrop",48021,2020-03-07,10,3,2020,25
"Texas",48,"TX","Baylor",48023,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Bee",48025,2020-03-07,10,3,2020,20
"Texas",48,"TX","Bell",48027,2020-03-07,10,3,2020,179
"Texas",48,"TX","Bexar",48029,2020-03-07,10,3,2020,762
"Texas",48,"TX","Blanco",48031,2020-03-07,10,3,2020,1
"Texas",48,"TX","Borden",48033,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Bosque",48035,2020-03-07,10,3,2020,2
"Texas",48,"TX","Bowie",48037,2020-03-07,10,3,2020,36
"Texas",48,"TX","Brazoria",48039,2020-03-07,10,3,2020,269
"Texas",48,"TX","Brazos",48041,2020-03-07,10,3,2020,62
"Texas",48,"TX","Brewster",48043,2020-03-07,10,3,2020,2
"Texas",48,"TX","Briscoe",48045,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Brooks",48047,2020-03-07,10,3,2020,4
"Texas",48,"TX","Brown",48049,2020-03-07,10,3,2020,42
"Texas",48,"TX","Burleson",48051,2020-03-07,10,3,2020,5
"Texas",48,"TX","Burnet",48053,2020-03-07,10,3,2020,3
"Texas",48,"TX","Caldwell",48055,2020-03-07,10,3,2020,15
"Texas",48,"TX","Calhoun",48057,2020-03-07,10,3,2020,7
"Texas",48,"TX","Callahan",48059,2020-03-07,10,3,2020,2
"Texas",48,"TX","Cameron",48061,2020-03-07,10,3,2020,352
"Texas",48,"TX","Camp",48063,2020-03-07,10,3,2020,9
"Texas",48,"TX","Carson",48065,2020-03-07,10,3,2020,3
"Texas",48,"TX","Cass",48067,2020-03-07,10,3,2020,31
"Texas",48,"TX","Castro",48069,2020-03-07,10,3,2020,1
"Texas",48,"TX","Chambers",48071,2020-03-07,10,3,2020,36
"Texas",48,"TX","Cherokee",48073,2020-03-07,10,3,2020,30
"Texas",48,"TX","Childress",48075,2020-03-07,10,3,2020,1
"Texas",48,"TX","Clay",48077,2020-03-07,10,3,2020,2
"Texas",48,"TX","Cochran",48079,2020-03-07,10,3,2020,1
"Texas",48,"TX","Coke",48081,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Coleman",48083,2020-03-07,10,3,2020,3
"Texas",48,"TX","Collin",48085,2020-03-07,10,3,2020,554
"Texas",48,"TX","Collingsworth",48087,2020-03-07,10,3,2020,1
"Texas",48,"TX","Colorado",48089,2020-03-07,10,3,2020,6
"Texas",48,"TX","Comal",48091,2020-03-07,10,3,2020,93
"Texas",48,"TX","Comanche",48093,2020-03-07,10,3,2020,4
"Texas",48,"TX","Concho",48095,2020-03-07,10,3,2020,1
"Texas",48,"TX","Cooke",48097,2020-03-07,10,3,2020,10
"Texas",48,"TX","Coryell",48099,2020-03-07,10,3,2020,27
"Texas",48,"TX","Cottle",48101,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Crane",48103,2020-03-07,10,3,2020,2
"Texas",48,"TX","Crockett",48105,2020-03-07,10,3,2020,3
"Texas",48,"TX","Crosby",48107,2020-03-07,10,3,2020,2
"Texas",48,"TX","Culberson",48109,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Dallam",48111,2020-03-07,10,3,2020,1
"Texas",48,"TX","Dallas",48113,2020-03-07,10,3,2020,1350
"Texas",48,"TX","Dawson",48115,2020-03-07,10,3,2020,3
"Texas",48,"TX","De Witt",48123,2020-03-07,10,3,2020,8
"Texas",48,"TX","Deaf Smith",48117,2020-03-07,10,3,2020,4
"Texas",48,"TX","Delta",48119,2020-03-07,10,3,2020,1
"Texas",48,"TX","Denton",48121,2020-03-07,10,3,2020,572
"Texas",48,"TX","Dickens",48125,2020-03-07,10,3,2020,1
"Texas",48,"TX","Dimmit",48127,2020-03-07,10,3,2020,3
"Texas",48,"TX","Donley",48129,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Duval",48131,2020-03-07,10,3,2020,19
"Texas",48,"TX","Eastland",48133,2020-03-07,10,3,2020,5
"Texas",48,"TX","Ector",48135,2020-03-07,10,3,2020,84
"Texas",48,"TX","Edwards",48137,2020-03-07,10,3,2020,NA
"Texas",48,"TX","El Paso",48141,2020-03-07,10,3,2020,335
"Texas",48,"TX","Ellis",48139,2020-03-07,10,3,2020,144
"Texas",48,"TX","Erath",48143,2020-03-07,10,3,2020,11
"Texas",48,"TX","Falls",48145,2020-03-07,10,3,2020,7
"Texas",48,"TX","Fannin",48147,2020-03-07,10,3,2020,9
"Texas",48,"TX","Fayette",48149,2020-03-07,10,3,2020,8
"Texas",48,"TX","Fisher",48151,2020-03-07,10,3,2020,1
"Texas",48,"TX","Floyd",48153,2020-03-07,10,3,2020,3
"Texas",48,"TX","Foard",48155,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Fort Bend",48157,2020-03-07,10,3,2020,357
"Texas",48,"TX","Franklin",48159,2020-03-07,10,3,2020,2
"Texas",48,"TX","Freestone",48161,2020-03-07,10,3,2020,13
"Texas",48,"TX","Frio",48163,2020-03-07,10,3,2020,11
"Texas",48,"TX","Gaines",48165,2020-03-07,10,3,2020,2
"Texas",48,"TX","Galveston",48167,2020-03-07,10,3,2020,197
"Texas",48,"TX","Garza",48169,2020-03-07,10,3,2020,4
"Texas",48,"TX","Gillespie",48171,2020-03-07,10,3,2020,3
"Texas",48,"TX","Glasscock",48173,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Goliad",48175,2020-03-07,10,3,2020,4
"Texas",48,"TX","Gonzales",48177,2020-03-07,10,3,2020,8
"Texas",48,"TX","Gray",48179,2020-03-07,10,3,2020,7
"Texas",48,"TX","Grayson",48181,2020-03-07,10,3,2020,49
"Texas",48,"TX","Gregg",48183,2020-03-07,10,3,2020,72
"Texas",48,"TX","Grimes",48185,2020-03-07,10,3,2020,43
"Texas",48,"TX","Guadalupe",48187,2020-03-07,10,3,2020,61
"Texas",48,"TX","Hale",48189,2020-03-07,10,3,2020,15
"Texas",48,"TX","Hall",48191,2020-03-07,10,3,2020,1
"Texas",48,"TX","Hamilton",48193,2020-03-07,10,3,2020,1
"Texas",48,"TX","Hansford",48195,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Hardeman",48197,2020-03-07,10,3,2020,2
"Texas",48,"TX","Hardin",48199,2020-03-07,10,3,2020,52
"Texas",48,"TX","Harris",48201,2020-03-07,10,3,2020,2921
"Texas",48,"TX","Harrison",48203,2020-03-07,10,3,2020,57
"Texas",48,"TX","Hartley",48205,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Haskell",48207,2020-03-07,10,3,2020,4
"Texas",48,"TX","Hays",48209,2020-03-07,10,3,2020,65
"Texas",48,"TX","Hemphill",48211,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Henderson",48213,2020-03-07,10,3,2020,35
"Texas",48,"TX","Hidalgo",48215,2020-03-07,10,3,2020,966
"Texas",48,"TX","Hill",48217,2020-03-07,10,3,2020,17
"Texas",48,"TX","Hockley",48219,2020-03-07,10,3,2020,10
"Texas",48,"TX","Hood",48221,2020-03-07,10,3,2020,11
"Texas",48,"TX","Hopkins",48223,2020-03-07,10,3,2020,18
"Texas",48,"TX","Houston",48225,2020-03-07,10,3,2020,30
"Texas",48,"TX","Howard",48227,2020-03-07,10,3,2020,13
"Texas",48,"TX","Hudspeth",48229,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Hunt",48231,2020-03-07,10,3,2020,49
"Texas",48,"TX","Hutchinson",48233,2020-03-07,10,3,2020,5
"Texas",48,"TX","Irion",48235,2020-03-07,10,3,2020,1
"Texas",48,"TX","Jack",48237,2020-03-07,10,3,2020,2
"Texas",48,"TX","Jackson",48239,2020-03-07,10,3,2020,6
"Texas",48,"TX","Jasper",48241,2020-03-07,10,3,2020,42
"Texas",48,"TX","Jeff Davis",48243,2020-03-07,10,3,2020,1
"Texas",48,"TX","Jefferson",48245,2020-03-07,10,3,2020,355
"Texas",48,"TX","Jim Hogg",48247,2020-03-07,10,3,2020,3
"Texas",48,"TX","Jim Wells",48249,2020-03-07,10,3,2020,60
"Texas",48,"TX","Johnson",48251,2020-03-07,10,3,2020,64
"Texas",48,"TX","Jones",48253,2020-03-07,10,3,2020,18
"Texas",48,"TX","Karnes",48255,2020-03-07,10,3,2020,13
"Texas",48,"TX","Kaufman",48257,2020-03-07,10,3,2020,66
"Texas",48,"TX","Kendall",48259,2020-03-07,10,3,2020,13
"Texas",48,"TX","Kenedy",48261,2020-03-07,10,3,2020,NA
"Texas",48,"TX","Kent",48263,2020-03-07,10,3,2020,NA
