"state","state_fips","state_short","county","county_fips","date","week","month","year","claims"
"Utah",49,"UT","Beaver",49001,2019-01-05,1,1,2019,2
"Utah",49,"UT","Beaver",49001,2020-01-04,1,1,2020,0
"Utah",49,"UT","Box Elder",49003,2019-01-05,1,1,2019,62
"Utah",49,"UT","Box Elder",49003,2020-01-04,1,1,2020,26
"Utah",49,"UT","Cache",49005,2019-01-05,1,1,2019,55
"Utah",49,"UT","Cache",49005,2020-01-04,1,1,2020,44
"Utah",49,"UT","Carbon",49007,2019-01-05,1,1,2019,12
"Utah",49,"UT","Carbon",49007,2020-01-04,1,1,2020,8
"Utah",49,"UT","Daggett",49009,2019-01-05,1,1,2019,2
"Utah",49,"UT","Daggett",49009,2020-01-04,1,1,2020,2
"Utah",49,"UT","Davis",49011,2019-01-05,1,1,2019,289
"Utah",49,"UT","Davis",49011,2020-01-04,1,1,2020,109
"Utah",49,"UT","Duchesne",49013,2019-01-05,1,1,2019,15
"Utah",49,"UT","Duchesne",49013,2020-01-04,1,1,2020,19
"Utah",49,"UT","Emery",49015,2019-01-05,1,1,2019,16
"Utah",49,"UT","Emery",49015,2020-01-04,1,1,2020,5
"Utah",49,"UT","Garfield",49017,2019-01-05,1,1,2019,17
"Utah",49,"UT","Garfield",49017,2020-01-04,1,1,2020,8
"Utah",49,"UT","Grand",49019,2019-01-05,1,1,2019,59
"Utah",49,"UT","Grand",49019,2020-01-04,1,1,2020,32
"Utah",49,"UT","Iron",49021,2019-01-05,1,1,2019,30
"Utah",49,"UT","Iron",49021,2020-01-04,1,1,2020,28
"Utah",49,"UT","Juab",49023,2019-01-05,1,1,2019,11
"Utah",49,"UT","Juab",49023,2020-01-04,1,1,2020,13
"Utah",49,"UT","Kane",49025,2019-01-05,1,1,2019,15
"Utah",49,"UT","Kane",49025,2020-01-04,1,1,2020,1
"Utah",49,"UT","Millard",49027,2019-01-05,1,1,2019,11
"Utah",49,"UT","Millard",49027,2020-01-04,1,1,2020,3
"Utah",49,"UT","Morgan",49029,2019-01-05,1,1,2019,6
"Utah",49,"UT","Morgan",49029,2020-01-04,1,1,2020,6
"Utah",49,"UT","Out of State",NA,2019-01-05,1,1,2019,98
"Utah",49,"UT","Out of State",NA,2020-01-04,1,1,2020,78
"Utah",49,"UT","Piute",49031,2019-01-05,1,1,2019,1
"Utah",49,"UT","Piute",49031,2020-01-04,1,1,2020,0
"Utah",49,"UT","Rich",49033,2019-01-05,1,1,2019,1
"Utah",49,"UT","Rich",49033,2020-01-04,1,1,2020,4
"Utah",49,"UT","Salt Lake",49035,2019-01-05,1,1,2019,596
"Utah",49,"UT","Salt Lake",49035,2020-01-04,1,1,2020,537
"Utah",49,"UT","San Juan",49037,2019-01-05,1,1,2019,16
"Utah",49,"UT","San Juan",49037,2020-01-04,1,1,2020,16
"Utah",49,"UT","Sanpete",49039,2019-01-05,1,1,2019,17
"Utah",49,"UT","Sanpete",49039,2020-01-04,1,1,2020,8
"Utah",49,"UT","Sevier",49041,2019-01-05,1,1,2019,28
"Utah",49,"UT","Sevier",49041,2020-01-04,1,1,2020,6
"Utah",49,"UT","Summit",49043,2019-01-05,1,1,2019,15
"Utah",49,"UT","Summit",49043,2020-01-04,1,1,2020,9
"Utah",49,"UT","Tooele",49045,2019-01-05,1,1,2019,47
"Utah",49,"UT","Tooele",49045,2020-01-04,1,1,2020,30
"Utah",49,"UT","Uintah",49047,2019-01-05,1,1,2019,37
"Utah",49,"UT","Uintah",49047,2020-01-04,1,1,2020,37
"Utah",49,"UT","Unknown",NA,2019-01-05,1,1,2019,0
"Utah",49,"UT","Unknown",NA,2020-01-04,1,1,2020,0
"Utah",49,"UT","Utah",49049,2019-01-05,1,1,2019,294
"Utah",49,"UT","Utah",49049,2020-01-04,1,1,2020,253
"Utah",49,"UT","Wasatch",49051,2019-01-05,1,1,2019,13
"Utah",49,"UT","Wasatch",49051,2020-01-04,1,1,2020,9
"Utah",49,"UT","Washington",49053,2019-01-05,1,1,2019,85
"Utah",49,"UT","Washington",49053,2020-01-04,1,1,2020,127
"Utah",49,"UT","Wayne",49055,2019-01-05,1,1,2019,11
"Utah",49,"UT","Wayne",49055,2020-01-04,1,1,2020,5
"Utah",49,"UT","Weber",49057,2019-01-05,1,1,2019,705
"Utah",49,"UT","Weber",49057,2020-01-04,1,1,2020,134
"Utah",49,"UT","Beaver",49001,2019-01-12,2,1,2019,3
"Utah",49,"UT","Beaver",49001,2020-01-11,2,1,2020,4
"Utah",49,"UT","Box Elder",49003,2019-01-12,2,1,2019,76
"Utah",49,"UT","Box Elder",49003,2020-01-11,2,1,2020,26
"Utah",49,"UT","Cache",49005,2019-01-12,2,1,2019,61
"Utah",49,"UT","Cache",49005,2020-01-11,2,1,2020,48
"Utah",49,"UT","Carbon",49007,2019-01-12,2,1,2019,26
"Utah",49,"UT","Carbon",49007,2020-01-11,2,1,2020,14
"Utah",49,"UT","Daggett",49009,2019-01-12,2,1,2019,2
"Utah",49,"UT","Daggett",49009,2020-01-11,2,1,2020,3
"Utah",49,"UT","Davis",49011,2019-01-12,2,1,2019,289
"Utah",49,"UT","Davis",49011,2020-01-11,2,1,2020,148
"Utah",49,"UT","Duchesne",49013,2019-01-12,2,1,2019,24
"Utah",49,"UT","Duchesne",49013,2020-01-11,2,1,2020,21
"Utah",49,"UT","Emery",49015,2019-01-12,2,1,2019,18
"Utah",49,"UT","Emery",49015,2020-01-11,2,1,2020,11
"Utah",49,"UT","Garfield",49017,2019-01-12,2,1,2019,26
"Utah",49,"UT","Garfield",49017,2020-01-11,2,1,2020,16
"Utah",49,"UT","Grand",49019,2019-01-12,2,1,2019,49
"Utah",49,"UT","Grand",49019,2020-01-11,2,1,2020,33
"Utah",49,"UT","Iron",49021,2019-01-12,2,1,2019,43
"Utah",49,"UT","Iron",49021,2020-01-11,2,1,2020,22
"Utah",49,"UT","Juab",49023,2019-01-12,2,1,2019,7
"Utah",49,"UT","Juab",49023,2020-01-11,2,1,2020,7
"Utah",49,"UT","Kane",49025,2019-01-12,2,1,2019,9
"Utah",49,"UT","Kane",49025,2020-01-11,2,1,2020,5
"Utah",49,"UT","Millard",49027,2019-01-12,2,1,2019,10
"Utah",49,"UT","Millard",49027,2020-01-11,2,1,2020,8
"Utah",49,"UT","Morgan",49029,2019-01-12,2,1,2019,6
"Utah",49,"UT","Morgan",49029,2020-01-11,2,1,2020,3
"Utah",49,"UT","Out of State",NA,2019-01-12,2,1,2019,117
"Utah",49,"UT","Out of State",NA,2020-01-11,2,1,2020,122
"Utah",49,"UT","Piute",49031,2019-01-12,2,1,2019,0
"Utah",49,"UT","Piute",49031,2020-01-11,2,1,2020,0
"Utah",49,"UT","Rich",49033,2019-01-12,2,1,2019,2
"Utah",49,"UT","Rich",49033,2020-01-11,2,1,2020,1
"Utah",49,"UT","Salt Lake",49035,2019-01-12,2,1,2019,701
"Utah",49,"UT","Salt Lake",49035,2020-01-11,2,1,2020,670
"Utah",49,"UT","San Juan",49037,2019-01-12,2,1,2019,25
"Utah",49,"UT","San Juan",49037,2020-01-11,2,1,2020,24
"Utah",49,"UT","Sanpete",49039,2019-01-12,2,1,2019,18
"Utah",49,"UT","Sanpete",49039,2020-01-11,2,1,2020,18
"Utah",49,"UT","Sevier",49041,2019-01-12,2,1,2019,49
"Utah",49,"UT","Sevier",49041,2020-01-11,2,1,2020,20
"Utah",49,"UT","Summit",49043,2019-01-12,2,1,2019,23
"Utah",49,"UT","Summit",49043,2020-01-11,2,1,2020,16
"Utah",49,"UT","Tooele",49045,2019-01-12,2,1,2019,59
"Utah",49,"UT","Tooele",49045,2020-01-11,2,1,2020,40
"Utah",49,"UT","Uintah",49047,2019-01-12,2,1,2019,53
"Utah",49,"UT","Uintah",49047,2020-01-11,2,1,2020,47
"Utah",49,"UT","Unknown",NA,2019-01-12,2,1,2019,0
"Utah",49,"UT","Unknown",NA,2020-01-11,2,1,2020,0
"Utah",49,"UT","Utah",49049,2019-01-12,2,1,2019,291
"Utah",49,"UT","Utah",49049,2020-01-11,2,1,2020,297
"Utah",49,"UT","Wasatch",49051,2019-01-12,2,1,2019,23
"Utah",49,"UT","Wasatch",49051,2020-01-11,2,1,2020,15
"Utah",49,"UT","Washington",49053,2019-01-12,2,1,2019,105
"Utah",49,"UT","Washington",49053,2020-01-11,2,1,2020,89
"Utah",49,"UT","Wayne",49055,2019-01-12,2,1,2019,11
"Utah",49,"UT","Wayne",49055,2020-01-11,2,1,2020,5
"Utah",49,"UT","Weber",49057,2019-01-12,2,1,2019,663
"Utah",49,"UT","Weber",49057,2020-01-11,2,1,2020,159
"Utah",49,"UT","Beaver",49001,2019-01-19,3,1,2019,1
"Utah",49,"UT","Beaver",49001,2020-01-18,3,1,2020,3
"Utah",49,"UT","Box Elder",49003,2019-01-19,3,1,2019,33
"Utah",49,"UT","Box Elder",49003,2020-01-18,3,1,2020,26
"Utah",49,"UT","Cache",49005,2019-01-19,3,1,2019,47
"Utah",49,"UT","Cache",49005,2020-01-18,3,1,2020,38
"Utah",49,"UT","Carbon",49007,2019-01-19,3,1,2019,9
"Utah",49,"UT","Carbon",49007,2020-01-18,3,1,2020,7
"Utah",49,"UT","Daggett",49009,2019-01-19,3,1,2019,1
"Utah",49,"UT","Daggett",49009,2020-01-18,3,1,2020,0
"Utah",49,"UT","Davis",49011,2019-01-19,3,1,2019,194
"Utah",49,"UT","Davis",49011,2020-01-18,3,1,2020,101
"Utah",49,"UT","Duchesne",49013,2019-01-19,3,1,2019,14
"Utah",49,"UT","Duchesne",49013,2020-01-18,3,1,2020,12
"Utah",49,"UT","Emery",49015,2019-01-19,3,1,2019,4
"Utah",49,"UT","Emery",49015,2020-01-18,3,1,2020,4
"Utah",49,"UT","Garfield",49017,2019-01-19,3,1,2019,10
"Utah",49,"UT","Garfield",49017,2020-01-18,3,1,2020,11
"Utah",49,"UT","Grand",49019,2019-01-19,3,1,2019,22
"Utah",49,"UT","Grand",49019,2020-01-18,3,1,2020,29
"Utah",49,"UT","Iron",49021,2019-01-19,3,1,2019,27
"Utah",49,"UT","Iron",49021,2020-01-18,3,1,2020,14
"Utah",49,"UT","Juab",49023,2019-01-19,3,1,2019,8
"Utah",49,"UT","Juab",49023,2020-01-18,3,1,2020,6
"Utah",49,"UT","Kane",49025,2019-01-19,3,1,2019,9
"Utah",49,"UT","Kane",49025,2020-01-18,3,1,2020,3
"Utah",49,"UT","Millard",49027,2019-01-19,3,1,2019,11
"Utah",49,"UT","Millard",49027,2020-01-18,3,1,2020,2
"Utah",49,"UT","Morgan",49029,2019-01-19,3,1,2019,4
"Utah",49,"UT","Morgan",49029,2020-01-18,3,1,2020,5
"Utah",49,"UT","Out of State",NA,2019-01-19,3,1,2019,78
