"county_fips","median_household_income","NAME"
"01117",71230,"Shelby County, Alabama"
"01121",40315,"Talladega County, Alabama"
"01125",54459,"Tuscaloosa County, Alabama"
"04021",59058,"Pinal County, Arizona"
"06045",51830,"Mendocino County, California"
"06059",89759,"Orange County, California"
"06067",69767,"Sacramento County, California"
"12017",39964,"Citrus County, Florida"
"17143",56138,"Peoria County, Illinois"
"18059",71653,"Hancock County, Indiana"
"18067",55868,"Howard County, Indiana"
"22105",48205,"Tangipahoa Parish, Louisiana"
"25003",60476,"Berkshire County, Massachusetts"
"27139",100963,"Scott County, Minnesota"
"36087",89812,"Rockland County, New York"
"36105",52274,"Sullivan County, New York"
"37037",74959,"Chatham County, North Carolina"
"37085",51022,"Harnett County, North Carolina"
"37195",42769,"Wilson County, North Carolina"
"39007",46349,"Ashtabula County, Ohio"
"39013",50250,"Belmont County, Ohio"
"40031",52089,"Comanche County, Oklahoma"
"42013",49942,"Blair County, Pennsylvania"
"42039",51502,"Crawford County, Pennsylvania"
"42051",52984,"Fayette County, Pennsylvania"
"47113",45360,"Madison County, Tennessee"
"48027",54495,"Bell County, Texas"
"48061",38378,"Cameron County, Texas"
"49057",68669,"Weber County, Utah"
"51165",61199,"Rockingham County, Virginia"
"51700",50180,"Newport News city, Virginia"
"51710",49587,"Norfolk city, Virginia"
"51810",77059,"Virginia Beach city, Virginia"
"53007",57132,"Chelan County, Washington"
"01015",45818,"Calhoun County, Alabama"
"08005",76768,"Arapahoe County, Colorado"
"13013",61225,"Barrow County, Georgia"
"13157",73150,"Jackson County, Georgia"
"13245",39413,"Richmond County, Georgia"
"13285",44260,"Troup County, Georgia"
"19061",60225,"Dubuque County, Iowa"
"21227",53601,"Warren County, Kentucky"
"27019",100324,"Carver County, Minnesota"
"28075",37971,"Lauderdale County, Mississippi"
"28081",53062,"Lee County, Mississippi"
"28121",66480,"Rankin County, Mississippi"
"36111",63889,"Ulster County, New York"
"37183",79970,"Wake County, North Carolina"
"39093",58613,"Lorain County, Ohio"
"40119",48031,"Payne County, Oklahoma"
"40131",60148,"Rogers County, Oklahoma"
"42081",55045,"Lycoming County, Pennsylvania"
"45015",62994,"Berkeley County, South Carolina"
"45085",45994,"Sumter County, South Carolina"
"47147",69079,"Robertson County, Tennessee"
"48085",96051,"Collin County, Texas"
"49045",72906,"Tooele County, Utah"
"53041",61058,"Lewis County, Washington"
"53053",75407,"Pierce County, Washington"
"54061",50834,"Monongalia County, West Virginia"
"55009",61651,"Brown County, Wisconsin"
"06115",46574,"Yuba County, California"
"13051",55308,"Chatham County, Georgia"
"13063",46646,"Clayton County, Georgia"
"13113",93468,"Fayette County, Georgia"
"13223",73084,"Paulding County, Georgia"
"17043",93750,"DuPage County, Illinois"
"17089",79818,"Kane County, Illinois"
"18089",55154,"Lake County, Indiana"
"21059",50934,"Daviess County, Kentucky"
"21185",102033,"Oldham County, Kentucky"
"25009",76604,"Essex County, Massachusetts"
"26163",46390,"Wayne County, Michigan"
"29165",80468,"Platte County, Missouri"
"36053",59678,"Madison County, New York"
"37159",46035,"Rowan County, North Carolina"
"39029",43745,"Columbiana County, Ohio"
"41059",56842,"Umatilla County, Oregon"
"42045",72045,"Delaware County, Pennsylvania"
"42073",47853,"Lawrence County, Pennsylvania"
"47157",47500,"Shelby County, Tennessee"
"04003",50495,"Cochise County, Arizona"
"04005",61843,"Coconino County, Arizona"
"06023",50294,"Humboldt County, California"
"06039",56305,"Madera County, California"
"12097",50546,"Osceola County, Florida"
"13059",42232,"Clarke County, Georgia"
"13313",45028,"Whitfield County, Georgia"
"16019",58729,"Bonneville County, Idaho"
"22109",52820,"Terrebonne Parish, Louisiana"
"24015",74452,"Cecil County, Maryland"
"24037",92250,"St. Mary's County, Maryland"
"25001",68902,"Barnstable County, Massachusetts"
"25021",100356,"Norfolk County, Massachusetts"
"27163",95124,"Washington County, Minnesota"
"34033",65733,"Salem County, New Jersey"
"34035",121378,"Somerset County, New Jersey"
"36081",69320,"Queens County, New York"
"36119",94811,"Westchester County, New York"
"37109",63782,"Lincoln County, North Carolina"
"42003",59899,"Allegheny County, Pennsylvania"
"45035",66438,"Dorchester County, South Carolina"
"48231",55248,"Hunt County, Texas"
"51650",55466,"Hampton city, Virginia"
"01077",49014,"Lauderdale County, Alabama"
"09011",67197,"New London County, Connecticut"
"17167",61997,"Sangamon County, Illinois"
"21111",55851,"Jefferson County, Kentucky"
"21151",52047,"Madison County, Kentucky"
"22015",55922,"Bossier Parish, Louisiana"
"24009",107884,"Calvert County, Maryland"
"26025",47204,"Calhoun County, Michigan"
"34025",99642,"Monmouth County, New Jersey"
"37119",63967,"Mecklenburg County, North Carolina"
"39055",82784,"Geauga County, Ohio"
"39119",49602,"Muskingum County, Ohio"
"41043",54113,"Linn County, Oregon"
"42017",88569,"Bucks County, Pennsylvania"
"42095",68591,"Northampton County, Pennsylvania"
"45075",36536,"Orangeburg County, South Carolina"
"48029",54149,"Bexar County, Texas"
"48091",76203,"Comal County, Texas"
"48361",56420,"Orange County, Texas"
"48497",69040,"Wise County, Texas"
"53009",59001,"Clallam County, Washington"
"72021",24873,"Bayamón Municipio, Puerto Rico"
"72137",25504,"Toa Baja Municipio, Puerto Rico"
"04025",48148,"Yavapai County, Arizona"
"13097",60829,"Douglas County, Georgia"
"13135",72184,"Gwinnett County, Georgia"
"15007",80921,"Kauai County, Hawaii"
"16027",53374,"Canyon County, Idaho"
"18019",56307,"Clark County, Indiana"
"19013",51920,"Black Hawk County, Iowa"
"21015",77429,"Boone County, Kentucky"
"22051",50766,"Jefferson Parish, Louisiana"
"23031",66614,"York County, Maine"
"24027",116984,"Howard County, Maryland"
"24031",108188,"Montgomery County, Maryland"
"27053",76052,"Hennepin County, Minnesota"
"28067",49393,"Jones County, Mississippi"
"29510",43889,"St. Louis city, Missouri"
"34013",63368,"Essex County, New Jersey"
"34021",80632,"Mercer County, New Jersey"
"36113",56482,"Warren County, New York"
"36117",61515,"Wayne County, New York"
"37129",52239,"New Hanover County, North Carolina"
"39081",40308,"Jefferson County, Ohio"
"42085",48847,"Mercer County, Pennsylvania"
"42111",50988,"Somerset County, Pennsylvania"
"51800",71829,"Suffolk city, Virginia"
"53033",95009,"King County, Washington"
"54033",46569,"Harrison County, West Virginia"
"06111",84566,"Ventura County, California"
"09005",76043,"Litchfield County, Connecticut"
"09007",89131,"Middlesex County, Connecticut"
"12023",48848,"Columbia County, Florida"
"13047",56364,"Catoosa County, Georgia"
"13247",61222,"Rockdale County, Georgia"
"13297",66640,"Walton County, Georgia"
"16005",50748,"Bannock County, Idaho"
"24003",97814,"Anne Arundel County, Maryland"
"28033",68385,"DeSoto County, Mississippi"
"29097",46617,"Jasper County, Missouri"
"30029",53193,"Flathead County, Montana"
"35001",51208,"Bernalillo County, New Mexico"
"36005",38467,"Bronx County, New York"
"37019",60496,"Brunswick County, North Carolina"
"37021",53980,"Buncombe County, North Carolina"
"37127",51601,"Nash County, North Carolina"
"37193",43466,"Wilkes County, North Carolina"
"39035",49910,"Cuyahoga County, Ohio"
"39061",57189,"Hamilton County, Ohio"
"39165",86473,"Warren County, Ohio"
"40017",70204,"Canadian County, Oklahoma"
"42029",99119,"Chester County, Pennsylvania"
"42077",62278,"Lehigh County, Pennsylvania"
"45063",60154,"Lexington County, South Carolina"
"47119",53794,"Maury County, Tennessee"
"47189",76756,"Wilson County, Tennessee"
"48203",50561,"Harrison County, Texas"
"51041",80655,"Chesterfield County, Virginia"
"55131",73435,"Washington County, Wisconsin"
"09003",73151,"Hartford County, Connecticut"
"12033",51050,"Escambia County, Florida"
"18039",58350,"Elkhart County, Indiana"
"18109",68338,"Morgan County, Indiana"
"19049",83990,"Dallas County, Iowa"
"23011",51653,"Kennebec County, Maine"
"26049",48127,"Genesee County, Michigan"
"26087",65561,"Lapeer County, Michigan"
"26145",48990,"Saginaw County, Michigan"
"30013",49948,"Cascade County, Montana"
"32003",57076,"Clark County, Nevada"
"36007",51125,"Broome County, New York"
"36027",80227,"Dutchess County, New York"
"37023",43663,"Burke County, North Carolina"
"37035",53454,"Catawba County, North Carolina"
"37125",58531,"Moore County, North Carolina"
"39009",36944,"Athens County, Ohio"
"39023",49875,"Clark County, Ohio"
"39099",47962,"Mahoning County, Ohio"
"45051",49047,"Horry County, South Carolina"
"47093",55632,"Knox County, Tennessee"
"51061",92145,"Fauquier County, Virginia"
"72127",23012,"San Juan Municipio, Puerto Rico"
"01069",48105,"Houston County, Alabama"
"06083",77472,"Santa Barbara County, California"
"10003",69479,"New Castle County, Delaware"
"12113",70787,"Santa Rosa County, Florida"
"13295",42609,"Walker County, Georgia"
"20091",86746,"Johnson County, Kansas"
"25017",100517,"Middlesex County, Massachusetts"
"25025",69985,"Suffolk County, Massachusetts"
"26055",66163,"Grand Traverse County, Michigan"
"27137",53550,"St. Louis County, Minnesota"
"31153",77941,"Sarpy County, Nebraska"
"33011",78978,"Hillsborough County, New Hampshire"
"34017",74414,"Hudson County, New Jersey"
"37025",69679,"Cabarrus County, North Carolina"
"38015",71172,"Burleigh County, North Dakota"
"39085",65835,"Lake County, Ohio"
"39153",58876,"Summit County, Ohio"
"40037",55264,"Creek County, Oklahoma"
"41039",53172,"Lane County, Oregon"
"42001",62284,"Adams County, Pennsylvania"
"42041",71802,"Cumberland County, Pennsylvania"
"47065",57280,"Hamilton County, Tennessee"
"47179",48765,"Washington County, Tennessee"
"49005",59248,"Cache County, Utah"
"53015",59225,"Cowlitz County, Washington"
"54081",39122,"Raleigh County, West Virginia"
"72013",18360,"Arecibo Municipio, Puerto Rico"
"01103",53260,"Morgan County, Alabama"
"06031",61663,"Kings County, California"
"06089",56280,"Shasta County, California"
"12073",50682,"Leon County, Florida"
"12103",52198,"Pinellas County, Florida"
"17093",89862,"Kendall County, Illinois"
"26017",50606,"Bay County, Michigan"
"26159",59295,"Van Buren County, Michigan"
"32031",63310,"Washoe County, Nevada"
"33013",75088,"Merrimack County, New Hampshire"
"39045",67144,"Fairfield County, Ohio"
"45041",48790,"Florence County, South Carolina"
"48005",47519,"Angelina County, Texas"
"53057",73206,"Skagit County, Washington"
"53067",72703,"Thurston County, Washington"
"54039",41141,"Kanawha County, West Virginia"
"55025",71582,"Dane County, Wisconsin"
"01097",43061,"Mobile County, Alabama"
"06013",101618,"Contra Costa County, California"
"12083",44576,"Marion County, Florida"
"12091",63997,"Okaloosa County, Florida"
"12117",67470,"Seminole County, Florida"
"13073",82024,"Columbia County, Georgia"
"13095",39659,"Dougherty County, Georgia"
"13151",73541,"Henry County, Georgia"
"13153",58965,"Houston County, Georgia"
"17183",43655,"Vermilion County, Illinois"
"17197",85818,"Will County, Illinois"
"18141",54434,"St. Joseph County, Indiana"
"19163",58175,"Scott County, Iowa"
"23019",47217,"Penobscot County, Maine"
"26111",56091,"Midland County, Michigan"
"26115",61916,"Monroe County, Michigan"
"27145",60669,"Stearns County, Minnesota"
"35061",46493,"Valencia County, New Mexico"
"36101",55569,"Steuben County, New York"
"37097",59341,"Iredell County, North Carolina"
"38017",62418,"Cass County, North Dakota"
"38101",65719,"Ward County, North Dakota"
"41051",71186,"Multnomah County, Oregon"
"42021",45084,"Cambria County, Pennsylvania"
"48485",47373,"Wichita County, Texas"
"51015",59820,"Augusta County, Virginia"
"51550",80265,"Chesapeake city, Virginia"
"51770",42711,"Roanoke city, Virginia"
"54011",38162,"Cabell County, West Virginia"
"55141",55273,"Wood County, Wisconsin"
"72061",36309,"Guaynabo Municipio, Puerto Rico"
"01083",67000,"Limestone County, Alabama"
"05051",42779,"Garland County, Arkansas"
"08069",71091,"Larimer County, Colorado"
"12035",58963,"Flagler County, Florida"
"17201",53345,"Winnebago County, Illinois"
"24025",88603,"Harford County, Maryland"
"30031",68266,"Gallatin County, Montana"
"37157",40688,"Rockingham County, North Carolina"
"39155",46196,"Trumbull County, Ohio"
"42019",66423,"Butler County, Pennsylvania"
"42049",48007,"Erie County, Pennsylvania"
"42079",54433,"Luzerne County, Pennsylvania"
"45055",51467,"Kershaw County, South Carolina"
"51107",139915,"Loudoun County, Virginia"
"72135",26358,"Toa Alta Municipio, Puerto Rico"
"01073",55206,"Jefferson County, Alabama"
"04013",65252,"Maricopa County, Arizona"
"05069",35652,"Jefferson County, Arkansas"
"05145",42270,"White County, Arkansas"
"06079",71148,"San Luis Obispo County, California"
"08014",95800,"Broomfield County, Colorado"
"09009",67845,"New Haven County, Connecticut"
"12061",57508,"Indian River County, Florida"
"13021",40495,"Bibb County, Georgia"
"13089",64461,"DeKalb County, Georgia"
"13127",55196,"Glynn County, Georgia"
"16001",66405,"Ada County, Idaho"
"17111",85275,"McHenry County, Illinois"
"17179",60857,"Tazewell County, Illinois"
